Latitude (decimal degrees):	36.984
Longitude (decimal degrees):	-6.432
Elevation (m):	1
Radiation database:	PVGIS-SARAH


Slope: - deg. 
Azimuth: - deg. 
time,G(i),H_sun,T2m,WS10m,Int
20050101:0009,0.0,0.0,7.3,1.94,0.0
20050101:0109,0.0,0.0,7.83,1.94,0.0
20050101:0209,0.0,0.0,8.36,1.94,0.0
20050101:0309,0.0,0.0,8.89,1.94,0.0
20050101:0409,0.0,0.0,8.65,1.92,0.0
20050101:0509,0.0,0.0,8.41,1.89,0.0
20050101:0609,0.0,0.0,8.17,1.86,0.0
20050101:0709,0.0,0.0,8.49,1.79,0.0
20050101:0809,12.92,4.47,8.8,1.72,1.0
20050101:0909,576.62,13.85,9.12,1.66,0.0
20050101:1009,789.18,21.63,10.69,1.3,0.0
20050101:1109,918.33,27.17,12.26,0.95,0.0
20050101:1209,976.21,29.84,13.83,0.59,0.0
20050101:1309,1051.04,29.24,14.65,0.87,0.0
20050101:1409,1025.87,25.48,15.47,1.15,0.0
20050101:1509,1061.59,19.05,16.28,1.43,0.0
20050101:1609,985.85,10.63,15.55,1.68,0.0
20050101:1709,10.15,0.8,14.82,1.92,0.0
20050101:1809,0.0,0.0,14.09,2.17,0.0
20050101:1909,0.0,0.0,13.35,2.03,0.0
20050101:2009,0.0,0.0,12.61,1.9,0.0
20050101:2109,0.0,0.0,11.87,1.77,0.0
20050101:2209,0.0,0.0,11.4,1.76,0.0
20050101:2309,0.0,0.0,10.92,1.76,0.0
20050102:0009,0.0,0.0,10.45,1.75,0.0
20050102:0109,0.0,0.0,10.07,1.85,0.0
20050102:0209,0.0,0.0,9.7,1.94,0.0
20050102:0309,0.0,0.0,9.32,2.04,0.0
20050102:0409,0.0,0.0,8.94,1.93,0.0
20050102:0509,0.0,0.0,8.56,1.82,0.0
20050102:0609,0.0,0.0,8.17,1.71,0.0
20050102:0709,0.0,0.0,8.32,1.62,0.0
20050102:0809,12.97,4.45,8.46,1.54,1.0
20050102:0909,71.84,13.86,8.61,1.45,0.0
20050102:1009,59.7,21.66,9.79,1.18,0.0
20050102:1109,75.05,27.22,10.97,0.91,0.0
20050102:1209,122.14,29.91,12.16,0.63,0.0
20050102:1309,105.71,29.34,12.86,0.89,0.0
20050102:1409,76.38,25.59,13.57,1.14,0.0
20050102:1509,102.67,19.18,14.27,1.39,0.0
20050102:1609,172.7,10.76,13.75,1.52,0.0
20050102:1709,12.03,0.93,13.23,1.64,0.0
20050102:1809,0.0,0.0,12.71,1.77,0.0
20050102:1909,0.0,0.0,12.12,1.65,0.0
20050102:2009,0.0,0.0,11.53,1.53,0.0
20050102:2109,0.0,0.0,10.94,1.41,0.0
20050102:2209,0.0,0.0,10.6,1.56,0.0
20050102:2309,0.0,0.0,10.26,1.71,0.0
20050103:0009,0.0,0.0,9.92,1.86,0.0
20050103:0109,0.0,0.0,9.36,2.02,0.0
20050103:0209,0.0,0.0,8.8,2.18,0.0
20050103:0309,0.0,0.0,8.23,2.34,0.0
20050103:0409,0.0,0.0,7.86,2.22,0.0
