DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	air_t_mean	air_p_mean	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ch4_mean	rssi_77_mean	ch4_aux-1_mean	ch4_aux-2_mean	ch4_aux-3_mean	ch4_aux-4_mean	ch4_tc_1_mean	ch4_tc_2_mean	ch4_tc_3_mean	PA_1_1_1	P_RAIN_1_1_1	TA_1_1_0	TA_1_1_91	TA_1_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	[Pa]	[m]	[K]	[K]	[K]	069
DATA	2021-02-11T083249_smart3-00433.ghg	2021-02-11	09:00:00	42.3749	1	16303	16303	-0.0105613	1	NaN	6.16699	1	NaN	4.9592	0	NaN	0.0603331	1	NaN	0.112168	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.08761e-11	7.8551e-13	NaN	NaN	17.7012	427.67	434.665	0.1	0	666.049	16.0921	16.3553	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	294.321	292.824	101280	1.1977	1014.32	0.0241605	0.0072685	0.0120022	1621.91	2283.5	0.010021	71.0277	661.581	287.385	0.703492	-1.44874	0.00725645	1.61053	-4.21044e-15	1.17936e-15	1.61053	2.31814	318.788	295.901	0.258155	NaN	0.093904	0.0657185	-11.8326	-0.33805	1.24355	-0.0540584	1	56.373	25	45	74	113	183	422	-0.0104441	1.01122	6.38296	1.01306	4.23564	1.03156	-0.285262	1.03156	0.0958024	1.03156	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	0	0	0	0	8	10	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	16299	0	16299	0	0	0	0	0	0	0	0	16299	16299	16299	16299	NaN	60	0.0500756	0.0666268	0.0147346	0.180832	0.000666445	48.7312	NaN	NaN	0.00525407	-0.000285262	0.0958024	NaN	NaN	287.688	102138	24.3303	414.523	15.5974	13.8913	57.3358	36.8868	1.03529	-0.0174994	-0.0174971	-0.0179258	-0.0179179	9999.95	9999.95	9999.95	10.21	0	91.1731	91.1385	288.038	192
DATA	not_enough_data	2021-02-11	09:30:00	42.395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	171
DATA	2021-02-11T120000_smart3-00433.ghg	2021-02-11	12:30:00	42.5207	1	18000	18000	-0.0248806	0	NaN	17.4211	0	NaN	56.548	0	NaN	-0.847037	0	NaN	1.28437	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.79487e-10	-6.63674e-12	NaN	NaN	16.6069	407.176	413.401	0.1	0	614.062	15.0559	15.286	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	298.561	297.141	101239	1.18029	1013.85	0.0245185	0.083227	0.0110654	1517.37	2972.22	0.00937516	51.0517	1454.85	286.361	-1.62609	-2.36203	0.076983	2.86867	1.62485e-14	-1.08079e-14	2.86867	5.17855	19.3627	235.455	1.53776	NaN	0.14519	0.419015	-15.4765	-0.258456	0.308076	-0.100272	1	71.0855	31	56	95	145	236	553	-0.0246697	1.00855	20.5826	1.01307	52.0366	1.04495	-2.08742	1.04495	1.1819	1.04495	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800001019	899999999	899999999	89999	89999	89	89	4	1	0	6	3	5	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	80	0.381885	0.403935	0.0522103	0.0275951	0.0109824	163.713	NaN	NaN	0.0172004	-0.00208742	1.1819	NaN	NaN	290.5	102148	24.4392	392.659	14.5191	12.7921	78.3327	48.3163	1.25294	0.000625513	0.000607525	0.0000474915	0.0000611027	9999.99	9999.99	9999.99	10.21	0	NaN	NaN	290.469	066
DATA	2021-02-11T123000_smart3-00433.ghg	2021-02-11	13:00:00	42.5415	1	18000	18000	-0.0319421	0	NaN	24.2036	0	NaN	60.6697	0	NaN	0.0317003	0	NaN	1.37813	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.98317e-10	7.42557e-12	NaN	NaN	16.5623	406.423	412.703	0.1	0	620.141	15.2177	15.4528	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	298.684	297.248	101196	1.17929	1013.94	0.0245391	0.0893028	0.0111749	1532.94	2991.39	0.00947602	51.245	1458.45	286.517	-2.21234	-1.92085	0.115751	2.93216	3.37652e-14	1.1974e-14	2.93216	5.70105	34.3191	220.966	2.26241	NaN	0.164578	0.540001	-16.2202	-0.246605	0.39894	-0.122992	1	63.2039	28	50	85	129	212	500	-0.0316729	1.0085	27.5228	1.01314	55.3619	1.0457	-1.58138	1.0457	1.25756	1.0457	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	0	2	0	2	5	10	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	36	18000	18000	18000	18000	NaN	80	0.468814	0.543697	0.0674914	0.0548056	0.000704484	223.136	NaN	NaN	0.0230176	-0.00158138	1.25756	NaN	NaN	290.684	102133	24.43	391.907	14.6742	12.9513	78.3363	52.5207	1.24515	0.00064607	0.000627577	0.0000485043	0.0000630814	9999.99	9999.99	9999.99	10.21	0	NaN	NaN	290.712	160
DATA	2021-02-11T130000_smart3-00433.ghg	2021-02-11	13:30:00	42.5624	1	18000	18000	-0.0526822	0	NaN	25.6202	0	NaN	45.5135	1	NaN	-0.802177	0	NaN	1.03396	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.01708e-10	-3.67114e-12	NaN	NaN	16.5723	406.749	412.81	0.1	0	598.176	14.6816	14.9004	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	298.744	297.357	101196	1.17909	1013.65	0.0245439	0.0670007	0.0107791	1479.19	3011.21	0.00914193	49.123	1532.01	285.971	-2.76268	-1.53759	0.156399	3.1656	2.71977e-14	-6.13723e-15	3.1656	5.25432	46.1938	209.098	2.8319	NaN	0.211378	0.726577	-32.462	-0.123221	0.562915	-0.101412	0	90.9184	-13.7972	31.2094	77.7157	118.521	166.228	249.04	-0.0522454	1.00836	28.0015	1.01342	40.9655	1.04845	-2.30393	1.04845	0.930641	1.04845	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	4	5	1	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	80	0.357522	1.02841	0.0672248	0.0585787	0.000638807	735.254	NaN	NaN	0.0234287	-0.00230393	0.930641	NaN	NaN	290.691	102112	24.4259	392.236	14.1577	12.3917	78.3428	52.8575	1.23179	0.000663623	0.000643807	0.0000492516	0.0000643139	9999.99	9999.99	9999.99	10.21	0	NaN	NaN	290.773	122
DATA	2021-02-11T133000_smart3-00433.ghg	2021-02-11	14:00:00	42.5832	1	18000	18000	-0.0576739	0	NaN	33.0481	0	NaN	91.379	0	NaN	-0.635593	0	NaN	2.07576	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.33053e-12	3.40162e-13	NaN	NaN	16.5648	406.45	412.564	0.1	0	603.902	14.8179	15.0408	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	298.677	297.278	101202	1.17941	1013.72	0.024537	0.134509	0.0108823	1492.95	2996.89	0.00922687	49.8167	1503.94	286.112	-3.181	-1.36997	0.18147	3.46821	2.22603e-14	5.63274e-16	3.46821	5.67824	52.0178	203.3	2.99929	NaN	0.221134	0.464688	-28.8159	-0.138812	0.36166	-0.124999	0	90.9767	-13.8061	31.2293	77.7655	118.597	166.334	249.199	-0.0572015	1.00826	38.0365	1.01384	83.2271	1.05205	-2.8665	1.05205	1.89058	1.05205	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	1	1	2	12	14	8	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	80	0.411831	0.444088	0.0734564	0.0643411	0.000656071	387.885	NaN	NaN	0.0318138	-0.0028665	1.89058	NaN	NaN	290.531	102078	24.42	391.972	14.29	12.535	78.2894	50.9695	1.21595	0.00061803	0.000599737	0.0000467615	0.000060835	9999.99	9999.99	9999.99	10.202	0	NaN	NaN	290.76	062
DATA	2021-02-11T140000_smart3-00433.ghg	2021-02-11	14:30:00	42.604	1	18000	18000	-0.0640884	0	NaN	42.325	0	NaN	134.13	0	NaN	-0.653126	0	NaN	3.04706	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.73322e-11	1.74926e-12	NaN	NaN	16.547	406.122	412.31	0.1	0	611.53	15.0091	15.2378	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	298.756	297.339	101202	1.17909	1013.83	0.0245435	0.19745	0.0110198	1512.12	3007.85	0.009346	50.2725	1495.73	286.308	-3.28794	-1.39323	0.209301	3.57707	1.80373e-14	2.86046e-15	3.57707	5.60067	52.1552	202.964	3.3544	NaN	0.23314	0.461476	-26.368	-0.151699	0.315553	-0.151869	0	89.8822	-13.64	30.8536	76.8299	117.17	164.333	246.201	-0.0635648	1.00824	49.7165	1.01401	122.39	1.05336	-3.66005	1.05336	2.78037	1.05336	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	1	2	2	3	2	5	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	80	0.357526	0.48127	0.0841572	0.0859541	0.0008651	421.957	NaN	NaN	0.0415901	-0.00366005	2.78037	NaN	NaN	290.716	102058	24.4275	391.88	14.4829	12.7359	78.2813	50.2159	1.21471	0.000629996	0.000611616	0.000049863	0.00006242	9999.99	9999.99	9999.99	10.2	0	NaN	NaN	290.715	014
DATA	2021-02-11T143000_smart3-00433.ghg	2021-02-11	15:00:00	42.6248	1	18000	18000	-0.051276	0	NaN	38.767	0	NaN	110.141	0	NaN	-0.947394	0	NaN	2.50201	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.15054e-10	4.27461e-12	NaN	NaN	16.5497	405.96	412.177	0.1	0	614.873	15.0827	15.3137	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	298.721	297.297	101247	1.17974	1013.87	0.0245298	0.16213	0.01108	1520.17	3000.18	0.00939189	50.6693	1480.01	286.389	-3.47173	-1.11636	0.208947	3.65278	-2.59344e-14	6.95202e-15	3.65278	5.69297	57.3473	197.826	3.27924	NaN	0.20848	0.40313	-20.5918	-0.194252	0.351975	-0.155464	0	82.9104	-12.582	28.4605	70.8706	108.082	151.587	227.104	-0.0508575	1.00823	44.7706	1.01413	100.105	1.05427	-3.569	1.05427	2.27401	1.05427	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	4	5	0	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	36	18000	18000	18000	18000	NaN	80	0.308491	0.415422	0.0823467	0.0813356	0.000929646	313.386	NaN	NaN	0.0374304	-0.003569	2.27401	NaN	NaN	290.413	102035	24.4316	391.621	14.5499	12.8049	78.2217	48.4943	1.20957	0.000570887	0.000553612	0.0000434816	0.0000561531	9999.99	9999.99	9999.99	10.2	0	NaN	NaN	290.755	080
DATA	2021-02-11T150000_smart3-00433.ghg	2021-02-11	15:30:00	42.6457	1	18000	18000	-0.0642396	0	NaN	38.2701	0	NaN	104.435	0	NaN	-1.02092	0	NaN	2.37208	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.06106e-11	2.66114e-12	NaN	NaN	16.5762	405.929	412.235	0.1	0	624.719	15.2985	15.5362	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	298.612	297.168	101380	1.18171	1013.98	0.0244886	0.153711	0.0112574	1543.84	2977.14	0.00952638	51.8567	1433.29	286.626	-3.54607	-0.979576	0.234825	3.68637	-2.26199e-14	4.25975e-15	3.68637	6.13081	59.7096	195.442	3.65226	NaN	0.233155	0.476172	-29.2056	-0.13696	0.36645	-0.136984	0	90.1578	-13.6818	30.9482	77.0655	117.53	164.837	246.956	-0.0637154	1.00823	43.9343	1.01419	94.7107	1.05467	-3.56593	1.05467	2.15121	1.05467	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	1	5	1	0	3	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	80	0.418278	0.450538	0.0835267	0.0701739	0.000796578	248.657	NaN	NaN	0.0366658	-0.00356593	2.15121	NaN	NaN	290.015	102040	24.45	391.695	14.7621	13.0279	78.0559	44.3302	1.19645	0.000551447	0.000535468	0.0000439987	0.0000553903	9999.99	9999.99	9999.99	10.2	0	NaN	NaN	290.493	122
