DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux		qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	air_t_mean	air_p_mean	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ch4_mean	rssi_77_mean	ch4_aux-1_mean	ch4_aux-2_mean	ch4_aux-3_mean	ch4_aux-4_mean	ch4_tc_1_mean	ch4_tc_2_mean	ch4_tc_3_mean	PA_1_1_1	P_RAIN_1_1_1	TA_1_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]		[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	[Pa]	[m]	[K]	45
DATA	2021-05-27T233000_smart3-00433.ghg	28/05/2021	00:00:00	148	0	18000	18000	-0.00876872	0	NaN	-2.43263	1	NaN	3.98054	0	NaN	5.94101	-0.128325816	0	NaN	0.0901106	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.10E-11	2.41E-12	NaN	NaN	21.6403	524.538	532.854	0	0	643.838	15.606	15.8534	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	295.175	293.72	101246	1.19386	1014.07	0.024239	0.00583916	0.011602	1572.63	2413.65	0.00971801	65.1554	841.028	286.91	0.140746	1.12366	0.0685094	1.13451	3.49E-14	3.74E-15	1.13451	1.90285	171.936	82.8605	3.46201	NaN	0.0857021	0.0718138	22.7962	0.175468	-0.611131	0.0234456	1	42.3272	19	40	85	165	376	1800	-0.00868579	1.00955	-2.16392	1.01651	3.85271	1.06763	5.65926	1.06763	0.0872169	1.06763	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	0	1	0	14	12	24	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	67	0.0426866	0.0891158	0.0118253	0.0143972	0.0567141	15.3488	NaN	NaN	-0.00178738	0.00565926	0.0872169	NaN	NaN	288.565	101614	24.4591	510.935	15.2012	13.4174	67.7669	700.1	0.0879913	0.000340748	0.000336306	0.000019534	2.85868E-05	9999.99	9999.99	9999.99	101569	0	289.334	37
DATA	2021-05-28T000000_smart3-00433.ghg	28/05/2021	00:30:00	148.0208	0	18000	18000	-0.0104807	1	NaN	-3.83714	0	NaN	3.28606	0	NaN	6.35711	-0.137313576	0	NaN	0.0743905	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.62E-11	8.21E-13	NaN	NaN	21.0675	510.894	519.205	0	0	660.055	16.0066	16.2669	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	295.232	293.738	101217	1.19327	1014.3	0.0242504	0.0048205	0.0118942	1612.34	2416.38	0.00996771	66.7254	804.039	287.294	0.332095	1.21088	0.0656997	1.25731	-1.68E-14	1.24E-15	1.25731	1.94838	180.182	74.6633	2.9953	NaN	0.0937184	0.0487512	18.8963	0.211682	-1.1677	0.0338282	1	43.7282	19	42	89	174	402	1979	-0.0103775	1.00994	-3.58169	1.0181	3.29766	1.07604	6.08406	1.07604	0.0746531	1.07604	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	7	3	1	10	15	22	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	4801	4801	0	31	18000	18000	18000	18000	NaN	63	0.0429768	0.0399886	0.014537	0.0242516	0.0861369	129.002	NaN	NaN	-0.00295927	0.00608406	0.0746531	NaN	NaN	288.721	101609	24.46	497.699	15.5931	13.8056	64.1462	680.798	0.0901772	0.00046469	0.00046017	3.57771E-05	4.57332E-05	9999.99	9999.99	9999.99	101580	0	289.45	60
DATA	2021-05-28T003000_smart3-00433.ghg	28/05/2021	01:00:00	148.0416	0	18000	18000	-0.0054375	1	NaN	-1.53234	1	NaN	4.58882	1	NaN	2.69232	-0.058154112	1	NaN	0.10383	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.76E-11	-5.54E-13	NaN	NaN	21.5035	520.356	529.003	0	0	675.482	16.3458	16.6174	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	294.732	293.21	101262	1.1958	1014.47	0.0241987	0.00672816	0.0121722	1647.05	2338.67	0.0101791	70.4267	691.623	287.623	0.0818597	0.779892	0.0471574	0.785593	-3.41E-14	-8.20E-16	0.785593	1.74168	170.398	84.008	3.44141	NaN	0.0674327	0.0506561	17.6329	0.226849	-0.333929	0.0187321	1	35.8005	16	34	73	142	326	1595	-0.00537902	1.01087	-1.24171	1.0177	4.34943	1.06745	2.55862	1.06745	0.0984129	1.06745	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	4	2	0	4	3	16	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	59	0.0321304	0.063272	0.00590977	0.00689571	0.0491702	41.5798	NaN	NaN	-0.00102358	0.00255862	0.0984129	NaN	NaN	288.79	101600	24.46	508.169	15.9629	14.1674	58.3308	694.114	0.0899875	0.000539663	0.000533996	4.54043E-05	0.000056453	9999.99	9999.99	9999.99	101580	0	289.45	29
DATA	2021-05-28T010000_smart3-00433.ghg	28/05/2021	01:30:00	148.0624	0	18000	18000	-0.00233916	1	NaN	-0.130936	2	NaN	-0.0158585	2	NaN	0.637317	-0.013766047	1	NaN	-0.000358835	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.78E-11	-5.42E-13	NaN	NaN	21.5791	522.177	530.623	0.1	0	657.791	15.9174	16.1749	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	294.727	293.245	101262	1.19585	1014.24	0.0241983	-2.32525E-05	0.0118534	1604.11	2343.84	0.00991214	68.4394	739.73	287.215	-0.0349933	0.451906	0.0187384	0.453646	-3.45E-14	-8.24E-16	0.453646	0.894864	161.922	94.4279	2.36735	NaN	0.0442275	0.027069	58.2172	0.0687083	8.25653	0.00244092	1	29.4867	13	27	55	101	214	879	-0.00230693	1.01397	-0.129875	1.01557	-0.00467174	1.04997	0.614729	1.04997	-0.000105709	1.04997	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	810101019	899999999	899999999	89999	89999	89	89	0	4	1	6	3	22	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	36	18000	18000	18000	18000	NaN	66	0.00908232	0.0435113	0.0015443	0.00250038	0.209869	40.8915	NaN	NaN	-0.000107081	0.000614729	-0.000105709	NaN	NaN	288.767	101573	24.46	510.047	15.5477	13.7571	66.3451	695.022	0.0885888	0.000567937	0.000562507	4.64257E-05	5.77118E-05	9999.99	9999.99	9999.99	101580	0	289.45	144
DATA	2021-05-28T013000_smart3-00433.ghg	28/05/2021	02:00:00	148.0833	0	18000	18000	0.00458357	1	NaN	-1.13366	1	NaN	0.944139	1	NaN	1.31321	-0.028365336	1	NaN	0.021363	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.35E-11	-4.19E-13	NaN	NaN	20.7556	502.095	510.041	0.3	0	643.994	15.5787	15.8253	-0.2	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	294.675	293.225	101275	1.19624	1014.05	0.0241908	0.00138432	0.0116048	1570.36	2340.95	0.00970104	67.082	770.593	286.888	-0.174067	0.378138	0.0149199	0.416545	-2.09E-14	-6.51E-16	0.416545	0.981121	148.063	114.718	2.05267	NaN	0.0619003	0.0511945	18.4351	0.216978	-1.20073	0.0150978	1	14.9164	7	14	29	56	124	564	0.00451931	1.01422	-1.0574	1.01991	0.955387	1.06785	1.28172	1.06785	0.0216175	1.06785	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000119	800001119	899999999	899999999	89999	89999	89	89	2	0	3	1	0	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	67	0.06315	0.0386875	0.000551422	0.017217	0.351762	17.5884	NaN	NaN	-0.000871694	0.00128172	0.0216175	NaN	NaN	288.588	101533	24.46	490.479	15.2182	13.422	69.1985	675.847	0.0907511	0.000636027	0.000629204	5.39828E-05	6.69726E-05	9999.99	9999.99	9999.99	101580	0	289.45	65
DATA	2021-05-28T020000_smart3-00433.ghg	28/05/2021	02:30:00	148.1041	0	18000	18000	-0.000754297	1	NaN	-0.0305106	2	NaN	-0.304417	1	NaN	3.66343	-0.079130088	1	NaN	-0.00688341	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.26E-12	1.73E-13	NaN	NaN	22.2457	536.746	544.84	0.1	0	615.709	14.8559	15.0799	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	293.911	292.531	101275	1.1994	1013.63	0.0241281	-0.000446045	0.0110951	1497.84	2242.43	0.00925053	66.7953	744.59	286.162	-0.336971	0.766823	0.0303113	0.838144	4.96E-14	2.81E-16	0.838144	1.14088	141.772	113.723	2.07254	NaN	0.0250778	0.0379479	45.5413	0.0878324	0.100226	0.00100073	1	132.303	58	123	256	486	1070	4775	-0.000746675	1.01021	-0.0476139	1.01601	-0.280404	1.06125	3.45726	1.06125	-0.00634044	1.06125	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	3	3	1	1	3	4	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	36	18000	18000	18000	18000	NaN	67	0.0100688	0.0652128	0.000614207	0.182957	0.660203	191.795	NaN	NaN	-3.91643E-05	0.00345726	-0.00634044	NaN	NaN	287.722	101522	24.4235	524.156	14.5082	12.6858	68.4845	651.239	0.0920095	0.000508785	0.000503268	4.08644E-05	5.15328E-05	9999.99	9999.99	9999.99	101580	0	289.45	3
DATA	2021-05-28T023000_smart3-00433.ghg	28/05/2021	03:00:00	148.1249	0	18000	18000	-0.016232	1	NaN	8.46373	2	NaN	6.15637	2	NaN	-13.6863	0.29562408	2	NaN	0.139091	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.36E-10	6.39E-12	NaN	NaN	21.8148	524.885	532.45	0	1	590.518	14.2084	14.4132	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	292.983	291.667	101237	1.20279	1013.25	0.0240609	0.00901307	0.0106411	1432.31	2124.72	0.00884704	67.4117	692.412	285.48	0.314952	1.28967	0.0548266	1.3287	8.96E-14	1.08E-14	1.3287	1.75986	177.994	76.2764	2.36488	NaN	0.116169	0.108938	-16.3127	-0.245208	1.37479	-0.0597811	1	35.7701	16	29	48	74	123	295	-0.0160276	1.01275	8.7103	1.01374	5.22399	1.04268	-13.694	1.04268	0.118025	1.04268	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800010019	899999999	899999999	89999	89999	89	89	6	3	1	1	1	7	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	67	0.0378756	0.177403	0.00259761	0.222382	1.40642	67.1941	NaN	NaN	0.00714705	-0.013694	0.118025	NaN	NaN	287.175	101499	24.4249	513.134	13.891	12.0239	66.8005	655.024	0.09109	0.000391969	0.000403553	3.34324E-05	4.00823E-05	9999.99	9999.99	9999.99	101508	0	288.979	97
DATA	2021-05-28T030000_smart3-00433.ghg	28/05/2021	03:30:00	148.1458	0	18000	18000	-0.00515799	1	NaN	-8.69864	1	NaN	-11.5255	1	NaN	17.0791	-0.36890856	1	NaN	-0.260168	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.96E-11	7.03E-13	NaN	NaN	23.5363	564.675	572.349	0	0	558.908	13.4092	13.5914	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	291.997	290.759	101188	1.20632	1012.79	0.0239917	-0.0168589	0.0100715	1351.43	2006.97	0.00834898	67.3367	655.543	284.599	0.518425	1.33575	0.0626081	1.4342	-5.27E-14	1.26E-15	1.4342	2.14089	186.165	68.788	2.50197	NaN	0.0653897	0.046923	2.82924	1.41381	0.754727	0.108883	1	133.294	59	130	285	572	1370	7378	-0.00501261	1.029	-8.78526	1.05851	-8.64015	1.24597	14.2875	1.24597	-0.195035	1.24597	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	5	4	2	8	14	40	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	65	0.03158	0.0563296	0.00593654	0.0797656	0.414651	139.223	NaN	NaN	-0.00719076	0.0142875	-0.195035	NaN	NaN	286.275	101483	24.44	551.996	13.1081	11.1417	64.359	607.704	0.096296	0.000372992	0.0003785	3.83521E-05	4.38369E-05	9999.99	9999.99	9999.99	101455	0	287.857	122
DATA	2021-05-28T033000_smart3-00433.ghg	28/05/2021	04:00:00	148.1666	0	18000	18000	-0.000809211	2	NaN	-5.65223	0	NaN	-7.49072	0	NaN	17.3319	-0.37436904	1	NaN	-0.169092	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.58E-11	-6.29E-13	NaN	NaN	22.2891	534.72	541.772	0	0	542.531	13.0154	13.1871	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	291.979	290.777	101188	1.20642	1012.57	0.0239902	-0.0109572	0.00977641	1311.91	2009.32	0.00810366	65.2913	697.408	284.151	0.117713	1.34867	0.0651385	1.35536	1.62E-14	-1.16E-15	1.35536	2.0055	169.78	85.0118	2.75469	NaN	0.0258989	0.0424147	0.270514	14.7867	0.754565	0.178655	1	700.274	305	643	1315	2450	5262	NaN	-0.000699655	1.15659	-4.57791	1.29467	-3.15043	2.22546	7.98785	2.22546	-0.0711165	2.22546	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	7	7	2	8	9	15	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	36	18000	18000	18000	18000	NaN	61	0.0699882	0.0113676	0.00347347	0.0468519	0.613973	27.4797	NaN	NaN	-0.00374752	0.00798785	-0.0711165	NaN	NaN	286.241	101476	24.4516	522.719	12.7235	10.6954	62.36	628.284	0.0940331	0.000361713	0.000368658	0.000039019	4.34987E-05	9999.99	9999.99	9999.99	101441	0	287.534	73
