TIMESTAMP_START,TIMESTAMP_END,TA,SW_IN,PA,P,VPD,WS,WD,RH,USTAR,NEE,year,month,day,hour,minute,WD[rad],W_v_axis,V_SIGMA,MO_LENGTH,NEE_0,TIMESTAMP_END,NEE_1,NEE_2
2017-01-01 00:00:00,2017-01-01 00:30:00,266.84999999999997,0.0,79.0,0.0,260.70000000000005,0.935,46.356,32.89,0.03251,0.859741,2017,1,1,0,0,0.8086546666666666,0.6763405845650922,0.6831677267269887,1.1625901099999998,,2017-01-01 00:30:00,0.859741,0.859741
2017-01-01 00:30:00,2017-01-01 01:00:00,266.79699999999997,0.0,78.98,0.0,260.59999999999997,1.217,39.7039,31.9,0.04448,0.850392,2017,1,1,0,30,0.6926124777777777,0.7771151927766876,0.6831677267269887,2.1763174399999996,,2017-01-01 01:00:00,0.850392,0.850392
2017-01-01 01:00:00,2017-01-01 01:30:00,266.74399999999997,0.0,78.95,0.0,260.59999999999997,1.101,47.0891,32.55,0.04882,0.858962,2017,1,1,1,0,0.821443188888889,0.806074735884099,0.6831677267269887,2.6217316400000006,,2017-01-01 01:30:00,0.858962,0.858962
2017-01-01 01:30:00,2017-01-01 02:00:00,266.834,0.0,78.92,0.0,261.90000000000003,0.768,64.0374,33.98,0.05295,0.860321,2017,1,1,1,30,1.117096866666667,0.6903028274823683,0.6831677267269887,3.08407275,,2017-01-01 02:00:00,0.860321,0.860321
2017-01-01 02:00:00,2017-01-01 02:30:00,266.924,0.0,78.9,0.0,263.09999999999997,0.998,47.3499,34.15,0.05075,0.848435,2017,1,1,2,0,0.8259927,0.7337505816570756,0.6831677267269887,2.83311875,,2017-01-01 02:30:00,0.848435,0.848435
2017-01-01 02:30:00,2017-01-01 03:00:00,266.745,0.0,78.88,0.0,258.9,0.857,67.157,34.58,0.06963,0.847908,2017,1,1,2,30,1.1715165555555556,0.7895894301489174,0.6831677267269887,5.33317059,,2017-01-01 03:00:00,0.847908,0.847908
2017-01-01 03:00:00,2017-01-01 03:30:00,266.56699999999995,0.0,78.84,0.0,254.70000000000002,1.299,41.8389,34.41,0.07897,0.835649,2017,1,1,3,0,0.7298563666666668,0.8661246125181034,0.6831677267269887,6.85988699,,2017-01-01 03:30:00,0.835649,0.835649
2017-01-01 03:30:00,2017-01-01 04:00:00,266.53799999999995,0.0,78.8,0.0,255.6,0.974,49.6025,31.05,0.03624,0.855223,2017,1,1,3,30,0.8652880555555555,0.741488742453866,0.6831677267269887,1.44467136,,2017-01-01 04:00:00,0.855223,0.855223
2017-01-01 04:00:00,2017-01-01 04:30:00,266.51,0.0,78.77,0.0,256.5,1.364,35.3162,27.94,0.05665,0.818634,2017,1,1,4,0,0.616071488888889,0.7881646956626107,0.6831677267269887,3.53014475,,2017-01-01 04:30:00,0.818634,0.818634
2017-01-01 04:30:00,2017-01-01 05:00:00,266.54999999999995,0.0,78.75,0.0,258.3,0.863,59.4096,28.66,0.04061,0.666036,2017,1,1,4,30,1.0363674666666667,0.7426630034039032,0.6831677267269887,1.81408931,,2017-01-01 05:00:00,0.666036,0.666036
2017-01-01 05:00:00,2017-01-01 05:30:00,266.59,0.0,78.72,0.0,260.2,1.101,36.1047,25.67,0.05637,0.666036,2017,1,1,5,0,0.6298264333333334,0.648493957172869,0.6831677267269887,3.4953345900000006,,2017-01-01 05:30:00,0.666036,0.666036
2017-01-01 05:30:00,2017-01-01 06:00:00,266.86199999999997,0.0,78.7,0.0,265.3,1.577,36.2026,30.43,0.05405,0.40044,2017,1,1,5,30,0.6315342444444444,0.9310352143986513,0.6831677267269887,3.2135427500000002,,2017-01-01 06:00:00,0.40044,0.40044
2017-01-01 06:00:00,2017-01-01 06:30:00,267.13399999999996,0.0,78.68,0.0,270.5,1.079,57.4664,32.82,0.03612,0.666795,2017,1,1,6,0,1.0024694222222224,0.9093840618420138,0.6831677267269887,1.4351198399999998,,2017-01-01 06:30:00,0.666795,0.666795
2017-01-01 06:30:00,2017-01-01 07:00:00,267.29299999999995,0.0,78.67,0.0,274.2,0.896,60.181,31.26,0.04624,0.658914,2017,1,1,6,30,1.049824111111111,0.7771327826823841,0.6831677267269887,2.35195136,,2017-01-01 07:00:00,0.658914,0.658914
2017-01-01 07:00:00,2017-01-01 07:30:00,267.452,0.0,78.66,0.0,277.9,0.792,65.6462,30.79,0.0468,0.535813,2017,1,1,7,0,1.1451614888888888,0.7213352196813055,0.6831677267269887,2.409264,,2017-01-01 07:30:00,0.535813,0.535813
2017-01-01 07:30:00,2017-01-01 08:00:00,267.743,0.0,78.65,0.0,284.2,1.055,56.7494,30.49,0.04244,0.46767,2017,1,1,7,30,0.9899617555555555,0.8819852683009968,0.6831677267269887,1.9812689599999997,,2017-01-01 08:00:00,0.46767,0.46767
2017-01-01 08:00:00,2017-01-01 08:30:00,268.03299999999996,0.0,78.65,0.0,290.6,0.798,58.0429,30.71,0.05909,0.469201,2017,1,1,8,0,1.0125261444444447,0.6768418131701468,0.6831677267269887,3.8407909099999995,,2017-01-01 08:30:00,0.469201,0.469201
2017-01-01 08:30:00,2017-01-01 09:00:00,268.18199999999996,51.916,78.64,0.0,294.4,0.939,45.4313,28.9,0.04439,0.598992,2017,1,1,8,30,0.7925237888888889,0.6686875959405775,0.6831677267269887,2.16751931,,2017-01-01 09:00:00,0.598992,0.598992
2017-01-01 09:00:00,2017-01-01 09:30:00,268.33099999999996,120.609,78.63,0.0,298.20000000000005,0.617,24.4942,26.51,0.0515,0.467215,2017,1,1,9,0,0.42728771111111113,0.25568720284008833,0.6831677267269887,2.9174749999999996,,2017-01-01 09:30:00,0.467215,0.467215
2017-01-01 09:30:00,2017-01-01 10:00:00,268.89,173.755,78.63,0.0,306.3,0.611,27.0686,26.46,0.04722,0.975141,2017,1,1,9,30,0.47219668888888894,0.2779094941430541,0.6831677267269887,2.45270124,,2017-01-01 10:00:00,0.975141,0.975141
