date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-04-29,0.5282877,0.26127085,0.22015832,1.7022299,0.42401034,-0.29170942,0.25050828,0.3820261,1.2363575e-05,6.1495243e-06,7.852561e-06,8.033814e-06,1.1211206e-05,1.9247553e-05,2.3034574e-05,1.9650546e-05,2.4466137e-05,2.5973332e-05,1.4071503e-05,1.1185518e-05
2017-04-30,0.5244666,0.2607623,0.21998644,1.6616509,0.41675228,-0.29581866,0.24355127,0.37567154,1.2237498e-05,6.1661685e-06,7.894083e-06,8.10058e-06,1.1342479e-05,1.9226705e-05,2.2986205e-05,1.9748792e-05,2.4522384e-05,2.6015767e-05,1.4383171e-05,1.1389815e-05
2017-05-01,0.52064544,0.2602538,0.21981455,1.621072,0.40949422,-0.2999279,0.23659426,0.36931694,1.2111421e-05,6.1828127e-06,7.935604e-06,8.167345e-06,1.1473753e-05,1.920586e-05,2.2937838e-05,1.9847037e-05,2.4578632e-05,2.6058202e-05,1.4694839e-05,1.1594112e-05
2017-05-02,0.5168243,0.25974524,0.21964267,1.5804931,0.40223616,-0.30403712,0.22963725,0.36296237,1.1985344e-05,6.1994565e-06,7.977125e-06,8.234111e-06,1.1605027e-05,1.9185012e-05,2.288947e-05,1.994528e-05,2.4634879e-05,2.6100637e-05,1.5006506e-05,1.1798409e-05
2017-05-03,0.5130032,0.25923672,0.21947078,1.5399141,0.3949781,-0.30814633,0.22268023,0.3566078,1.1859267e-05,6.2161007e-06,8.018647e-06,8.300877e-06,1.17363e-05,1.9164165e-05,2.2841103e-05,2.0043526e-05,2.4691128e-05,2.6143072e-05,1.5318174e-05,1.2002706e-05
2017-05-04,0.50918204,0.2587282,0.21929888,1.4993353,0.38772005,-0.31225556,0.21572322,0.35025322,1.173319e-05,6.232745e-06,8.0601685e-06,8.367643e-06,1.1867573e-05,1.914332e-05,2.2792734e-05,2.014177e-05,2.4747376e-05,2.6185508e-05,1.5629843e-05,1.2207003e-05
2017-05-05,0.5053609,0.25821966,0.219127,1.4587563,0.38046196,-0.3163648,0.2087662,0.34389865,1.1607114e-05,6.2493887e-06,8.101691e-06,8.434408e-06,1.1998847e-05,1.9122472e-05,2.2744367e-05,2.0240015e-05,2.4803623e-05,2.6227943e-05,1.594151e-05,1.24113e-05
2017-05-06,0.50153977,0.25771114,0.21895511,1.4181774,0.3732039,-0.32047403,0.2018092,0.33754408,1.1481037e-05,6.266033e-06,8.143212e-06,8.501174e-06,1.213012e-05,1.9101626e-05,2.2695998e-05,2.0338259e-05,2.4859872e-05,2.6270378e-05,1.6253178e-05,1.2615597e-05
2017-05-07,0.49771866,0.2572026,0.21878323,1.3775985,0.36594585,-0.32458326,0.19485217,0.3311895,1.135496e-05,6.2826766e-06,8.184734e-06,8.56794e-06,1.2261394e-05,1.9080779e-05,2.2647631e-05,2.0436504e-05,2.4916118e-05,2.6312813e-05,1.6564845e-05,1.2819894e-05
2017-05-08,0.49389753,0.25669408,0.21861134,1.3370196,0.3586878,-0.3286925,0.18789516,0.3248349,1.12288835e-05,6.299321e-06,8.226255e-06,8.634706e-06,1.23926675e-05,1.9059933e-05,2.2599263e-05,2.053475e-05,2.4972367e-05,2.6355248e-05,1.6876513e-05,1.30241915e-05
