date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2023-01-03,0.38892135,0.25079927,0.22172941,0.65969104,0.21613619,-0.28215814,0.160342,0.29767513,0.06228513,0.06725199,0.076909155,0.07596508,0.112024985,0.1744303,0.19141002,0.20270516,0.20141259,0.1945671,0.13125962,0.096359715
2023-01-04,0.38725355,0.25004613,0.22117062,0.6545265,0.2149126,-0.2838446,0.1574998,0.2946899,0.06334374,0.0678634,0.0780337,0.07742713,0.11357957,0.17602766,0.19280048,0.20406546,0.20305218,0.19880262,0.13383017,0.09850791
2023-01-05,0.38558576,0.24929301,0.22061183,0.64936197,0.21368898,-0.285531,0.15465763,0.29170465,0.06440236,0.06847481,0.07915824,0.07888918,0.115134165,0.17762502,0.19419093,0.20542577,0.20469175,0.20303816,0.13640074,0.100656115
2023-01-06,0.38391796,0.2485399,0.22005303,0.64419746,0.21246538,-0.28721747,0.15181546,0.28871942,0.065460965,0.06908622,0.080282785,0.08035124,0.11668875,0.17922239,0.19558139,0.20678607,0.20633133,0.20727368,0.1389713,0.10280432
2023-01-07,0.38225016,0.24778678,0.21949424,0.6390329,0.21124178,-0.2889039,0.14897327,0.2857342,0.06651958,0.069697626,0.08140733,0.08181329,0.11824334,0.18081975,0.19697185,0.20814636,0.20797092,0.21150921,0.14154187,0.10495252
2023-01-08,0.38058236,0.24703364,0.21893544,0.6338684,0.21001817,-0.29059035,0.1461311,0.28274897,0.06757819,0.070309035,0.08253188,0.08327535,0.11979793,0.18241712,0.19836232,0.20950668,0.20961049,0.21574473,0.14411242,0.107100725
2023-01-09,0.37891456,0.24628052,0.21837667,0.62870383,0.20879458,-0.29227677,0.14328891,0.27976373,0.068636805,0.070920445,0.08365642,0.0847374,0.121352516,0.18401448,0.19975278,0.21086697,0.21125007,0.21998025,0.146683,0.10924893
2023-01-10,0.37724677,0.24552739,0.21781787,0.6235393,0.20757097,-0.2939632,0.14044674,0.2767785,0.06969541,0.071531855,0.08478096,0.086199455,0.12290711,0.18561184,0.20114323,0.21222728,0.21288966,0.22421579,0.14925355,0.111397125
2023-01-11,0.37557897,0.24477427,0.21725908,0.61837476,0.20634736,-0.29564965,0.13760456,0.27379325,0.07075403,0.072143264,0.08590551,0.08766151,0.124461696,0.18720922,0.20253369,0.21358758,0.21452923,0.22845131,0.15182412,0.11354533
2023-01-12,0.37391114,0.24402115,0.21670029,0.61321026,0.20512377,-0.29733607,0.13476238,0.270808,0.07181264,0.07275467,0.08703005,0.08912356,0.12601629,0.18880658,0.20392416,0.2149479,0.2161688,0.23268685,0.15439467,0.11569353
2023-01-13,0.37224334,0.24326801,0.21614149,0.6080457,0.20390016,-0.29902253,0.1319202,0.26782277,0.07287125,0.07336608,0.0881546,0.09058562,0.12757087,0.19040395,0.20531462,0.21630819,0.2178084,0.23692237,0.15696524,0.117841735
2023-01-14,0.37057555,0.2425149,0.2155827,0.6028812,0.20267656,-0.30070895,0.12907802,0.26483753,0.07392986,0.07397749,0.089279145,0.09204768,0.12912546,0.19200131,0.20670508,0.21766849,0.21944797,0.24115789,0.1595358,0.11998994
2023-01-15,0.36890775,0.24176176,0.2150239,0.5977166,0.20145296,-0.3023954,0.12623584,0.26185232,0.07498848,0.0745889,0.09040368,0.093509726,0.13068005,0.19359867,0.20809554,0.2190288,0.22108756,0.24539343,0.16210636,0.122138135
2023-01-16,0.36723995,0.24100864,0.21446511,0.5925521,0.20022935,-0.30408183,0.12339366,0.25886708,0.07604709,0.07520031,0.09152823,0.09497178,0.13223465,0.19519605,0.20948601,0.2203891,0.22272713,0.24962895,0.16467692,0.12428634
2023-01-17,0.36557215,0.24025552,0.21390632,0.5873876,0.19900575,-0.30576828,0.12055148,0.25588185,0.0771057,0.07581172,0.092652775,0.09643383,0.13378923,0.1967934,0.21087646,0.22174941,0.22436671,0.25386447,0.16724749,0.12643453
2023-01-18,0.36390436,0.23950239,0.21334752,0.58222306,0.19778214,-0.3074547,0.1177093,0.2528966,0.07816432,0.07642313,0.09377732,0.09789589,0.13534382,0.19839077,0.21226692,0.2231097,0.2260063,0.2581,0.16981804,0.12858275
2023-01-19,0.36604866,0.2403285,0.21524067,0.5842932,0.198432,-0.31208247,0.11721628,0.25342065,0.07728967,0.07564245,0.09397052,0.09855301,0.13639203,0.1999395,0.21385428,0.2250453,0.22794779,0.26165348,0.17181475,0.12989633
2023-01-20,0.3691237,0.2415746,0.21762587,0.58788,0.19953258,-0.31709126,0.11697437,0.25446373,0.075957045,0.074558415,0.09388701,0.098859586,0.13712169,0.20125844,0.2152502,0.22687477,0.22966431,0.26436257,0.17352523,0.13087858
2023-01-21,0.3735334,0.24341193,0.220743,0.59374124,0.2012879,-0.32274938,0.11721492,0.2563796,0.073965736,0.073032014,0.093421035,0.0987049,0.1374423,0.20234609,0.2164569,0.22862291,0.23116308,0.26603198,0.17485107,0.13140962
2023-01-22,0.37892213,0.24570149,0.22438385,0.60128504,0.20353533,-0.3288777,0.11779079,0.2589101,0.07149789,0.07119233,0.0926667,0.09818508,0.13742705,0.20323114,0.21748188,0.23027958,0.23245588,0.26681384,0.17585869,0.13158062
2023-01-23,0.38417456,0.24799392,0.22789206,0.60856974,0.20574567,-0.33484942,0.11817632,0.26118517,0.06911849,0.069436505,0.091918,0.09760315,0.13731287,0.20397241,0.21833773,0.23179962,0.23355912,0.26720744,0.17677926,0.13169385
2023-01-24,0.3884788,0.24996227,0.23079994,0.61408573,0.20751248,-0.3402122,0.1179101,0.26249102,0.06723064,0.068043195,0.091387674,0.0971846,0.13729261,0.204632,0.2190624,0.23315503,0.23450609,0.26761004,0.17782499,0.13200162
2023-01-25,0.39184898,0.25161448,0.23313314,0.6177261,0.20881295,-0.3449861,0.11688797,0.2627241,0.06581559,0.06699209,0.09107071,0.09693447,0.13739583,0.20524746,0.21970694,0.2343584,0.2353379,0.26807025,0.1790607,0.13255033
2023-01-26,0.39432395,0.25296682,0.23492643,0.6194902,0.20964882,-0.34919134,0.11506678,0.26184982,0.06484746,0.06626028,0.090957165,0.09685038,0.13763714,0.20584491,0.22030905,0.23542249,0.2360867,0.2686146,0.18052343,0.1333635
2023-01-27,0.39596686,0.25404397,0.2362237,0.6194837,0.21004643,-0.35284796,0.11246437,0.25990278,0.06429328,0.06582228,0.091032155,0.0969225,0.13801622,0.2064389,0.22089316,0.23636018,0.23677558,0.26924732,0.18222241,0.13444182
2023-01-28,0.39686546,0.25487894,0.23707797,0.6179186,0.21005666,-0.35597605,0.10915959,0.2569866,0.06411299,0.06565003,0.091275886,0.09713355,0.13851775,0.20703253,0.22147045,0.2371845,0.23741865,0.26995063,0.18413909,0.1357631
2023-01-29,0.39713207,0.25551307,0.23755136,0.6151133,0.20975505,-0.35859564,0.10529228,0.25327393,0.064259395,0.06571288,0.091663636,0.09745879,0.13911146,0.20761739,0.22203878,0.23790863,0.23802103,0.27068445,0.18622713,0.1372823
