date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2023-01-01,,,,,,,,,,,,,,,,,,,,
2023-01-02,,,,,,,,,,,,,,,,,,,,
2023-01-03,0.18876131,0.17094097,0.09176032,0.2717989,0.11741437,-0.12282252,0.023637822,0.09847438,0.16415718,0.14117017,0.12434779,0.114258565,0.13460138,0.16009475,0.17044255,0.16702265,0.173771,0.21370193,0.1601362,0.13905662
2023-01-04,,,,,,,,,,,,,,,,,,,,
2023-01-05,,,,,,,,,,,,,,,,,,,,
2023-01-06,,,,,,,,,,,,,,,,,,,,
2023-01-07,,,,,,,,,,,,,,,,,,,,
2023-01-08,,,,,,,,,,,,,,,,,,,,
2023-01-09,,,,,,,,,,,,,,,,,,,,
2023-01-10,,,,,,,,,,,,,,,,,,,,
2023-01-11,,,,,,,,,,,,,,,,,,,,
2023-01-12,,,,,,,,,,,,,,,,,,,,
2023-01-13,,,,,,,,,,,,,,,,,,,,
2023-01-14,,,,,,,,,,,,,,,,,,,,
2023-01-15,,,,,,,,,,,,,,,,,,,,
2023-01-16,,,,,,,,,,,,,,,,,,,,
2023-01-17,,,,,,,,,,,,,,,,,,,,
2023-01-18,0.49674183,0.2928854,0.2992901,0.83866835,0.2633105,-0.41221446,0.20660901,0.38312125,0.01063476,0.027537636,0.062080696,0.0719324,0.119847804,0.20636496,0.2232571,0.24537897,0.2408585,0.24434808,0.15032762,0.09993031
2023-01-19,,,,,,,,,,,,,,,,,,,,
2023-01-20,,,,,,,,,,,,,,,,,,,,
2023-01-21,,,,,,,,,,,,,,,,,,,,
2023-01-22,,,,,,,,,,,,,,,,,,,,
2023-01-23,,,,,,,,,,,,,,,,,,,,
2023-01-24,,,,,,,,,,,,,,,,,,,,
2023-01-25,,,,,,,,,,,,,,,,,,,,
2023-01-26,,,,,,,,,,,,,,,,,,,,
2023-01-27,,,,,,,,,,,,,,,,,,,,
2023-01-28,,,,,,,,,,,,,,,,,,,,
2023-01-29,,,,,,,,,,,,,,,,,,,,
2023-01-30,,,,,,,,,,,,,,,,,,,,
2023-01-31,,,,,,,,,,,,,,,,,,,,
2023-02-01,,,,,,,,,,,,,,,,,,,,
2023-02-02,0.2207515,0.18187359,0.12901133,0.27558342,0.121102445,-0.2407355,-0.007013083,0.08868392,0.15415,0.12912095,0.13863716,0.14260069,0.17255,0.20965,0.2201,0.2233946,0.23405,0.33335,0.22655001,0.187
2023-02-03,,,,,,,,,,,,,,,,,,,,
2023-02-04,,,,,,,,,,,,,,,,,,,,
2023-02-05,,,,,,,,,,,,,,,,,,,,
2023-02-06,,,,,,,,,,,,,,,,,,,,
2023-02-07,0.48632222,0.29536337,0.29016274,0.75115407,0.25078133,-0.42745245,0.12106678,0.29807523,0.022647928,0.036935214,0.07215664,0.07510552,0.121423274,0.19976425,0.21780792,0.2450373,0.2346156,0.22950518,0.17862818,0.121064216
2023-02-08,,,,,,,,,,,,,,,,,,,,
2023-02-09,,,,,,,,,,,,,,,,,,,,
2023-02-10,,,,,,,,,,,,,,,,,,,,
2023-02-11,,,,,,,,,,,,,,,,,,,,
2023-02-12,,,,,,,,,,,,,,,,,,,,
2023-02-13,,,,,,,,,,,,,,,,,,,,
2023-02-14,0.4522714,0.2927878,0.27872115,0.6634098,0.23052907,-0.4386673,0.059740935,0.22205237,0.041660726,0.049238905,0.08396853,0.0881568,0.1394979,0.2158775,0.23502204,0.25456703,0.25169054,0.25535715,0.21497527,0.1526435
2023-02-15,,,,,,,,,,,,,,,,,,,,
2023-02-16,,,,,,,,,,,,,,,,,,,,
2023-02-17,,,,,,,,,,,,,,,,,,,,
2023-02-18,,,,,,,,,,,,,,,,,,,,
2023-02-19,,,,,,,,,,,,,,,,,,,,
2023-02-20,,,,,,,,,,,,,,,,,,,,
2023-02-21,,,,,,,,,,,,,,,,,,,,
2023-02-22,,,,,,,,,,,,,,,,,,,,
2023-02-23,,,,,,,,,,,,,,,,,,,,
2023-02-24,0.4465222,0.30628228,0.28054053,0.71246374,0.24347377,-0.38349822,0.099245384,0.25217554,0.0533263,0.060091943,0.09166555,0.09365022,0.14060952,0.22410947,0.24299753,0.2639227,0.258187,0.25778815,0.20876564,0.15114084
2023-02-25,,,,,,,,,,,,,,,,,,,,
2023-02-26,,,,,,,,,,,,,,,,,,,,
2023-02-27,0.44959083,0.29536945,0.2888475,0.71225786,0.23842841,-0.46059516,0.044280507,0.16840081,0.033221766,0.05105803,0.09144448,0.100127354,0.14807743,0.22916186,0.24896331,0.27523994,0.26646435,0.26601994,0.2453283,0.19088575
2023-02-28,,,,,,,,,,,,,,,,,,,,
2023-03-01,0.4207861,0.31041783,0.2863236,0.6687132,0.22905311,-0.43559217,0.037596412,0.13868651,0.052750774,0.071518734,0.108054474,0.11902453,0.16634983,0.24732536,0.27092624,0.2997088,0.28911996,0.28604716,0.2734567,0.2248111
2023-03-02,,,,,,,,,,,,,,,,,,,,
2023-03-03,,,,,,,,,,,,,,,,,,,,
2023-03-04,,,,,,,,,,,,,,,,,,,,
2023-03-05,,,,,,,,,,,,,,,,,,,,
2023-03-06,,,,,,,,,,,,,,,,,,,,
2023-03-07,,,,,,,,,,,,,,,,,,,,
2023-03-08,,,,,,,,,,,,,,,,,,,,
2023-03-09,,,,,,,,,,,,,,,,,,,,
2023-03-10,,,,,,,,,,,,,,,,,,,,
2023-03-11,,,,,,,,,,,,,,,,,,,,
2023-03-12,,,,,,,,,,,,,,,,,,,,
2023-03-13,,,,,,,,,,,,,,,,,,,,
2023-03-14,,,,,,,,,,,,,,,,,,,,
2023-03-15,,,,,,,,,,,,,,,,,,,,
2023-03-16,,,,,,,,,,,,,,,,,,,,
2023-03-17,,,,,,,,,,,,,,,,,,,,
2023-03-18,,,,,,,,,,,,,,,,,,,,
2023-03-19,,,,,,,,,,,,,,,,,,,,
2023-03-20,,,,,,,,,,,,,,,,,,,,
2023-03-21,,,,,,,,,,,,,,,,,,,,
2023-03-22,,,,,,,,,,,,,,,,,,,,
2023-03-23,,,,,,,,,,,,,,,,,,,,
2023-03-24,,,,,,,,,,,,,,,,,,,,
2023-03-25,,,,,,,,,,,,,,,,,,,,
2023-03-26,,,,,,,,,,,,,,,,,,,,
2023-03-27,,,,,,,,,,,,,,,,,,,,
2023-03-28,,,,,,,,,,,,,,,,,,,,
2023-03-29,,,,,,,,,,,,,,,,,,,,
2023-03-30,,,,,,,,,,,,,,,,,,,,
2023-03-31,,,,,,,,,,,,,,,,,,,,
2023-04-01,,,,,,,,,,,,,,,,,,,,
2023-04-02,,,,,,,,,,,,,,,,,,,,
2023-04-03,0.53951764,0.37451094,0.35167873,1.194051,0.33266836,-0.4464578,0.15246563,0.33767477,0.030734576,0.047631815,0.07738243,0.078137085,0.12402157,0.23273191,0.26366186,0.28833818,0.27945676,0.28111616,0.20237428,0.13485336
2023-04-04,,,,,,,,,,,,,,,,,,,,
2023-04-05,0.5038126,0.36668822,0.34765863,1.0419497,0.3071734,-0.43740717,0.12765221,0.28681934,0.05020859,0.058180965,0.09626968,0.1033227,0.15254325,0.26141885,0.29375124,0.31967318,0.3121635,0.3109131,0.24428816,0.1771847
2023-04-06,,,,,,,,,,,,,,,,,,,,
2023-04-07,,,,,,,,,,,,,,,,,,,,
2023-04-08,,,,,,,,,,,,,,,,,,,,
2023-04-09,,,,,,,,,,,,,,,,,,,,
2023-04-10,,,,,,,,,,,,,,,,,,,,
2023-04-11,,,,,,,,,,,,,,,,,,,,
2023-04-12,,,,,,,,,,,,,,,,,,,,
2023-04-13,,,,,,,,,,,,,,,,,,,,
2023-04-14,,,,,,,,,,,,,,,,,,,,
