date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-03-30,0.94774806,0.8736632,0.8145476,4.1130476,0.6709053,-0.58834344,0.42994684,0.67303413,0.023476766,0.020634275,0.053681474,0.013742259,0.100399025,0.4425039,0.5113997,0.5197764,0.52004695,0.513674,0.20684852,0.10131467
2017-03-31,0.95206386,0.8906451,0.8331128,4.2870097,0.6787613,-0.58812714,0.44288918,0.6858991,0.021833805,0.019670228,0.0533905,0.012756986,0.09940997,0.4492534,0.52250594,0.5352382,0.53108066,0.5229006,0.20557828,0.098909914
2017-04-01,0.9561507,0.9067887,0.850825,4.4548535,0.68636805,-0.5878387,0.45525542,0.6982777,0.020306103,0.018738158,0.05311644,0.011830364,0.09846761,0.4556926,0.53314483,0.5500117,0.54163694,0.531749,0.20432656,0.09658951
2017-04-02,0.959984,0.9220762,0.86759835,4.614528,0.69361657,-0.5874745,0.46702477,0.7100532,0.018907819,0.017857632,0.052858282,0.01096601,0.09758787,0.46180728,0.5432674,0.56403834,0.5516827,0.5401752,0.20309043,0.094379306
2017-04-03,0.9635393,0.9364895,0.88334674,4.763981,0.7003978,-0.5870308,0.47817641,0.72110903,0.017653113,0.01704821,0.052615,0.010167536,0.09678664,0.46758327,0.5528247,0.5772595,0.56118476,0.5481349,0.20186698,0.09230513
2017-04-04,0.96679205,0.9500107,0.89798427,4.9011607,0.70660275,-0.58650404,0.48868957,0.7313284,0.01655615,0.01632946,0.052385587,0.009438554,0.096079834,0.47300634,0.5617675,0.58961636,0.57010996,0.5555841,0.20065333,0.09039284
2017-04-05,0.9697177,0.96262187,0.91142493,5.024016,0.71212244,-0.5858905,0.49854347,0.7405947,0.015631085,0.015720945,0.052169017,0.008782678,0.09548335,0.47806233,0.57004684,0.60105044,0.5784251,0.5624784,0.19944653,0.08866829
2017-04-06,0.97229177,0.9743049,0.9235828,5.130495,0.7168478,-0.5851865,0.5077173,0.7487912,0.014892082,0.0152422255,0.05196427,0.00820352,0.095013104,0.482737,0.5776138,0.611503,0.58609706,0.56877375,0.19824368,0.0871573
2017-04-07,0.97448975,0.9850419,0.9343718,5.218546,0.7206698,-0.5843883,0.5161903,0.7558013,0.014353302,0.01491287,0.051770333,0.0077046957,0.094685,0.4870162,0.58441913,0.6209155,0.5930927,0.57442594,0.19704188,0.08588574
2017-04-08,0.9762871,0.994815,0.94370604,5.286117,0.72347945,-0.5834924,0.52394164,0.7615083,0.014028906,0.014752438,0.05158619,0.007289816,0.09451494,0.4908857,0.590414,0.6292291,0.59937876,0.57939076,0.19583823,0.08487944
2017-04-09,0.97765934,1.0036061,0.95149946,5.3311567,0.72516775,-0.582495,0.53095055,0.76579547,0.013933053,0.014780497,0.051410813,0.006962495,0.09451884,0.4943313,0.5955492,0.6363854,0.6049222,0.5836241,0.19462979,0.08416426
2017-04-10,0.9786306,1.0112673,0.9579038,5.36104,0.72613627,-0.58135146,0.53712934,0.7690241,0.014085808,0.014922515,0.05125565,0.0067283856,0.09464597,0.49733758,0.59992284,0.64251447,0.60976285,0.58723193,0.19343711,0.08365447
2017-04-11,0.9792761,1.0177616,0.96321994,5.3850317,0.7268827,-0.58004624,0.54248166,0.7716887,0.014462651,0.015087814,0.051129628,0.00658153,0.09482809,0.49993175,0.60371274,0.64783657,0.6140065,0.5903845,0.19227895,0.08323736
2017-04-12,0.9796478,1.0232376,0.96758544,5.4039135,0.72744215,-0.57861924,0.5471237,0.7738726,0.015010872,0.015271737,0.05102794,0.0065081213,0.09505484,0.5021635,0.6069898,0.6524277,0.6177187,0.5931337,0.1911497,0.082898274
2017-04-13,0.9797978,1.0278438,0.9711381,5.418468,0.72784966,-0.5771105,0.55117166,0.7756591,0.01567776,0.015469627,0.05094578,0.0064943545,0.095315844,0.50408256,0.60982496,0.65636384,0.62096477,0.59553164,0.19004372,0.08262257
2017-04-14,0.9797779,1.0317289,0.9740156,5.4294777,0.72814035,-0.57556,0.5547418,0.7771313,0.016410604,0.015676828,0.050878365,0.006526424,0.095600724,0.5057387,0.61228913,0.65972114,0.6238103,0.59763044,0.18895541,0.08239561
2017-04-15,0.9796401,1.0350412,0.9763557,5.437725,0.7283493,-0.5740076,0.55795026,0.77837265,0.017156694,0.015888682,0.05082088,0.0065905247,0.09589912,0.5071816,0.61445326,0.66257554,0.6263207,0.599482,0.18787917,0.08220275
2017-04-16,0.9794366,1.0379294,0.978296,5.4439926,0.7285117,-0.57249326,0.5609134,0.7794664,0.017863318,0.016100531,0.050768528,0.00667285,0.09620066,0.50846094,0.6163882,0.6650032,0.62856156,0.6011385,0.18680939,0.08202933
2017-04-17,0.97921914,1.040542,0.9799742,5.4490623,0.7286625,-0.5710571,0.5637472,0.78049564,0.018477768,0.01630772,0.050716516,0.006759594,0.096494965,0.5096265,0.6181649,0.66708,0.63059825,0.60265183,0.18574046,0.08186071
2017-04-18,0.97903985,1.0430276,0.98152804,5.453717,0.72883683,-0.56973886,0.56656814,0.78154385,0.018947331,0.016505592,0.050660033,0.0068369526,0.096771665,0.510728,0.6198543,0.6688821,0.6324963,0.6040741,0.18466677,0.08168225
2017-04-19,0.9789506,1.0455348,0.9830953,5.4587393,0.7290698,-0.5685787,0.5694922,0.7826942,0.019219296,0.016689487,0.05059429,0.006891119,0.0970204,0.51181513,0.6215272,0.67048544,0.6343212,0.6054574,0.1835827,0.08147929
2017-04-20,0.9788947,1.0479126,0.9845736,5.463398,0.7293023,-0.56753933,0.5722484,0.78380173,0.019324766,0.016857905,0.050536245,0.006940609,0.09722941,0.5127973,0.6230929,0.67190295,0.63602054,0.6068104,0.18258633,0.08128226
2017-04-21,0.9787717,1.0498873,0.9857515,5.466425,0.729453,-0.5665537,0.5744987,0.7846707,0.019336391,0.01701336,0.050505493,0.007015153,0.097396776,0.5135543,0.6244142,0.6730865,0.6374945,0.6080945,0.18177252,0.081129834
2017-04-22,0.9785681,1.0514232,0.9866027,5.467796,0.7295242,-0.5656172,0.57625896,0.7853082,0.019263782,0.017157227,0.05050117,0.0071177683,0.09752683,0.5140913,0.62549275,0.67402077,0.63873744,0.609291,0.18113074,0.08101976
2017-04-23,0.97827035,1.0524845,0.98710114,5.467486,0.7295179,-0.564725,0.57754505,0.7857213,0.019116547,0.017290872,0.05052243,0.0072514727,0.09762395,0.51441383,0.62633,0.6746904,0.6397436,0.610381,0.18065053,0.080949776
2017-04-24,0.97786516,1.0530356,0.9872204,5.4654713,0.7294361,-0.56387246,0.5783729,0.7859171,0.0189043,0.017415669,0.05056841,0.007419283,0.097692475,0.5145271,0.6269276,0.67508006,0.64050746,0.6113457,0.18032141,0.08091764
2017-04-25,0.9773389,1.0530407,0.9869345,5.461727,0.729281,-0.56305486,0.57875836,0.7859028,0.01863665,0.017532988,0.050638244,0.0076242164,0.09773677,0.5144364,0.6272871,0.6751743,0.6410233,0.6121664,0.18013288,0.08092108
2017-04-26,0.97667825,1.0524642,0.986217,5.4562297,0.7290547,-0.5622674,0.57871735,0.78568536,0.018323207,0.0176442,0.050731078,0.00786929,0.097761184,0.51414716,0.62740993,0.6749579,0.6412854,0.61282414,0.18007445,0.08095786
2017-04-27,0.9758696,1.0512704,0.98504186,5.4489536,0.7287592,-0.56150556,0.5782658,0.785272,0.017973585,0.017750677,0.050846055,0.0081575215,0.097770065,0.51366454,0.6272977,0.6744154,0.6412882,0.61330014,0.18013564,0.081025705
2017-04-28,0.97489953,1.0494235,0.98338276,5.4398756,0.7283968,-0.56076443,0.57741946,0.78466976,0.01759739,0.017853789,0.050982315,0.008491928,0.097767785,0.512994,0.626952,0.6735316,0.6410261,0.61357564,0.18030596,0.08112237
2017-04-29,0.9737546,1.0468879,0.98121357,5.4289703,0.72796935,-0.5600394,0.57619435,0.7838858,0.017204236,0.017954908,0.051139,0.008875526,0.09775868,0.5121408,0.6263743,0.672291,0.6404933,0.61363184,0.18057492,0.0812456
2017-04-30,0.9724213,1.0436277,0.97850806,5.4162135,0.7274791,-0.5593257,0.5746063,0.7829271,0.016803732,0.018055405,0.05131525,0.009311333,0.097747125,0.5111103,0.6255662,0.6706783,0.6396842,0.6134499,0.18093204,0.08139313
2017-05-01,0.9708862,1.0396074,0.97524,5.401582,0.7269282,-0.55861866,0.5726712,0.78180087,0.01640549,0.01815665,0.051510215,0.009802368,0.097737454,0.5099078,0.62452924,0.66867816,0.63859314,0.613011,0.18136685,0.08156272
2017-05-02,0.96913576,1.0347914,0.97138315,5.3850493,0.72631854,-0.5579136,0.57040495,0.7805142,0.016019119,0.018260013,0.051723022,0.010351645,0.097734034,0.50853854,0.62326497,0.66627526,0.6372145,0.61229634,0.18186882,0.0817521
2017-05-03,0.9671565,1.0291436,0.9669113,5.366593,0.72565234,-0.5572057,0.5678234,0.7790742,0.015654232,0.018366868,0.05195282,0.010962184,0.09774122,0.50700796,0.6217749,0.6634542,0.6355426,0.6112871,0.1824275,0.081959024
2017-05-04,0.9649351,1.0226285,0.9617983,5.3461876,0.7249317,-0.5564903,0.56494254,0.7774879,0.015320438,0.018478585,0.052198753,0.011637,0.09776336,0.5053213,0.6200606,0.66019964,0.63357174,0.6099645,0.1830324,0.08218123
2017-05-05,0.962458,1.0152105,0.9560179,5.323809,0.7241587,-0.55576277,0.5617782,0.77576244,0.015027347,0.018596534,0.05245996,0.012379113,0.097804815,0.50348395,0.61812365,0.6564963,0.63129634,0.6083097,0.183673,0.08241647
2017-05-06,0.95971173,1.0068538,0.9495439,5.2994328,0.72333544,-0.55501825,0.55834615,0.773905,0.014784572,0.018722085,0.05273558,0.013191538,0.09786993,0.5015012,0.6159656,0.6523287,0.6287107,0.60630393,0.18433884,0.08266248
2017-05-07,0.9566828,0.9975228,0.9423501,5.2730346,0.722464,-0.5542521,0.55466247,0.7719225,0.014601721,0.018856613,0.053024754,0.014077292,0.09796308,0.49937832,0.6135879,0.6476816,0.62580913,0.6039283,0.18501943,0.082917005
2017-05-08,0.95335776,0.9871816,0.9344103,5.2445903,0.7215466,-0.5534596,0.5507429,0.76982224,0.014488407,0.019001486,0.05332663,0.015039394,0.0980886,0.4971207,0.61099225,0.6425396,0.6225861,0.6011641,0.1857043,0.0831778
2017-05-09,0.9497231,0.9757946,0.92569816,5.214075,0.7205851,-0.552636,0.54660344,0.7676112,0.01445424,0.019158075,0.053640343,0.01608086,0.09825085,0.49473363,0.60818005,0.63688743,0.61903584,0.5979924,0.18638293,0.0834426
2017-05-10,0.942833,0.96060354,0.91326153,5.1438346,0.714539,-0.551743,0.5373466,0.75964683,0.014743178,0.019774001,0.054485306,0.017901216,0.09982833,0.4909068,0.6032782,0.62958264,0.61393297,0.5936247,0.18896055,0.085538045
2017-05-11,0.93017167,0.9393331,0.8946379,5.0022926,0.6991951,-0.550749,0.51890826,0.7412488,0.015542085,0.021220276,0.056297217,0.021096459,0.10395693,0.48454288,0.59471965,0.6196964,0.60626006,0.58742094,0.1950213,0.09097232
2017-05-12,0.91237104,0.91267216,0.87053585,4.798542,0.675797,-0.5496597,0.49255416,0.7138676,0.016774934,0.023383347,0.058949653,0.025514316,0.11027711,0.4759667,0.5829648,0.60753363,0.59632355,0.579585,0.20407312,0.09926545
2017-05-13,0.89006275,0.8813096,0.841664,4.541675,0.6455881,-0.54848105,0.45954996,0.6789537,0.018365694,0.02614967,0.062316183,0.031002512,0.1184293,0.465503,0.5684741,0.5933992,0.58442986,0.570321,0.21562392,0.10993749
2017-05-14,0.8638788,0.8459344,0.80873096,4.2407846,0.609812,-0.5472185,0.4211614,0.6379576,0.020238336,0.029405693,0.06627038,0.037408777,0.12805398,0.45347664,0.5517082,0.57759815,0.5708855,0.559833,0.22918163,0.12250847
2017-05-15,0.8344509,0.80723536,0.77244526,3.9049633,0.5697123,-0.54587793,0.3786542,0.59232974,0.02231683,0.03303787,0.070685826,0.044580832,0.13879156,0.4402124,0.5331276,0.56043524,0.5559967,0.5483248,0.24425419,0.13649844
2017-05-16,0.80241096,0.7659013,0.73351544,3.543304,0.52653223,-0.54446507,0.33329412,0.5435206,0.024525147,0.03693265,0.07543609,0.052366406,0.15028253,0.42603505,0.5131927,0.5422154,0.5400701,0.5360006,0.26034948,0.15142743
2017-05-17,0.7683907,0.7226212,0.6926502,3.1648993,0.48151556,-0.54298556,0.28634685,0.4929808,0.026787259,0.04097649,0.08039475,0.060613222,0.16216731,0.41126943,0.49236417,0.5232436,0.52341205,0.5230643,0.27697548,0.16681549
2017-05-18,0.733022,0.6780839,0.65055805,2.7788422,0.43590567,-0.54144514,0.23907809,0.44216067,0.029027132,0.04505584,0.085435376,0.069169015,0.17408638,0.39624032,0.47110236,0.5038247,0.50632894,0.50972,0.2936401,0.18218267
2017-05-19,0.69693667,0.6329783,0.6079476,2.3942251,0.39094612,-0.5398496,0.19275358,0.39251077,0.031168742,0.04905715,0.09043154,0.0778815,0.18568017,0.38127252,0.44986787,0.48426363,0.48912722,0.49617162,0.30985126,0.19704899
2017-05-20,0.66076654,0.58799326,0.56552744,2.0201406,0.3478804,-0.5382046,0.14863905,0.34548157,0.033136055,0.05286687,0.09525682,0.08659841,0.19658913,0.36669084,0.42912123,0.4648653,0.4721133,0.48262322,0.32511687,0.21093449
2017-05-21,0.6251434,0.54381764,0.5240061,1.6656818,0.307952,-0.5365159,0.10800023,0.30252355,0.03485305,0.056371454,0.0997848,0.095167466,0.20645371,0.35282007,0.4093229,0.4459346,0.45559365,0.46927878,0.33894488,0.22335924
2017-05-22,0.59069914,0.50114036,0.48409224,1.3399413,0.27240446,-0.5347892,0.0721028,0.26508722,0.036243685,0.059457358,0.10388903,0.1034364,0.21491437,0.339985,0.3909334,0.42777646,0.43987465,0.4563423,0.35084322,0.23384325
2017-05-23,0.5580655,0.46065024,0.44649443,1.0520116,0.24248128,-0.5330303,0.042212516,0.23462303,0.037231937,0.062011026,0.10744311,0.111252934,0.22161154,0.32851046,0.37441328,0.41069573,0.42526275,0.44401783,0.3603198,0.24190658
2017-05-24,0.5278743,0.42303622,0.4119212,0.8109855,0.21942598,-0.53124475,0.019595083,0.21258147,0.03774178,0.06391891,0.11032059,0.1184648,0.2261857,0.3187212,0.360223,0.39499742,0.41206437,0.43250936,0.36688253,0.24706927
2017-05-25,0.5007574,0.38898712,0.3810812,0.62595576,0.20448205,-0.52943844,0.005516227,0.20041305,0.037697177,0.06506748,0.11239506,0.12491972,0.22827727,0.31094205,0.3488231,0.38098633,0.40058595,0.42202085,0.37003937,0.24885134
2017-05-26,0.47734666,0.3591919,0.35468298,0.50601506,0.19889301,-0.52761704,0.0012416684,0.19956824,0.037022106,0.06534316,0.1135401,0.13046542,0.22752672,0.30549783,0.3406741,0.36896744,0.3911339,0.41275638,0.36929822,0.24677286
2017-05-27,0.45800182,0.33436173,0.334371,0.4559807,0.20350769,-0.518396,0.006999617,0.20978454,0.034867585,0.064498425,0.11370068,0.13498302,0.22455381,0.30445448,0.33798766,0.3601347,0.3853701,0.40551233,0.3592129,0.2380258
2017-05-28,0.44527063,0.3184234,0.32340506,0.48911366,0.21687339,-0.50366616,0.02059669,0.22780599,0.031543713,0.06268729,0.11279309,0.13780516,0.22043502,0.30820686,0.34144208,0.35597098,0.38433444,0.40098444,0.34246916,0.22486167
2017-05-29,0.44306678,0.31688896,0.32491684,0.6271724,0.23678134,-0.497346,0.03966622,0.2505929,0.028713081,0.060398515,0.11064782,0.13795686,0.21549596,0.31457302,0.34919775,0.35721445,0.38740048,0.39922577,0.33077285,0.21438979
2017-05-30,0.45116916,0.3285694,0.33778986,0.8261452,0.25982404,-0.5001565,0.06120611,0.27530375,0.026683943,0.057910066,0.10782497,0.13563159,0.21025012,0.32361087,0.3603144,0.36344326,0.39459738,0.40158418,0.32554054,0.20765108
2017-05-31,0.46617725,0.34796742,0.3581814,1.0274221,0.28396565,-0.50351316,0.08370204,0.30102503,0.024662357,0.055196583,0.10499795,0.13179705,0.20499411,0.33640844,0.37474528,0.37341487,0.4059695,0.40890515,0.3203786,0.20095047
2017-06-01,0.48723558,0.37413266,0.38513377,1.2308646,0.30905506,-0.5073764,0.107019015,0.32760903,0.0226576,0.05229184,0.10216726,0.12663952,0.19972807,0.3523289,0.39199123,0.38663653,0.4209129,0.4204881,0.3152775,0.1942933
2017-06-02,0.5134886,0.4061148,0.41768935,1.4363343,0.33494112,-0.5117066,0.13102204,0.35490796,0.02067895,0.04922962,0.09933341,0.12034533,0.19445218,0.3707354,0.41155294,0.4026155,0.43882367,0.4356324,0.31022766,0.1876849
2017-06-03,0.5440808,0.44296348,0.4548905,1.6436924,0.36147258,-0.51646423,0.15557608,0.38277414,0.018735688,0.046043687,0.096496895,0.11310081,0.18916664,0.39099115,0.4329312,0.420859,0.45909792,0.4536375,0.3052196,0.18113057
2017-06-04,0.5781567,0.48372835,0.49577948,1.8528003,0.38849837,-0.5216097,0.18054618,0.4110598,0.01683709,0.042767823,0.09365822,0.105092265,0.1838716,0.41245937,0.4556268,0.44087434,0.48113173,0.47380286,0.30024374,0.17463566
2017-06-05,0.61486083,0.52745914,0.5393987,2.0635195,0.41586724,-0.5271035,0.2057973,0.43961725,0.014992437,0.039435804,0.09081787,0.09650601,0.17856723,0.4345032,0.47914043,0.46216872,0.50432116,0.49542785,0.2952906,0.16820547
2017-06-06,0.6533376,0.5732054,0.5847905,2.2757115,0.4434281,-0.53290594,0.23119445,0.4682987,0.013211007,0.036081403,0.08797637,0.087528355,0.17325373,0.45648584,0.5029729,0.48424938,0.5280624,0.5178119,0.2903506,0.16184533
2017-06-07,0.69273156,0.6200169,0.6309972,2.4892378,0.47102973,-0.53897756,0.25660264,0.49695644,0.011502078,0.0327384,0.08513419,0.07834563,0.16793126,0.47777045,0.526625,0.5066236,0.55175143,0.5402545,0.28541422,0.15556057
2017-06-08,0.7321872,0.66694313,0.6770611,2.7039595,0.49852097,-0.54527867,0.28188688,0.5254428,0.009874928,0.029440565,0.082291864,0.06914413,0.1626,0.49772027,0.5495974,0.52879864,0.5747844,0.5620549,0.28047192,0.14935651
2017-06-09,0.77084905,0.713034,0.7220246,2.919738,0.5257507,-0.5517698,0.30691212,0.5536099,0.008338836,0.02622168,0.07944986,0.06011018,0.15726012,0.51569843,0.571391,0.5502817,0.5965574,0.5825127,0.2755142,0.14323847
2017-06-10,0.8078615,0.75733894,0.76493,3.1364353,0.5525677,-0.55841124,0.33154342,0.58131015,0.006903081,0.023115514,0.07660871,0.0514301,0.1519118,0.53106815,0.59150636,0.5705801,0.6164665,0.6009272,0.27053145,0.13721178
2017-06-11,0.84236914,0.7989077,0.8048197,3.3539124,0.5788209,-0.56516355,0.35564572,0.60839576,0.005576942,0.020155847,0.073768884,0.043290198,0.14655522,0.54319257,0.60944444,0.58920103,0.63390785,0.61659783,0.26551422,0.13128176
2017-06-12,0.87351644,0.83678997,0.840736,3.5720305,0.604359,-0.5719871,0.37908408,0.634719,0.004369697,0.017376453,0.070930906,0.035876792,0.14119054,0.55143493,0.6247059,0.6056518,0.64827746,0.6288241,0.26045293,0.12545374
2017-06-13,0.90044785,0.8700354,0.8717212,3.7906516,0.62903094,-0.5788423,0.40172344,0.6601321,0.003290625,0.014811107,0.06809527,0.0293762,0.13581795,0.55515844,0.6367916,0.6194396,0.6589715,0.6369054,0.255338,0.119733036
2017-06-14,0.9223079,0.8976936,0.89681774,4.009637,0.65268546,-0.58568954,0.42342883,0.68448746,0.0023490044,0.012493586,0.06526246,0.023974732,0.13043761,0.5537262,0.64520216,0.6300717,0.66538596,0.640141,0.25016,0.11412497
2017-06-15,0.9382411,0.91881424,0.91506785,4.2288475,0.6751715,-0.5924893,0.44406524,0.7076372,0.0015541135,0.010457666,0.062432997,0.019858705,0.12504971,0.5465014,0.6494384,0.63705534,0.666917,0.63783056,0.24490935,0.10863487
2017-06-16,0.94798255,0.93355113,0.9255026,4.467548,0.69299555,-0.6002541,0.45994496,0.72434276,0.0015370918,0.0097033335,0.059613954,0.017155109,0.11913065,0.536041,0.6477678,0.63990635,0.66367495,0.63138217,0.23924004,0.10384306
2017-06-17,0.9515821,0.9411157,0.927558,4.7202425,0.7036009,-0.60864097,0.46820912,0.7311419,0.0025297282,0.010573847,0.056814294,0.015924247,0.11275757,0.52544373,0.64048666,0.63845986,0.656936,0.6230849,0.23327337,0.10032585
2017-06-18,0.94865614,0.93914413,0.9208839,4.9496555,0.7082412,-0.61557686,0.469966,0.7305515,0.0039422754,0.012117883,0.054037347,0.016252406,0.10683179,0.5148852,0.63013923,0.63270247,0.6478455,0.6135592,0.22770071,0.09808254
2017-06-19,0.9399244,0.9286491,0.90680814,5.088014,0.7057439,-0.61959964,0.46470052,0.7231787,0.005626336,0.01405709,0.05222947,0.018050984,0.10324818,0.50439644,0.6181737,0.62363786,0.63734955,0.60312355,0.22476463,0.09798431
2017-06-20,0.9267758,0.91273314,0.88740635,5.102517,0.69484293,-0.6208506,0.45184246,0.7086054,0.007782573,0.01668245,0.052188903,0.0210607,0.10302052,0.49389383,0.6045262,0.6124923,0.6257577,0.5917966,0.2258993,0.10066008
2017-06-21,0.9098307,0.8921671,0.86345,5.008346,0.6766522,-0.6196623,0.4324174,0.6878107,0.0103448285,0.019896645,0.053696778,0.025111824,0.10572841,0.48338115,0.58947253,0.5995859,0.6132605,0.5797487,0.23058346,0.10574575
2017-06-22,0.8897095,0.8677219,0.83571047,4.820681,0.6522855,-0.616367,0.40745094,0.6617736,0.013246945,0.023602355,0.056534234,0.030034628,0.11095147,0.47286227,0.5732885,0.5852388,0.60004854,0.5671503,0.23829591,0.112877205
2017-06-23,0.8670326,0.8401686,0.80495936,4.5547037,0.6228567,-0.6112972,0.37796873,0.6314733,0.016422765,0.02770226,0.060482416,0.03565938,0.1182693,0.4623409,0.55625004,0.56977105,0.58631223,0.554172,0.24851541,0.12169035
2017-06-24,0.84242046,0.81027794,0.77196795,4.225594,0.58947957,-0.60478526,0.3449963,0.5978887,0.019806132,0.032099046,0.06532245,0.04181635,0.12726152,0.45182085,0.53863287,0.5535028,0.5722422,0.5409841,0.26072073,0.13182108
2017-06-25,0.8164935,0.778821,0.73750776,3.8485332,0.55326796,-0.59716356,0.30955935,0.56199884,0.023330886,0.036695387,0.07083549,0.04833581,0.13750774,0.44130594,0.5207129,0.53675413,0.55802894,0.52775717,0.2743906,0.14290527
2017-06-26,0.7898721,0.7465687,0.70235026,3.4387019,0.51533574,-0.5887646,0.27268344,0.5247829,0.026930872,0.04139397,0.07680266,0.055048022,0.14858755,0.43079996,0.502766,0.5198452,0.5438629,0.5146616,0.28900385,0.15457883
2017-06-27,0.76317674,0.7142918,0.6672669,3.011281,0.4767967,-0.57992077,0.23539415,0.48721978,0.030539932,0.04609747,0.083005115,0.061783265,0.1600806,0.42030665,0.485068,0.50309604,0.52993464,0.5018679,0.3040392,0.16647765
2017-06-28,0.73702776,0.68276143,0.6330291,2.5814514,0.43876466,-0.57096446,0.19871713,0.45028862,0.03409191,0.050708573,0.08922397,0.0683718,0.17156647,0.40982988,0.4678947,0.48682684,0.5164347,0.4895465,0.31897542,0.17823763
2017-06-29,0.7120456,0.65274847,0.6004084,2.1643937,0.40235353,-0.5622281,0.16367798,0.41496846,0.037520643,0.055129956,0.095240384,0.07464391,0.18262479,0.3993734,0.45152193,0.47135767,0.5035536,0.47786787,0.3332913,0.18949464
