date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-05-26,0.4632716,0.34157094,0.34241265,0.53741586,0.20881554,-0.5180394,0.012206767,0.21334065,0.03408202,0.06363833,0.112606905,0.13360827,0.22403,0.30758706,0.34228453,0.36426088,0.3885916,0.40810874,0.35709104,0.23714735
2017-05-27,0.46047068,0.33826873,0.34001032,0.55855805,0.2153641,-0.5138186,0.018295132,0.22190863,0.03311414,0.06303489,0.11221471,0.13417935,0.22216266,0.30933177,0.34413883,0.36322758,0.38890514,0.40644678,0.35173026,0.23225185
2017-05-28,0.45866862,0.33621702,0.33847874,0.5774719,0.22120848,-0.51027745,0.023605354,0.22949924,0.032354902,0.062552445,0.11188874,0.13452742,0.22054347,0.3109282,0.3458788,0.36252826,0.3893991,0.40511465,0.34723577,0.22803946
2017-05-29,0.457804,0.3353389,0.33776444,0.59429437,0.226392,-0.50737417,0.028185273,0.23617256,0.031791482,0.062183544,0.11162491,0.13466616,0.21915717,0.3123855,0.34751153,0.36214244,0.3900624,0.40409207,0.3435543,0.22446813
2017-05-30,0.4578154,0.3355575,0.33781382,0.60916245,0.23095794,-0.50506705,0.03208272,0.24198867,0.031411055,0.06192075,0.11141918,0.13460928,0.2179885,0.31371275,0.34904405,0.36204955,0.3908839,0.40335876,0.34063262,0.22149591
2017-05-31,0.45864144,0.33679596,0.3385734,0.62221307,0.23494959,-0.5033142,0.035345536,0.24700768,0.03120079,0.06175663,0.11126745,0.1343705,0.21702223,0.31491908,0.35048333,0.36222908,0.39185256,0.40289444,0.33841744,0.21908078
2017-06-01,0.46022072,0.33897743,0.3399896,0.6335833,0.23841023,-0.50207394,0.03802155,0.25128967,0.031147867,0.06168374,0.111165665,0.13396353,0.21624307,0.3160136,0.35183644,0.36266047,0.39295727,0.40267885,0.33685556,0.21718077
2017-06-02,0.46249184,0.34202498,0.34200895,0.6434101,0.24138315,-0.50130445,0.0401586,0.25489467,0.031239457,0.06169465,0.11110975,0.13340208,0.21563578,0.31700543,0.3531104,0.3633232,0.39418694,0.4026917,0.33589366,0.21575388
2017-06-03,0.46539336,0.34586182,0.34457788,0.6518305,0.24391165,-0.5009639,0.041804522,0.25788283,0.031462733,0.06178192,0.11109563,0.13269986,0.21518512,0.3179037,0.3543122,0.36419675,0.3955305,0.4029127,0.33547854,0.21475811
2017-06-04,0.4688639,0.350411,0.34764287,0.6589814,0.24603899,-0.5010106,0.04300715,0.2603142,0.03180487,0.06193811,0.11111923,0.1318706,0.21487582,0.31871748,0.35544893,0.36526057,0.39697683,0.40332162,0.33555695,0.21415149
