date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-04-30,0.6169759,0.27095547,0.28979564,1.1019181,0.34087372,-0.5566737,0.08209149,0.29483578,9.921469e-06,5.0112367e-06,7.4204295e-06,8.0569625e-06,1.3538977e-05,2.1411402e-05,2.4186944e-05,2.3279248e-05,2.678825e-05,3.399277e-05,2.0650874e-05,1.4591891e-05
2017-05-01,0.59472275,0.2533227,0.2800515,1.0728621,0.33321685,-0.543207,0.0774459,0.2820191,1.2231475e-05,5.821304e-06,8.330044e-06,9.281718e-06,1.4924593e-05,2.288354e-05,2.5764537e-05,2.402075e-05,2.830078e-05,3.7617832e-05,2.161604e-05,1.5784135e-05
2017-05-02,0.57246965,0.23568988,0.27030736,1.0438062,0.32555997,-0.5297403,0.07280032,0.26920244,1.45414815e-05,6.6313714e-06,9.2396585e-06,1.0506474e-05,1.631021e-05,2.4355677e-05,2.7342132e-05,2.4762252e-05,2.9813307e-05,4.1242893e-05,2.2581207e-05,1.6976379e-05
2017-05-03,0.5502165,0.21805708,0.2605632,1.0147504,0.3179031,-0.51627356,0.06815474,0.2563858,1.6851487e-05,7.4414384e-06,1.0149273e-05,1.1731229e-05,1.7695827e-05,2.5827814e-05,2.8919725e-05,2.5503752e-05,3.1325835e-05,4.4867957e-05,2.3546374e-05,1.8168623e-05
2017-05-04,0.52796334,0.20042427,0.25081906,0.9856944,0.31024623,-0.5028069,0.06350915,0.24356912,1.9161493e-05,8.251505e-06,1.1058887e-05,1.2955985e-05,1.9081444e-05,2.729995e-05,3.049732e-05,2.6245254e-05,3.2838365e-05,4.849302e-05,2.4511543e-05,1.9360867e-05
2017-05-05,0.50571024,0.18279147,0.24107492,0.95663846,0.30258936,-0.48934016,0.05886357,0.23075245,2.1471498e-05,9.061573e-06,1.1968502e-05,1.418074e-05,2.046706e-05,2.8772087e-05,3.2074913e-05,2.6986756e-05,3.435089e-05,5.211808e-05,2.547671e-05,2.055311e-05
2017-05-06,0.4834571,0.16515867,0.23133078,0.9275825,0.29493248,-0.47587344,0.054217987,0.21793579,2.3781504e-05,9.87164e-06,1.2878117e-05,1.5405496e-05,2.1852677e-05,3.0244224e-05,3.3652508e-05,2.7728258e-05,3.586342e-05,5.5743145e-05,2.6441876e-05,2.1745354e-05
2017-05-07,0.46120393,0.14752588,0.22158663,0.8985266,0.28727558,-0.46240672,0.0495724,0.20511913,2.6091511e-05,1.0681707e-05,1.37877305e-05,1.663025e-05,2.3238294e-05,3.171636e-05,3.5230103e-05,2.846976e-05,3.737595e-05,5.9368205e-05,2.7407043e-05,2.2937598e-05
2017-05-08,0.4389508,0.12989306,0.21184249,0.86947066,0.2796187,-0.44894,0.04492682,0.19230247,2.8401517e-05,1.1491774e-05,1.4697345e-05,1.7855007e-05,2.462391e-05,3.31885e-05,3.6807694e-05,2.9211262e-05,3.8888476e-05,6.299327e-05,2.837221e-05,2.4129842e-05
2017-05-09,0.41669765,0.11226027,0.20209834,0.84041476,0.27196184,-0.4354733,0.040281236,0.1794858,3.0711522e-05,1.2301842e-05,1.560696e-05,1.9079762e-05,2.6009528e-05,3.4660636e-05,3.838529e-05,2.9952764e-05,4.0401006e-05,6.661833e-05,2.9337378e-05,2.5322086e-05
2017-05-10,0.39444453,0.09462746,0.1923542,0.8113588,0.26430497,-0.42200658,0.03563565,0.16666913,3.302153e-05,1.3111909e-05,1.6516575e-05,2.0304518e-05,2.7395143e-05,3.6132773e-05,3.9962884e-05,3.0694264e-05,4.1913536e-05,7.02434e-05,3.0302544e-05,2.651433e-05
2017-05-11,0.3721914,0.076994665,0.18261006,0.7823029,0.2566481,-0.4085399,0.030990068,0.15385246,3.5331534e-05,1.3921976e-05,1.7426188e-05,2.1529273e-05,2.878076e-05,3.760491e-05,4.154048e-05,3.1435768e-05,4.3426062e-05,7.3868454e-05,3.126771e-05,2.7706574e-05
2017-05-12,0.34993824,0.05936186,0.17286591,0.75324696,0.24899122,-0.39507318,0.026344484,0.1410358,3.764154e-05,1.4732043e-05,1.8335802e-05,2.275403e-05,3.0166377e-05,3.9077044e-05,4.311807e-05,3.2177268e-05,4.493859e-05,7.749352e-05,3.2232878e-05,2.8898818e-05
2017-05-13,0.32768512,0.04172906,0.16312177,0.72419107,0.24133435,-0.38160646,0.021698901,0.12821913,3.9951545e-05,1.554211e-05,1.9245417e-05,2.3978786e-05,3.1551994e-05,4.054918e-05,4.4695666e-05,3.291877e-05,4.645112e-05,8.111858e-05,3.3198045e-05,3.0091061e-05
2017-05-14,0.30543196,0.024096256,0.15337762,0.6951351,0.23367748,-0.36813974,0.017053317,0.11540247,4.2261552e-05,1.6352178e-05,2.0155032e-05,2.520354e-05,3.293761e-05,4.202132e-05,4.627326e-05,3.366027e-05,4.7963647e-05,8.4743646e-05,3.416321e-05,3.1283304e-05
2017-05-15,0.28317884,0.0064634546,0.14363348,0.6660792,0.22602059,-0.35467303,0.012407733,0.1025858,4.4571556e-05,1.7162245e-05,2.1064647e-05,2.6428297e-05,3.4323228e-05,4.3493455e-05,4.7850855e-05,3.440177e-05,4.9476177e-05,8.836871e-05,3.5128378e-05,3.247555e-05
2017-05-16,0.2626209,-0.010016056,0.1346223,0.6386623,0.2188091,-0.3419266,0.00800196,0.09080432,4.670413e-05,1.7905277e-05,2.1906524e-05,2.7562943e-05,3.561065e-05,4.4858465e-05,4.931195e-05,3.5089066e-05,5.088311e-05,9.173839e-05,3.602831e-05,3.3569875e-05
2017-05-17,0.24320589,-0.025567766,0.12611946,0.6126587,0.21197726,-0.32973513,0.003868597,0.07972603,4.871395e-05,1.8605526e-05,2.2700979e-05,2.8633327e-05,3.6825364e-05,4.614578e-05,5.06897e-05,3.5737554e-05,5.2211155e-05,9.491726e-05,3.6876816e-05,3.459869e-05
2017-05-18,0.22493002,-0.040194727,0.118123315,0.58806133,0.20552333,-0.31809467,6.69577e-06,0.06934694,5.0601397e-05,1.9263114e-05,2.3448165e-05,2.9639668e-05,3.7967617e-05,4.7355657e-05,5.1984378e-05,3.6347366e-05,5.346059e-05,9.790595e-05,3.767409e-05,3.5562185e-05
2017-05-19,0.20778726,-0.05390148,0.110631235,0.5648609,0.199445,-0.30700034,-0.0035849842,0.059661783,5.236707e-05,1.9878249e-05,2.4148336e-05,3.0582294e-05,3.903779e-05,4.8488502e-05,5.3196407e-05,3.6918715e-05,5.4631833e-05,0.000100705416,3.842039e-05,3.646069e-05
2017-05-20,0.1917694,-0.06669404,0.10363965,0.543046,0.19373934,-0.29644635,-0.006907973,0.050663978,5.401182e-05,2.0451223e-05,2.4801824e-05,3.146166e-05,4.003638e-05,4.954485e-05,5.4326363e-05,3.745187e-05,5.5725435e-05,0.00010331698,3.9116065e-05,3.7294645e-05
2017-05-21,0.17686597,-0.07857992,0.09714402,0.52260333,0.18840295,-0.28642604,-0.009964093,0.04234566,5.5536708e-05,2.0982421e-05,2.5409056e-05,3.2278327e-05,4.0964016e-05,5.052538e-05,5.5374978e-05,3.7947182e-05,5.6742087e-05,0.000105742256,3.9761544e-05,3.8064634e-05
2017-05-22,0.16306429,-0.0895681,0.09113889,0.50351745,0.18343179,-0.27693176,-0.012755454,0.034697678,5.694304e-05,2.1472317e-05,2.5970541e-05,3.303298e-05,4.1821462e-05,5.1430907e-05,5.634313e-05,3.840506e-05,5.768261e-05,0.0001079832,4.0357343e-05,3.877136e-05
2017-05-23,0.15034948,-0.09966908,0.0856178,0.48577076,0.17882131,-0.26795503,-0.015284458,0.027709572,5.8232352e-05,2.1921469e-05,2.6486881e-05,3.3726417e-05,4.2609594e-05,5.2262385e-05,5.7231853e-05,3.8825998e-05,5.8547972e-05,0.000110042114,4.0904066e-05,3.9415652e-05
2017-05-24,0.13870448,-0.108894795,0.08057338,0.46934378,0.17456634,-0.25948638,-0.0175538,0.021369595,5.9406404e-05,2.2330525e-05,2.6958765e-05,3.435956e-05,4.3329426e-05,5.3020907e-05,5.8042326e-05,3.9210547e-05,5.9339265e-05,0.0001119216,4.1402385e-05,3.999847e-05
