date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2022-01-06,0.6030199,0.21840385,0.20706975,0.76210994,0.2754843,-0.68212676,0.06428869,0.2573597,0.009575602,0.024182446,0.022201683,0.03327094,0.060032357,0.089601785,0.1056444,0.13395844,0.14195687,0.14447586,0.11723573,0.07874349
2022-01-07,0.5946143,0.22058387,0.20784181,0.7520754,0.2724938,-0.66978484,0.06551229,0.25817522,0.013259263,0.026652,0.025237614,0.036279242,0.06347777,0.09361347,0.11009325,0.13832724,0.14661704,0.14896314,0.12104432,0.081589974
2022-01-08,0.58638173,0.22275622,0.20858498,0.74212044,0.26953122,-0.65781265,0.06656338,0.25884122,0.01684372,0.029065173,0.028205622,0.039226506,0.06686178,0.09755629,0.11445968,0.14262542,0.15120238,0.15340911,0.12479593,0.08440905
2022-01-09,0.57832265,0.22491659,0.20929927,0.73225254,0.26659855,-0.6462094,0.067444175,0.25935912,0.020328593,0.03142116,0.031104904,0.042111695,0.07018251,0.10142773,0.11874126,0.14684995,0.15570949,0.15780844,0.12849002,0.087199144
2022-01-10,0.57043755,0.2270607,0.20998465,0.722479,0.26369777,-0.6349744,0.06815687,0.25973034,0.023713505,0.03371916,0.03393466,0.044933774,0.07343811,0.10522524,0.122935586,0.1509978,0.160135,0.1621558,0.13212606,0.08995869
2022-01-11,0.562727,0.22918424,0.21064112,0.7128072,0.26083094,-0.624107,0.06870367,0.25995636,0.026998077,0.035958376,0.036694095,0.047691718,0.076626696,0.108946316,0.12704024,0.15506597,0.1644755,0.16644588,0.13570355,0.09268611
2022-01-12,0.5551914,0.23128289,0.2112687,0.7032444,0.2580001,-0.61360645,0.06908676,0.26003855,0.030181931,0.038138,0.039382406,0.05038449,0.07974641,0.11258842,0.13105279,0.1590514,0.16872762,0.17067334,0.13922192,0.09537983
2022-01-13,0.54783136,0.23335236,0.21186736,0.693798,0.2552072,-0.603472,0.06930836,0.2599784,0.03326469,0.040257234,0.04199879,0.053011063,0.08279538,0.11614902,0.13497086,0.1629511,0.17288797,0.17483287,0.14268067,0.098038286
2022-01-14,0.5406473,0.23538835,0.21243714,0.68447536,0.25245434,-0.59370303,0.069370665,0.25977734,0.036245972,0.04231528,0.04454245,0.055570398,0.08577173,0.119625606,0.13879201,0.16676201,0.17695315,0.17891912,0.14607929,0.10065991
2022-01-15,0.53363985,0.23738655,0.21297799,0.6752838,0.24974348,-0.5842988,0.06927588,0.2594368,0.039125405,0.044311333,0.04701259,0.058061466,0.088673614,0.12301564,0.14251383,0.17048112,0.18091978,0.18292677,0.14941722,0.10324312
