date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-04-30,0.69284195,0.342451,0.32279378,1.2667514,0.37548316,-0.56333286,0.13070618,0.37556958,0.025410533,0.028130172,0.04729264,0.040879592,0.088585734,0.16692892,0.19101927,0.21049689,0.2173296,0.21986224,0.16414285,0.09704187
2017-05-27,0.9004708,0.60497767,0.59099936,3.420616,0.62707824,-0.5925341,0.38481796,0.67924595,0.0058390712,0.012936876,0.040040705,0.018322134,0.077308975,0.27759382,0.33825418,0.35043135,0.36014396,0.3654284,0.1540018,0.0658968
2017-06-19,0.93825144,0.6123264,0.59848034,5.2906313,0.7204831,-0.7029452,0.3893651,0.70116,0.0083948,0.009104421,0.02549322,0.01040446,0.053043544,0.25158942,0.33203626,0.33921772,0.35811862,0.3602198,0.14737202,0.058527734
2017-08-15,0.5460406,0.3598101,0.2479508,1.9172804,0.44243273,-0.34276316,0.21710794,0.39553854,0.10719457,0.07501708,0.08147751,0.0795403,0.10622476,0.19205265,0.23140277,0.21433935,0.24742992,0.30470222,0.15024042,0.11073618
2017-09-04,0.76602274,0.5840809,0.5169435,2.9867904,0.5758739,-0.515436,0.33305216,0.6148458,0.055319156,0.05074832,0.06690132,0.05607392,0.10063898,0.275043,0.34494781,0.3607051,0.37804848,0.3890491,0.18512607,0.094507135
2017-10-14,0.85244757,0.40520057,0.4046315,2.3011382,0.5244769,-0.6388186,0.26469892,0.60409856,1e-04,0.009054275,0.029330362,0.018614823,0.06771708,0.1775106,0.2136989,0.22578049,0.25154272,0.25013438,0.12959412,0.054635685
2017-10-17,0.50286067,0.33442232,0.26985925,0.8973926,0.30766615,-0.26326144,0.21161668,0.52746326,0.06498234,0.07204518,0.08536115,0.07469427,0.11243296,0.18395683,0.2123034,0.2268847,0.2502244,0.25310832,0.14799358,0.0701841
2017-11-03,0.75486124,0.32438275,0.31948647,1.3574404,0.38274583,-0.60850626,0.16356707,0.4656378,0.0111295935,0.015251394,0.03328315,0.026737597,0.07379781,0.13942057,0.16365118,0.18791671,0.20001632,0.19992387,0.13368793,0.067374796
2017-11-06,0.66372764,0.3039494,0.28585595,0.94653124,0.30953422,-0.5475762,0.143006,0.40234,0.03415351,0.029681861,0.043054976,0.040216614,0.087609224,0.14156596,0.16453475,0.18809095,0.20267591,0.20040157,0.13890879,0.07962697
2017-12-18,0.60935175,0.2666758,0.23567627,1.2364635,0.33238545,-0.5347057,0.1676981,0.36905438,0.0137276715,0.036147326,0.032122996,0.03598119,0.062016353,0.10576504,0.12742521,0.15352659,0.15892738,0.16450147,0.108216204,0.069505215
2018-01-27,0.38464814,0.21365517,0.1700322,0.5538045,0.19574985,-0.39465958,0.038002297,0.21240003,0.07858343,0.09232531,0.09359214,0.10183191,0.12716252,0.15727252,0.17512646,0.19625181,0.20331131,0.17114207,0.19011825,0.14471905
2018-02-01,0.3777313,0.27496386,0.18962045,0.44740593,0.17347386,-0.41747776,-0.0021694184,0.13303953,0.12511383,0.11411307,0.10665354,0.11569389,0.14992262,0.18356648,0.2018007,0.22559902,0.23332591,0.24905212,0.22894138,0.18357888
2018-02-06,0.28786042,0.18278857,0.12688257,0.3259952,0.12748222,0.26587737,0.5118925,0.61141133,0.099579275,0.10035168,0.08997071,0.08882668,0.10856057,0.12919079,0.13874671,0.15794687,0.15118194,0.1665839,0.050779648,0.037870347
2018-02-09,0.30784345,0.19142939,0.14233309,0.42396092,0.15494904,0.010860047,0.32338187,0.4557898,0.08837761,0.09532197,0.09392991,0.09421911,0.120864525,0.1479031,0.16205242,0.17312387,0.18390076,0.19839501,0.08829888,0.0646516
2018-02-14,0.44447193,0.20184363,0.18117675,0.61419845,0.20583364,-0.35490736,0.19599594,0.3827513,0.040396113,0.04814209,0.05130849,0.06070121,0.08643061,0.11382317,0.12974897,0.15447879,0.15693338,0.15963386,0.10378866,0.06875717
2018-02-16,0.34314233,0.20682806,0.16387123,0.4078079,0.15528968,-0.092067145,0.30049992,0.46162632,0.06965366,0.08359751,0.08338903,0.090706706,0.11704998,0.14199412,0.15819758,0.1819065,0.1840998,0.17873563,0.09753896,0.06674068
2018-03-01,0.45147106,0.18259831,0.17192815,0.6699485,0.22890548,-0.5580905,-0.024962489,0.1311854,0.020427242,0.035922684,0.04262533,0.054057926,0.07806556,0.10639919,0.12346846,0.14134675,0.15262575,0.1559064,0.15101059,0.10998705
2018-03-03,0.4430668,0.18022633,0.17502448,0.59497315,0.21403216,-0.590456,-0.08941995,0.10676038,0.022704186,0.032289483,0.045421496,0.057023544,0.08363493,0.11102088,0.12871498,0.14683488,0.15790848,0.15994698,0.17840102,0.11989434
