date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2022-01-10,0.14852291,1.4294086,0.11808039,0.15727428,0.072150975,0.9155364,0.93840533,0.93425953,0.37629604,0.34929967,0.2623014,0.2668845,0.30825198,0.3636612,0.3573203,0.36349982,0.3537802,0.36057627,0.011660462,0.012314307
2022-01-11,0.23284248,1.2241105,0.17106698,0.33776933,0.12736301,0.82489914,0.9085122,0.9142646,0.33171618,0.31011274,0.23031746,0.23101276,0.2743822,0.3447286,0.3439243,0.35569844,0.34584987,0.3589756,0.017031854,0.015703736
2022-01-12,0.31245127,1.0349135,0.22127114,0.50767934,0.17921503,0.7406269,0.8809531,0.8955826,0.28916445,0.2733056,0.20043634,0.19761057,0.24295418,0.32729805,0.3316121,0.34829715,0.3383777,0.3565379,0.02200359,0.01891707
2022-01-13,0.38403922,0.8669463,0.26630235,0.6604187,0.22586513,0.664688,0.8557134,0.8786471,0.25064692,0.2400342,0.17357005,0.16753355,0.21461548,0.31146604,0.32032844,0.34121287,0.33127514,0.35340258,0.026520949,0.0218176
2022-01-14,0.44429627,0.72533727,0.30377,0.7894017,0.2654714,0.599051,0.8327788,0.8638915,0.21816967,0.21145454,0.15063065,0.1416373,0.19001374,0.29732907,0.31001803,0.3343626,0.3244537,0.34970903,0.030529212,0.024268614
2022-01-15,0.48991233,0.61521506,0.33128363,0.88804257,0.29619196,0.54568434,0.81213456,0.8517494,0.19373883,0.18872261,0.13253015,0.120777406,0.16979657,0.28498363,0.30062568,0.3276632,0.31782487,0.3455966,0.033973664,0.026133403
2022-01-16,0.5175774,0.54170823,0.34645268,0.9497557,0.31618494,0.50655645,0.7937662,0.8426544,0.17936051,0.17299438,0.120180614,0.105809495,0.15461159,0.2745262,0.29209608,0.32103175,0.3113001,0.34120473,0.036799584,0.027275255
2022-01-17,0.52398133,0.5099453,0.34688658,0.9679554,0.3236084,0.4836359,0.7776592,0.83703995,0.17704079,0.16542584,0.11449404,0.097589165,0.1451064,0.26605332,0.284374,0.3143851,0.30479088,0.33667278,0.038952254,0.027557459
2022-01-18,0.5178684,0.51445526,0.33873388,0.9601317,0.32334703,0.4716798,0.7636362,0.8336452,0.18143098,0.16300935,0.11311632,0.09390243,0.13961042,0.25931603,0.27763903,0.3078555,0.2985157,0.3309521,0.04059759,0.027317753
2022-01-19,0.51028675,0.54126763,0.32988015,0.94834894,0.3215831,0.46397242,0.7515691,0.83094877,0.18584372,0.16188006,0.11299822,0.09186861,0.13592498,0.2539461,0.27204847,0.3016643,0.29274255,0.3233229,0.041938882,0.027001752
