date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-03-29,0.67262733,0.34005973,0.31260934,1.4261571,0.40023798,-0.2909598,0.46926415,0.67255074,0.031118758,0.037636198,0.04864905,0.046864018,0.08379809,0.1672367,0.18712811,0.21192178,0.2054141,0.19773157,0.07595121,0.041416172
2017-03-30,0.67081857,0.33924672,0.31224558,1.4159063,0.39874485,-0.29695252,0.46110758,0.6651379,0.030860143,0.037460145,0.048651896,0.047000505,0.08402062,0.1672036,0.18719235,0.21192959,0.20564497,0.19810385,0.07798101,0.042783212
2017-03-31,0.66867197,0.338519,0.3119865,1.404107,0.39702684,-0.30401608,0.45149526,0.65635777,0.030583207,0.037298523,0.048695993,0.047201276,0.08432764,0.16726317,0.1873771,0.2120972,0.20602617,0.19861066,0.08043948,0.044437844
2017-04-01,0.66623443,0.33786473,0.31181762,1.3909742,0.39511517,-0.3120018,0.4406294,0.6464002,0.030290492,0.037149336,0.048775613,0.047457404,0.08470742,0.1674025,0.18766563,0.21240242,0.20653684,0.19923337,0.08326708,0.046340123
2017-04-02,0.663553,0.33727202,0.31172433,1.3767229,0.39304107,-0.32076094,0.42871213,0.63545513,0.029984543,0.037010573,0.048885025,0.047759954,0.085148215,0.16760875,0.1880412,0.21282305,0.2071561,0.19995324,0.08640427,0.04845011
2017-04-03,0.66067445,0.33672908,0.31169212,1.3615683,0.39083576,-0.33014476,0.4159457,0.6237124,0.029667908,0.036880232,0.0490185,0.048100006,0.08563829,0.16786906,0.18848705,0.21333688,0.20786308,0.20075162,0.08979153,0.05072786
2017-04-04,0.65764576,0.33622402,0.31170642,1.3457255,0.38853052,-0.34000453,0.40253228,0.611362,0.02934313,0.03675631,0.049170308,0.048468627,0.08616593,0.16817054,0.18898648,0.21392176,0.20863687,0.20160978,0.0933693,0.053133424
2017-04-05,0.65451384,0.335745,0.31175274,1.3294096,0.38615656,-0.35019153,0.38867405,0.5985938,0.029012753,0.036636796,0.04933472,0.048856888,0.08671938,0.16850033,0.18952273,0.21455546,0.2094566,0.20250906,0.09707805,0.05562687
2017-04-06,0.65132564,0.3352802,0.3118165,1.3128355,0.3837451,-0.36055702,0.37457317,0.5855977,0.028679322,0.036519688,0.04950601,0.049255863,0.08728691,0.16884556,0.19007905,0.2152158,0.21030138,0.20343077,0.10085825,0.058168244
2017-04-07,0.64812803,0.3348178,0.31188318,1.2962184,0.38132742,-0.37095222,0.36043188,0.57256365,0.028345382,0.036402985,0.04967844,0.049656626,0.087856784,0.16919337,0.19063874,0.21588057,0.21115035,0.20435622,0.10465035,0.060717605
2017-04-08,0.644968,0.3343459,0.31193823,1.2797732,0.3789347,-0.38122848,0.34645233,0.5596815,0.028013479,0.036284674,0.04984629,0.050050244,0.08841728,0.16953088,0.19118503,0.21652758,0.21198261,0.20526673,0.108394824,0.063235015
2017-04-09,0.6418924,0.33385268,0.31196707,1.2637154,0.3765982,-0.39123696,0.3328367,0.54714113,0.027686154,0.036162756,0.05000383,0.05042779,0.08895665,0.16984524,0.19170119,0.21713465,0.21277729,0.20614359,0.11203214,0.065680526
2017-04-10,0.63894814,0.3333263,0.3119552,1.2482597,0.3743492,-0.40082902,0.3197872,0.5351326,0.027365958,0.03603522,0.050145324,0.05078034,0.08946316,0.17012355,0.19217049,0.21767958,0.2135135,0.20696811,0.11550274,0.06801419
2017-04-11,0.6361822,0.33275494,0.31188813,1.2336214,0.37221888,-0.4098559,0.30750602,0.5238457,0.02705543,0.035900068,0.05026505,0.051098965,0.08992507,0.17035297,0.19257617,0.21814016,0.21417034,0.20772164,0.1187471,0.07019608
2017-04-12,0.6336415,0.3321267,0.3117512,1.2200153,0.37023848,-0.41816884,0.29619533,0.5134703,0.026757117,0.03575529,0.050357275,0.05137473,0.09033067,0.17052062,0.19290152,0.2184942,0.21472695,0.20838544,0.12170568,0.07218623
2017-04-13,0.63137287,0.33142978,0.31152993,1.2076567,0.36843926,-0.42561913,0.28605732,0.5041964,0.026473563,0.035598885,0.05041627,0.051598717,0.0906682,0.17061363,0.1931298,0.21871951,0.21516246,0.20894086,0.12431895,0.07394472
2017-04-14,0.6298682,0.33054003,0.31107193,1.1988,0.36714858,-0.43064782,0.27921116,0.49801442,0.026231442,0.035409834,0.05038198,0.051677343,0.09081467,0.17049715,0.19308555,0.21858346,0.21525797,0.20919201,0.12596288,0.07505288
2017-04-15,0.6287871,0.32954335,0.31048262,1.1918852,0.36613995,-0.43433362,0.27419055,0.49354708,0.026012296,0.03520268,0.050295964,0.051675357,0.0908552,0.17026447,0.19289018,0.21824703,0.21516494,0.20927443,0.12706925,0.07580039
2017-04-16,0.6281529,0.32843387,0.30975482,1.1870186,0.36542878,-0.43660295,0.27109548,0.49088836,0.025817385,0.034976427,0.050155386,0.05158834,0.09078397,0.16990924,0.19253542,0.2176992,0.21487303,0.20917886,0.1276086,0.0761675
2017-04-17,0.6279636,0.3271044,0.30877566,1.1843151,0.36500823,-0.4363641,0.27112842,0.4911105,0.025666159,0.034735918,0.04995346,0.051405855,0.09057924,0.16939265,0.1919611,0.21685453,0.21430226,0.20883843,0.12726733,0.07595135
2017-04-18,0.62823576,0.32558918,0.3075806,1.1838062,0.36489132,-0.4339567,0.27392828,0.4938948,0.025552532,0.03447875,0.049690675,0.051128607,0.09024481,0.1687242,0.19118306,0.21573602,0.21347412,0.20827071,0.12613732,0.07521089
2017-04-19,0.62897885,0.32392168,0.30620435,1.1854943,0.3650862,-0.42971578,0.2791333,0.49892035,0.025470514,0.034202933,0.049368206,0.050758395,0.0897857,0.16791439,0.19021815,0.21436791,0.2124113,0.20749442,0.12431162,0.07400605
2017-04-20,0.63019526,0.32213444,0.30468112,1.1893524,0.36559615,-0.42397174,0.28638086,0.5058643,0.025414215,0.0339069,0.048987925,0.05029809,0.08920816,0.16697466,0.18908425,0.2127757,0.21113762,0.20652945,0.12188455,0.07239777
2017-04-21,0.6318803,0.32025915,0.30304453,1.195324,0.36641964,-0.41705048,0.29530782,0.51440173,0.025377842,0.033589505,0.048552394,0.04975165,0.08851966,0.16591747,0.18780024,0.2109861,0.2096781,0.20539682,0.1189516,0.07044797
2017-04-22,0.6340221,0.31832665,0.30132753,1.203323,0.36755025,-0.40927324,0.3055502,0.5242055,0.025355697,0.033250023,0.048064865,0.049124118,0.0877289,0.16475621,0.1863861,0.20902698,0.20805886,0.20411871,0.115609474,0.06821958
2017-04-23,0.63660187,0.3163669,0.2995625,1.2132342,0.36897674,-0.40095678,0.31674334,0.53494656,0.025342183,0.032888144,0.047529288,0.048421614,0.08684579,0.16350526,0.18486275,0.20692752,0.20630725,0.2027185,0.111956075,0.06577653
2017-04-24,0.63959366,0.314409,0.29778132,1.2249126,0.37068295,-0.39241317,0.32852194,0.5462936,0.025331797,0.032503985,0.046950296,0.047651343,0.085881494,0.16217998,0.1832522,0.20471808,0.20445174,0.20122066,0.10809053,0.06318371
2017-04-25,0.64296436,0.3124812,0.29601508,1.238184,0.37264797,-0.38395002,0.34051985,0.5579135,0.025319135,0.032098077,0.046333227,0.046821587,0.08484836,0.1607967,0.18157749,0.20243026,0.20252196,0.19965088,0.10411314,0.06050705
2017-04-26,0.64667386,0.31061083,0.29429448,1.2528447,0.37484592,-0.37587026,0.35237035,0.5694708,0.02529889,0.031671375,0.0456841,0.045941714,0.08376,0.15937275,0.17986266,0.20009688,0.20054875,0.19803596,0.10012545,0.05781345
2017-04-27,0.65067494,0.30882445,0.29264942,1.2686615,0.37724614,-0.36847228,0.36370593,0.5806281,0.025265852,0.031225247,0.045009635,0.045022175,0.08263122,0.15792637,0.17813282,0.19775195,0.19856404,0.19640385,0.09623017,0.0551708
2017-04-28,0.65491337,0.30714768,0.29110935,1.2853718,0.3798131,-0.36204988,0.37415838,0.5910459,0.025214909,0.030761493,0.04431724,0.0440745,0.08147808,0.15647681,0.17641403,0.19543077,0.19660099,0.1947837,0.09253126,0.052648004
2017-04-29,0.6593276,0.3056053,0.2897031,1.3026836,0.38250643,-0.35689235,0.38335884,0.6003826,0.025141045,0.030282322,0.043615013,0.043111306,0.08031783,0.15504433,0.17473347,0.1931698,0.19469388,0.1932058,0.089133844,0.05031494
2017-04-30,0.66384935,0.3042212,0.28845885,1.3202754,0.38528085,-0.35328427,0.39093763,0.60829467,0.025039343,0.02979037,0.04291175,0.042146284,0.07916898,0.15365013,0.1731193,0.19100678,0.19287814,0.19170156,0.086144276,0.048242502
