date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-03-29,0.6735604,0.3398242,0.31232017,1.4304341,0.40085912,-0.28800213,0.47328478,0.67632717,0.031169362,0.037596326,0.04853512,0.046686474,0.083564736,0.1669808,0.18679526,0.21148042,0.20499885,0.19735993,0.07476727,0.04062187
2017-04-18,0.6188175,0.3282512,0.31079942,1.1403065,0.358636,-0.46671382,0.23014282,0.45291966,0.024990039,0.034868665,0.05085928,0.052949343,0.09265908,0.17141123,0.19470365,0.2204196,0.21787955,0.21220087,0.13892372,0.08376928
2017-05-01,0.6684636,0.29921508,0.28339562,1.3424147,0.38793072,-0.31270155,0.43937224,0.65267074,0.025596015,0.02945344,0.04196272,0.040802374,0.07725441,0.15091603,0.1694398,0.18591307,0.1883196,0.18790013,0.07247618,0.03925824
2017-05-21,0.7538548,0.30473518,0.29370192,1.6345482,0.4417133,-0.5819714,0.21027204,0.47030476,0.017491773,0.018419454,0.030593537,0.025666937,0.06212714,0.13607767,0.15698701,0.17065123,0.17821923,0.1798786,0.11278482,0.062727064
2017-05-28,0.72183573,0.3217975,0.3158533,1.4131265,0.41014883,-0.49573392,0.27020139,0.5316362,0.012690721,0.018543724,0.03799103,0.032011315,0.076391585,0.15949444,0.18096524,0.1927912,0.20135558,0.20348361,0.11145899,0.059519533
2017-06-07,0.5402382,0.43817407,0.31390053,0.997205,0.31687146,-0.37101716,0.17564794,0.39747292,0.09958628,0.08252482,0.10295336,0.09711288,0.15317881,0.25043786,0.27748626,0.28145966,0.3015648,0.33444977,0.2039043,0.13065925
2017-06-30,0.8711128,0.42647475,0.41156307,2.5750613,0.5562991,-0.5331775,0.38130403,0.6426206,0.01082832,0.013555527,0.031215271,0.015855912,0.060702913,0.18279642,0.21252814,0.22520977,0.23168042,0.23163271,0.10008645,0.04858628
2017-07-30,0.8528458,0.41392314,0.40060398,2.914279,0.5827234,-0.51638293,0.41418326,0.66370744,0.008319427,0.01413197,0.030789694,0.018362503,0.059017465,0.18742675,0.22251555,0.22476074,0.24161182,0.2424996,0.0921025,0.04495878
2017-09-05,0.8992232,0.38963223,0.3927024,3.1476696,0.60622555,-0.60467094,0.42502105,0.69496477,0.000109591514,0.004133058,0.021001557,0.011337891,0.046717793,0.15926735,0.189366,0.20689368,0.20908916,0.21146464,0.08262622,0.036750823
2018-02-05,0.45267707,0.33156425,0.24560906,0.7255848,0.25659972,0.5697132,0.84564257,0.83710057,0.10132951,0.10270035,0.098914035,0.10864698,0.14436051,0.22010946,0.23384555,0.25962788,0.25201857,0.25679982,0.020833341,0.021681376
2018-02-20,0.56467164,0.29240304,0.26900828,1.2184763,0.36781168,0.21386252,0.75196505,0.7865109,0.026803516,0.049139977,0.06148855,0.06840032,0.10012156,0.1859954,0.20439267,0.21653359,0.2228846,0.24666971,0.029881753,0.02518935
2018-02-22,0.66022563,0.3010991,0.3015134,1.4443668,0.4048415,-0.16279349,0.7202353,0.7762588,0.015691059,0.028342085,0.041734643,0.054176796,0.09052047,0.17804582,0.19789316,0.21574697,0.21973905,0.2294728,0.033853643,0.026216825
2018-02-27,0.8696542,0.3442573,0.347804,29.461536,0.6350388,-0.7466331,0.61829865,0.6881563,0.0019522528,0.007175054,0.011684835,0.018049762,0.0430657,0.14012364,0.16534233,0.19080247,0.19099349,0.20775099,0.04390079,0.034368917
2018-03-27,0.62477237,0.3250144,0.30942214,2.219532,0.37993956,-0.18294723,0.5798723,0.718138,0.044738762,0.050809436,0.06625867,0.07304627,0.10918762,0.19633017,0.21618101,0.24271983,0.23664674,0.24874237,0.061005972,0.038043074
2018-04-01,0.6552999,0.3255301,0.31319365,1.603455,0.40135825,-0.26815975,0.57577217,0.73918116,0.029400546,0.051266234,0.066821985,0.073872186,0.11022702,0.1973981,0.21889037,0.24392168,0.23529005,0.25407872,0.060785852,0.033955988
2018-04-11,0.5231966,0.2956099,0.26153162,0.9983654,0.31303364,0.04635317,0.5806684,0.74885696,0.054508667,0.07245089,0.08819629,0.08882822,0.12383056,0.20149243,0.21644697,0.23461379,0.22709583,0.24574083,0.058957882,0.031827442
2018-04-13,0.5392809,0.29454648,0.2712987,0.9773297,0.3095247,0.00066538854,0.5635935,0.7461497,0.060702346,0.06514025,0.0864202,0.08617465,0.12538885,0.20381883,0.21816537,0.23685157,0.22986376,0.24327347,0.06288704,0.03269615
2018-04-23,0.59861445,0.2895819,0.2674644,1.0567737,0.33707285,-0.25054088,0.38238305,0.60135293,0.039718486,0.038919687,0.05424608,0.05142988,0.08927447,0.15962796,0.176089,0.19157901,0.19275874,0.1866285,0.08572359,0.047857694
2018-05-06,0.70401734,0.26929188,0.2632634,1.3989025,0.40641573,-0.529769,0.20810068,0.463292,0.015182025,0.01750566,0.03242433,0.028600438,0.064298004,0.13154647,0.15020207,0.15811907,0.16922677,0.16979784,0.10509355,0.059350982
