date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-04-24,0.18804851,0.08884969,0.08832165,0.1600988,0.07375604,-0.5009399,-0.18423173,-0.098275766,0.040147886,0.053345367,0.07720027,0.109365724,0.12867694,0.13832541,0.14904946,0.15960543,0.16531688,0.16953264,0.23118499,0.19423014
2017-04-25,0.2037956,0.1021786,0.10043996,0.20819962,0.08549458,-0.49980915,-0.17175941,-0.08175751,0.03990017,0.053051427,0.07729773,0.10783822,0.12857585,0.14318694,0.15492043,0.16539377,0.17103769,0.17528257,0.23081912,0.19236663
2017-04-26,0.21954268,0.11550752,0.11255826,0.25630042,0.097233124,-0.49867842,-0.15928711,-0.06523925,0.039652452,0.052757483,0.07739519,0.106310725,0.12847477,0.14804846,0.1607914,0.1711821,0.1767585,0.1810325,0.23045324,0.19050312
2017-04-27,0.23528975,0.12883644,0.12467657,0.30440122,0.10897166,-0.49754766,-0.1468148,-0.048720993,0.039404735,0.052463543,0.077492654,0.10478322,0.12837368,0.15291,0.16666237,0.17697044,0.1824793,0.18678242,0.23008737,0.18863961
2017-04-28,0.25103685,0.14216535,0.13679488,0.35250205,0.12071021,-0.4964169,-0.13434248,-0.032202736,0.039157018,0.0521696,0.07759011,0.10325573,0.12827261,0.15777151,0.17253333,0.18275878,0.18820013,0.19253235,0.22972149,0.1867761
2017-04-29,0.26678392,0.15549426,0.14891319,0.40060285,0.13244875,-0.49528617,-0.121870175,-0.015684478,0.0389093,0.05187566,0.07768757,0.10172822,0.12817152,0.16263305,0.17840432,0.1885471,0.19392094,0.19828227,0.22935562,0.18491259
2017-04-30,0.282531,0.16882317,0.16103148,0.44870365,0.14418729,-0.4941554,-0.10939786,0.0008337789,0.038661584,0.051581714,0.07778503,0.10020073,0.12807044,0.16749457,0.18427528,0.19433545,0.19964175,0.2040322,0.22898975,0.18304908
2017-05-01,0.2982781,0.18215208,0.1731498,0.49680445,0.15592584,-0.49302465,-0.09692555,0.017352037,0.038413867,0.051287774,0.07788249,0.098673224,0.12796935,0.1723561,0.19014625,0.20012379,0.20536256,0.20978212,0.22862387,0.18118557
2017-05-02,0.31402516,0.19548099,0.1852681,0.54490525,0.16766438,-0.49189392,-0.08445324,0.033870295,0.03816615,0.05099383,0.07797995,0.09714573,0.12786828,0.17721762,0.19601722,0.20591211,0.21108337,0.21553205,0.228258,0.17932206
2017-05-03,0.32977226,0.20880991,0.19738641,0.5930061,0.17940292,-0.49076316,-0.07198093,0.050388552,0.037918434,0.05069989,0.07807741,0.095618226,0.12776719,0.18207915,0.20188819,0.21170045,0.21680418,0.22128198,0.22789212,0.17745855
2017-05-04,0.34551933,0.22213882,0.20950472,0.64110684,0.19114146,-0.4896324,-0.059508618,0.06690681,0.037670717,0.050405946,0.07817487,0.09409073,0.12766612,0.18694067,0.20775916,0.21748878,0.222525,0.22703189,0.22752625,0.17559505
2017-05-05,0.3612664,0.23546773,0.22162303,0.6892077,0.20288001,-0.48850167,-0.047036305,0.08342507,0.037423,0.050112005,0.07827233,0.09256323,0.12756503,0.1918022,0.21363012,0.22327712,0.22824581,0.23278181,0.22716038,0.17373154
2017-05-06,0.3770135,0.24879664,0.23374133,0.73730844,0.21461855,-0.4873709,-0.034563996,0.099943325,0.037175283,0.04981806,0.07836979,0.09103573,0.12746395,0.19666374,0.2195011,0.22906546,0.23396662,0.23853174,0.2267945,0.17186803
2017-05-07,0.39276057,0.26212555,0.24585964,0.7854093,0.22635709,-0.48624015,-0.022091683,0.11646158,0.036927566,0.04952412,0.07846725,0.08950823,0.12736286,0.20152526,0.22537206,0.23485379,0.23968743,0.24428166,0.22642863,0.17000452
2017-05-08,0.40850767,0.27545446,0.25797796,0.83351004,0.23809563,-0.48510942,-0.009619372,0.13297984,0.03667985,0.049230177,0.07856471,0.08798073,0.12726179,0.20638679,0.23124304,0.24064213,0.24540824,0.2500316,0.22606274,0.168141
2017-05-09,0.42425475,0.28878337,0.27009624,0.8816109,0.24983418,-0.48397866,0.0028529398,0.14949809,0.036432132,0.048936237,0.07866217,0.08645323,0.1271607,0.21124831,0.23711401,0.24643047,0.25112906,0.2557815,0.22569688,0.1662775
