date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-04-24,0.18804851,0.08884969,0.08832165,0.16009882,0.07375604,-0.5009399,-0.18423173,-0.098275766,0.040147886,0.053345367,0.07720027,0.109365724,0.12867694,0.13832541,0.14904946,0.15960543,0.16531688,0.16953264,0.23118499,0.19423014
2017-05-27,0.7077022,0.5287038,0.4882258,1.7474253,0.46112794,-0.46362516,0.22735454,0.44682673,0.031973224,0.043645278,0.08041645,0.058958244,0.12534122,0.2987558,0.34279147,0.3506205,0.35410365,0.35928017,0.21911114,0.13273431
2017-06-06,0.8147222,0.63702357,0.60098743,2.7307873,0.571065,-0.4739529,0.37083116,0.6141008,0.019634936,0.030266315,0.06484875,0.039525885,0.10851359,0.33086342,0.40220863,0.3995934,0.41347122,0.41616696,0.18148035,0.09396866
2017-10-14,0.77106225,0.5285553,0.46831724,1.4539539,0.41969216,-0.42747068,0.20987163,0.47112012,0.035268452,0.03935277,0.07799216,0.038141664,0.1240136,0.28124562,0.30447814,0.29905704,0.3160746,0.31608394,0.19422841,0.106667005
2017-11-03,0.46369132,0.6023938,0.42131183,0.8112582,0.2783847,-0.25464824,0.16764757,0.26553667,0.27641228,0.19687277,0.25273523,0.22407413,0.3315626,0.52700615,0.5662605,0.5619168,0.59739625,0.6628974,0.40813085,0.34225345
2018-01-14,0.6418001,0.46647838,0.42135823,0.93782204,0.31879893,-0.26379943,0.3874144,0.5390954,0.034175307,0.052617323,0.08236032,0.06985874,0.15185352,0.26770124,0.29421467,0.32122508,0.31899163,0.3221811,0.14141516,0.095756546
2018-02-13,0.41653296,0.29467705,0.2588079,0.47448578,0.19099869,-0.2744349,0.21095245,0.40808123,0.06390759,0.07863415,0.10047002,0.111582704,0.16796196,0.22869352,0.24723859,0.27080864,0.26741436,0.2837156,0.176357,0.11371297
2018-02-16,0.45162144,0.2684764,0.25439665,0.5118385,0.20286714,-0.3730373,0.18397507,0.4169478,0.034936093,0.05316658,0.07476316,0.08979862,0.14174148,0.19745685,0.21383047,0.237734,0.23428622,0.2592698,0.1634079,0.0974598
2018-02-23,0.31494534,0.2293077,0.19553153,0.39224505,0.16385044,-0.35700035,0.027610663,0.16314971,0.08205108,0.09592907,0.11645109,0.13561803,0.1762842,0.22476584,0.24505588,0.25979412,0.26563066,0.27420586,0.24805883,0.18941869
2018-02-28,0.25990516,0.19705485,0.17083658,0.2945405,0.12753737,-0.4229327,-0.071091905,0.06870249,0.09277395,0.11292034,0.13777289,0.17155303,0.21247178,0.2520057,0.2720035,0.28702742,0.29794616,0.29909298,0.3279323,0.24751906
2018-03-08,0.21060707,0.17304672,0.14085017,0.2975919,0.1290276,-0.30060637,0.00610556,0.132599,0.18350679,0.1282989,0.1491213,0.182883,0.22351794,0.26311773,0.28944534,0.2792056,0.3216127,0.3948823,0.27564484,0.21552813
2018-03-15,0.22575672,0.12614235,0.11654109,0.26973,0.11806973,-0.350483,0.012294654,0.18886386,0.06382548,0.07108229,0.08658932,0.11740023,0.14756726,0.16977262,0.18696448,0.18653592,0.2089641,0.21630552,0.18312304,0.12814665
2018-03-25,0.17607224,0.108118035,0.09445835,0.15711324,0.072604045,-0.22065789,0.07183249,0.26271835,0.0887203,0.08979775,0.10566912,0.13415812,0.16138503,0.17437005,0.18657345,0.19143234,0.20193632,0.2176997,0.16556352,0.111515224
2018-04-07,0.28053802,0.1549654,0.14494002,0.30663416,0.13188466,-0.49579996,-0.12581538,-0.011982801,0.059071057,0.0645896,0.0839835,0.108788796,0.13483024,0.16094221,0.17564523,0.1929814,0.19566743,0.19306596,0.2482904,0.1975496
2018-04-09,0.26561278,0.16031969,0.14967419,0.27742648,0.12063926,-0.48154303,-0.13219188,-0.020248879,0.067010425,0.07404918,0.09953693,0.1266106,0.16020344,0.18804376,0.20382495,0.21749978,0.22457442,0.2273299,0.28372088,0.2267241
2018-04-12,0.27356404,0.1532432,0.13510759,0.32597286,0.13823737,-0.41058275,-0.07888798,0.037678797,0.06395832,0.07182374,0.08819868,0.102882385,0.1298163,0.15822615,0.17130351,0.17983617,0.18708277,0.18804651,0.21061842,0.16689335
2018-04-19,0.22829852,0.12640153,0.11859436,0.24651043,0.10874453,-0.4894926,-0.17919894,-0.08507362,0.061686646,0.06955247,0.09385433,0.1200393,0.14552876,0.16604054,0.18051594,0.18999259,0.19917391,0.20119359,0.2728756,0.22588874
2018-04-22,0.1832151,0.096053205,0.091982946,0.16412081,0.07450349,-0.4825689,-0.19506367,-0.14457157,0.050497655,0.06598304,0.09088771,0.12107288,0.14091726,0.1525403,0.16354133,0.17497689,0.17995216,0.18224335,0.2588453,0.23341416
2018-05-07,0.15406717,0.095984854,0.08653612,0.13114917,0.061254133,-0.4344269,-0.17753059,-0.15965891,0.06400817,0.09180396,0.11488105,0.14926963,0.16659325,0.17642646,0.18810846,0.20323758,0.20332375,0.20435041,0.2907752,0.2804504
