date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2023-01-01,,,,,,,,,,,,,,,,,,,,
2023-01-02,,,,,,,,,,,,,,,,,,,,
2023-01-03,,,,,,,,,,,,,,,,,,,,
2023-01-04,,,,,,,,,,,,,,,,,,,,
2023-01-05,,,,,,,,,,,,,,,,,,,,
2023-01-06,,,,,,,,,,,,,,,,,,,,
2023-01-07,,,,,,,,,,,,,,,,,,,,
2023-01-08,,,,,,,,,,,,,,,,,,,,
2023-01-09,,,,,,,,,,,,,,,,,,,,
2023-01-10,,,,,,,,,,,,,,,,,,,,
2023-01-11,,,,,,,,,,,,,,,,,,,,
2023-01-12,,,,,,,,,,,,,,,,,,,,
2023-01-13,,,,,,,,,,,,,,,,,,,,
2023-01-14,,,,,,,,,,,,,,,,,,,,
2023-01-15,0.05882412,0.049555413,0.025788657,0.094457366,0.044641823,0.09398014,0.13186088,0.162655,0.21022971,0.1363346,0.123350054,0.11809386,0.1317272,0.14420249,0.14392602,0.1326234,0.14656664,0.19408628,0.101627216,0.09568434
2023-01-16,,,,,,,,,,,,,,,,,,,,
2023-01-17,,,,,,,,,,,,,,,,,,,,
2023-01-18,,,,,,,,,,,,,,,,,,,,
2023-01-19,,,,,,,,,,,,,,,,,,,,
2023-01-20,,,,,,,,,,,,,,,,,,,,
2023-01-21,,,,,,,,,,,,,,,,,,,,
2023-01-22,,,,,,,,,,,,,,,,,,,,
2023-01-23,,,,,,,,,,,,,,,,,,,,
2023-01-24,,,,,,,,,,,,,,,,,,,,
2023-01-25,,,,,,,,,,,,,,,,,,,,
2023-01-26,,,,,,,,,,,,,,,,,,,,
2023-01-27,,,,,,,,,,,,,,,,,,,,
2023-01-28,,,,,,,,,,,,,,,,,,,,
2023-01-29,,,,,,,,,,,,,,,,,,,,
2023-01-30,0.1667647,0.07262848,0.07103947,0.13704583,0.06121655,-0.36388066,-0.053439844,0.062356927,0.02850462,0.04923097,0.069525994,0.09548212,0.11074969,0.11859286,0.12539898,0.13419126,0.13292934,0.12551855,0.14841287,0.11777828
2023-01-31,,,,,,,,,,,,,,,,,,,,
2023-02-01,0.23676582,0.09890355,0.097080864,0.25060183,0.0981635,-0.35914692,-0.0054595075,0.123525344,0.028139187,0.037906155,0.05909051,0.07590504,0.09386752,0.110700555,0.117364675,0.12731352,0.12644266,0.13047393,0.12556054,0.09645493
2023-02-02,,,,,,,,,,,,,,,,,,,,
2023-02-03,,,,,,,,,,,,,,,,,,,,
2023-02-04,,,,,,,,,,,,,,,,,,,,
2023-02-05,,,,,,,,,,,,,,,,,,,,
2023-02-06,,,,,,,,,,,,,,,,,,,,
2023-02-07,,,,,,,,,,,,,,,,,,,,
2023-02-08,,,,,,,,,,,,,,,,,,,,
2023-02-09,,,,,,,,,,,,,,,,,,,,
2023-02-10,,,,,,,,,,,,,,,,,,,,
2023-02-11,,,,,,,,,,,,,,,,,,,,
2023-02-12,,,,,,,,,,,,,,,,,,,,
2023-02-13,,,,,,,,,,,,,,,,,,,,
2023-02-14,0.25766405,0.116480246,0.11308293,0.28298166,0.11047387,-0.40032148,-0.047656577,0.070022434,0.034955397,0.04176381,0.06449653,0.080018125,0.10282331,0.12284742,0.13207528,0.1411517,0.14141266,0.14457685,0.15081935,0.11856588
2023-02-15,,,,,,,,,,,,,,,,,,,,
2023-02-16,,,,,,,,,,,,,,,,,,,,
2023-02-17,,,,,,,,,,,,,,,,,,,,
2023-02-18,,,,,,,,,,,,,,,,,,,,
2023-02-19,0.4437319,0.36281148,0.27403715,0.7715447,0.2705563,-0.23154992,0.21710797,0.45215467,0.103876516,0.09527715,0.101670474,0.09623127,0.13411334,0.21017243,0.23862933,0.2615882,0.26334366,0.1849946,0.16349669,0.09488567
2023-02-20,,,,,,,,,,,,,,,,,,,,
2023-02-21,,,,,,,,,,,,,,,,,,,,
2023-02-22,,,,,,,,,,,,,,,,,,,,
2023-02-23,,,,,,,,,,,,,,,,,,,,
2023-02-24,,,,,,,,,,,,,,,,,,,,
2023-02-25,,,,,,,,,,,,,,,,,,,,
2023-02-26,0.25554806,0.14718287,0.12902786,0.30534196,0.11440483,-0.32589012,-0.0031941843,0.123595774,0.055046774,0.06755123,0.08365256,0.09596742,0.117575794,0.14059882,0.15284884,0.16929147,0.16186763,0.16068165,0.16535513,0.1272441
2023-02-27,,,,,,,,,,,,,,,,,,,,
2023-02-28,,,,,,,,,,,,,,,,,,,,
2023-03-01,0.26544768,0.14338028,0.1310466,0.3173272,0.12460661,-0.36294132,-0.028007276,0.08292145,0.049931932,0.061464816,0.08222673,0.096166946,0.11788857,0.14236042,0.15395185,0.17015249,0.16623253,0.1600837,0.17722778,0.14159244
2023-03-02,,,,,,,,,,,,,,,,,,,,
2023-03-03,,,,,,,,,,,,,,,,,,,,
2023-03-04,,,,,,,,,,,,,,,,,,,,
2023-03-05,,,,,,,,,,,,,,,,,,,,
2023-03-06,,,,,,,,,,,,,,,,,,,,
2023-03-07,,,,,,,,,,,,,,,,,,,,
2023-03-08,,,,,,,,,,,,,,,,,,,,
2023-03-09,,,,,,,,,,,,,,,,,,,,
2023-03-10,,,,,,,,,,,,,,,,,,,,
2023-03-11,,,,,,,,,,,,,,,,,,,,
2023-03-12,,,,,,,,,,,,,,,,,,,,
2023-03-13,,,,,,,,,,,,,,,,,,,,
2023-03-14,,,,,,,,,,,,,,,,,,,,
2023-03-15,,,,,,,,,,,,,,,,,,,,
2023-03-16,,,,,,,,,,,,,,,,,,,,
2023-03-17,,,,,,,,,,,,,,,,,,,,
2023-03-18,,,,,,,,,,,,,,,,,,,,
2023-03-19,,,,,,,,,,,,,,,,,,,,
2023-03-20,,,,,,,,,,,,,,,,,,,,
2023-03-21,,,,,,,,,,,,,,,,,,,,
2023-03-22,,,,,,,,,,,,,,,,,,,,
2023-03-23,,,,,,,,,,,,,,,,,,,,
2023-03-24,,,,,,,,,,,,,,,,,,,,
2023-03-25,,,,,,,,,,,,,,,,,,,,
2023-03-26,,,,,,,,,,,,,,,,,,,,
2023-03-27,,,,,,,,,,,,,,,,,,,,
2023-03-28,,,,,,,,,,,,,,,,,,,,
2023-03-29,,,,,,,,,,,,,,,,,,,,
2023-03-30,,,,,,,,,,,,,,,,,,,,
2023-03-31,,,,,,,,,,,,,,,,,,,,
2023-04-01,,,,,,,,,,,,,,,,,,,,
2023-04-02,,,,,,,,,,,,,,,,,,,,
2023-04-03,,,,,,,,,,,,,,,,,,,,
2023-04-04,,,,,,,,,,,,,,,,,,,,
2023-04-05,0.2816173,0.17768791,0.16747315,0.45859015,0.15197839,-0.36070862,0.013148519,0.12649927,0.05896454,0.06877355,0.10126634,0.12290986,0.15003148,0.19071878,0.20736185,0.22329403,0.22083458,0.21993624,0.21322688,0.17014259
2023-04-06,,,,,,,,,,,,,,,,,,,,
2023-04-07,,,,,,,,,,,,,,,,,,,,
2023-04-08,,,,,,,,,,,,,,,,,,,,
2023-04-09,,,,,,,,,,,,,,,,,,,,
2023-04-10,,,,,,,,,,,,,,,,,,,,
2023-04-11,,,,,,,,,,,,,,,,,,,,
2023-04-12,,,,,,,,,,,,,,,,,,,,
2023-04-13,,,,,,,,,,,,,,,,,,,,
2023-04-14,,,,,,,,,,,,,,,,,,,,
2023-04-15,0.3176699,0.21941073,0.20597744,0.72785884,0.1906953,-0.37395024,0.04267518,0.15436397,0.06365747,0.07421541,0.108861014,0.13145356,0.16511278,0.2214705,0.2462088,0.25682166,0.26050374,0.25946036,0.23092422,0.18599807
2023-04-16,,,,,,,,,,,,,,,,,,,,
2023-04-17,,,,,,,,,,,,,,,,,,,,
