date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-04-26,0.71649414,0.6119472,0.54940534,1.7070942,0.4508622,-0.35100946,0.38612622,0.5805392,4.2809447e-06,5.948107e-06,9.096417e-06,7.0890915e-06,1.4200448e-05,3.2992062e-05,3.8502938e-05,4.2325464e-05,3.9723323e-05,4.2371088e-05,1.8973265e-05,1.1385965e-05
2017-04-27,0.7247258,0.61307406,0.55157644,1.6966574,0.4482235,-0.34994724,0.39078438,0.59159994,3.6365457e-06,5.760165e-06,8.879945e-06,6.7337296e-06,1.3843314e-05,3.238701e-05,3.7762326e-05,4.1992218e-05,3.8924838e-05,4.2267202e-05,1.8553741e-05,1.08508375e-05
2017-04-28,0.7329574,0.614201,0.5537475,1.6862206,0.4455848,-0.34888503,0.39544252,0.6026607,2.9921466e-06,5.572223e-06,8.663474e-06,6.378368e-06,1.3486181e-05,3.178196e-05,3.7021713e-05,4.165897e-05,3.8126356e-05,4.216332e-05,1.8134218e-05,1.0315711e-05
2017-04-29,0.74118906,0.6153279,0.5559186,1.675784,0.4429461,-0.34782282,0.40010068,0.61372143,2.3477476e-06,5.384281e-06,8.447002e-06,6.0230063e-06,1.3129047e-05,3.117691e-05,3.6281104e-05,4.1325722e-05,3.732787e-05,4.2059437e-05,1.7714694e-05,9.780583e-06
2017-04-30,0.74942064,0.61645484,0.5580897,1.6653472,0.44030738,-0.3467606,0.40475884,0.6247822,1.7033485e-06,5.196339e-06,8.2305305e-06,5.6676445e-06,1.2771913e-05,3.057186e-05,3.554049e-05,4.0992476e-05,3.652939e-05,4.1955554e-05,1.729517e-05,9.245456e-06
2017-05-01,0.7576523,0.6175817,0.5602607,1.6549104,0.43766868,-0.3456984,0.40941697,0.6358429,1.0589495e-06,5.008397e-06,8.014058e-06,5.3122826e-06,1.241478e-05,2.996681e-05,3.479988e-05,4.0659226e-05,3.5730904e-05,4.1851672e-05,1.6875645e-05,8.710328e-06
2017-05-02,0.7658839,0.61870867,0.5624318,1.6444737,0.43502998,-0.34463617,0.41407514,0.64690363,4.145504e-07,4.8204547e-06,7.7975865e-06,4.9569207e-06,1.2057646e-05,2.9361761e-05,3.405927e-05,4.032598e-05,3.4932422e-05,4.174779e-05,1.645612e-05,8.1752005e-06
2017-05-03,0.77411556,0.61983556,0.5646029,1.6340369,0.4323913,-0.34357396,0.41873327,0.6579644,-2.2984862e-07,4.6325126e-06,7.5811154e-06,4.601559e-06,1.1700512e-05,2.875671e-05,3.3318658e-05,3.9992734e-05,3.4133936e-05,4.1643903e-05,1.6036598e-05,7.640073e-06
2017-05-04,0.7823472,0.6209625,0.566774,1.6236001,0.42975256,-0.34251174,0.42339143,0.6690251,-8.7424763e-07,4.4445705e-06,7.3646434e-06,4.246197e-06,1.1343379e-05,2.815166e-05,3.2578046e-05,3.9659484e-05,3.3335455e-05,4.154002e-05,1.5617074e-05,7.1049453e-06
2017-05-05,0.79057884,0.62208945,0.56894505,1.6131634,0.42711386,-0.34144956,0.42804956,0.68008584,-1.5186467e-06,4.2566285e-06,7.148172e-06,3.8908356e-06,1.0986245e-05,2.754661e-05,3.1837437e-05,3.9326238e-05,3.253697e-05,4.143614e-05,1.5197549e-05,6.569818e-06
