date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2023-02-14,0.18100633,0.07227632,0.07140072,0.12765071,0.05976432,-0.36836305,-0.07938094,0.020071657,0.036289923,0.0434679,0.06742244,0.08628305,0.1046405,0.111632906,0.11784498,0.12434221,0.12319472,0.12631744,0.14558312,0.11937638
2023-03-01,0.18080792,0.08734278,0.08068532,0.14485222,0.06746832,-0.3101977,-0.047541253,0.0526413,0.053076908,0.06293194,0.08489336,0.10172348,0.11960585,0.12995028,0.13687308,0.14661373,0.14286093,0.14133999,0.161242,0.13203728
2023-04-05,0.15837027,0.09044468,0.08702968,0.13883485,0.064822376,-0.3179142,-0.043330442,0.04358185,0.06438159,0.07602204,0.11055629,0.14241755,0.16144964,0.17483051,0.18381181,0.19594622,0.1929015,0.19365981,0.21386085,0.18011467
2023-05-27,0.14106266,0.107273385,0.09981784,0.12243719,0.057649966,-0.37241688,-0.11275014,-0.12425789,0.09347832,0.12376054,0.1696105,0.22252326,0.24649917,0.2612853,0.27662954,0.2955661,0.28785458,0.29361343,0.37061372,0.37940776
2023-05-30,0.116161,0.08188136,0.077367485,0.11966725,0.056422412,-0.3762176,-0.13645433,-0.14481294,0.08699992,0.11250375,0.15625499,0.20730847,0.22940688,0.24229114,0.2567896,0.26173306,0.26754707,0.27113125,0.34439278,0.3503608
2023-06-01,0.14521192,0.1096357,0.10298085,0.12808701,0.06010963,-0.35445148,-0.09575934,-0.07955467,0.09970715,0.12175316,0.17203917,0.2222556,0.24973144,0.26915964,0.281587,0.29761612,0.29348963,0.29929948,0.36065,0.3491425
2023-06-04,0.20655984,0.14947061,0.14275286,0.24692136,0.10967691,-0.36756796,-0.05852902,-0.035474192,0.08694406,0.1033241,0.15254699,0.19287148,0.22594823,0.2668663,0.2814733,0.29302266,0.29288203,0.29826447,0.32952052,0.31475592
2023-06-06,0.26774368,0.21710639,0.19670507,0.37485176,0.15745084,-0.36117002,-0.016793976,0.009583249,0.08977818,0.11581957,0.16307358,0.19405131,0.23721057,0.30251458,0.32570788,0.33559313,0.3328805,0.33825502,0.34714484,0.3294762
2023-06-09,0.35555467,0.26826492,0.24802728,0.64978176,0.24442205,-0.3899285,0.03255029,0.088250786,0.07207798,0.08958668,0.13099611,0.15142235,0.19437544,0.29130226,0.31991366,0.3180098,0.32819647,0.33173785,0.29804707,0.26667014
2023-06-14,0.51735294,0.3824213,0.35749117,1.1293586,0.3595227,-0.41336885,0.15038472,0.27888194,0.05766689,0.06500994,0.102827534,0.106882334,0.15761884,0.300191,0.3336982,0.33419377,0.34309784,0.34398934,0.2471797,0.18942615
2023-06-16,0.5743031,0.46415475,0.4122157,1.3589863,0.4019029,-0.40633902,0.19813803,0.3473914,0.059079185,0.07132321,0.103100374,0.09929081,0.15200557,0.30811372,0.35411027,0.36306095,0.36104676,0.36918926,0.24452388,0.17898697
2023-06-24,0.8740882,0.729505,0.68354243,3.086443,0.60582644,-0.47528657,0.3976714,0.6647664,0.025414707,0.026831564,0.06786935,0.029481929,0.10995611,0.39300337,0.44868913,0.44365624,0.45285827,0.4577833,0.19071227,0.08898885
2023-08-10,0.3438809,0.1810702,0.1740182,0.326286,0.13484895,-0.4160997,-0.028277138,0.12140307,0.044180293,0.05493925,0.087619014,0.098928876,0.14525862,0.1743018,0.18887466,0.19721958,0.21248356,0.21418363,0.21121876,0.15899761
2023-08-20,0.14034781,0.095313154,0.09104897,0.103313714,0.04898274,-0.4128638,-0.16043192,-0.10575561,0.08252023,0.10277881,0.14712456,0.19319575,0.22533464,0.23595642,0.24826674,0.25556484,0.26813275,0.27111524,0.35312495,0.31649154
2023-08-23,0.13391955,0.0858639,0.08183938,0.1272026,0.059649177,-0.41062272,-0.16815554,-0.12348645,0.08031018,0.095200166,0.13590978,0.17701057,0.2066605,0.2186154,0.23255609,0.23098704,0.25000492,0.25057134,0.32413536,0.29653996
2023-09-07,0.17014381,0.114764296,0.10825063,0.121687114,0.057273775,-0.39352247,-0.13714142,-0.10850842,0.07268552,0.096949466,0.14266291,0.17630707,0.21581583,0.22990371,0.24205835,0.24874891,0.25370592,0.25771993,0.32767096,0.30921137
2023-09-09,0.14995243,0.108224526,0.10135609,0.09518164,0.04537047,-0.38205674,-0.14730842,-0.098576926,0.08826393,0.111123696,0.16417404,0.20151092,0.25029582,0.26474264,0.27413863,0.2728203,0.28656825,0.28856483,0.36685675,0.3323869
2023-09-24,0.1393798,0.07155579,0.07071025,0.10753629,0.050880384,-0.4113994,-0.12682258,-0.06412519,0.04255736,0.06439125,0.09247516,0.1296321,0.1482996,0.15339704,0.16417353,0.17158882,0.17183338,0.17391042,0.22125709,0.19508283
2023-10-07,0.109215036,0.08115465,0.07711751,0.10456707,0.049626015,-0.35356057,-0.13560095,-0.13084069,0.08410287,0.1231819,0.18199605,0.2325171,0.26737893,0.27964342,0.29520747,0.28955114,0.3058468,0.30808023,0.38011652,0.37660423
