date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-03-31,0.4268296,0.24849415,0.2066096,0.7685814,0.25625664,0.13858521,0.55287856,0.70025945,0.08849065,0.11417149,0.12453894,0.12393928,0.15261713,0.21374059,0.22122158,0.24020182,0.23110598,0.24172953,0.06347556,0.0397742
2017-05-04,0.35346076,0.24131195,0.17755896,0.47100163,0.18378614,0.12302331,0.45094407,0.55013436,0.089053296,0.101890974,0.108356215,0.10487804,0.13421136,0.18352854,0.1879284,0.20563552,0.19465393,0.20081456,0.077797405,0.060207836
2017-05-24,0.5105954,0.17726007,0.16795182,1.1555693,0.36313745,-0.4566195,0.072339185,0.03863844,0.0880186,0.02587442,0.038706977,0.038655814,0.06730697,0.1200186,0.14499302,0.12034186,0.1766907,0.29892093,0.10403023,0.11160233
2017-05-30,0.72388947,0.2781076,0.26390547,1.4431015,0.41383937,-0.52090496,0.2249855,0.49653104,0.020450544,0.020752264,0.03120592,0.02604896,0.059096504,0.121343724,0.13940537,0.15485822,0.15879972,0.15833369,0.099407874,0.05304517
2017-06-03,0.7481644,0.2961916,0.29177916,1.4399885,0.41340286,-0.5585851,0.24028365,0.50502396,0.008571445,0.014822377,0.029926833,0.025875011,0.06280706,0.13138346,0.1480757,0.16997807,0.16865818,0.16608028,0.10569308,0.05695806
2017-06-13,0.6920959,0.34868884,0.3203797,1.3867601,0.39890897,-0.46322656,0.24031739,0.4892927,0.030189898,0.0343185,0.052878443,0.043900173,0.087320894,0.17448413,0.19366789,0.2121296,0.21538024,0.22462688,0.13243201,0.075867236
2017-06-19,0.72350436,0.3530739,0.33080852,1.5331249,0.42686832,-0.4693794,0.27008227,0.52257174,0.02424857,0.02799818,0.045205247,0.035853926,0.07985625,0.16998777,0.19388977,0.20715536,0.21485284,0.21721381,0.12045459,0.06698819
2017-06-29,0.74250674,0.35780796,0.32996702,1.6652719,0.44637746,-0.46044984,0.28780732,0.5435278,0.028201887,0.027412372,0.042785004,0.0316016,0.073833935,0.16474836,0.18862844,0.2005316,0.20883282,0.21304423,0.11236444,0.061271522
2017-07-06,0.84896845,0.3486839,0.34726337,2.0229793,0.4981874,-0.5546792,0.35674837,0.62484336,0.0012411627,0.008359014,0.025919871,0.016149996,0.058392216,0.14976516,0.17165719,0.18763469,0.19010472,0.1922174,0.089604795,0.04370332
2017-07-26,0.61693764,0.32667184,0.28961733,1.2781385,0.3735315,-0.38881087,0.2425881,0.45791644,0.04037522,0.050610647,0.06848943,0.06055258,0.10242238,0.18922871,0.21050438,0.21752778,0.22698134,0.24002358,0.14002024,0.091670774
2017-08-12,0.7629102,0.36112157,0.337226,2.0051086,0.48574883,-0.4958637,0.2959063,0.5483494,0.026580432,0.027062502,0.04541676,0.03502063,0.07601608,0.17971782,0.202524,0.20811646,0.22337131,0.22429864,0.11868243,0.06739966
2017-08-15,0.85441756,0.3623714,0.35695013,2.3288076,0.53305566,-0.5676084,0.34970266,0.6254421,0.0020977468,0.010012573,0.026081122,0.015905745,0.05620132,0.15524337,0.18064648,0.19321679,0.20125371,0.20279187,0.09356371,0.04479961
2017-10-21,0.37298134,0.23815168,0.17688842,0.56833565,0.21232119,-0.14446785,0.2090874,0.2669483,0.09264033,0.09152995,0.092112854,0.08588415,0.11089281,0.16048096,0.16874164,0.18380626,0.182927,0.19522026,0.12077269,0.108067125
2017-11-06,0.5799038,0.34967953,0.21607746,1.1374885,0.34803808,0.007987549,0.5087175,0.74065524,0.086133316,0.07706855,0.056476843,0.044328865,0.07280021,0.13230766,0.14391205,0.15233928,0.15792814,0.11308366,0.04874394,0.022302201
2017-11-10,0.6790975,0.3712428,0.25997934,1.3920236,0.3958248,-0.07597863,0.52135295,0.7370215,0.07105488,0.05960459,0.044527765,0.030056408,0.063961945,0.13685726,0.14747551,0.15912543,0.16289985,0.16233556,0.050617576,0.024334835
2018-02-03,0.088447616,0.33951667,0.053854227,0.061040487,0.028205458,0.74037784,0.76559496,0.7909893,0.2744252,0.2619379,0.2203655,0.20729902,0.22312832,0.23965086,0.23352027,0.2444074,0.22429183,0.22821972,0.031791843,0.028260149
2018-02-04,0.13726066,0.20671418,0.08611622,0.12923752,0.057627983,0.7587042,0.812081,0.8098432,0.24811491,0.23725824,0.20639159,0.20527412,0.22920753,0.25873074,0.25366527,0.26530868,0.25435883,0.25909385,0.027159713,0.027614152
2018-02-06,0.13856442,56.948303,0.08875277,0.12423668,0.055594847,0.87530994,0.9129758,0.8933579,0.22847451,0.22881569,0.19518338,0.20598999,0.22680813,0.25330526,0.25079566,0.26930004,0.24777333,0.2462776,0.0127788065,0.015346793
2018-02-21,0.1349725,0.12563217,0.07678098,0.14679119,0.06508122,0.8259771,0.87366295,0.8571819,0.18949217,0.1925578,0.18756232,0.1916408,0.2182196,0.24676217,0.24284396,0.24175015,0.24412832,0.23541802,0.01722665,0.019438846
2018-02-24,0.19537576,0.13861327,0.09933445,0.25667378,0.1072802,0.7490119,0.8492371,0.83672005,0.16598861,0.15528764,0.15467526,0.1623037,0.1893299,0.2256036,0.22437575,0.22297928,0.22662792,0.2328803,0.019168057,0.020647306
2018-02-28,0.23370367,0.15199739,0.118542895,0.3192671,0.12696938,0.6687318,0.8220001,0.81086355,0.10986261,0.14449154,0.1546954,0.16345106,0.19038877,0.23256235,0.23083963,0.23551993,0.23515442,0.23335063,0.023158982,0.024837099
2018-03-01,0.3040964,0.1727583,0.12848057,0.4973795,0.17736015,0.56147635,0.82427365,0.81622267,0.07213138,0.11262381,0.12029197,0.12861659,0.15483084,0.1966951,0.20044039,0.20074975,0.20471121,0.20935017,0.019406438,0.020302553
2018-03-11,0.20492095,0.12680715,0.080787025,0.58982694,0.1271144,0.6512754,0.76657325,0.7531577,0.1559123,0.18014896,0.1860689,0.18611056,0.21107045,0.2431502,0.24381004,0.23893361,0.24295665,0.2520958,0.030103547,0.030817486
2018-03-15,0.5366426,0.21301058,0.20577025,7.251505,0.31419927,-0.016634239,0.7359424,0.7763508,0.035657305,0.079571374,0.09955361,0.11090837,0.1410054,0.19896759,0.20648293,0.22145477,0.21704601,0.22437039,0.029899584,0.025495498
2018-03-16,0.5820918,0.19909078,0.19814694,22.411497,0.35880697,-0.16380951,0.70731944,0.7637626,0.04006957,0.067939,0.0846428,0.09673152,0.12524003,0.18165599,0.19059661,0.1991103,0.20335409,0.2027374,0.029432608,0.023977656
2018-03-21,0.505607,0.2338838,0.21508236,0.9500206,0.30348623,-0.011693088,0.50704414,0.6641496,0.058112435,0.08874206,0.100510165,0.09796657,0.13088162,0.19360863,0.20702136,0.21102071,0.2194798,0.23918046,0.06269106,0.04008367
2018-03-23,0.574072,0.22866552,0.22502023,1.704298,0.33739832,-0.16793385,0.5643433,0.69960785,0.07262453,0.09810878,0.11387,0.11670976,0.14945704,0.2134265,0.2226198,0.23256582,0.23517554,0.23601711,0.05454628,0.03662686
2018-03-31,0.6787895,0.26779467,0.25569373,2.2304204,0.40929487,-0.42887455,0.5209307,0.669209,0.055425756,0.07935526,0.08880349,0.0977898,0.12771544,0.18951753,0.2051387,0.22966145,0.21966738,0.24399494,0.058669318,0.038121957
2018-04-10,0.7261524,0.26400766,0.25335842,47.54123,0.48359275,-0.52652955,0.5063811,0.6633866,0.06949973,0.08964912,0.09734583,0.10476415,0.12987557,0.19126132,0.20627016,0.23233461,0.22211885,0.25239128,0.05998015,0.039014895
2018-04-15,0.6608247,0.20952553,0.2254914,7.246815,0.39731348,-0.41298586,0.5171596,0.70076925,0.0763,0.088129565,0.101083055,0.10799596,0.1408888,0.19720706,0.20655967,0.21851575,0.21863054,0.23784643,0.05412721,0.029857274
2018-04-17,0.61132747,0.17794323,0.22650756,3.842981,0.35169354,-0.29589877,0.55257016,0.7261962,0.08252289,0.10116678,0.113701016,0.1209918,0.15469429,0.20958832,0.2197525,0.23454231,0.22682771,0.24499029,0.053137302,0.029163064
2018-04-19,0.4460092,-0.11868606,0.19019562,0.72069764,0.23396522,0.050783932,0.54964995,0.71651745,0.105839096,0.121568866,0.13999745,0.14036758,0.1771904,0.2284059,0.23021477,0.2398276,0.23454477,0.25929192,0.057755392,0.03267553
2018-05-09,0.63341254,0.24570794,0.232305,1.0630637,0.3422546,-0.41378006,0.21933007,0.48020497,0.020386305,0.026190119,0.040355496,0.035222817,0.06973178,0.12670596,0.13971916,0.14984506,0.15560141,0.1547166,0.09753517,0.05361425
2018-05-10,0.6926347,0.24319252,0.23495628,1.2401092,0.37769198,-0.5033912,0.21788439,0.4704692,0.0070710676,0.01842475,0.030142277,0.02680898,0.057838596,0.11008593,0.12546787,0.14015701,0.14181544,0.14069118,0.092020765,0.05180975
2018-05-14,0.668273,0.25003353,0.24392545,1.2701792,0.38451815,-0.51364535,0.16909702,0.43098027,0.001802397,0.018763289,0.034479327,0.030867394,0.061777245,0.119783625,0.13675113,0.15055135,0.15288934,0.15256445,0.1088868,0.06122443
