date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2023-01-01,-0.014960534,0.4107220179850786,-0.01734917,-0.04201458,-0.022563536,0.61122817,0.61257035,0.6268065,0.6197903,0.6528331,0.64237523,0.6398161,0.65029275,0.63758785,0.61554503,0.61071116,0.5937194,0.5911381,0.14049882,0.13544732
2023-01-02,-0.014686763,0.3812022959974303,-0.017074909,-0.042188574,-0.022639675,0.61492825,0.61616397,0.6300631,0.62144786,0.65359795,0.6430698,0.6404904,0.6509349,0.6381324,0.6160267,0.61179316,0.5942087,0.5933514,0.138503,0.13364324
2023-01-03,-0.014412993,0.3516825740097819,-0.016800646,-0.04236257,-0.022715813,0.6186284,0.61975765,0.6333198,0.6231054,0.65436286,0.64376444,0.64116466,0.651577,0.63867694,0.6165084,0.6128751,0.594698,0.5955648,0.13650717,0.13183917
2023-01-04,-0.014139222,0.3221628520221336,-0.016526382,-0.042536568,-0.022791952,0.62232846,0.6233513,0.6365764,0.6247629,0.65512776,0.64445907,0.64183897,0.6522192,0.63922143,0.6169901,0.61395705,0.5951873,0.59777814,0.13451135,0.13003509
2023-01-05,-0.013865451,0.29264313003448517,-0.01625212,-0.04271056,-0.022868091,0.62602854,0.62694496,0.63983303,0.62642044,0.6558926,0.6451537,0.6425132,0.6528613,0.639766,0.6174718,0.615039,0.5956766,0.5999915,0.13251553,0.12823102
2023-01-07,-0.013591681,0.2631234080468368,-0.015977856,-0.04288456,-0.02294423,0.6297286,0.6305386,0.6430897,0.628078,0.6566575,0.64584833,0.6431875,0.6535035,0.6403105,0.61795354,0.616121,0.5961659,0.6022048,0.13051972,0.12642694
2023-01-08,-0.013317909,0.23360368605918846,-0.015703592,-0.043058556,-0.02302037,0.6334287,0.63413227,0.64634633,0.6297355,0.6574224,0.64654297,0.6438618,0.6541456,0.6408551,0.6184352,0.61720294,0.5966552,0.60441816,0.1285239,0.12462287
2023-01-09,-0.013044138,0.20408396407154009,-0.015429329,-0.04323255,-0.02309651,0.63712883,0.6377259,0.64960295,0.6313931,0.65818727,0.64723754,0.6445361,0.6547877,0.6413996,0.6189169,0.6182849,0.5971445,0.6066315,0.12652808,0.12281879
2023-01-10,-0.012770368,0.17456424208389174,-0.015155066,-0.043406546,-0.023172649,0.6408289,0.6413196,0.65285957,0.63305056,0.6589522,0.6479322,0.6452104,0.6554299,0.64194417,0.61939865,0.6193668,0.5976338,0.6088448,0.12453226,0.121014714
2023-01-11,-0.012496597,0.14504452009624336,-0.0148808025,-0.043580543,-0.023248788,0.644529,0.6449132,0.65611625,0.6347081,0.6597171,0.6486268,0.64588463,0.656072,0.6424887,0.6198803,0.6204488,0.5981231,0.6110582,0.122536436,0.11921064
2023-01-12,-0.0122228265,0.115524798108595,-0.014606539,-0.043754537,-0.023324927,0.64822906,0.6485068,0.65937287,0.63636565,0.6604819,0.64932144,0.64655894,0.65671414,0.64303327,0.62036204,0.6215308,0.59861237,0.61327153,0.12054062,0.11740656
2023-01-13,-0.011949056,0.08600507612094666,-0.014332276,-0.043928534,-0.023401067,0.65192914,0.6521005,0.6626295,0.6380232,0.66124684,0.65001607,0.6472332,0.6573563,0.64357775,0.6208437,0.6226127,0.59910166,0.6154849,0.1185448,0.115602486
2023-01-14,-0.011675285,0.056485354133298304,-0.014058013,-0.04410253,-0.023477206,0.6556293,0.6556941,0.66588616,0.63968074,0.66201174,0.6507107,0.6479075,0.65799844,0.6441223,0.62132543,0.62369466,0.59959096,0.6176982,0.11654898,0.11379841
2023-01-15,-0.0114015145,0.026965632145649954,-0.01378375,-0.044276524,-0.023553345,0.65932935,0.6592878,0.6691428,0.6413383,0.6627766,0.65140533,0.64858174,0.6586406,0.64466685,0.62180716,0.62477666,0.60008025,0.61991155,0.11455316,0.11199434
2023-01-16,-0.011127743,-0.0025540898419984526,-0.013509487,-0.04445052,-0.023629485,0.66302943,0.66288143,0.6723994,0.6429958,0.6635415,0.6520999,0.64925605,0.65928274,0.6452114,0.6222888,0.6258586,0.60056955,0.6221249,0.112557344,0.110190265
2023-01-17,-0.010853972,-0.03207381182964666,-0.0132352235,-0.04462452,-0.023705624,0.6667295,0.6664751,0.675656,0.6446533,0.66430634,0.65279454,0.6499303,0.65992486,0.64575595,0.62277055,0.62694055,0.60105884,0.6243382,0.11056152,0.10838619
2023-01-18,-0.010413764,-0.04466796387590077,-0.012894215,-0.044435155,-0.023587294,0.6690345,0.6690387,0.6778266,0.6428208,0.66386956,0.6527799,0.65037566,0.6592969,0.64540386,0.6223841,0.62790585,0.60078657,0.6249466,0.10931454,0.107360266
2023-01-19,-0.009977384,-0.0726844079510291,-0.012456207,-0.044371508,-0.023530578,0.6711969,0.6713608,0.6798186,0.6411247,0.662037,0.6512184,0.6493051,0.6580169,0.6443655,0.6213336,0.62753606,0.599827,0.62497395,0.108157285,0.10640249
2023-01-20,-0.009511117,-0.10991653084330233,-0.011867751,-0.044339824,-0.023487719,0.67324334,0.67349976,0.68168604,0.6395185,0.6591923,0.6485048,0.6470522,0.6562052,0.64276445,0.6197652,0.6261394,0.5983533,0.6245861,0.10703875,0.10545874
2023-01-21,-0.008857026,-0.14433376670598955,-0.011019613,-0.04415067,-0.023364056,0.6751415,0.67553234,0.68336123,0.63751054,0.65518546,0.64457315,0.6435748,0.65344983,0.640245,0.6174509,0.6239057,0.5963035,0.6237576,0.10589999,0.10453339
2023-01-22,-0.008139882,-0.1718685047542748,-0.010136347,-0.043866854,-0.023200698,0.6770253,0.67758805,0.68516403,0.63549566,0.6511152,0.6405023,0.6398361,0.6503937,0.6374058,0.6149036,0.62151235,0.5940811,0.6228174,0.10465545,0.10346001
