date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-05-17,0.3839663,0.24302367063155364,0.23904482,0.42076698,0.18865274,-0.5777848,-0.13018498,0.07442959,6.279951e-06,6.855435e-06,1.0303881e-05,1.3257653e-05,1.8645957e-05,2.4492872e-05,2.6702475e-05,2.8537292e-05,3.0274485e-05,3.0967927e-05,3.6989404e-05,2.4616857e-05
2017-05-18,0.39394554,0.2509751615691129,0.24676722,0.4555193,0.19615817,-0.57708067,-0.12098413,0.08564589,6.1783717e-06,6.737478e-06,1.01976675e-05,1.3024073e-05,1.8463641e-05,2.4650892e-05,2.6917323e-05,2.8737239e-05,3.0468289e-05,3.1138665e-05,3.6606143e-05,2.4262621e-05
2017-05-19,0.4039248,0.25892665250667224,0.25448963,0.49027163,0.20366362,-0.5763765,-0.11178329,0.0968622,6.076793e-06,6.619521e-06,1.0091454e-05,1.2790493e-05,1.8281326e-05,2.480891e-05,2.7132171e-05,2.8937187e-05,3.0662093e-05,3.13094e-05,3.6222886e-05,2.3908387e-05
2017-05-20,0.413904,0.26687814344423155,0.26221204,0.52502394,0.21116906,-0.5756724,-0.10258244,0.108078495,5.9752138e-06,6.5015643e-06,9.9852405e-06,1.2556913e-05,1.809901e-05,2.496693e-05,2.734702e-05,2.9137134e-05,3.08559e-05,3.1480136e-05,3.5839625e-05,2.3554154e-05
2017-05-21,0.42388326,0.27482963438179087,0.26993445,0.55977625,0.21867451,-0.5749682,-0.09338159,0.1192948,5.873635e-06,6.3836073e-06,9.879027e-06,1.2323333e-05,1.7916695e-05,2.5124948e-05,2.7561868e-05,2.9337083e-05,3.10497e-05,3.1650874e-05,3.5456367e-05,2.319992e-05
2017-05-22,0.4338625,0.2827811253193502,0.27765685,0.5945286,0.22617996,-0.5742641,-0.08418075,0.1305111,5.772056e-06,6.2656504e-06,9.772813e-06,1.2089754e-05,1.7734379e-05,2.5282967e-05,2.7776716e-05,2.953703e-05,3.1243508e-05,3.182161e-05,3.5073106e-05,2.2845685e-05
2017-05-23,0.44384173,0.2907326162569095,0.28537926,0.6292809,0.23368539,-0.57356,-0.0749799,0.1417274,5.670477e-06,6.1476935e-06,9.6666e-06,1.1856174e-05,1.7552062e-05,2.5440986e-05,2.7991562e-05,2.9736979e-05,3.143731e-05,3.199235e-05,3.468985e-05,2.2491451e-05
2017-05-24,0.45382097,0.2986841071944688,0.29310167,0.66403323,0.24119084,-0.57285583,-0.06577905,0.15294372,5.568898e-06,6.0297366e-06,9.5603855e-06,1.1622594e-05,1.7369746e-05,2.5599005e-05,2.820641e-05,2.9936926e-05,3.1631116e-05,3.2163087e-05,3.4306588e-05,2.2137217e-05
2017-05-25,0.46380022,0.3066355981320281,0.30082408,0.69878554,0.24869628,-0.5721517,-0.05657821,0.16416001,5.467319e-06,5.9117797e-06,9.454172e-06,1.1389014e-05,1.718743e-05,2.5757023e-05,2.8421258e-05,3.0136875e-05,3.182492e-05,3.2333824e-05,3.392333e-05,2.1782982e-05
2017-05-26,0.47377944,0.31458708906958743,0.30854645,0.7335379,0.2562017,-0.5714476,-0.047377363,0.17537631,5.36574e-06,5.7938228e-06,9.347958e-06,1.1155434e-05,1.7005115e-05,2.5915042e-05,2.8636106e-05,3.0336822e-05,3.2018725e-05,3.2504562e-05,3.354007e-05,2.1428748e-05
2017-05-27,0.4837587,0.32253858000714675,0.31626886,0.7682902,0.26370716,-0.57074344,-0.038176518,0.18659262,5.2641612e-06,5.675866e-06,9.241745e-06,1.0921854e-05,1.68228e-05,2.6073061e-05,2.8850955e-05,3.053677e-05,3.2212527e-05,3.26753e-05,3.315681e-05,2.1074515e-05
2017-05-28,0.49373794,0.33049007094470606,0.32399127,0.80304253,0.2712126,-0.57003933,-0.028975671,0.19780892,5.162582e-06,5.557909e-06,9.135531e-06,1.06882735e-05,1.6640484e-05,2.623108e-05,2.9065803e-05,3.073672e-05,3.2406333e-05,3.2846034e-05,3.2773554e-05,2.0720281e-05
2017-05-29,0.5037172,0.3384415618822654,0.33171368,0.83779484,0.27871805,-0.5693352,-0.019774826,0.20902522,5.0610033e-06,5.439952e-06,9.029318e-06,1.0454693e-05,1.6458169e-05,2.63891e-05,2.9280649e-05,3.0936666e-05,3.260014e-05,3.301677e-05,3.2390293e-05,2.0366046e-05
2017-05-30,0.5136964,0.3463930528198247,0.33943608,0.87254715,0.2862235,-0.56863105,-0.0105739795,0.22024153,4.959424e-06,5.321995e-06,8.923104e-06,1.0221113e-05,1.6275853e-05,2.6547117e-05,2.9495497e-05,3.1136613e-05,3.279394e-05,3.318751e-05,3.2007036e-05,2.0011812e-05
2017-05-31,0.5236756,0.354344543757384,0.3471585,0.9072995,0.29372895,-0.56792694,-0.0013731336,0.23145783,4.8578454e-06,5.204038e-06,8.816891e-06,9.987534e-06,1.6093536e-05,2.6705136e-05,2.9710345e-05,3.133656e-05,3.2987748e-05,3.3358247e-05,3.1623775e-05,1.9657578e-05
2017-06-01,0.53365487,0.3622960346949433,0.3548809,0.9420518,0.3012344,-0.5672228,0.007827712,0.24267414,4.756266e-06,5.0860813e-06,8.710676e-06,9.753954e-06,1.591122e-05,2.6863156e-05,2.9925193e-05,3.153651e-05,3.318155e-05,3.3528984e-05,3.1240517e-05,1.9303345e-05
2017-06-02,0.54343706,0.36858028808362814,0.3612719,0.9780374,0.30883032,-0.56809735,0.015743012,0.2528515,4.591522e-06,4.9294154e-06,8.549541e-06,9.486359e-06,1.5662232e-05,2.6884687e-05,2.9994206e-05,3.1591568e-05,3.3222495e-05,3.3534532e-05,3.0802923e-05,1.8912673e-05
2017-06-03,0.55323523,0.37439561592949305,0.3670571,1.017209,0.3168271,-0.5687349,0.024002362,0.26337472,4.425231e-06,4.780123e-06,8.382729e-06,9.214905e-06,1.53893e-05,2.6857155e-05,3.0013403e-05,3.1590924e-05,3.3209068e-05,3.348862e-05,3.0320494e-05,1.8500334e-05
2017-06-04,0.5630112,0.38001928964099185,0.37253746,1.0582256,0.32501,-0.5690874,0.032523762,0.2741345,4.264483e-06,4.640896e-06,8.219551e-06,8.947755e-06,1.5111294e-05,2.681268e-05,3.001571e-05,3.1569794e-05,3.3176988e-05,3.342771e-05,2.9820285e-05,1.8082366e-05
2017-06-05,0.57272804,0.38594554782358476,0.37821904,1.099599,0.33315387,-0.5691086,0.041236933,0.2850285,4.118549e-06,4.515726e-06,8.072815e-06,8.695046e-06,1.4853938e-05,2.6800215e-05,3.0052557e-05,3.1583004e-05,3.318226e-05,3.34078e-05,2.9342249e-05,1.7681474e-05
2017-06-06,0.58235294,0.3923807962262344,0.3842914,1.1410792,0.34122044,-0.56883276,0.050102316,0.2960025,3.9885595e-06,4.4058515e-06,7.945658e-06,8.4589155e-06,1.462381e-05,2.6835682e-05,3.0141819e-05,3.164959e-05,3.3244763e-05,3.3447726e-05,2.890105e-05,1.7305541e-05
2017-06-07,0.5918554,0.39943270597545666,0.3908589,1.1824383,0.34917673,-0.5682959,0.05907488,0.30700153,3.874716e-06,4.311578e-06,7.839536e-06,8.240449e-06,1.44245405e-05,2.6927777e-05,3.0293237e-05,3.178007e-05,3.3375436e-05,3.355774e-05,2.8505514e-05,1.6959304e-05
2017-06-08,0.6012071,0.4071102135753219,0.3979403,1.2234701,0.35699508,-0.56753623,0.06810411,0.3179697,3.7762927e-06,4.2322754e-06,7.754224e-06,8.03968e-06,1.4256821e-05,2.7077966e-05,3.0508436e-05,3.1976437e-05,3.3576252e-05,3.373951e-05,2.8158642e-05,1.6644333e-05
2017-06-09,0.6103816,0.4153235209074534,0.40546918,1.2639903,0.36465317,-0.56659406,0.07713403,0.32885042,3.691633e-06,4.166383e-06,7.68781e-06,7.85559e-06,1.4118398e-05,2.728049e-05,3.078091e-05,3.2232158e-05,3.384023e-05,3.3986133e-05,2.7857595e-05,1.6359048e-05
2017-06-10,0.61935496,0.4238840952310289,0.4132937,1.3038366,0.3721341,-0.5655116,0.08610316,0.3395862,3.6181534e-06,4.1114054e-06,7.6367005e-06,7.6861115e-06,1.4004079e-05,2.7522363e-05,3.1096035e-05,3.2532178e-05,3.4151428e-05,3.4282115e-05,2.7593711e-05,1.609871e-05
2017-06-11,0.6281052,0.43250466918277913,0.42117658,1.3428683,0.37942618,-0.5643331,0.09494458,0.35011873,3.5523406e-06,4.0639143e-06,7.595619e-06,7.5281187e-06,1.3905727e-05,2.7783368e-05,3.143106e-05,3.2852917e-05,3.4484954e-05,3.4603374e-05,2.7352484e-05,1.5855421e-05
2017-06-12,0.6366145,0.4409994600786152,0.42896524,1.3810067,0.38652328,-0.5631051,0.10359446,0.3603913,3.4908503e-06,4.020752e-06,7.560888e-06,7.3793053e-06,1.3818138e-05,2.8050601e-05,3.177142e-05,3.3179313e-05,3.482489e-05,3.4934365e-05,2.7124786e-05,1.5624179e-05
2017-06-13,0.64486694,0.44932527698115193,0.43662575,1.4182036,0.39341924,-0.56187385,0.11200717,0.37036413,3.4308887e-06,3.980039e-06,7.5310486e-06,7.238639e-06,1.3739989e-05,2.8321127e-05,3.2113883e-05,3.35082e-05,3.5167865e-05,3.5271267e-05,2.6909845e-05,1.5404381e-05
2017-06-14,0.65284634,0.4574169797049398,0.44410333,1.4543939,0.40010577,-0.5606804,0.12015182,0.38001493,3.3696813e-06,3.94044e-06,7.5042576e-06,7.1049303e-06,1.3669041e-05,2.859004e-05,3.2453136e-05,3.3834265e-05,3.5508303e-05,3.560797e-05,2.6706019e-05,1.5194876e-05
2017-06-15,0.6605379,0.4652152280220148,0.45134667,1.4895183,0.40657473,-0.5595609,0.12800054,0.3893229,3.305042e-06,3.900907e-06,7.478897e-06,6.977166e-06,1.3603246e-05,2.8852812e-05,3.278426e-05,3.4152596e-05,3.5841036e-05,3.5938807e-05,2.651174e-05,1.499461e-05
2017-06-16,0.6679283,0.4726664816618996,0.45830807,1.5235229,0.4128179,-0.5585467,0.13552848,0.39826867,3.235374e-06,3.860679e-06,7.4535724e-06,6.8545064e-06,1.3540744e-05,2.9105282e-05,3.3102737e-05,3.4458677e-05,3.6161324e-05,3.6258545e-05,2.6325528e-05,1.4802623e-05
