date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-07-06,0.63212705,0.43252244974980447,0.42555052,1.3322845,0.39690566,-0.59215707,0.069977105,0.35455248,0.015157378,0.038423873,0.07313437,0.07363009,0.1364514,0.27911285,0.31803566,0.33054352,0.350138,0.36157724,0.2862362,0.15648623
2017-07-07,0.6341807,0.43495334424324,0.4274156,1.3375763,0.3978561,-0.5916329,0.07219271,0.35694486,0.015960436,0.038480137,0.073100165,0.073298976,0.13645151,0.27973092,0.31875634,0.33139208,0.35090056,0.36207703,0.28565726,0.1559934
2017-07-08,0.63636196,0.4375208023916702,0.42938852,1.343203,0.39886457,-0.59101987,0.07465689,0.35948867,0.016841834,0.038535547,0.07305763,0.07294522,0.13644314,0.28038242,0.319503,0.3322961,0.35168308,0.36258894,0.28497368,0.15546253
2017-07-09,0.6386529,0.4402058570207902,0.43145424,1.349118,0.39992306,-0.59033024,0.077335104,0.36216286,0.01779069,0.03859023,0.07300793,0.07257198,0.13642745,0.28106275,0.32027206,0.3332479,0.3524828,0.3631113,0.28419995,0.1548989
2017-07-10,0.641036,0.44298954095629517,0.43359783,1.3552749,0.40102345,-0.5895764,0.08019284,0.3649464,0.018796124,0.0386443,0.07295221,0.072182395,0.1364056,0.28176722,0.32105985,0.33423975,0.35329694,0.36364236,0.28335065,0.1543078
2017-07-11,0.6434934,0.4458528870238803,0.43580428,1.3616271,0.40215772,-0.5887708,0.08319558,0.36781827,0.019847255,0.038697872,0.07289164,0.0717796,0.13637881,0.2824912,0.32186282,0.33526397,0.3541227,0.36418054,0.2824403,0.1536945
2017-07-12,0.64600754,0.4487769280492409,0.43805864,1.3681281,0.4033178,-0.5879257,0.08630879,0.3707574,0.020933203,0.03875107,0.07282736,0.07136675,0.13634823,0.2832301,0.3226773,0.33631283,0.35495734,0.36472407,0.28148344,0.1530643
2017-07-13,0.6485606,0.45174269685807206,0.44034594,1.3747314,0.40449563,-0.58705336,0.089497946,0.37374285,0.022043088,0.03880401,0.072760545,0.07094698,0.13631505,0.28397918,0.32349977,0.33737862,0.3557981,0.36527133,0.28049463,0.15242246
2017-07-14,0.6511349,0.45473122627606893,0.44265124,1.3813906,0.4056831,-0.58616626,0.09272853,0.3767535,0.02316603,0.038856808,0.072692335,0.07052344,0.13628046,0.28473383,0.32432655,0.33845368,0.35664216,0.3658206,0.27948833,0.15177429
2017-07-15,0.65371275,0.4577235491289268,0.4449595,1.388059,0.40687218,-0.58527666,0.095966026,0.37976837,0.02429115,0.03890958,0.07262389,0.070099264,0.13624562,0.28548944,0.32515404,0.33953026,0.35748678,0.3663702,0.27847916,0.15112506
2017-07-16,0.6562764,0.46070069824234083,0.4472558,1.3946903,0.40805486,-0.58439696,0.0991759,0.3827664,0.025407564,0.03896245,0.072556384,0.06967761,0.13621174,0.28624132,0.32597867,0.3406007,0.3583292,0.36691844,0.2774816,0.15048006
2017-07-17,0.65880823,0.4636437064420062,0.44952512,1.4012377,0.409223,-0.5835395,0.10232364,0.38572657,0.026504392,0.039015528,0.07249095,0.06926162,0.13617998,0.28698483,0.32679677,0.34165725,0.35916662,0.36746368,0.2765102,0.14984457
