date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2019-01-20,0.35140935,0.20388769,0.1599511,0.41146895,0.16000907,-0.0026401135,0.3861645,0.5109194,0.09754623,0.092323534,0.089939125,0.09635592,0.12225264,0.14944181,0.16249743,0.18534361,0.18566908,0.19175407,0.07871846,0.057375785
2019-01-21,0.36168078,0.20320438,0.16028179,0.43401563,0.16606656,-0.0402616,0.366799,0.4878047,0.09170725,0.08939181,0.08613021,0.09299457,0.11911929,0.14641722,0.15973933,0.1814931,0.18304032,0.19160879,0.079889,0.0597283
2019-01-22,0.37178972,0.2025439,0.16071574,0.45613793,0.17206001,-0.07740871,0.34766567,0.46504796,0.08593211,0.08648989,0.08238742,0.08969512,0.1160374,0.14346455,0.15704842,0.17781292,0.18048656,0.19135249,0.08127954,0.062047947
2019-01-23,0.38171723,0.20190543,0.16124882,0.47778264,0.17797211,-0.11401816,0.328754,0.44268942,0.08023733,0.083616145,0.07871949,0.08646456,0.11301328,0.14058812,0.15442844,0.17430419,0.17801055,0.19098723,0.082882985,0.06433595
2019-01-24,0.39144436,0.20128812,0.1618768,0.49889666,0.18378557,-0.15002666,0.3100536,0.42076948,0.07463939,0.08076896,0.07513516,0.08330991,0.11005326,0.13779218,0.15188318,0.17096807,0.17561504,0.19051509,0.08469223,0.06659351
2019-01-25,0.4009522,0.20069115,0.16259556,0.5194268,0.18948309,-0.18537097,0.29155394,0.39932847,0.0691548,0.07794669,0.07164315,0.08023818,0.107163645,0.13508105,0.14941639,0.16780573,0.17330278,0.18993813,0.086700186,0.06882185
2019-01-26,0.41022182,0.2001137,0.16340087,0.53932,0.19504736,-0.21998776,0.27324462,0.37840673,0.06380007,0.07514774,0.06825221,0.077256374,0.10435074,0.13245897,0.14703186,0.1648183,0.1710765,0.18925841,0.08889975,0.07102215
2019-01-27,0.41923422,0.19955492,0.16428861,0.558523,0.20046109,-0.2538138,0.25511518,0.35804462,0.0585917,0.07237046,0.06497107,0.0743715,0.10162087,0.12993023,0.14473332,0.16200693,0.168939,0.18847801,0.09128382,0.07319566
2019-01-28,0.42797053,0.199014,0.16525456,0.5769827,0.20570697,-0.28678578,0.23715515,0.33828247,0.053546198,0.06961325,0.061808463,0.071590565,0.09898033,0.12749913,0.14252457,0.15937278,0.16689296,0.18759897,0.09384531,0.075343564
2019-01-29,0.4364118,0.19849007,0.16629457,0.594646,0.2107677,-0.31884044,0.21935408,0.3191606,0.04868006,0.06687447,0.058773123,0.06892059,0.09643545,0.12516993,0.14040937,0.156917,0.16494116,0.18662338,0.096577115,0.07746708
2019-01-30,0.4445391,0.19798236,0.16740447,0.6114596,0.21562599,-0.34991452,0.20170154,0.30071938,0.044009797,0.064152494,0.05587378,0.066368565,0.09399254,0.12294693,0.13839148,0.15464073,0.16308637,0.18555328,0.09947214,0.07956741
