date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-04-24,0.868843,0.7270651,0.6975109,2.7427375,0.57205814,-0.5429353,0.3945286,0.666371,0.0150713585,0.023821479,0.059732597,0.03223427,0.11905481,0.3705753,0.43865436,0.46162882,0.46630898,0.47137916,0.19980684,0.0919807
2017-04-25,0.8630953,0.7280479,0.6934753,2.7188237,0.5694417,-0.5358752,0.39333928,0.6637279,0.017203497,0.026109198,0.0615792,0.034047592,0.12038573,0.37116092,0.43962443,0.46196374,0.46758887,0.47311676,0.20052306,0.09299696
2017-04-26,0.85663897,0.729269,0.68903744,2.6924524,0.5665515,-0.5278664,0.3921564,0.66087294,0.019601844,0.02868898,0.063664705,0.03609567,0.12189459,0.37188983,0.4408071,0.462436,0.469108,0.47515765,0.20130679,0.094128124
2017-04-27,0.84954673,0.730704,0.68423855,2.6638753,0.5634157,-0.51900613,0.3909793,0.657828,0.022239093,0.031530872,0.0659646,0.038354434,0.12356313,0.37274736,0.44218057,0.46303153,0.47084177,0.47747073,0.20215108,0.095362395
2017-04-28,0.84189117,0.7323284,0.67911994,2.6333447,0.5600624,-0.5093917,0.38980725,0.6546147,0.025087941,0.034604914,0.0684544,0.0407998,0.12537311,0.37371877,0.44372302,0.4637362,0.47276565,0.48002487,0.203049,0.096687995
2017-04-29,0.8337451,0.7341178,0.6737228,2.6011126,0.55651957,-0.49912053,0.3886397,0.6512548,0.028121088,0.03788115,0.071109585,0.04340769,0.12730628,0.37478942,0.44541264,0.46453598,0.47485515,0.482789,0.20399365,0.09809314
2017-04-30,0.82518107,0.73604774,0.6680885,2.5674312,0.5528153,-0.48828977,0.3874759,0.6477699,0.03131123,0.041329633,0.073905654,0.046154026,0.1293444,0.37594455,0.44722766,0.46541676,0.4770857,0.48573196,0.20497811,0.099566035
2017-05-01,0.81627184,0.7380938,0.66225815,2.5325522,0.5489778,-0.47699684,0.38631526,0.64418197,0.03463106,0.044920404,0.076818116,0.049014732,0.13146919,0.37716952,0.44914624,0.46636444,0.47943282,0.4888227,0.20599544,0.10109492
2017-05-02,0.8070901,0.74023145,0.6562731,2.4967282,0.54503495,-0.465339,0.38515708,0.6405125,0.038053274,0.048623506,0.079822466,0.051965732,0.13366243,0.37844962,0.4511466,0.46736494,0.4818719,0.49203008,0.20703873,0.10266799
2017-05-03,0.79770845,0.7424364,0.6501747,2.460211,0.5410149,-0.45341355,0.3840007,0.6367833,0.041550577,0.052408982,0.08289419,0.054982945,0.13590586,0.3797701,0.45320693,0.46840417,0.48437846,0.495323,0.20810105,0.10427346
2017-05-04,0.78819966,0.7446841,0.644004,2.4232526,0.5369458,-0.44131783,0.38284546,0.6330161,0.04509566,0.05624688,0.0860088,0.05804229,0.13818122,0.38111633,0.4553054,0.4694681,0.48692793,0.49867037,0.2091755,0.10589956
2017-05-05,0.77863634,0.7469501,0.63780236,2.386105,0.5328556,-0.42914912,0.38169074,0.62923265,0.048661217,0.060107246,0.08914178,0.061119698,0.14047027,0.3824736,0.45742023,0.47054255,0.4894958,0.50204104,0.21025512,0.1075345
2017-05-06,0.7690911,0.74921,0.63161105,2.3490205,0.5287724,-0.41700473,0.38053584,0.6254546,0.05221995,0.06396012,0.09226864,0.06419109,0.14275475,0.38382715,0.4595296,0.47161347,0.49205756,0.50540394,0.21133302,0.10916649
2017-05-07,0.7596368,0.75143933,0.6254713,2.3122513,0.5247243,-0.40498197,0.37938014,0.6217037,0.055744555,0.067775555,0.09536487,0.06723238,0.14501643,0.38516235,0.46161172,0.4726668,0.49458864,0.50872797,0.21240227,0.11078375
2017-05-08,0.75034606,0.7536137,0.6194244,2.2760491,0.5207394,-0.39317816,0.37822294,0.6180017,0.059207726,0.07152359,0.09840597,0.070219494,0.14723705,0.38646448,0.46364477,0.47368845,0.49706453,0.511982,0.21345595,0.11237449
2017-05-09,0.74129146,0.75570863,0.61351156,2.2406662,0.5168457,-0.38169062,0.3770636,0.6143702,0.062582165,0.07517427,0.10136744,0.07312836,0.14939834,0.38771883,0.465607,0.4746643,0.4994607,0.515135,0.21448712,0.11392694
2017-05-10,0.7329705,0.7575568,0.6080152,2.2078273,0.51323533,-0.37118524,0.37589762,0.61095804,0.06568101,0.078522585,0.10408158,0.07579418,0.15137543,0.38882482,0.46734908,0.47549796,0.5016092,0.5179739,0.21544842,0.11536044
2017-05-11,0.7251042,0.75925213,0.60277694,2.176566,0.5098006,-0.36128867,0.3747275,0.60768175,0.06860904,0.0816835,0.10664243,0.07830937,0.15323834,0.38983887,0.46895477,0.4762435,0.5036043,0.52061826,0.21636643,0.11672021
2017-05-12,0.71775496,0.76077354,0.5978322,2.1470976,0.5065655,-0.35208434,0.3735527,0.60456,0.071342826,0.08463131,0.109028965,0.08065327,0.1549714,0.39074838,0.4704053,0.47688884,0.5054248,0.52304137,0.2172352,0.11799615
2017-05-13,0.7109755,0.7621033,0.5932109,2.1196053,0.5035506,-0.3436429,0.37237275,0.6016085,0.07386256,0.08734427,0.11122341,0.0828084,0.1565614,0.39154264,0.47168493,0.47742373,0.50705296,0.5252205,0.21804968,0.119179696
2017-05-14,0.704809,0.7632269,0.5889375,2.0942392,0.50077236,-0.33602214,0.37118724,0.59884024,0.07615202,0.08980458,0.113211185,0.08476046,0.15799747,0.39221293,0.47278064,0.4778398,0.50847423,0.5271374,0.21880579,0.12026386
2017-05-15,0.69928914,0.76413316,0.5850312,2.0711155,0.49824384,-0.32926702,0.36999586,0.5962652,0.07819858,0.09199842,0.114980996,0.08649831,0.1592712,0.3927525,0.47368237,0.47813058,0.5096773,0.5287775,0.21950033,0.12124319
2017-05-16,0.6944397,0.76481384,0.58150554,2.0503175,0.49597433,-0.32340968,0.36879843,0.5938905,0.079993255,0.093915895,0.11652475,0.08801404,0.16037655,0.39315644,0.47438294,0.47829136,0.510654,0.5301306,0.22013101,0.122113794
2017-05-17,0.69027525,0.7652642,0.57836866,2.031895,0.49396932,-0.31846932,0.36759478,0.5917205,0.08153062,0.09555107,0.11783759,0.089302845,0.1613099,0.39342186,0.47487798,0.47831944,0.51139945,0.53119063,0.22069645,0.12287335
2017-05-18,0.6868005,0.76548266,0.57562333,2.0158644,0.49223074,-0.3144524,0.3663849,0.5897567,0.08280888,0.096901976,0.118917905,0.09036316,0.16207007,0.39354783,0.47516614,0.47821382,0.51191217,0.5319554,0.2211962,0.123521075
2017-05-19,0.6840106,0.76547074,0.5732668,2.0022094,0.49075666,-0.31135252,0.36516878,0.58799756,0.08382984,0.09797059,0.119767316,0.091196574,0.16265824,0.3935353,0.47524878,0.47797543,0.5121936,0.5324271,0.22163074,0.12405774
2017-05-20,0.68189126,0.76523334,0.5712909,1.99088,0.4895416,-0.3091504,0.3639466,0.5864388,0.0845989,0.09876283,0.12039066,0.09180784,0.16307805,0.39338714,0.47513026,0.4776071,0.5122488,0.5326117,0.2220014,0.124485694
2017-05-21,0.6804185,0.7647785,0.569682,1.981793,0.48857623,-0.30781388,0.36271855,0.5850733,0.085125074,0.0992886,0.12079604,0.09220491,0.1633355,0.39310822,0.47481778,0.47711346,0.51208574,0.5325197,0.2223105,0.12480881
2017-05-22,0.6795587,0.7641175,0.5684211,1.974832,0.4878476,-0.3072981,0.36148494,0.583891,0.085420966,0.09956173,0.12099476,0.09239892,0.16343904,0.39270538,0.4743214,0.47650102,0.5117157,0.5321653,0.2225612,0.12503253
2017-05-23,0.67926866,0.76326483,0.56748366,1.9698473,0.48733908,-0.30754516,0.36024618,0.5828789,0.0855028,0.0996,0.12100138,0.09240414,0.16339947,0.39218727,0.47365403,0.47577813,0.5111534,0.53156704,0.22275764,0.12516387
2017-05-24,0.6794957,0.7622384,0.5668397,1.9666559,0.48703024,-0.3084845,0.35900274,0.5820214,0.085390404,0.09942517,0.12083369,0.09223808,0.16323009,0.39156464,0.47283158,0.47495502,0.5104165,0.5307475,0.22290485,0.12521137
2017-05-25,0.68017745,0.7610589,0.5664539,1.9650414,0.486897,-0.31003264,0.35775518,0.5812998,0.085107185,0.099062935,0.120512694,0.09192139,0.16294654,0.39085,0.4718727,0.4740438,0.5095262,0.5297333,0.22300874,0.12518515
2017-05-26,0.6812419,0.7597508,0.5662853,1.9647543,0.4869116,-0.3120932,0.35650414,0.5806925,0.084680185,0.09854294,0.12006267,0.091477886,0.16256686,0.390058,0.47079897,0.47305837,0.50850666,0.5285553,0.22307618,0.12509687
2017-05-27,0.6826076,0.7583414,0.56628776,1.965512,0.48704255,-0.31455705,0.3552504,0.58017534,0.084140025,0.0978988,0.1195111,0.0909346,0.16211155,0.3892051,0.46963486,0.47201458,0.50738543,0.5272484,0.22311494,0.12495975
2017-05-28,0.68418336,0.75686127,0.5664094,1.9669985,0.48725462,-0.31730217,0.35399473,0.5797209,0.08352095,0.09716809,0.118888706,0.09032171,0.16160348,0.3883097,0.46840775,0.47093007,0.5061933,0.5258516,0.22313368,0.12478857
2017-05-29,0.6858685,0.75534445,0.56659317,1.968864,0.48750895,-0.32019368,0.35273805,0.57929915,0.08286078,0.09639229,0.118229434,0.0896726,0.16106796,0.38739216,0.46714783,0.46982434,0.50496423,0.524408,0.22314201,0.12459966
2017-05-30,0.6875527,0.7538279,0.5667764,1.9707263,0.4877629,-0.32308394,0.3514814,0.5788771,0.08220098,0.09561689,0.1175705,0.089023806,0.16053268,0.38647485,0.46588817,0.46871883,0.50373554,0.5229647,0.22315043,0.1244109
2017-05-31,0.68911594,0.752352,0.566891,1.9721694,0.48797017,-0.32581234,0.35022587,0.57841897,0.081586584,0.09489131,0.1169523,0.08841505,0.16002776,0.38558197,0.46466482,0.46763673,0.5025476,0.52157325,0.22317037,0.12424173
2017-06-01,0.6904289,0.75096035,0.5668635,1.9727441,0.4880807,-0.32820556,0.34897256,0.577886,0.08106624,0.09426892,0.11641852,0.08788924,0.1595857,0.3847397,0.46351656,0.46660316,0.5014442,0.52028894,0.22321415,0.12411317
2017-06-02,0.69135237,0.7496996,0.56661487,1.971968,0.48804086,-0.33007732,0.3477228,0.5772366,0.08069222,0.09380705,0.11601603,0.08749246,0.15924142,0.38397622,0.46248513,0.46564507,0.50047225,0.5191713,0.22329502,0.12404775
2017-06-03,0.6922758,0.7484389,0.5663663,1.971192,0.48800102,-0.33194908,0.34647307,0.5765872,0.08031819,0.09334518,0.11561355,0.08709568,0.15889716,0.38321272,0.46145374,0.464687,0.4995003,0.51805365,0.22337589,0.12398233
2017-06-04,0.6931993,0.7471782,0.5661177,1.970416,0.48796114,-0.33382088,0.3452233,0.57593787,0.079944156,0.09288331,0.11521106,0.0866989,0.1585529,0.38244924,0.4604223,0.4637289,0.49852836,0.516936,0.22345676,0.12391692
2017-06-05,0.69412273,0.7459175,0.5658691,1.9696399,0.4879213,-0.33569264,0.34397355,0.5752885,0.07957013,0.09242144,0.11480858,0.08630211,0.15820864,0.38168573,0.4593909,0.46277082,0.49755642,0.5158184,0.22353764,0.1238515
2017-06-06,0.6950462,0.7446568,0.5656205,1.9688638,0.48788142,-0.3375644,0.3427238,0.5746391,0.0791961,0.091959566,0.114406094,0.08590533,0.15786438,0.38092226,0.45835948,0.46181273,0.49658448,0.5147008,0.2236185,0.123786084
