date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-04-30,0.7291498,0.3507602,0.3399831,1.2389606,0.3834812,-0.5762777,0.14427091,0.39636284,0.014813605,0.020478087,0.040806003,0.03205013,0.08196107,0.16201277,0.18500789,0.20857029,0.2109891,0.20913443,0.1568291,0.09058802
2017-05-01,0.7348422,0.35990232,0.34887147,1.3231951,0.39193806,-0.57743543,0.15202625,0.40561572,0.0145842945,0.020268619,0.04075884,0.031594027,0.081758246,0.16599534,0.19046769,0.21366978,0.21639915,0.2147591,0.1569578,0.08985115
2017-05-02,0.7407046,0.36944675,0.35814098,1.4068313,0.40056822,-0.5783715,0.16012524,0.41524267,0.014341465,0.020061787,0.040745273,0.03113652,0.08160218,0.17021333,0.19618744,0.21902457,0.22205935,0.22065456,0.1571058,0.089096665
2017-05-03,0.74672186,0.3793575,0.36775747,1.4899226,0.4093561,-0.57910585,0.16853711,0.4252102,0.0140863275,0.01985736,0.040762298,0.030677736,0.08148869,0.17464562,0.2021439,0.22461179,0.22794732,0.22679658,0.15727139,0.088326156
2017-05-04,0.7528787,0.3895985,0.37768683,1.5725229,0.41828623,-0.5796583,0.17723109,0.43548483,0.013820093,0.019655097,0.0408069,0.030217798,0.08141358,0.17927115,0.20831373,0.2304086,0.23404065,0.2331609,0.15745279,0.08754119
2017-05-05,0.7591599,0.4001337,0.38789496,1.6546856,0.42734307,-0.5800487,0.1861764,0.44603303,0.013543971,0.019454764,0.040876076,0.029756835,0.08137267,0.18406884,0.21467371,0.2363921,0.24031693,0.23972325,0.15764832,0.08674335
2017-05-06,0.7655503,0.4109271,0.39834768,1.7364643,0.43651113,-0.5802968,0.19534226,0.45682132,0.013259172,0.019256124,0.040966813,0.029294971,0.08136177,0.18901761,0.22120053,0.24253947,0.24675375,0.24645941,0.15785624,0.0859342
2017-05-07,0.7720346,0.42194268,0.4090109,1.8179126,0.44577488,-0.5804226,0.20469789,0.4678162,0.0129669085,0.019058941,0.0410761,0.028832331,0.081376694,0.19409637,0.2278709,0.2488278,0.25332874,0.2533451,0.15807481,0.08511533
2017-05-08,0.77859753,0.43314442,0.41985044,1.899084,0.45511878,-0.5804458,0.21421254,0.47898415,0.012668389,0.01886298,0.041200936,0.028369043,0.081413254,0.19928406,0.23466156,0.25523427,0.26001948,0.2603561,0.1583023,0.08428831
2017-05-09,0.78522396,0.44449624,0.4308322,1.9800322,0.46452737,-0.58038634,0.2238554,0.49029168,0.012364826,0.018668003,0.04133831,0.027905231,0.08146726,0.20455958,0.24154922,0.261736,0.26680356,0.26746812,0.15853702,0.08345471
