date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-03-29,0.6676981,0.3551236,0.3278961,1.33802,0.393665,-0.2098626,0.50343394,0.7035258,0.024583135,0.036673322,0.05035097,0.046122644,0.08642251,0.17791122,0.19591232,0.22009677,0.21330215,0.20399237,0.07228636,0.038056184
2017-03-30,0.6649986,0.35371545,0.3265808,1.3285886,0.3919548,-0.21700877,0.4941698,0.69470745,0.025288088,0.036838688,0.05059307,0.04650854,0.086764745,0.17776072,0.19587263,0.21987379,0.21340059,0.20447053,0.07443547,0.039632086
2017-03-31,0.66149896,0.3522869,0.32517087,1.3166969,0.3898004,-0.22481093,0.48335305,0.6843119,0.026170932,0.037117865,0.050960638,0.047046285,0.087265514,0.17773801,0.19599198,0.21981964,0.21368267,0.2051585,0.07703429,0.041536294
2017-04-01,0.6573103,0.3508408,0.32367948,1.3026866,0.3872634,-0.23317797,0.47119936,0.67255825,0.027206961,0.037495054,0.051436245,0.04771479,0.08790279,0.17782533,0.19624826,0.21991086,0.21412288,0.20602717,0.080020346,0.043723207
2017-04-02,0.65254384,0.34938002,0.3221197,1.2868993,0.3844055,-0.24201882,0.4579243,0.65966547,0.028371468,0.037954442,0.05200247,0.048492964,0.088654555,0.17800492,0.1966194,0.22012402,0.21469574,0.20704736,0.08333118,0.04614723
2017-04-03,0.6473106,0.3479073,0.32050475,1.2696768,0.38128847,-0.2512423,0.4437436,0.6458527,0.029639743,0.038480222,0.052641883,0.04935972,0.08949879,0.17825904,0.19708331,0.22043565,0.21537572,0.20818993,0.086904354,0.048762765
2017-04-04,0.6417218,0.34642553,0.31884775,1.2513609,0.37797397,-0.2607574,0.42887282,0.6313389,0.030987084,0.039056584,0.05333706,0.050293963,0.09041348,0.17856997,0.19761789,0.22082233,0.21613733,0.20942578,0.09067739,0.05152421
2017-04-05,0.63588846,0.34493756,0.31716183,1.2322931,0.3745237,-0.27047288,0.41352767,0.6163432,0.032388777,0.039667726,0.054070573,0.051274605,0.09137662,0.17891993,0.19820108,0.22126059,0.21695507,0.21072572,0.09458783,0.05438597
2017-04-06,0.6299218,0.34344617,0.31546012,1.2128153,0.37099943,-0.28029773,0.3979237,0.6010846,0.033820122,0.040297836,0.054825,0.052280556,0.09236617,0.17929119,0.19881076,0.22172698,0.21780339,0.21206065,0.09857323,0.05730245
2017-04-07,0.6239329,0.3419542,0.3137558,1.193269,0.36746278,-0.2901408,0.38227665,0.58578223,0.03525641,0.04093111,0.05558291,0.053290725,0.09336012,0.17966598,0.19942486,0.22219808,0.21865682,0.21340139,0.102571115,0.06022805
