date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-03-30,0.8381912,0.7320235,0.6897794,3.3713121,0.592269,-0.55663615,0.35255915,0.5694667,0.024974236,0.030826267,0.06423257,0.03758368,0.113257125,0.39593834,0.45874357,0.46579266,0.47063357,0.47527224,0.21897116,0.12446462
2017-03-31,0.8415763,0.74535775,0.7032928,3.460715,0.597798,-0.5491951,0.3661817,0.58306086,0.024299704,0.030504636,0.06471101,0.03724856,0.112856954,0.400416,0.4664548,0.47742063,0.47838184,0.4822382,0.21684234,0.12185876
2017-04-01,0.8446816,0.75812393,0.7162527,3.5466635,0.60299605,-0.5420172,0.37926757,0.59624743,0.023706684,0.030226046,0.06520835,0.036998313,0.11257602,0.40467775,0.47379646,0.4884802,0.4857605,0.48888084,0.21475962,0.11933449
2017-04-02,0.84748256,0.7702136,0.7285389,3.627739,0.607808,-0.53507525,0.3917513,0.6088611,0.02319415,0.029989637,0.06572166,0.036828637,0.11240665,0.408739,0.48076972,0.49896178,0.49277794,0.4951947,0.21273986,0.11692492
2017-04-03,0.84995455,0.7815183,0.74003124,3.7025225,0.6121786,-0.52834165,0.40356734,0.62073654,0.02276107,0.029794551,0.066248,0.03673523,0.11234118,0.41261512,0.48737574,0.5088558,0.4994426,0.5011744,0.2107999,0.11466313
2017-04-04,0.8520728,0.7919296,0.75060964,3.7695956,0.6160528,-0.52178913,0.4146503,0.63170844,0.022406412,0.029639931,0.06678442,0.036713775,0.11237195,0.4163215,0.4936157,0.51815265,0.505763,0.5068144,0.20895664,0.11258224
2017-04-05,0.8538127,0.80133903,0.7601539,3.8275394,0.6193753,-0.51539034,0.42493463,0.64161164,0.02212915,0.029524917,0.06732798,0.036759976,0.1124913,0.41987354,0.49949077,0.52684283,0.5117475,0.5121094,0.20722693,0.11071533
2017-04-06,0.8551496,0.80963814,0.7685438,3.8749352,0.622091,-0.50911784,0.43435487,0.6502808,0.021928255,0.029448649,0.06787575,0.036869526,0.11269157,0.4232866,0.50500214,0.5349167,0.5174045,0.5170539,0.20562762,0.109095514
2017-04-07,0.8560589,0.8167186,0.77565926,3.9103644,0.6241446,-0.5029443,0.44284555,0.6575506,0.021802694,0.029410271,0.06842477,0.037038118,0.112965085,0.42657608,0.510151,0.5423647,0.52274257,0.5216425,0.20417559,0.107755885
2017-04-08,0.8565159,0.82247186,0.7813801,3.932408,0.62548107,-0.49684224,0.45034114,0.66325575,0.021751437,0.029408924,0.06897212,0.037261445,0.11330419,0.4297574,0.51493853,0.5491773,0.5277701,0.5258697,0.20288768,0.10672954
2017-04-09,0.8564959,0.8267895,0.7855862,3.9396477,0.6260451,-0.4907844,0.4567762,0.667231,0.02177346,0.029443748,0.06951484,0.037535205,0.113701224,0.4328459,0.51936585,0.5553448,0.5324955,0.5297302,0.20178078,0.10604958
2017-04-10,0.8559563,0.8300036,0.78866833,3.9367642,0.6259092,-0.48453555,0.4622919,0.67009026,0.021939686,0.02954593,0.07007951,0.037932064,0.11426886,0.43575385,0.52337414,0.56088316,0.53685385,0.53320694,0.20079625,0.10560475
2017-04-11,0.8549355,0.8325718,0.7911462,3.9299316,0.62525254,-0.478034,0.46713158,0.6725908,0.022292115,0.029734952,0.07068829,0.03850324,0.11508899,0.43839374,0.52692765,0.5658251,0.5407878,0.53630424,0.19985905,0.10524987
2017-04-12,0.85353047,0.83457386,0.7930932,3.9199696,0.6241802,-0.47151253,0.471383,0.6747825,0.022786323,0.029992413,0.07133164,0.039212245,0.116107784,0.44078135,0.5300625,0.5701868,0.54431725,0.5390485,0.19896144,0.10496718
2017-04-13,0.851838,0.8360897,0.7945824,3.9076989,0.6227971,-0.46520406,0.47513402,0.67671525,0.023377882,0.030299908,0.07200003,0.040022593,0.117271416,0.44293243,0.53281456,0.57398427,0.547462,0.54146606,0.19809565,0.10473889
2017-04-14,0.8499551,0.83719903,0.7956871,3.893939,0.6212082,-0.4593414,0.47847232,0.67843896,0.024022367,0.030639032,0.07268389,0.040897798,0.11852605,0.44486272,0.53521985,0.5772336,0.5502419,0.5435833,0.19725391,0.10454726
2017-04-15,0.84797865,0.8379818,0.7964804,3.8795106,0.6195186,-0.45415744,0.48148575,0.68000335,0.02467535,0.030991381,0.073373705,0.04180137,0.11981786,0.44658798,0.5373143,0.5799509,0.5526767,0.54542655,0.1964285,0.10437451
