date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2021-01-10,0.36773986,0.21248482,0.1889039,0.487785,0.1897161,-0.1967588,0.21694773,0.38083285,0.046217874,0.061715767,0.082037255,0.08753503,0.123561695,0.1699812,0.18399294,0.19440371,0.1925344,0.19090527,0.12346839,0.08536847
2021-02-24,0.35641605,0.21089375,0.21728376,0.44533157,0.1778285,-0.4130201,0.021021742,0.18945828,0.031591296,0.049739845,0.1003115,0.118781,0.16794543,0.22624427,0.24232924,0.2525372,0.25538915,0.2599879,0.2409555,0.17116776
2021-02-27,0.40155855,0.23423813,0.23877515,0.5216705,0.20114586,-0.41489464,0.059748657,0.22056407,0.025030416,0.045574836,0.09073715,0.10472341,0.15314421,0.21614149,0.23238474,0.2480546,0.24552152,0.25138575,0.2186137,0.15730232
2021-03-01,0.40530157,0.26375633,0.25344238,0.5447707,0.20803645,-0.41929558,0.05495007,0.19488177,0.04121597,0.061304733,0.09837371,0.11324829,0.16132414,0.22816822,0.24758685,0.2690131,0.25959978,0.2611478,0.24033326,0.18124413
2021-03-06,0.4409855,0.27634993,0.27134836,0.61340976,0.22827278,-0.41935796,0.09170668,0.27963653,0.042882763,0.051728338,0.090079516,0.10179749,0.150419,0.2223559,0.24190617,0.26597628,0.25544688,0.2524292,0.21993735,0.14895841
2021-03-19,0.44563442,0.2933241,0.27960962,0.6405674,0.23490617,-0.39317328,0.1128221,0.29204565,0.045908418,0.058293313,0.094249144,0.10316861,0.15526357,0.23398682,0.2533075,0.27350092,0.26586717,0.2681464,0.21648878,0.14901426
2021-03-24,0.4584356,0.30886617,0.29123408,0.70622325,0.24936157,-0.41731945,0.08417755,0.24165054,0.039783724,0.060854584,0.09794405,0.10425779,0.15840353,0.24301326,0.26538754,0.28160468,0.27519006,0.28054062,0.23712017,0.17270604
2021-03-29,0.48123604,0.33442152,0.31497315,0.8112153,0.27650145,-0.4092242,0.12411666,0.28469044,0.048164003,0.06096313,0.097523406,0.10425212,0.15598539,0.25115943,0.277122,0.29786804,0.28963807,0.292312,0.23175314,0.16714525
2021-03-31,0.4847414,0.35532612,0.32971764,0.91398454,0.29741997,-0.4280551,0.104691386,0.24486522,0.05135531,0.06726813,0.104155004,0.11140975,0.1632632,0.267133,0.30197468,0.31777027,0.31293178,0.31921577,0.25854534,0.19764164
2021-04-08,0.46405905,0.35628548,0.33791775,0.85804784,0.28070205,-0.43801552,0.09873604,0.21944547,0.05780618,0.07066105,0.112023264,0.12666383,0.17893884,0.288009,0.32161143,0.34773862,0.33817202,0.3428293,0.28290933,0.22217453
2021-04-13,0.631573,0.31617618,0.29440743,1.5713657,0.4276784,-0.39461097,0.28576314,0.48457366,0.025546264,0.03641375,0.052169576,0.04990548,0.08311347,0.17344889,0.20348045,0.211041,0.21758936,0.21894577,0.12512201,0.08347916
2021-04-15,0.5013669,0.35302728,0.32788447,0.9590726,0.30277103,-0.43993878,0.13126844,0.29213607,0.059898525,0.06071925,0.09086707,0.10038659,0.14981487,0.24956131,0.2816276,0.30087268,0.29776633,0.30091643,0.23085654,0.16731763
2021-04-23,0.5376062,0.3823375,0.36408716,1.305924,0.36463928,-0.47558868,0.14844093,0.27114064,0.038410846,0.05486571,0.08574513,0.0960474,0.13442114,0.24573421,0.2896276,0.31943193,0.30622172,0.3053162,0.23620316,0.18481264
