date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2021-02-23,0.39427012,0.19018988,0.18604651,0.49033037,0.19332379,-0.5188131,-0.044675626,0.13148797,0.015575276,0.041668054,0.063352436,0.078723416,0.11367263,0.14999492,0.16895781,0.18128,0.19295996,0.22585495,0.19637497,0.13794586
2021-02-25,0.4376425,0.20733815,0.20835136,0.5423535,0.20697634,-0.5560683,-0.056982283,0.14809115,0.019560024,0.033682834,0.060613934,0.07316059,0.11055107,0.15121272,0.16983268,0.18788046,0.19684009,0.20254418,0.20657305,0.13668387
2021-03-05,0.4589943,0.25698024,0.22514458,0.62122536,0.22795612,-0.519599,-0.000602395,0.17826052,0.054890484,0.062487952,0.07128447,0.08104328,0.114779085,0.15985665,0.18001674,0.20821731,0.20846254,0.21082467,0.20454071,0.1452216
2021-03-12,0.42841235,0.2612985,0.21912856,0.574087,0.21565075,-0.46969193,0.013224558,0.1948874,0.060256705,0.06859373,0.07677783,0.08596323,0.12218136,0.16810217,0.18848626,0.21087356,0.21649988,0.22272697,0.20183283,0.14195564
2021-03-30,0.4795984,0.24842627,0.2367865,0.72384065,0.25200263,-0.58664757,-0.072361976,0.12620105,0.035310812,0.040029183,0.0596726,0.06795474,0.1060811,0.16078189,0.18302558,0.1994448,0.2102127,0.21296619,0.22234899,0.14958179
2021-04-21,0.5612911,0.35894802,0.31968468,1.0942538,0.3250439,-0.5266515,0.056484025,0.2613905,0.04174283,0.052464757,0.06771365,0.067958996,0.110290475,0.19287126,0.22456336,0.25079784,0.25123146,0.2543226,0.21870577,0.14362139
2021-05-09,0.6908559,0.41095045,0.3926646,1.6746264,0.41273144,-0.5401096,0.16782348,0.41384372,0.027575228,0.03081079,0.055553995,0.04764244,0.099826925,0.20965727,0.24986494,0.26598927,0.27622542,0.27785695,0.18512507,0.10922117
2021-05-21,0.8053752,0.6545328,0.5774488,2.7070267,0.53553146,-0.4411982,0.36709085,0.6060492,0.036944274,0.043687247,0.069961116,0.042541806,0.108894445,0.29392758,0.36059338,0.38683948,0.3844069,0.38797167,0.17860878,0.09706805
2021-05-24,0.82544297,0.6499388,0.5829112,3.0840578,0.56503594,-0.4632754,0.39775783,0.6286527,0.030307548,0.036315575,0.06043814,0.036426093,0.09871584,0.28540257,0.3574543,0.38062936,0.3823359,0.38597438,0.16398716,0.08863923
2021-05-31,0.85105693,0.660055,0.616532,3.50997,0.59912604,-0.5158329,0.40527582,0.6403591,0.019208461,0.028539998,0.054264463,0.031942923,0.09070889,0.28710324,0.36199299,0.39400572,0.38432342,0.39072037,0.167283,0.089109756
2021-06-08,0.7543359,0.65765274,0.543278,3.304933,0.58993024,-0.3786296,0.40263623,0.6474459,0.0725436,0.06288925,0.07498457,0.055096693,0.100595586,0.2944467,0.38584194,0.38554233,0.40867376,0.41313395,0.1676599,0.08618847
2021-06-18,0.8343278,0.6079334,0.5763879,4.144311,0.6425863,-0.5722262,0.37925917,0.6453586,0.025031628,0.02608183,0.045975693,0.033062182,0.07778551,0.26672196,0.35689843,0.36669692,0.38589403,0.38975835,0.16388762,0.079191156
2021-07-10,0.74765754,0.59984803,0.51596093,3.6700602,0.5771737,-0.48380122,0.33635235,0.59063923,0.04849895,0.053314198,0.06625024,0.053065073,0.09412637,0.26684335,0.3482666,0.36163685,0.3725054,0.38033196,0.17904021,0.09329991
2021-07-15,0.7441556,0.56321925,0.49954483,3.5638847,0.57307535,-0.51059246,0.30891013,0.59112054,0.04697727,0.04488344,0.059179217,0.047855515,0.088212505,0.25892973,0.33447224,0.3421295,0.36420286,0.36402318,0.17897335,0.08681821
2021-07-18,0.6962998,0.49603418,0.45214984,3.1919067,0.5356832,-0.51625514,0.2739072,0.54065096,0.042513024,0.043797564,0.060881287,0.057302017,0.093881615,0.24144562,0.31310865,0.32082674,0.34223148,0.3454624,0.1821052,0.09552023
2021-07-23,0.61519194,0.5183759,0.4157988,2.5168402,0.4821328,-0.37414855,0.285851,0.5280807,0.07389445,0.07938746,0.08780271,0.08304064,0.11580777,0.2506891,0.32304436,0.33640876,0.34977916,0.36206472,0.19429755,0.11101943
2021-07-25,0.6490658,0.4963774,0.44229415,2.9309146,0.49420136,-0.50082237,0.23163185,0.4983431,0.05573564,0.05864756,0.0774838,0.07860993,0.11938303,0.26715496,0.33860666,0.34608003,0.37166962,0.3720544,0.22316182,0.12184953
2021-08-14,0.7123229,0.5117124,0.4739966,3.297761,0.53773266,-0.5761354,0.23042503,0.49448436,0.039244004,0.04390524,0.06423237,0.062426694,0.10268009,0.25541034,0.3239419,0.33683693,0.35647273,0.358212,0.21962456,0.1264517
2021-09-01,0.67054456,0.47266063,0.4081984,2.8045244,0.51162785,-0.4779028,0.24885954,0.47185302,0.052867893,0.058394488,0.0701358,0.06365732,0.09721914,0.22525416,0.28657925,0.2977235,0.31118575,0.3127179,0.1855548,0.11628863
2021-09-03,0.7242913,0.48193184,0.4485238,3.213643,0.5388198,-0.5587431,0.253368,0.51015437,0.03641802,0.0393992,0.05811962,0.053104535,0.0904791,0.22875418,0.28787687,0.30596334,0.31501728,0.31896207,0.18902078,0.110143624
2021-09-06,0.6978706,0.4697752,0.428945,2.7937784,0.51759994,-0.5198062,0.2485687,0.49430758,0.043240257,0.043926746,0.061472654,0.055846397,0.092731364,0.22367954,0.2818437,0.29789206,0.30972767,0.31272513,0.18438941,0.11003088
2021-09-08,0.73584205,0.478697,0.4464915,3.4988065,0.5500256,-0.59369475,0.23873857,0.48550352,0.024294926,0.037245568,0.0541309,0.049828585,0.08623166,0.21865954,0.28111282,0.29797134,0.30748838,0.31048682,0.18982771,0.11625745
2021-09-11,0.6374827,0.42091787,0.34787515,2.5450928,0.4945374,-0.35459113,0.29291436,0.49970305,0.06602836,0.06355864,0.06744264,0.057237312,0.08765155,0.19801709,0.25244394,0.25205812,0.27375722,0.2851138,0.14318745,0.09051909
2021-09-26,0.6932236,0.41922083,0.39589787,2.694055,0.50699747,-0.5548266,0.21191454,0.46853402,0.032652922,0.03573787,0.05550728,0.05234439,0.090578616,0.21292473,0.26571122,0.26973882,0.29560938,0.2950868,0.18151315,0.10993672
2021-10-13,0.6265799,0.45800078,0.39202553,1.8161005,0.41993517,-0.4355283,0.24169976,0.43826887,0.07764247,0.0671353,0.08473062,0.078002125,0.12245311,0.24413736,0.2875868,0.31451973,0.31785604,0.33196342,0.19315162,0.12838997
2021-10-23,0.5265676,0.3229773,0.27014306,1.0261418,0.31105533,-0.33085597,0.21126081,0.3930812,0.071202375,0.06792167,0.08237066,0.076435186,0.11417243,0.18617249,0.20972446,0.22872151,0.23329599,0.24909727,0.15150991,0.10439093
2021-10-28,0.6872612,0.365762,0.36472178,1.439519,0.39411378,-0.5684498,0.19214618,0.45066246,0.008098242,0.02460139,0.050670877,0.04949211,0.09771496,0.18645158,0.21954076,0.24953556,0.26006803,0.26246905,0.17021833,0.10122407
2021-11-02,0.6119104,0.31818187,0.32230663,1.0063989,0.31980598,-0.5689723,0.13340366,0.4008442,0.017654728,0.025219213,0.052422836,0.058474243,0.10817537,0.18153866,0.21014099,0.23764797,0.25412974,0.25692058,0.1798665,0.10479167
2021-11-17,0.5841343,0.32392776,0.30307943,0.8824981,0.28863832,-0.57420886,0.10154451,0.30900487,0.02893974,0.042756174,0.061041962,0.0675129,0.11794077,0.18644838,0.21395071,0.24092281,0.25429562,0.27081922,0.19099267,0.12787913
2021-11-22,0.5984889,0.28191856,0.2838479,0.9326693,0.29511237,-0.6264011,0.08664803,0.32421356,0.013853749,0.021767618,0.04142741,0.05111753,0.09263231,0.15382354,0.17599869,0.2050078,0.20962617,0.22397898,0.16464931,0.101224855
2021-11-25,0.22704452,0.14986376,0.10213884,0.18195505,0.0771185,-0.24653095,-0.010614796,0.05092544,0.12656647,0.109084524,0.10198837,0.103985585,0.12479112,0.14037064,0.14447322,0.16144677,0.15764268,0.25874734,0.16493261,0.14728533
2021-12-02,0.63916904,0.30370376,0.2988526,1.1682237,0.33832213,-0.61944836,0.113447115,0.35412586,0.014545256,0.020910395,0.037340913,0.04179506,0.083342165,0.15599902,0.17716505,0.20220241,0.20640706,0.1961043,0.15252092,0.08993618
