date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2021-04-15,0.37367743,0.20572652,0.1783486,0.62598777,0.2052423,0.13898097,0.51269555,0.67202103,0.095303506,0.10802467,0.11990911,0.119719,0.1488638,0.19821647,0.20634857,0.21895048,0.21262155,0.20448425,0.07379078,0.04516033
2021-04-16,0.3882278,0.21625297,0.18966171,0.6244884,0.20689683,0.06595729,0.46585923,0.6422608,0.08600493,0.09605995,0.10971154,0.11037537,0.14099115,0.19136362,0.2008078,0.21628207,0.20950446,0.1975262,0.08365786,0.049691897
2021-04-17,0.40766728,0.22338334,0.1983569,0.64834714,0.21536598,-0.0075105205,0.420061,0.609558,0.07666311,0.084202155,0.09898323,0.10018918,0.13162374,0.18280886,0.19350009,0.21050116,0.20424637,0.19105299,0.09082637,0.053816393
2021-04-18,0.4357298,0.22762278,0.20483033,0.7061312,0.23378724,-0.082805075,0.3736389,0.5697204,0.06691673,0.0712442,0.08605074,0.08709237,0.11828005,0.16989054,0.1818747,0.19901453,0.19466549,0.18436386,0.095718384,0.057594046
2021-04-19,0.46869496,0.23139338,0.210197,0.7792943,0.2569604,-0.1591843,0.32929364,0.52564335,0.05706203,0.05854207,0.072155505,0.07266162,0.1029923,0.1548913,0.16820505,0.18466637,0.1829649,0.17839722,0.099819906,0.06096944
2021-04-20,0.4929164,0.2348777,0.21457738,0.8294555,0.27206564,-0.23227832,0.29149196,0.49137452,0.04820458,0.049663603,0.06258319,0.0635224,0.09395243,0.14664702,0.16102684,0.17679259,0.17676046,0.17501293,0.103214025,0.063965425
2021-04-21,0.5073998,0.23826385,0.21842079,0.854544,0.2786297,-0.2955445,0.26143637,0.46851033,0.041161507,0.044610184,0.057520084,0.059624165,0.091007665,0.14484657,0.15998915,0.17554563,0.1759545,0.17377727,0.106293164,0.06668989
2021-04-22,0.5203173,0.24161218,0.22209293,0.8780884,0.2847321,-0.34629086,0.23691386,0.4490471,0.035856877,0.040883373,0.05354219,0.0564447,0.08851322,0.14327201,0.15904409,0.1747941,0.17534868,0.1729705,0.10937327,0.06923467
2021-04-23,0.5317723,0.2449137,0.2255887,0.90010697,0.2903825,-0.3859233,0.21726763,0.43263268,0.03205667,0.038301285,0.050519735,0.053901896,0.086423054,0.14189906,0.15818185,0.17444816,0.17490783,0.17252345,0.11242271,0.07159855
2021-04-24,0.5418682,0.2481594,0.22890303,0.92061764,0.2955904,-0.41584778,0.20184101,0.41891497,0.029526867,0.03668203,0.04832295,0.051913653,0.08469113,0.14070341,0.15739258,0.17441805,0.17459683,0.17236695,0.11540986,0.07378031
2021-04-25,0.55070835,0.25134024,0.23203087,0.9396386,0.3003654,-0.43747032,0.18997724,0.40754184,0.028033443,0.035843715,0.046822056,0.05039787,0.083271384,0.13966078,0.15666647,0.17461394,0.17438051,0.1724318,0.11830307,0.07577874
2021-04-26,0.5583963,0.25444725,0.23496714,0.957188,0.30471706,-0.4521968,0.18101962,0.39816114,0.02734238,0.03560446,0.045887288,0.049272437,0.08211779,0.13874689,0.15599369,0.17494601,0.17422372,0.17264883,0.121070705,0.07759261
2021-04-27,0.5650352,0.2574714,0.23770677,0.9732838,0.30865496,-0.46143323,0.17431141,0.3904207,0.027219651,0.035782367,0.04538887,0.048455253,0.08118428,0.13793744,0.1553644,0.17532447,0.17409132,0.17294888,0.12368115,0.07922071
2021-04-28,0.57072866,0.26040366,0.24024469,0.9879443,0.31218868,-0.4665856,0.16919589,0.38396844,0.02743124,0.03619555,0.04519703,0.047864217,0.08042483,0.13720816,0.15476876,0.17565951,0.17394815,0.17326275,0.12610276,0.08066183
2021-04-29,0.57558,0.26323506,0.24257582,1.0011874,0.31532776,-0.4690598,0.16501634,0.37845218,0.027743125,0.036662124,0.045181993,0.047417223,0.07979337,0.13653475,0.15419698,0.17586131,0.17375907,0.17352128,0.1283039,0.08191474
2021-04-30,0.5796926,0.26595655,0.24469513,1.0130314,0.3180818,-0.47026184,0.16111603,0.3735198,0.027921285,0.037000198,0.045213994,0.04703217,0.079243876,0.13589293,0.1536392,0.17584008,0.17348893,0.17365527,0.13025294,0.082978226
2021-05-01,0.5831699,0.26855916,0.24659748,1.0234942,0.32046035,-0.47159767,0.15683824,0.36881918,0.027731698,0.03702788,0.045163255,0.04662695,0.078730285,0.1352584,0.15308559,0.17550601,0.17310257,0.17359556,0.13191824,0.08385108
2021-05-02,0.58611524,0.27103382,0.24827787,1.0325942,0.322473,-0.47447324,0.15152624,0.36399817,0.026940342,0.036563285,0.044900004,0.046119466,0.078206554,0.1346069,0.15252635,0.17476928,0.17256485,0.17327298,0.13326818,0.08453207
2021-05-03,0.5884888,0.27259487,0.24929017,1.0400245,0.32415825,-0.47847462,0.14553663,0.35923097,0.025782565,0.03579261,0.04448906,0.04553702,0.0776645,0.1339446,0.15196417,0.17375132,0.17192201,0.17276487,0.13427506,0.08499604
2021-05-04,0.5902659,0.27266455,0.24933912,1.0457199,0.3255871,-0.48226145,0.1397233,0.354921,0.0246481,0.03502325,0.044081602,0.044960674,0.07712654,0.13329394,0.15140817,0.17264767,0.17124861,0.17220238,0.1349652,0.085241266
2021-05-05,0.591573,0.27154592,0.24864587,1.0500605,0.32681778,-0.4858502,0.13417543,0.35105994,0.02353452,0.034255072,0.043677405,0.04438896,0.07659254,0.13265498,0.15085812,0.17147964,0.170552,0.17159706,0.13538791,0.085301735
2021-05-06,0.5925363,0.26954195,0.2474316,1.0534265,0.32790858,-0.48925716,0.1289822,0.34763944,0.022439385,0.033487964,0.043276235,0.04382041,0.07606236,0.13202778,0.1503138,0.17026858,0.16983949,0.17096043,0.13559255,0.0852114
2021-05-07,0.59328204,0.26695567,0.24591747,1.0561982,0.32891774,-0.49249882,0.12423282,0.34465116,0.021360265,0.03272181,0.04287786,0.043253556,0.07553587,0.13141242,0.14977494,0.1690358,0.16911839,0.17030403,0.13562845,0.08500424
2021-05-08,0.59393674,0.2640901,0.24432462,1.0587555,0.32990354,-0.49559152,0.120016456,0.34208682,0.020294726,0.03195649,0.04248206,0.042686924,0.07501293,0.13080895,0.14924134,0.16780268,0.16839604,0.1696394,0.13554496,0.08471422
2021-05-09,0.59462655,0.2612482,0.24287425,1.0614789,0.33092424,-0.49855167,0.1164223,0.33993804,0.019240336,0.031191885,0.042088598,0.04211905,0.0744934,0.13021743,0.14871278,0.16659051,0.16767977,0.16897805,0.13539138,0.0843753
2021-05-10,0.59547794,0.258733,0.2417875,1.064748,0.3320381,-0.5013957,0.11353955,0.33819652,0.018194659,0.030427875,0.04169725,0.04154846,0.07397715,0.12963794,0.14818901,0.16542065,0.1669769,0.16833153,0.1352171,0.084021464
2021-05-11,0.59661704,0.25684753,0.24128552,1.0689436,0.3333034,-0.50413996,0.111457385,0.3368539,0.017155262,0.029664345,0.04130778,0.04097369,0.07346404,0.12907054,0.14766978,0.16431443,0.16629475,0.16771138,0.13507141,0.083686665
2021-05-12,0.59817034,0.25589478,0.2415895,1.0744455,0.33477834,-0.50680083,0.110265,0.3359019,0.016119713,0.028901175,0.040919967,0.04039327,0.07295394,0.12851527,0.1471549,0.16329318,0.16564065,0.16712913,0.13500369,0.083404884
2021-05-13,0.6008107,0.2558047,0.24284959,1.0835019,0.33686164,-0.5092804,0.11063954,0.3365327,0.0151665285,0.028149618,0.04054234,0.039786585,0.072463915,0.12810642,0.1467856,0.16249143,0.16515736,0.16672586,0.13483343,0.08302628
2021-05-14,0.60500264,0.25629026,0.24499796,1.0977106,0.33984333,-0.51147246,0.11303666,0.33973694,0.014370887,0.027420456,0.040183175,0.03913736,0.07201015,0.12796973,0.14669527,0.1620197,0.16497384,0.16662559,0.1343707,0.0823983
2021-05-15,0.61055946,0.2573291,0.24792886,1.1164757,0.34361857,-0.5133814,0.11721334,0.34520355,0.013725339,0.026712865,0.039841823,0.03845065,0.07159118,0.12809265,0.14687192,0.16186334,0.16507679,0.16681431,0.13365057,0.08155084
2021-05-16,0.61729467,0.2588989,0.25153652,1.1392013,0.34808266,-0.51501155,0.122926526,0.35262164,0.013222443,0.026026022,0.039517652,0.037731513,0.07120551,0.12846254,0.14730352,0.1620077,0.16545284,0.16727799,0.13270819,0.08051376
2021-05-17,0.6250216,0.2609772,0.2557151,1.1652919,0.35313082,-0.516367,0.1299332,0.3616802,0.012854749,0.0253591,0.03921002,0.03698499,0.07085168,0.12906682,0.14797805,0.16243814,0.16608866,0.16800258,0.13157867,0.079316966
2021-05-18,0.63355374,0.2635417,0.2603589,1.1941515,0.35865825,-0.5174522,0.1379903,0.37206832,0.012614813,0.024711275,0.03891829,0.036216144,0.0705282,0.12989289,0.1488835,0.16314,0.16697092,0.16897407,0.1302971,0.07799033
2021-05-19,0.6427045,0.26656997,0.26536208,1.2251844,0.36456022,-0.5182714,0.1468548,0.383475,0.012495188,0.024081726,0.038641825,0.035430018,0.070233606,0.13092813,0.15000786,0.16409862,0.1680863,0.17017841,0.12889858,0.076563746
2021-05-20,0.6522873,0.27003962,0.2706189,1.2577949,0.37073195,-0.51882875,0.15628366,0.39558932,0.012488429,0.023469627,0.038379986,0.034631666,0.069966406,0.13215996,0.15133908,0.16529936,0.16942143,0.17160158,0.12741825,0.075067095
2021-05-21,0.6621155,0.2739283,0.27602357,1.2913871,0.3770687,-0.5191287,0.16603386,0.40810028,0.01258709,0.02287415,0.038132135,0.033826143,0.06972513,0.13357577,0.15286519,0.16672756,0.170963,0.17322953,0.12589121,0.073530264
2021-05-22,0.6720026,0.27821368,0.2814703,1.3253653,0.38346565,-0.5191754,0.17586234,0.42069697,0.012783724,0.022294477,0.03789763,0.033018496,0.069508314,0.13516296,0.15457414,0.16836858,0.17269766,0.17504826,0.124352574,0.071983136
2021-05-23,0.68176204,0.28287327,0.2868533,1.3591338,0.38981807,-0.5189733,0.18552609,0.4330684,0.013070885,0.021729778,0.037675843,0.03221378,0.069314465,0.13690892,0.15645392,0.17020777,0.17461209,0.17704372,0.12283744,0.070455596
2021-05-24,0.6912072,0.2878848,0.29206684,1.3920966,0.3960212,-0.51852643,0.19478205,0.44490358,0.013441128,0.02117923,0.03746612,0.03141705,0.06914211,0.13880107,0.15849252,0.17223047,0.17669293,0.17920187,0.12138093,0.06897753
2021-05-25,0.70015144,0.29322582,0.29700512,1.4236583,0.40197024,-0.5178393,0.20338719,0.45589164,0.013887005,0.020642012,0.037267838,0.03063335,0.06898977,0.14082678,0.16067791,0.17442201,0.17892687,0.18150869,0.120018154,0.06757882
2021-05-26,0.70840824,0.29887396,0.30156234,1.4532226,0.40756047,-0.5169161,0.21109846,0.46572155,0.014401073,0.020117298,0.037080348,0.029867738,0.06885598,0.14297347,0.1629981,0.17676778,0.18130055,0.18395016,0.11878423,0.06628935
2021-05-27,0.715791,0.3048069,0.30563274,1.4801942,0.41268706,-0.5157611,0.21767285,0.47408235,0.014975883,0.019604262,0.036903013,0.029125266,0.06873924,0.14522852,0.16544104,0.1792531,0.18380065,0.18651222,0.11771425,0.06513901
2021-05-28,0.7221132,0.3110022,0.30911052,1.5039772,0.41724533,-0.51437855,0.22286731,0.48066312,0.015603991,0.01910208,0.0367352,0.02841098,0.0686381,0.14757936,0.16799474,0.18186334,0.18641382,0.18918087,0.11684333,0.06415768
2021-05-29,0.72718817,0.3174375,0.31188995,1.5239756,0.42113045,-0.5127728,0.22643879,0.48515287,0.01627795,0.018609928,0.036576267,0.027729938,0.06855107,0.15001334,0.17064716,0.18458381,0.18912674,0.19194204,0.116206594,0.06337525
2021-05-30,0.7308294,0.32409045,0.31386518,1.5395939,0.42423767,-0.51094806,0.22814427,0.48724067,0.016990315,0.018126983,0.036425576,0.02708719,0.06847668,0.15251791,0.1733863,0.18739991,0.19192606,0.19478174,0.11583914,0.0628216
2021-05-31,0.6754562,0.34344062,0.310673,1.4332951,0.40135795,-0.44365487,0.21728234,0.45980686,0.03248138,0.034367505,0.049504116,0.038627174,0.080152035,0.16531582,0.18764447,0.20066217,0.20543163,0.21304238,0.12730205,0.07430454
2021-06-01,0.623182,0.36515528,0.30637676,1.3535151,0.3798676,-0.37792826,0.20910127,0.43425483,0.048460096,0.050582014,0.06294288,0.050161958,0.092599206,0.1799207,0.20401287,0.21579345,0.22109893,0.23367473,0.1401071,0.08557568
2021-06-02,0.64342517,0.36505583,0.3085288,1.4362081,0.3953266,-0.39550656,0.21725778,0.44201046,0.041666415,0.044941697,0.058452487,0.045621496,0.08802969,0.1782724,0.20312284,0.21429798,0.2201438,0.23020388,0.13638665,0.08112886
2021-06-03,0.67342466,0.3545657,0.31528962,1.5343485,0.41946664,-0.42769775,0.22743979,0.45582563,0.027613545,0.034907456,0.04953817,0.037681345,0.078106135,0.16962975,0.19516085,0.20550042,0.21190102,0.21686077,0.12702328,0.07347564
2021-06-04,0.6942659,0.35284695,0.32510567,1.621831,0.4353186,-0.44728738,0.2363756,0.47516283,0.020906944,0.029217418,0.044756193,0.03296639,0.0729312,0.16689509,0.19318603,0.20272526,0.20978932,0.21210277,0.122103505,0.06858808
