date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-04-06,0.55823773,0.24431029,0.23816366,0.83049464,0.28621215,-0.64214563,-0.05669483,0.20540445,0.023118483,0.029725011,0.04444344,0.05269448,0.08848453,0.13737549,0.15620886,0.17645368,0.18227437,0.1844861,0.19796687,0.11688483
2017-04-07,0.54467535,0.25312254,0.23937292,0.7872722,0.28084928,-0.61650854,-0.048359904,0.2052732,0.030128462,0.036061592,0.05069055,0.05821998,0.094760455,0.145911,0.16550837,0.18555251,0.19182977,0.19433072,0.20229101,0.12192322
2017-04-08,0.5317154,0.26171944,0.24065278,0.7463436,0.2757863,-0.5918144,-0.04017473,0.20529798,0.036870964,0.042162355,0.056716718,0.063545704,0.10081995,0.15419556,0.174538,0.19439374,0.20110454,0.20388927,0.20646268,0.12677924
2017-04-09,0.5193585,0.27010003,0.2420024,0.707711,0.2710238,-0.5680646,-0.03214198,0.20547844,0.043345727,0.048026744,0.06252101,0.06867063,0.10666176,0.16222753,0.18329614,0.2029752,0.21009718,0.21315986,0.21048091,0.13145167
2017-04-10,0.50760555,0.27826318,0.24342093,0.6713765,0.26656237,-0.5452605,-0.024264323,0.20581426,0.049552497,0.053654205,0.06810249,0.07359373,0.11228459,0.17000519,0.19178121,0.21129474,0.21880618,0.22214058,0.21434474,0.13593924
2017-04-11,0.4964573,0.2862079,0.24490756,0.6373425,0.2624026,-0.5234035,-0.016544426,0.20630512,0.055491008,0.05904418,0.07346021,0.07831396,0.117687196,0.17752686,0.19999157,0.21935022,0.22723004,0.23082952,0.21805319,0.14024074
2017-04-12,0.48591447,0.29393318,0.24646145,0.60561097,0.25854498,-0.5024951,-0.008984961,0.20695068,0.061161008,0.0641961,0.07859325,0.08283032,0.122868285,0.18479086,0.20792565,0.22713944,0.23536728,0.23922476,0.22160533,0.14435492
2017-04-13,0.4759778,0.30143794,0.24808176,0.5761843,0.25499013,-0.48253667,-0.0015885951,0.20775062,0.066562235,0.069109425,0.08350067,0.08714175,0.12782659,0.19179551,0.21558183,0.23466028,0.24321638,0.24732442,0.22500017,0.14828055
2017-04-14,0.46664813,0.30872113,0.24976768,0.5490645,0.25173864,-0.4635296,0.0056420024,0.2087046,0.07169443,0.07378359,0.088181525,0.09124725,0.13256083,0.19853912,0.2229585,0.24191056,0.25077584,0.25512657,0.22823676,0.15201639
2017-04-15,0.45792618,0.3157817,0.25151837,0.52425385,0.24879104,-0.44547522,0.012704162,0.20981231,0.076557346,0.07821804,0.09263489,0.095145784,0.13706975,0.20502,0.2300541,0.24888813,0.25804415,0.26262933,0.23131412,0.1555612
2017-04-16,0.4498127,0.32261866,0.25333297,0.5017546,0.24614792,-0.42837504,0.019595215,0.2110734,0.08115071,0.08241222,0.09685982,0.09883632,0.14135206,0.21123646,0.23686698,0.25559086,0.2650198,0.26983076,0.23423132,0.15891375
2017-04-17,0.4423085,0.32923093,0.25521067,0.48156884,0.24380985,-0.41223043,0.026312493,0.21248756,0.08547427,0.086365566,0.10085539,0.102317825,0.1454065,0.21718681,0.24339555,0.2620165,0.27170134,0.27672896,0.23698737,0.1620728
2017-04-18,0.43541428,0.3356175,0.25715065,0.46369883,0.2417774,-0.39704278,0.032853328,0.21405445,0.08952776,0.09007753,0.10462065,0.10558928,0.14923179,0.22286938,0.24963821,0.26816303,0.2780872,0.28332204,0.2395813,0.1650371
2017-04-19,0.42913085,0.3417773,0.25915205,0.44814676,0.24005115,-0.38281348,0.039215047,0.21577375,0.09331094,0.09354754,0.10815467,0.108649656,0.15282667,0.22828247,0.2555934,0.27402815,0.28417593,0.2896081,0.24201217,0.16780545
2017-04-20,0.42345896,0.34770927,0.26121405,0.43491477,0.23863165,-0.369544,0.045394983,0.21764511,0.09682353,0.096775055,0.11145651,0.111497924,0.15618986,0.2334244,0.26125944,0.2796098,0.28996602,0.2955852,0.24427901,0.17037657
2017-04-21,0.4183994,0.35341242,0.26333582,0.42400512,0.23751949,-0.35723567,0.05139047,0.21966824,0.10006528,0.09975951,0.11452525,0.11413305,0.15932007,0.23829347,0.26663476,0.2849058,0.29545593,0.3012514,0.24638087,0.17274925
2017-04-22,0.41395286,0.3588857,0.26551655,0.41541994,0.23671521,-0.34588993,0.057198834,0.22184277,0.10303594,0.10250035,0.117359936,0.11655402,0.16221607,0.24288802,0.2717178,0.28991398,0.3006442,0.3066049,0.24831675,0.17492226
2017-04-23,0.4101202,0.36412802,0.26775536,0.40916148,0.23621942,-0.33550817,0.06281741,0.2241684,0.10573524,0.10499702,0.11995964,0.1187598,0.16487654,0.24720635,0.2765069,0.29463217,0.3055293,0.31164372,0.2500857,0.17689434
2017-04-24,0.4069021,0.3691384,0.27005145,0.40523192,0.23603266,-0.3260918,0.068243526,0.2266448,0.108162925,0.107248954,0.12232342,0.120749354,0.16730024,0.25124675,0.28100047,0.29905823,0.31010973,0.31636596,0.25168678,0.17866427
2017-04-25,0.40429938,0.37391576,0.272404,0.40363342,0.23615554,-0.31764224,0.07347451,0.22927162,0.110318735,0.109255604,0.12445035,0.12252167,0.16948588,0.2550076,0.28519693,0.30319,0.31438404,0.3207697,0.25311902,0.1802308
2017-04-26,0.4023128,0.3784591,0.27481213,0.4043682,0.23658858,-0.31016088,0.07850771,0.23204856,0.11220242,0.11101641,0.12633948,0.1240757,0.1714322,0.25848714,0.28909466,0.3070253,0.31835067,0.32485306,0.25438145,0.1815927
2017-04-27,0.40094304,0.38276732,0.27727506,0.40743846,0.23733237,-0.3036491,0.08334043,0.23497526,0.113813706,0.11253082,0.12798989,0.12541044,0.17313792,0.2616837,0.29269207,0.310562,0.32200813,0.32861415,0.25547308,0.18274873
2017-04-28,0.40019098,0.38683942,0.27979192,0.41284636,0.23838751,-0.29810834,0.087970026,0.23805141,0.11515235,0.11379826,0.12940063,0.12652484,0.17460178,0.26459563,0.29598755,0.31379798,0.32535493,0.332051,0.25639302,0.18369767
2017-04-29,0.40005732,0.39067435,0.2823619,0.42059413,0.23975453,-0.29354,0.092393816,0.2412767,0.11621808,0.1148182,0.13057075,0.12741788,0.17582248,0.2672212,0.2989795,0.316731,0.32838956,0.33516175,0.25714022,0.18443826
2017-04-30,0.40054286,0.3942711,0.28498414,0.43068394,0.24143401,-0.28994545,0.09660913,0.24465077,0.11701065,0.11559006,0.13149936,0.12808853,0.17679878,0.2695588,0.3016663,0.31935894,0.3311105,0.33794448,0.25771376,0.18496928
2017-05-01,0.40164828,0.39762858,0.28765783,0.443118,0.24342653,-0.28732616,0.1006133,0.2481733,0.1175298,0.11611329,0.13218549,0.12853578,0.17752938,0.27160662,0.30404636,0.32167962,0.3335163,0.3403973,0.2581127,0.18528949
2017-05-02,0.40337446,0.40074575,0.29038215,0.4578985,0.24573267,-0.28568345,0.10440367,0.25184396,0.11777527,0.11638734,0.1326282,0.12875858,0.17801303,0.27336308,0.3061181,0.32369092,0.3356054,0.34251827,0.25833604,0.18539764
2017-05-03,0.40572208,0.4036216,0.29315624,0.47502762,0.24835297,-0.2850188,0.10797755,0.25566244,0.11774679,0.116411634,0.13282657,0.12875591,0.17824844,0.27482647,0.3078799,0.32539067,0.33737633,0.34430552,0.2583828,0.18529251
2017-05-04,0.40869194,0.40625507,0.29597926,0.49450758,0.25128803,-0.28533357,0.11133228,0.2596284,0.11744411,0.116185635,0.13277966,0.12852675,0.17823435,0.27599505,0.30933014,0.3267767,0.3388276,0.3457571,0.25825208,0.18497285
2017-05-05,0.4122848,0.40864515,0.29885042,0.51634055,0.2545384,-0.28662917,0.1144652,0.2637415,0.116866976,0.11570878,0.13248652,0.12807006,0.17796949,0.2768672,0.31046724,0.32784685,0.33995768,0.3468711,0.25794286,0.18443744
