date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2021-05-13,0.26338348,0.09609831,0.119963706,0.35021636,0.10205667,0.057215855,0.3194183,0.48701435,0.12256285,0.1330479,0.1512567,0.149865,0.18739262,0.22095262,0.21618293,0.21645543,0.2208639,0.22238277,0.09087638,0.057011187
2021-06-04,0.493119,0.20437494,0.18902619,0.8024854,0.26972675,-0.50624865,-0.044741876,0.19085072,0.019931111,0.030910058,0.04043882,0.038792517,0.06612101,0.11017683,0.12362888,0.13425338,0.13745241,0.1389995,0.14354946,0.087547585
2021-06-07,0.54362386,0.20621164,0.19685905,1.0106419,0.3160991,-0.5958054,-0.05563945,0.19696024,0.012362571,0.023293778,0.033884615,0.033586796,0.05829831,0.10591325,0.119468324,0.13196865,0.13367246,0.13704585,0.13561997,0.08152751
2021-06-10,0.5505526,0.17514533,0.1725243,1.0879703,0.33268884,-0.59964335,-0.02785985,0.21470007,0.0027610492,0.015900847,0.02760176,0.028602757,0.050341237,0.09294606,0.10646574,0.112064414,0.11919319,0.12086761,0.11517153,0.06793037
2021-06-19,0.4286051,0.22213563,0.20423818,0.8451979,0.23890294,-0.36873275,0.01310153,0.27746606,0.030743727,0.03144443,0.04253403,0.038465016,0.067989595,0.12121437,0.13417096,0.14557812,0.14770082,0.14717494,0.119529314,0.0668123
2021-06-29,0.5194108,0.2886161,0.25166473,0.95996416,0.3113193,-0.43630344,0.06915223,0.2920243,0.04619827,0.051548943,0.06566142,0.06054277,0.095419124,0.16588424,0.18548928,0.19749674,0.20412421,0.21115106,0.17010403,0.10555665
2021-07-02,0.5872672,0.23344938,0.2291093,1.3365443,0.36668426,-0.58435565,0.01215499,0.27427277,0.011587185,0.01757415,0.033197112,0.030642597,0.059550002,0.12229496,0.13876557,0.14624661,0.15361121,0.15594864,0.12736945,0.07191949
2021-07-04,0.52189946,0.25165027,0.23056467,1.2500544,0.3354779,-0.44582665,0.030471988,0.28992012,0.020390306,0.031077988,0.041237786,0.035606444,0.06395383,0.12766692,0.14877594,0.15385464,0.1618911,0.1632798,0.13785094,0.07879852
2021-07-05,0.5612075,0.24163175,0.22795951,1.2477937,0.34757465,-0.47293088,0.06043592,0.32775453,0.02135261,0.02538295,0.038003445,0.033311043,0.061697315,0.12407405,0.14154865,0.14871462,0.15693651,0.160169,0.12824391,0.07075068
2021-07-07,0.445908,0.24965438,0.22361271,1.1639227,0.32221586,-0.408263,0.014246694,0.21855178,0.08748896,0.076764084,0.08647112,0.08364764,0.118178904,0.19235048,0.21948974,0.20724577,0.23755686,0.25378576,0.19994386,0.14384721
2021-07-10,0.5051936,0.28387347,0.24265073,1.3061196,0.3491317,-0.39913127,0.057818342,0.29984817,0.038144656,0.04093683,0.050349012,0.044052437,0.073084794,0.1445656,0.16752598,0.17259854,0.184044,0.19055398,0.14367558,0.0881112
2021-07-19,0.45925158,0.31366533,0.2633696,1.0649223,0.27717212,-0.22190322,0.19180179,0.4521968,0.056492973,0.051586118,0.06013959,0.04823599,0.08265624,0.16099544,0.18074115,0.19206968,0.19610894,0.19944634,0.1168171,0.060887456
2021-07-27,0.578935,0.2687975,0.24367623,1.411348,0.3851616,-0.44021684,0.113932155,0.3790961,0.023423452,0.03262468,0.04174037,0.03600633,0.064784184,0.13464761,0.15659906,0.16148886,0.17119622,0.17191628,0.12777993,0.070953704
2021-08-14,0.42951247,0.25925052,0.21644175,0.94669646,0.2583097,-0.26478612,0.096933894,0.32077897,0.059439,0.05232501,0.059108056,0.04950164,0.07971267,0.14217977,0.15942927,0.1645593,0.1760988,0.17094235,0.12631355,0.0759334
2021-09-10,0.6809969,0.23429453,0.24282436,1.5852132,0.3745132,-0.6237534,0.11535382,0.37267148,0.0008497758,0.006853738,0.025244918,0.025089923,0.0576541,0.11859138,0.13110434,0.14560416,0.15094969,0.15204905,0.096002795,0.051544424
2021-09-20,0.47070056,0.2642527,0.23401958,0.6934317,0.24526544,-0.38386285,0.11750062,0.2626321,0.050747804,0.05517955,0.071900986,0.07322969,0.10878442,0.16454121,0.18029986,0.20389974,0.20329453,0.21404621,0.15923992,0.1198542
2021-09-27,0.65862215,0.223773,0.2369036,1.3568305,0.3480945,-0.71932435,0.011122387,0.25473672,0.00015251334,0.0021718154,0.02007889,0.02212574,0.058094073,0.11752409,0.12981328,0.13799763,0.15407982,0.14118908,0.10475698,0.057444755
2021-10-03,0.25939173,1.0010053,0.11507748,0.45327947,0.16093226,-0.31529078,-0.035617165,0.06828834,0.1276876,0.10207961,0.11918151,0.13154672,0.16683051,0.20278335,0.21676092,0.19334617,0.23975094,0.28954664,0.2219278,0.20144515
2022-05-23,0.44243607,0.19231135,0.17318863,0.61732286,0.22361216,-0.4227506,0.017555613,0.24190028,0.029550875,0.037442643,0.044905957,0.04410291,0.07271389,0.11145082,0.12271425,0.13300854,0.13646635,0.13938977,0.122190356,0.076051556
2022-05-25,0.35396746,0.18937051,0.15920775,0.463384,0.17951488,-0.40157124,-0.044778686,0.16036753,0.06278026,0.062240627,0.07528675,0.07723888,0.10739232,0.14363667,0.15593147,0.16605008,0.17274068,0.17659335,0.17635116,0.11733835
2022-05-26,0.524621,0.18930028,0.18024872,0.7834645,0.27020654,-0.5568929,-0.017692124,0.21990602,0.012502709,0.02405926,0.034294423,0.034702674,0.060614295,0.100045584,0.11098275,0.124606915,0.12472958,0.12776475,0.12398024,0.0752974
2022-05-30,0.4993024,0.20145318,0.18575783,0.7436335,0.25962433,-0.47248766,0.015793389,0.25216806,0.020662604,0.03133449,0.04061925,0.038921975,0.06775978,0.10990047,0.1225999,0.13304509,0.13631952,0.13961753,0.12828942,0.0784579
2022-05-31,0.4613185,0.23164764,0.20483044,0.67302763,0.2357112,-0.39606556,0.016482068,0.2579301,0.04357246,0.04529815,0.057148684,0.05226503,0.087257475,0.13794956,0.1505226,0.15972628,0.16684248,0.16429351,0.155974,0.09312301
2022-06-04,0.41266015,0.22018234,0.18216147,0.6090516,0.21755712,-0.27412102,0.08394222,0.31864062,0.06428404,0.056726977,0.06359289,0.05574764,0.08680414,0.13256636,0.14372604,0.15206192,0.15737884,0.16342486,0.12960082,0.07721851
2022-06-07,0.57059085,0.24473232,0.23512502,0.9806967,0.31108278,-0.5301468,0.04590762,0.29919526,0.020075945,0.025794573,0.042114932,0.039659448,0.07209863,0.13018496,0.14410599,0.15975223,0.1602436,0.16237696,0.14024363,0.08184716
2022-06-10,0.57408273,0.21861687,0.21313505,0.9818802,0.2899973,-0.5861941,0.006253933,0.2578243,0.012272405,0.018729659,0.033440344,0.031168235,0.06093277,0.11261691,0.1256839,0.1381103,0.14096016,0.14553809,0.12108814,0.069915235
2022-06-19,0.48129228,0.22007024,0.19476303,0.81162864,0.27693492,-0.38592306,0.09021765,0.29828975,0.032637827,0.043518897,0.052751068,0.050288647,0.07743926,0.12603828,0.14053893,0.15120393,0.15328711,0.16028766,0.12827957,0.08159617
2022-06-24,0.47169513,0.23021461,0.21209317,0.8977959,0.2680873,-0.35895625,0.06876246,0.31901032,0.032275315,0.03329292,0.0463073,0.041891564,0.072499,0.12904939,0.1437179,0.15465668,0.15725887,0.16474785,0.13126144,0.07636361
2022-06-25,0.43337575,0.29795706,0.2294904,0.9554278,0.2952047,-0.31585285,0.066602446,0.2505048,0.072737105,0.06394312,0.06975345,0.059899487,0.09454524,0.16503325,0.18736108,0.18718608,0.20522615,0.22478232,0.1564674,0.10557397
2022-06-29,0.56987435,0.25335023,0.23299132,1.2521266,0.35482728,-0.46612692,0.068062186,0.32380426,0.020019766,0.029776411,0.039720915,0.034270532,0.06387818,0.12621662,0.14608979,0.15337273,0.15962414,0.1636113,0.13217083,0.076018475
2022-06-30,0.012442064,0.00090244156,0.000807032,0.092628956,0.042315524,0.30872604,0.19661435,0.2834966,0.02582457,0.019677805,0.017203612,0.013198452,0.015007858,0.016695194,0.016379511,0.013535476,0.014594478,0.024214335,0.009055527,0.0075587877
2022-07-02,0.53792745,0.26594627,0.23441857,1.2653947,0.35586137,-0.42162666,0.0739832,0.338464,0.03297898,0.0397571,0.047249686,0.0402959,0.0684215,0.13625574,0.15746757,0.16200064,0.17168786,0.17448288,0.13795201,0.07802181
2022-07-12,0.614169,0.28588322,0.26364473,1.490256,0.39382035,-0.49348876,0.1029436,0.37138486,0.020549946,0.029667368,0.040580116,0.034377314,0.06565043,0.13961549,0.16136299,0.16914795,0.17702201,0.1791361,0.13075273,0.07331196
2022-07-22,0.21610406,0.21984656,0.11165618,0.43893445,0.17570046,0.01644063,0.17393352,0.2652055,0.13917457,0.12553798,0.11593274,0.103540555,0.12109712,0.1584893,0.1729835,0.16839297,0.17845741,0.20129324,0.11568516,0.09596684
2022-07-24,0.29734993,0.21192227,0.14383373,0.4840857,0.1905001,-0.120371796,0.14802472,0.24165967,0.10385495,0.097683564,0.097440585,0.09042898,0.11020346,0.15244539,0.164494,0.17223985,0.17209119,0.21032189,0.12531784,0.1020528
2022-07-27,0.5592216,0.30422515,0.26324335,1.3211498,0.3600219,-0.29033157,0.2475178,0.48003715,0.045252096,0.043323826,0.054753475,0.044482674,0.080265895,0.16071929,0.18174155,0.18323915,0.19820465,0.19906768,0.10588056,0.06112814
2022-08-03,0.59867877,0.3423977,0.29873395,1.4169117,0.3696533,-0.41235378,0.18824838,0.43986347,0.03630406,0.046259813,0.057742268,0.047585916,0.083809994,0.17054306,0.19287702,0.20954694,0.20973308,0.21442786,0.13257866,0.07622871
2022-08-13,0.62085426,0.28052816,0.26860264,1.4522252,0.38152173,-0.50076336,0.13789454,0.41323593,0.016853843,0.0212007,0.036345396,0.030517325,0.06327019,0.13771676,0.1575534,0.16812842,0.1742037,0.17730907,0.11465104,0.060826797
2022-08-14,0.58616316,0.23161224,0.21890464,1.492271,0.40015644,-0.48220643,0.121608265,0.36911854,0.012175006,0.024236647,0.03502849,0.033306196,0.05934514,0.11926634,0.13545966,0.14663707,0.14880838,0.14849634,0.113441706,0.06483937
2022-08-21,0.23966914,0.091293,0.11268829,0.4407542,0.16262725,-0.2171892,0.019022577,0.094339505,0.14006309,0.12000455,0.11693301,0.11924135,0.1454685,0.18189694,0.1976547,0.1813188,0.20887259,0.28504097,0.18199186,0.16797511
2022-08-23,0.65159434,0.26713642,0.26287276,1.4863687,0.3977465,-0.5643069,0.1364768,0.41735348,0.010691709,0.016424887,0.031840198,0.02912202,0.059481405,0.1284012,0.14851032,0.16191658,0.16623281,0.16760802,0.11482645,0.060772732
2022-08-26,0.601777,0.23401244,0.22671898,1.3497701,0.3759055,-0.4893192,0.13428488,0.4136204,0.0136367325,0.01846774,0.030908108,0.028255304,0.056842186,0.11964235,0.13728406,0.14140178,0.1532929,0.15389964,0.10487414,0.055972684
2022-08-28,0.65232587,0.2567187,0.24719544,1.6025405,0.41012147,-0.59045535,0.12634508,0.38823807,0.0048714727,0.018211398,0.02860561,0.026112443,0.05287244,0.116532944,0.13654242,0.15031356,0.15318169,0.1561856,0.107189365,0.05886015
2022-09-08,0.63668364,0.2152272,0.20780306,1.2853091,0.37920746,-0.47647554,0.17936039,0.4122885,0.012189907,0.016750695,0.02792712,0.02424211,0.05024371,0.10280716,0.11726782,0.12576918,0.13267614,0.13454089,0.08161019,0.04609504
2022-09-10,0.60674864,0.25623035,0.24415651,1.4096726,0.37412935,-0.50158787,0.12342552,0.39031103,0.009113301,0.02127951,0.0316116,0.028286418,0.057274062,0.1202817,0.13794303,0.15084045,0.1553265,0.15753861,0.10530024,0.057523366
2022-09-22,0.6268161,0.20641744,0.21258524,1.0491008,0.33121502,-0.674659,0.0051041557,0.25751865,0.0011752606,0.0064532817,0.0215083,0.022049973,0.051841725,0.10265312,0.11697313,0.12597851,0.13426232,0.13724245,0.0905233,0.047652636
2022-09-25,0.60275286,0.22486076,0.2217348,1.10563,0.33372256,-0.50617075,0.14992313,0.41656676,0.010323716,0.016556105,0.029735181,0.029993149,0.058880474,0.11245699,0.12668759,0.14013135,0.14512026,0.14627226,0.09907212,0.05379556
2022-10-07,0.5838834,0.20923166,0.19884734,1.1388544,0.3079394,-0.53255683,0.11767061,0.3419082,0.0036284144,0.018437983,0.024201388,0.023102537,0.04736418,0.09523984,0.10829941,0.11981492,0.12352347,0.12532006,0.079812326,0.045524817
2022-10-10,0.24780405,0.0030137748,0.0029368005,0.99116856,0.18125501,-0.40787542,-0.09110632,-0.13134311,0.0,0.0034663319,0.0017791406,0.0019578403,0.0029288274,0.002865488,0.0039165816,0.0031398316,0.0034108511,0.0100665465,0.0034914373,0.0037935115
2022-10-23,0.45254025,0.27647147,0.20422183,0.9055439,0.2472849,-0.10576861,0.26666188,0.4747454,0.064076334,0.060969476,0.04628885,0.03656755,0.06398466,0.11776651,0.12847392,0.1407608,0.14182453,0.14611602,0.06686807,0.03801671
2022-10-25,0.22146052,0.050678823,0.057161525,0.2220791,0.09654711,-0.4859373,0.09085814,0.1004336,0.0,0.0034819525,0.025876073,0.05175868,0.059511516,0.06742884,0.07122223,0.07927293,0.07948382,0.08079624,0.0664436,0.06527385
2022-10-30,0.28796867,0.1796456,0.17776546,0.68620014,0.1539489,0.2732795,0.38482243,0.5461693,0.11963788,0.10586649,0.075090386,0.057046104,0.08153863,0.13517429,0.1430752,0.15260045,0.1510853,0.15644361,0.045454722,0.025836878
2023-05-13,0.31956354,0.1901102,0.1595819,0.39229468,0.14300723,-0.041123133,0.2970211,0.49821374,0.08305542,0.088701256,0.103854224,0.1025765,0.13681096,0.17887285,0.18405548,0.19231752,0.19163212,0.18936841,0.09679362,0.057908528
2023-05-15,0.4187458,0.19611825,0.17497978,0.6061715,0.21464017,-0.32498026,0.09315754,0.31824717,0.031504713,0.0450664,0.054483183,0.053162668,0.082029015,0.122832105,0.13430487,0.14410838,0.14611082,0.14576106,0.120451115,0.07337176
2023-05-16,0.41713274,0.21470083,0.18114416,0.55306935,0.20756319,-0.3786011,0.022970757,0.24550629,0.05733414,0.059942573,0.06807139,0.06568064,0.09685795,0.13838935,0.15040143,0.1622115,0.16693866,0.1712263,0.15712956,0.099072866
2023-05-21,0.510162,0.19345728,0.17984866,0.8076163,0.27344647,-0.46635273,0.023626601,0.2733961,0.017941214,0.027781395,0.036205597,0.03446023,0.060184244,0.10147732,0.11333214,0.124199726,0.1269008,0.12923662,0.119700916,0.07063047
2023-05-25,0.55470175,0.2580263,0.23591694,0.9407601,0.30881608,-0.4701274,0.06979224,0.31541908,0.02352305,0.035961177,0.04772857,0.044176932,0.07595061,0.13348544,0.14860511,0.16623157,0.16555731,0.16824849,0.14638868,0.08724763
2023-05-30,0.33439833,0.18485187,0.1397784,0.45949376,0.18461473,-0.17436479,0.12774694,0.2885608,0.08685591,0.077545166,0.079621986,0.07304029,0.09387784,0.12748964,0.13681477,0.1470993,0.14801721,0.1614203,0.113433644,0.081175745
2023-06-14,0.5670985,0.24473402,0.2268934,1.0641097,0.32783395,-0.4541545,0.09641869,0.34639922,0.018575579,0.029101608,0.039538242,0.03548015,0.065193504,0.12191067,0.13815185,0.15151553,0.15303546,0.15807508,0.1267676,0.07399007
2023-06-15,0.5301314,0.24085446,0.21807572,0.94142807,0.30403662,-0.3776588,0.11516601,0.37507185,0.03309635,0.035961267,0.047757197,0.041355018,0.07218205,0.12876955,0.1433176,0.15342611,0.15891087,0.16216911,0.12531677,0.0709007
2023-06-17,0.56655866,0.33999687,0.28964102,1.1136744,0.35763788,-0.4580035,0.11308371,0.33327892,0.043890666,0.056051526,0.06466154,0.06070554,0.0991094,0.18387106,0.20933971,0.2192046,0.22657107,0.22234511,0.17344306,0.108765155
2023-06-19,0.53545696,0.24456507,0.22343455,0.99160457,0.31294793,-0.39599854,0.09451928,0.36659244,0.03267052,0.034317583,0.04742506,0.040955056,0.07288866,0.1323604,0.14834826,0.15645035,0.16355264,0.16836078,0.1344649,0.074712895
2023-06-24,0.5304,0.29832125,0.25894323,1.0920483,0.32668707,-0.41051835,0.099165626,0.34003738,0.039167985,0.04806766,0.05821591,0.0526385,0.08597655,0.15683451,0.17921181,0.19247681,0.19731472,0.20319627,0.15971035,0.09511775
