date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2021-02-25,0.5408409,0.22828162,0.20982946,1.0467662,0.28889856,0.110028714,0.689792,0.8257884,0.14751717,0.14855811,0.1409162,0.13770907,0.17794587,0.23425207,0.23770057,0.24721904,0.24588582,0.25421456,0.03537939,0.019337436
2021-02-26,0.55397713,0.24113868,0.22207797,1.064607,0.2945734,0.02528342,0.643443,0.7940438,0.15182169,0.14298645,0.13821895,0.13644513,0.17801692,0.23735993,0.24000958,0.25281012,0.24944967,0.25789303,0.044670228,0.025261037
2021-02-27,0.56292206,0.24987178,0.23207267,1.0713251,0.2989404,-0.038844924,0.6071671,0.7675568,0.15569825,0.13979876,0.13742533,0.13697612,0.17919964,0.24064654,0.24282846,0.25825647,0.25283667,0.26132023,0.05216306,0.030300362
2021-02-28,0.56691295,0.2556044,0.23926976,1.0690368,0.30159336,-0.08042211,0.5815799,0.74658066,0.15909705,0.13893124,0.13840036,0.1391009,0.18131657,0.24406654,0.2460447,0.26359546,0.2560912,0.26455656,0.057719637,0.03437763
2021-03-01,0.56518716,0.25946,0.24312547,1.0598587,0.3021261,-0.09751393,0.5672972,0.7313686,0.16196817,0.14032005,0.14100908,0.1426183,0.18419023,0.24757451,0.24954581,0.26886448,0.25925773,0.26766226,0.06120169,0.037415057
2021-03-02,0.5569818,0.2625621,0.24309602,1.0459071,0.30013245,-0.088186175,0.5649347,0.72217375,0.1642618,0.14390135,0.1451165,0.14732721,0.18764317,0.25112507,0.2532193,0.27410093,0.2623807,0.27069768,0.062470976,0.03933487
2021-03-03,0.5415342,0.26603416,0.2386376,1.0292988,0.29520616,-0.050504643,0.575108,0.7192495,0.16592805,0.14961131,0.15058763,0.15302649,0.19149789,0.25467286,0.25695273,0.2793422,0.2655045,0.27372313,0.061389226,0.040059283
2021-03-04,0.5180816,0.2709997,0.22920641,1.0121499,0.28694105,0.01746488,0.5984329,0.7228489,0.16691707,0.1573861,0.15728752,0.159515,0.19557695,0.25817245,0.26063356,0.2846257,0.2686736,0.27679893,0.057818186,0.039510515
2021-03-05,0.47837245,0.25872037,0.21112254,0.9490988,0.27371544,0.16661273,0.6616395,0.74731,0.16622761,0.17473939,0.17169191,0.17331725,0.20422103,0.26241735,0.2664288,0.28930527,0.2711056,0.27882957,0.04714731,0.035476495
2021-03-06,0.44454503,13.586041,0.19610147,0.9498948,0.26172933,0.2721251,0.6810377,0.7412858,0.16728528,0.18233828,0.17381215,0.17056525,0.20036535,0.25710586,0.26182798,0.28410807,0.26527315,0.27294698,0.04339683,0.034530785
2021-03-07,0.418301,42.91623,0.18425949,1.0673069,0.25165588,0.33567563,0.6918327,0.7344256,0.16926147,0.18381277,0.17177607,0.16050413,0.18669394,0.2407341,0.2458193,0.2672508,0.24977729,0.25792247,0.041451722,0.0346834
2021-03-08,0.40027076,72.24583,0.17615964,1.291354,0.24355945,0.35436425,0.6922495,0.72678375,0.17117365,0.1797821,0.16664173,0.150478,0.17329937,0.2244114,0.22981456,0.2502657,0.23432392,0.24299523,0.04167565,0.035967905
2021-03-09,0.39108494,85.57136,0.17236497,1.6120547,0.23750442,0.32529077,0.68051296,0.71841455,0.17203921,0.17086554,0.15946725,0.14783098,0.17027424,0.21924707,0.22522546,0.24468505,0.228619,0.23740445,0.04443228,0.03841786
2021-03-10,0.6163111,0.2654091,0.24720983,7.7299247,0.3928492,-0.22521532,0.6502581,0.7090585,0.16923238,0.14053032,0.14709574,0.15140061,0.18048239,0.24614526,0.25805458,0.28477716,0.27162716,0.28226838,0.052463256,0.04517067
2021-03-11,0.61568344,-9.536476,0.25351182,7.6035247,0.3906827,-0.1957985,0.6433503,0.70760584,0.16850168,0.1361156,0.14281514,0.15505473,0.18771715,0.25819045,0.27109635,0.29805547,0.28524715,0.2968493,0.054369524,0.044718005
2021-03-12,0.6132014,-14.761184,0.25843486,7.3355517,0.38723892,-0.1659827,0.63746107,0.70789194,0.16863994,0.13524325,0.14181039,0.15874763,0.19469127,0.2692697,0.2829006,0.30984685,0.29735345,0.3098181,0.055965155,0.044176728
2021-03-13,0.608892,-16.142036,0.26199272,6.9475603,0.38254485,-0.1358283,0.6325738,0.70970434,0.16951677,0.13737892,0.14360361,0.16247292,0.20137407,0.27933815,0.29343253,0.3201312,0.30792278,0.3211514,0.057258278,0.043552216
2021-03-14,0.60278237,-14.412361,0.26419926,6.4611053,0.37662727,-0.10539577,0.6286719,0.7128305,0.17100176,0.14198822,0.14771692,0.16622418,0.2077349,0.28835103,0.30265734,0.32888845,0.31693196,0.33082595,0.058257025,0.04284985
2021-03-15,0.5948994,-10.30548,0.26506823,5.8977404,0.36951312,-0.07474549,0.62573874,0.7170579,0.17296448,0.1485368,0.15367249,0.16999501,0.21374314,0.29626352,0.31054017,0.33609846,0.32435775,0.33881843,0.058969524,0.042075012
2021-03-16,0.5852702,-4.554718,0.2646135,5.279021,0.3612293,-0.043937895,0.62375784,0.722174,0.17527455,0.15649028,0.1609924,0.17377903,0.21936813,0.30303076,0.31704625,0.34174114,0.33017686,0.34510553,0.05940391,0.041233078
2021-03-17,0.57392186,2.1066005,0.26284882,4.626501,0.35180268,-0.013033395,0.62271255,0.72796637,0.17780155,0.16531429,0.16919881,0.17756979,0.22457923,0.308608,0.32214072,0.3457964,0.3343661,0.349664,0.059568312,0.040329434
2021-03-18,0.56088126,8.945152,0.25978807,3.9617352,0.34126014,0.017907592,0.62258625,0.7342224,0.18041508,0.17447446,0.17781384,0.18136093,0.22934578,0.31295034,0.3257888,0.3482441,0.33690223,0.35247052,0.05947086,0.039369453
2021-03-19,0.54617554,15.227612,0.25544497,3.3062782,0.32962856,0.048824646,0.6233624,0.7407297,0.18298471,0.18343644,0.18635963,0.18514603,0.23363715,0.31601304,0.32795563,0.34906417,0.33776203,0.35350177,0.059119683,0.03835852
2021-03-20,0.5298317,20.220655,0.24983339,2.6816843,0.31693482,0.079657346,0.6250244,0.74727565,0.18538006,0.19166584,0.19435829,0.18891868,0.23742269,0.31775123,0.32860643,0.3482365,0.3369222,0.35273448,0.058522914,0.037302017
2021-03-21,0.51187676,23.190958,0.24296713,2.1095078,0.30320585,0.11034529,0.62755555,0.7536478,0.1874707,0.1986283,0.20133197,0.19267248,0.24067174,0.31812012,0.32770634,0.34574097,0.33435953,0.35014534,0.057688683,0.03620532
2021-03-22,0.49233773,23.405197,0.23485997,1.6113037,0.2884685,0.14082804,0.63093936,0.75963366,0.18912625,0.20378946,0.2068028,0.19640103,0.24335366,0.31707487,0.32522058,0.3415575,0.3300508,0.34571108,0.056625124,0.03507381
2021-03-23,0.4712417,20.130049,0.22552575,1.2086262,0.27274966,0.1710452,0.63515925,0.76502067,0.19021627,0.20661494,0.21029289,0.20009793,0.24543782,0.3145707,0.3211143,0.33566597,0.3239728,0.33940837,0.05534036,0.033912867
2021-03-24,0.44861567,12.632185,0.21497826,0.9230299,0.25607622,0.20093632,0.6401986,0.7695963,0.19061038,0.20657037,0.21132438,0.20375676,0.24689355,0.31056276,0.3153527,0.32804626,0.3161022,0.3312139,0.053842533,0.03272787
2021-03-25,0.42448667,0.17828578,0.20323132,0.7760692,0.23847507,0.23044102,0.6460408,0.77314806,0.19017816,0.20312138,0.20941941,0.20737113,0.24769023,0.30500624,0.307901,0.31867832,0.30641586,0.3211044,0.052139763,0.031524204
2021-03-26,0.39575127,-17.88106,0.18773255,0.69161963,0.21779476,0.25999537,0.6555707,0.7761162,0.18678409,0.19512683,0.20132315,0.20343003,0.24042322,0.29124936,0.2922453,0.30139887,0.28919837,0.30291536,0.049446523,0.030201899
2021-03-27,0.36269146,-39.392635,0.16848522,0.5947005,0.19420427,0.28978962,0.66927636,0.778936,0.17995319,0.18378578,0.1871715,0.18886667,0.22247037,0.26763436,0.26692474,0.27497026,0.26343665,0.27555403,0.045609806,0.0287442
2021-03-28,0.33041248,-60.885838,0.14933659,0.50858206,0.17121114,0.31939465,0.68354595,0.78138757,0.17204581,0.17207414,0.17157269,0.17034097,0.20097473,0.24160737,0.23948391,0.24676089,0.23616101,0.24660473,0.041586526,0.027281301
2021-03-29,0.3040195,-78.89005,0.1341339,0.45653462,0.15232287,0.34838128,0.6947677,0.78325087,0.16542232,0.16296785,0.15913491,0.15451282,0.18307933,0.22061455,0.21746741,0.22413903,0.21440163,0.22365177,0.038333602,0.025943395
2021-03-30,0.28861782,-89.93468,0.12672442,0.46182865,0.14104703,0.37632036,0.69932985,0.78430605,0.16244307,0.15944284,0.1544664,0.14804214,0.17592724,0.21210207,0.20841986,0.21447304,0.2051888,0.21427947,0.03680795,0.024860676
2021-03-31,0.28730774,-95.57191,0.12766634,0.51305366,0.13919942,0.38784036,0.69652843,0.7829778,0.16319786,0.16074835,0.15654297,0.15023674,0.17849971,0.21507588,0.21146089,0.21749692,0.20795497,0.2173331,0.037374336,0.024724089
2021-04-01,0.29780465,-99.809204,0.13399951,0.5798021,0.14499284,0.37240568,0.68894386,0.77845407,0.1658287,0.16381332,0.16084446,0.15538058,0.1843705,0.22267248,0.21966623,0.22681713,0.21636012,0.22563268,0.039471038,0.025898397
2021-04-02,0.31713632,-102.85888,0.14429368,0.65684867,0.15653025,0.33684114,0.67789096,0.77165973,0.16977437,0.1681333,0.16673516,0.16259784,0.19257139,0.2335338,0.23151451,0.24061066,0.22877562,0.23772481,0.042665232,0.028024526
2021-04-03,0.34233046,-104.93321,0.1571186,0.738968,0.17191456,0.28797153,0.6646844,0.76351976,0.17447358,0.17320383,0.17357934,0.1710127,0.2021341,0.24630179,0.2454844,0.2570545,0.24357288,0.25215605,0.046524107,0.030743401
2021-04-04,0.37041485,-106.24451,0.171044,0.82093483,0.18924876,0.23262165,0.65063906,0.75495905,0.17936511,0.17852043,0.18074128,0.17974934,0.21209043,0.25961837,0.26005456,0.2743256,0.25912327,0.26747295,0.05061484,0.033695944
2021-04-05,0.39841717,-107.00506,0.18463963,0.8975238,0.20663577,0.1776163,0.63706964,0.7469025,0.18388768,0.18357864,0.18758525,0.18793191,0.22147213,0.2721255,0.27370366,0.290601,0.2737982,0.28222206,0.05450462,0.036523074
2021-04-06,0.42336524,-107.42717,0.19647522,0.9635096,0.22217853,0.12978029,0.62529093,0.7402751,0.18748005,0.18787399,0.19347554,0.19468462,0.22931094,0.28246513,0.28491032,0.30405763,0.28596905,0.29495,0.057760626,0.038865723
2021-04-07,0.44228676,-107.72313,0.20512053,1.0136669,0.23398003,0.0959384,0.6166177,0.7360017,0.18958095,0.190902,0.19777645,0.19913162,0.23463865,0.28927916,0.29215324,0.31287253,0.29400724,0.30420333,0.059950043,0.04036481
2021-04-08,0.45220944,-108.10523,0.2091453,1.0427703,0.24014316,0.08291544,0.6123647,0.7350072,0.18962912,0.19215822,0.19985223,0.20039709,0.23648699,0.29120958,0.29391107,0.31522262,0.29628417,0.30852857,0.06064005,0.04066126
2021-04-09,0.45624238,-108.10395,0.21018293,1.0558428,0.2426717,0.08297804,0.6113585,0.7362595,0.18843134,0.1922463,0.2005713,0.19961517,0.23591684,0.29003295,0.2924159,0.313679,0.29473236,0.3088199,0.06025438,0.040093087
2021-04-10,0.45937544,-107.09431,0.21078235,1.0612956,0.24474776,0.08390996,0.61136836,0.7380231,0.18716685,0.19209406,0.20118499,0.19855915,0.23475835,0.28850248,0.29090762,0.31200674,0.292504,0.30730116,0.05956419,0.03927931
2021-04-11,0.46145752,-105.055435,0.21088645,1.0589856,0.24624197,0.085811704,0.61212295,0.7401683,0.18583319,0.19168317,0.20163196,0.19731198,0.2331972,0.28672507,0.28937662,0.3101738,0.28979996,0.3045136,0.058657814,0.03828236
2021-04-12,0.4623376,-101.96645,0.21043818,1.0487697,0.24702491,0.08878378,0.61335105,0.7425652,0.18442787,0.19099542,0.20185092,0.19595662,0.23141904,0.28480762,0.2878132,0.30814826,0.28682098,0.30099845,0.05762356,0.037164677
2021-04-13,0.4618646,-97.80651,0.20938043,1.0305048,0.24696718,0.09292669,0.6147813,0.74508405,0.18294844,0.1900125,0.20178048,0.19457598,0.2296096,0.282857,0.28620774,0.30589807,0.28376794,0.29729694,0.05654976,0.0359887
2021-04-14,0.45988744,-92.554726,0.20765613,1.004048,0.24593937,0.09834093,0.6161425,0.7475951,0.1813924,0.18871614,0.20135936,0.19325301,0.22795449,0.28098005,0.28455058,0.30339128,0.28084162,0.29395023,0.055524733,0.034816854
2021-04-15,0.45625508,-86.19024,0.20520823,0.96925616,0.24381208,0.105127014,0.61716336,0.7499684,0.1797573,0.18708809,0.2005262,0.19207065,0.22663942,0.27928367,0.2828321,0.30059582,0.27824286,0.2914996,0.0546368,0.033711582
2021-04-16,0.45081642,-78.69218,0.2019796,0.9259862,0.24045591,0.11338544,0.61757255,0.7520743,0.17804064,0.18511006,0.19921966,0.19111185,0.22585008,0.27787474,0.28104264,0.29747978,0.2761725,0.29048625,0.053974282,0.032735318
