date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-03-31,0.406173,0.22804183,0.19603157,0.7133956,0.23277116,0.2038194,0.6118455,0.7457416,0.14681348,0.16684014,0.17844611,0.18035567,0.21236348,0.26938644,0.2723558,0.29078653,0.27845302,0.28503668,0.056280173,0.034928642
2017-05-30,0.70881945,0.28008026,0.26512557,1.4093848,0.40419897,-0.51970196,0.21342538,0.4797801,0.022248825,0.02255485,0.033169907,0.028779214,0.06227895,0.1244477,0.1431372,0.1593831,0.1637604,0.16327439,0.105589256,0.057527136
2017-06-03,0.7382905,0.29650414,0.29226235,1.4205711,0.4045048,-0.5618483,0.22715259,0.4883217,0.009207077,0.015721219,0.031218106,0.02784004,0.06538817,0.13345349,0.15067174,0.17318527,0.17223006,0.16993247,0.11112057,0.06084384
2017-06-13,0.7062801,0.35149872,0.33101994,1.4217218,0.40299925,-0.47810686,0.24218763,0.49631187,0.022639953,0.029670857,0.04963,0.040325575,0.08522033,0.174996,0.19456583,0.21403036,0.21686514,0.22310252,0.13147466,0.07342295
2017-06-19,0.74167335,0.3625874,0.34079552,1.6455002,0.44136348,-0.4776792,0.28305548,0.5364803,0.025399428,0.027452383,0.045546327,0.035591535,0.08087126,0.17580242,0.20090535,0.21313056,0.2227637,0.22557335,0.12212473,0.06818174
2017-06-23,0.78554606,0.39032194,0.37836713,1.7539667,0.4552637,-0.4915329,0.32478118,0.5700694,0.01225678,0.0196536,0.042051375,0.029601917,0.07927701,0.18594982,0.20780101,0.22730467,0.23009601,0.23238121,0.11598592,0.062640205
2017-06-29,0.760191,0.36841685,0.33824408,1.7736477,0.4595232,-0.44913355,0.31062183,0.5716604,0.027461711,0.026946584,0.042054467,0.029564535,0.07212431,0.16639875,0.19098537,0.20323063,0.21108517,0.21510616,0.1080174,0.057035733
2017-07-06,0.8369171,0.36237082,0.35814545,2.0476074,0.49467185,-0.5477906,0.34973478,0.6112617,0.0037691314,0.011039661,0.029168805,0.01900274,0.06259728,0.15908661,0.18217188,0.19890463,0.20123287,0.20361038,0.096303836,0.04834385
2017-07-26,0.7096527,0.34096012,0.32273868,1.6358128,0.4350374,-0.44995973,0.29021803,0.5368494,0.019527944,0.0295854,0.049056664,0.04029097,0.08309953,0.17847951,0.20227298,0.20912442,0.22003788,0.22459808,0.11951186,0.06880162
2017-08-12,0.808269,0.36037442,0.3485833,2.2533412,0.5158379,-0.52331156,0.32665208,0.5893059,0.013692345,0.016867708,0.035435703,0.024736663,0.065126255,0.17146266,0.19498229,0.20188963,0.215464,0.21391118,0.10498447,0.05483511
2017-08-15,0.84157974,0.37977755,0.37240195,2.3639264,0.52961546,-0.56250924,0.34103364,0.6051731,0.00472189,0.012121927,0.029134175,0.018749868,0.060904566,0.16656289,0.19416495,0.20733099,0.21622555,0.21784297,0.10230756,0.051417083
2017-09-01,0.81500214,0.33383307,0.32433307,2.0401769,0.49644083,-0.46089917,0.3997096,0.65699565,0.0061433464,0.013804638,0.028731614,0.019379912,0.05753502,0.14809395,0.167637,0.1807843,0.1874392,0.18839078,0.07896874,0.038246196
2017-10-21,0.34659058,0.2269581,0.16623199,0.5218578,0.19615299,-0.12959343,0.20234254,0.24289584,0.09775072,0.098227225,0.09866669,0.09378186,0.11799872,0.1642595,0.17269984,0.18735872,0.18627661,0.19724365,0.12586524,0.11759237
