date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-05-27,0.48369578,0.30069667,0.30148688,0.74030966,0.2603438,-0.5995842,-0.06159877,0.16652836,0.041746296,0.04852895,0.0827624,0.10236516,0.15793255,0.24166933,0.26795924,0.28545395,0.3006191,0.30268952,0.32443422,0.20501539
2017-05-28,0.49508283,0.32088688,0.320792,0.75993663,0.26644647,-0.59322953,-0.04790893,0.18137859,0.04392315,0.04878836,0.08487947,0.10200357,0.16123469,0.2539539,0.28139967,0.29913083,0.31456277,0.31674773,0.326626,0.20490399
2017-05-29,0.50633246,0.33991304,0.33894008,0.7823721,0.2728809,-0.5871259,-0.034435503,0.19601017,0.045848694,0.04894891,0.08670761,0.10144965,0.16400698,0.2651627,0.2937074,0.31161734,0.32728842,0.32957405,0.3280894,0.20438735
2017-05-30,0.5174493,0.3577897,0.3559459,0.80753434,0.279632,-0.5812924,-0.021182764,0.2104312,0.047523875,0.04901361,0.088252924,0.10071022,0.16626255,0.2753161,0.30490455,0.32293755,0.33882135,0.34119347,0.32884935,0.20348068
2017-05-31,0.52843785,0.3745314,0.371824,0.8353413,0.2866847,-0.5757479,-0.008154981,0.22464971,0.04894964,0.048985492,0.08952155,0.09979207,0.16801456,0.2844345,0.3150133,0.33311558,0.34918696,0.35163093,0.3289309,0.20219918
2017-06-01,0.53930277,0.39015266,0.3865891,0.8657111,0.29402393,-0.5705114,0.004643579,0.23867376,0.05012694,0.04886757,0.090519615,0.09870201,0.16927612,0.29253823,0.32405576,0.34217542,0.3584106,0.3609114,0.3283591,0.20055805
2017-06-02,0.55004853,0.4046681,0.40025586,0.89856184,0.3016347,-0.5656019,0.017208645,0.2525114,0.051056724,0.048662864,0.09125324,0.097446844,0.17006038,0.2996477,0.3320541,0.3501412,0.36651763,0.36905983,0.3271589,0.19857253
2017-06-03,0.56067973,0.41809222,0.4128389,0.9338117,0.3095019,-0.5610382,0.029535951,0.2661707,0.05173994,0.048374403,0.09172856,0.096033365,0.17038047,0.30578327,0.33903044,0.35703698,0.37353343,0.37610114,0.32535532,0.19625781
2017-06-04,0.57120097,0.4304396,0.42435294,0.9713787,0.31761047,-0.5568394,0.041621227,0.27965972,0.05217753,0.0480052,0.0919517,0.09446838,0.17024954,0.31096533,0.34500697,0.36288682,0.3794833,0.38206035,0.32297337,0.1936291
2017-06-05,0.5816168,0.44172472,0.43481258,1.0111809,0.32594538,-0.5530245,0.0534602,0.2929865,0.052370444,0.04755828,0.09192877,0.09275869,0.16968071,0.31521428,0.3500058,0.3677148,0.3843927,0.38696235,0.32003805,0.19070162
2017-06-06,0.5919319,0.4519622,0.4442325,1.0531366,0.33449155,-0.5496123,0.065048605,0.3061591,0.052319635,0.04703667,0.09166592,0.0909111,0.16868712,0.31855044,0.35404912,0.371545,0.38828692,0.39083216,0.31657436,0.18749057
