date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2021-05-26,0.39397624,0.26989308,0.24007608,0.5608368,0.21374959,-0.52216953,-0.09321924,0.11439217,0.0754161,0.07707321,0.09876562,0.11380457,0.16066754,0.22669964,0.24859293,0.26102573,0.27576846,0.27858576,0.31336135,0.20602243
2021-06-13,0.6111236,0.3913893,0.35808367,1.2287867,0.37264302,-0.5235604,0.07684697,0.33189535,0.037630092,0.047980163,0.07270436,0.06632614,0.11856356,0.22856696,0.2609407,0.27210316,0.28433827,0.2842446,0.23269781,0.13616809
2021-06-15,0.61052114,0.49714038,0.43636522,1.2668817,0.37725976,-0.4782129,0.12116915,0.3840646,0.0687441,0.0701891,0.10289944,0.0902946,0.16138157,0.316697,0.35646093,0.36502057,0.3848469,0.38586748,0.2857393,0.16237028
2021-06-18,0.6295365,0.49886838,0.43484735,1.4429976,0.40921193,-0.45696115,0.16244438,0.4300284,0.06010819,0.06510188,0.09468556,0.08027572,0.14377344,0.3016541,0.34248298,0.34725678,0.37113577,0.3712075,0.25074053,0.138781
2021-06-23,0.5493366,0.5030942,0.3799269,1.1840072,0.3699377,-0.250632,0.26559392,0.4851335,0.08990782,0.098200925,0.11651346,0.09793835,0.15094471,0.2886298,0.32849628,0.33711258,0.34790784,0.34719852,0.19663987,0.11724453
2021-06-25,0.7219083,0.5758859,0.5176255,1.7450418,0.4602107,-0.48184258,0.2276538,0.5002769,0.048302896,0.049571082,0.08215689,0.060449924,0.13472292,0.32125074,0.36636475,0.3757181,0.3932179,0.3931482,0.23610689,0.124693766
2021-07-05,0.7428758,0.64181644,0.56468284,1.8661857,0.4779976,-0.46658063,0.25301677,0.5347781,0.054264426,0.05424245,0.089271486,0.06088733,0.14452307,0.35795698,0.4102221,0.41383904,0.44068396,0.43804947,0.2463402,0.12498266
2021-07-10,0.745545,0.6267379,0.55386084,1.8206635,0.4728186,-0.4729053,0.2504534,0.5265963,0.04237639,0.05191902,0.0856293,0.058394108,0.1385648,0.3307441,0.38696554,0.40039012,0.42055964,0.41987693,0.23994865,0.12395781
2021-07-18,0.75577754,0.52451175,0.49441552,1.861752,0.4778004,-0.5071894,0.25220054,0.53941154,0.028652411,0.03362406,0.06535173,0.046966337,0.11577887,0.28238308,0.32542765,0.3342011,0.35495576,0.35456702,0.20007995,0.10020513
2021-07-20,0.6803381,0.64160955,0.5265721,1.5908386,0.4347463,-0.4344044,0.2315298,0.49427685,0.06656067,0.07827694,0.10749915,0.08323006,0.16375396,0.35240507,0.41095942,0.42252287,0.44588533,0.4570181,0.26447713,0.14497238
2021-07-23,0.7433539,0.5203916,0.48529205,1.8309612,0.47316334,-0.50958425,0.2429582,0.52704626,0.026019134,0.036757026,0.0657997,0.0493533,0.115401685,0.2725544,0.32037985,0.3316483,0.35035866,0.3500272,0.20317616,0.10343586
2021-08-09,0.74165493,0.53279483,0.4995427,1.7916007,0.4663854,-0.5250891,0.22785178,0.5076577,0.027159512,0.03729871,0.06833706,0.05208455,0.12101656,0.28282893,0.33005524,0.3465018,0.3610079,0.36264026,0.21899912,0.11384034
2021-08-12,0.73854333,0.477455,0.4545733,1.819359,0.46961513,-0.53752214,0.22170454,0.5099233,0.020851707,0.03175742,0.05934867,0.04717976,0.1076686,0.2504409,0.2942308,0.30592087,0.32255375,0.3231758,0.19660707,0.100517355
2021-08-14,0.7266592,0.50859094,0.4851755,1.7147242,0.45542943,-0.5286195,0.20915729,0.503312,0.029885484,0.035408393,0.06934303,0.05484368,0.124478795,0.286037,0.33010858,0.34097642,0.36174655,0.36264664,0.22404312,0.11332708
2021-08-17,0.645069,0.45586148,0.41415527,1.4567846,0.4185717,-0.43475643,0.22541194,0.48110944,0.043581,0.050485622,0.07784346,0.06769818,0.12233776,0.25919867,0.2971734,0.31242713,0.32524773,0.32685497,0.19815014,0.10966315
2021-08-24,0.6425397,0.5409566,0.45531386,1.4249154,0.4104558,-0.44321233,0.19113784,0.4824303,0.071554884,0.070876785,0.09540683,0.07988739,0.14772108,0.30619553,0.35149834,0.3628507,0.38714263,0.38758427,0.24798098,0.12763225
2021-08-27,0.7061375,0.43765706,0.42215034,1.6816174,0.44826147,-0.54708123,0.1950098,0.4816071,0.025676431,0.0315289,0.05828809,0.051692024,0.10666407,0.23846784,0.27591956,0.29114106,0.30717978,0.30878368,0.1987479,0.10348845
2021-08-29,0.65583265,0.49235636,0.44310576,1.4485948,0.41250345,-0.5153034,0.16446085,0.43306062,0.040834744,0.055001903,0.08126589,0.07367861,0.1365331,0.27874365,0.32426053,0.34229383,0.3589443,0.35974964,0.24700928,0.13713355
2021-09-01,0.64366347,0.4096686,0.3791067,1.3995769,0.4025988,-0.4901216,0.18762445,0.47513518,0.042279102,0.044911295,0.06684952,0.06291106,0.11545957,0.22924699,0.26710534,0.28359765,0.29534537,0.29611322,0.19902317,0.10632197
2021-09-03,0.54178923,0.51067364,0.40297624,1.0576769,0.3388387,-0.38963005,0.16161865,0.4175504,0.114408456,0.100077346,0.12627956,0.11870877,0.18884963,0.3348484,0.37739,0.3864807,0.41432592,0.43134645,0.2803555,0.16132015
2021-09-23,0.61258626,0.41361308,0.3729542,1.2433037,0.36996433,-0.4886056,0.1334361,0.4066844,0.044058885,0.05564363,0.081086196,0.07568246,0.13241765,0.24776946,0.2801812,0.2954753,0.30885938,0.31206307,0.2303928,0.12801263
2021-09-28,0.3898274,0.34447804,0.25176147,0.635521,0.24015191,-0.20346664,0.17686763,0.3555561,0.12110368,0.117040984,0.13196856,0.12548764,0.1731492,0.25640884,0.28215602,0.28526214,0.3032667,0.44835368,0.20027152,0.1358775
2021-10-06,0.615216,0.34717965,0.32763243,1.1653996,0.3612142,-0.5045207,0.14213526,0.41216198,0.035005454,0.038578343,0.059828658,0.0590271,0.105730705,0.19785504,0.22263396,0.24046199,0.24934433,0.24825287,0.18447046,0.1024944
2021-10-08,0.59713703,0.34910384,0.32712546,1.1110404,0.3500391,-0.5273521,0.08207738,0.35014498,0.032329455,0.0425502,0.06543677,0.06443766,0.1158931,0.20933512,0.23805681,0.24797912,0.2638643,0.26464698,0.21446852,0.12231531
2021-10-11,0.5996314,0.31250095,0.3044273,1.0848697,0.34562764,-0.54787177,0.0854241,0.3513607,0.02010278,0.032627963,0.055853494,0.05836009,0.102479115,0.18319267,0.20816953,0.22480221,0.23349887,0.2341791,0.19383574,0.11101851
2021-10-13,0.58305484,0.33154076,0.32552928,0.9878211,0.32542053,-0.5341347,0.08733615,0.3613916,0.029672137,0.03659308,0.06519386,0.069116384,0.122072555,0.21172574,0.23759519,0.25406924,0.2650592,0.26609772,0.21689363,0.121624455
2021-10-16,0.5638956,0.2958786,0.29561484,0.9199592,0.31179222,-0.5427443,0.07997861,0.35234827,0.023557357,0.032133054,0.05886933,0.06672468,0.1145074,0.19298859,0.21636504,0.23169027,0.24374859,0.24468213,0.20152062,0.11378994
2021-10-18,0.5449219,0.30853572,0.30516544,0.8368088,0.2922981,-0.5348286,0.073283665,0.33866197,0.024605509,0.038433768,0.065814644,0.07576882,0.12767816,0.2064937,0.23171273,0.25099522,0.26117,0.26255152,0.22051346,0.1268291
2021-10-21,0.5053113,0.29325733,0.2885975,0.76052684,0.27358234,-0.49171126,0.09818914,0.369576,0.030642275,0.043230094,0.07044455,0.08426999,0.13520312,0.20941563,0.23622496,0.25263333,0.2661589,0.26935402,0.2112651,0.118966825
2021-10-23,0.50040185,0.28018332,0.28886446,0.72371346,0.26352313,-0.54366016,0.057914257,0.3322812,0.02489526,0.035033524,0.06783602,0.086686194,0.13856234,0.21163414,0.23716804,0.2564008,0.2677416,0.2704331,0.23043221,0.13004695
2021-10-26,0.47360483,0.24803905,0.25511625,0.67608035,0.25005242,-0.558262,0.02882286,0.29967174,0.022294845,0.0335789,0.061652064,0.082724325,0.12854244,0.19205458,0.21414432,0.22900288,0.24339974,0.24782151,0.2177065,0.12465564
2021-10-28,0.42332888,0.2370985,0.23285891,0.57204163,0.22059822,-0.48355594,0.051750284,0.2942329,0.032072138,0.047514614,0.07151109,0.09284756,0.13362063,0.18823083,0.2090476,0.22829638,0.23563556,0.24560396,0.20639211,0.12476993
2021-11-12,0.28512168,0.21573557,0.19143803,0.35589316,0.14576775,-0.23270212,0.13817891,0.34331053,0.11921149,0.13161227,0.16124383,0.19039144,0.23833105,0.28993043,0.3086968,0.31941724,0.33495557,0.34249127,0.23868126,0.15198803
2021-11-20,0.34550682,0.1991822,0.18818061,0.46265763,0.1825314,-0.4114531,0.03924844,0.25739688,0.06024026,0.07380489,0.09202799,0.11589599,0.15014525,0.1949243,0.2120096,0.22691064,0.23547079,0.2420969,0.20941575,0.13218537
2021-11-30,0.066783495,0.026081221,0.023289416,0.06985259,0.030931756,0.57171994,0.6240964,0.6775773,0.15441129,0.15359579,0.14125648,0.13471653,0.14265785,0.14833497,0.14758883,0.14687312,0.14404,0.14586431,0.031197267,0.026106458
2022-04-16,0.26994848,0.17231035,0.16092283,0.32964987,0.1364107,-0.35620937,-0.013176377,0.16008009,0.10606481,0.12261091,0.14147502,0.1664701,0.20037793,0.23798242,0.25272936,0.26624838,0.2731046,0.27155772,0.27326038,0.1899445
2022-04-19,0.280003,0.18596216,0.1621707,0.35142645,0.14733176,-0.38886902,-0.03692982,0.1416821,0.076370776,0.09687345,0.114623085,0.13615677,0.164589,0.203148,0.21886556,0.2358752,0.23984744,0.23932926,0.25440592,0.17697117
2022-04-29,0.232006,0.19454694,0.1511023,0.2863343,0.12072402,-0.17629905,0.10092884,0.275368,0.15041162,0.16491243,0.17910014,0.19528216,0.22805522,0.2685037,0.28210053,0.29585826,0.29849163,0.297775,0.24178736,0.16574626
2022-05-11,0.38220698,0.25421026,0.22975361,0.54362434,0.20945041,-0.5361621,-0.11406783,0.101258405,0.068598,0.07422006,0.0972623,0.11467392,0.16007304,0.22211288,0.24498829,0.25524846,0.27399907,0.27405795,0.3197271,0.20715062
2022-05-14,0.4671817,0.2776765,0.2736306,0.7991538,0.26702914,-0.6230493,-0.093696155,0.13489524,0.029789763,0.049011197,0.08067334,0.10404185,0.15372665,0.22968908,0.2579252,0.26961625,0.29398844,0.29967013,0.329787,0.20801623
2022-05-19,0.45876852,0.31874785,0.28371337,0.7830278,0.2743672,-0.5043329,-0.017632525,0.20421922,0.059882876,0.070479475,0.09312509,0.10137183,0.14889812,0.23250699,0.26353282,0.27410227,0.29170766,0.29256943,0.28298658,0.18003629
2022-05-21,0.5121548,0.24768002,0.24130757,0.9234033,0.30856434,-0.5164546,0.025366077,0.2560468,0.02316711,0.033801585,0.057548027,0.061154097,0.09692592,0.165773,0.18569627,0.19087207,0.20342161,0.20232111,0.17969243,0.11166461
2022-05-26,0.58722,0.46052426,0.40388098,1.170498,0.3616881,-0.4974904,0.08563929,0.33496857,0.057892144,0.06780441,0.095604695,0.08848777,0.15278302,0.28653792,0.32783952,0.33923703,0.35856155,0.35788918,0.28549975,0.16874196
2022-05-29,0.59345305,0.4347091,0.37397555,1.2789018,0.38255996,-0.46292976,0.13385996,0.36947933,0.057778187,0.063544534,0.08756099,0.080111325,0.13212454,0.25588548,0.29277655,0.30435643,0.31724915,0.3191267,0.233051,0.14145431
2022-06-10,0.71012187,0.51646876,0.47984764,1.6410403,0.44492888,-0.50427496,0.20210706,0.47245917,0.037327774,0.041921917,0.07465377,0.05802184,0.12500945,0.28604314,0.32716364,0.3427735,0.35342664,0.35396498,0.22712038,0.12238316
2022-06-13,0.7078659,0.50644815,0.46297365,1.778886,0.46349204,-0.4947605,0.21626367,0.4913771,0.040593598,0.04396977,0.07145114,0.056562085,0.11639929,0.27551323,0.31743827,0.32810086,0.34464893,0.34400034,0.21196371,0.112084806
2022-06-18,0.694612,0.47881755,0.43842098,1.7773387,0.4636043,-0.49523953,0.20834385,0.4745919,0.031081108,0.043237317,0.06861602,0.05620709,0.11118571,0.2563603,0.30256024,0.309679,0.32707247,0.3258898,0.20368402,0.11073662
2022-06-20,0.70453703,0.55031604,0.5014829,1.7579126,0.46036977,-0.5038522,0.20291285,0.48662096,0.04598836,0.048871823,0.08085793,0.064197846,0.13421282,0.31441385,0.36348832,0.3698542,0.3942138,0.3932988,0.24525791,0.12764093
2022-06-23,0.7271901,0.48575103,0.45504335,1.9263424,0.48085687,-0.5087019,0.23312902,0.5091663,0.03139667,0.035887346,0.06315066,0.049474385,0.10611901,0.26011175,0.30115718,0.3096175,0.32734054,0.3272858,0.1935702,0.101153314
2022-06-25,0.7242552,0.54870796,0.49878314,1.8413675,0.47128883,-0.501148,0.22337312,0.48748332,0.036673572,0.045251243,0.07460783,0.05653962,0.12229765,0.2907666,0.3407726,0.3537278,0.3689603,0.36909997,0.22466546,0.12176607
2022-06-30,0.65734196,0.5714858,0.4659084,1.5538479,0.42832366,-0.39255857,0.22764838,0.4955462,0.08285099,0.07536369,0.1013662,0.07694977,0.14703287,0.32162094,0.36475515,0.36716896,0.39272276,0.4073384,0.23160917,0.12438094
2022-07-03,0.70006555,0.5750168,0.5038741,1.7912319,0.4646316,-0.47733885,0.22727537,0.49935365,0.055572446,0.05622793,0.08550185,0.06780612,0.13687587,0.32168725,0.37256813,0.37934712,0.40531084,0.40302566,0.23842816,0.12671815
2022-07-08,0.7600007,0.511,0.47880906,2.0561059,0.4982323,-0.5316175,0.24853876,0.523747,0.023782168,0.0329926,0.05871608,0.04379696,0.101527974,0.25434524,0.3006783,0.3163558,0.32729992,0.3275418,0.19157113,0.099526
2022-07-10,0.73828226,0.53507346,0.5022066,1.8279781,0.47000864,-0.52414167,0.21608129,0.4994021,0.032858353,0.037504133,0.07055142,0.05284347,0.12327527,0.29626,0.34144425,0.34942707,0.37034538,0.36994845,0.2254663,0.11665163
2022-07-13,0.71685153,0.5120514,0.46814498,1.8801421,0.47585192,-0.51006705,0.21397237,0.5027167,0.040906444,0.04280863,0.06887762,0.054570436,0.11661745,0.27958292,0.3257981,0.3288932,0.35760963,0.35166374,0.21506901,0.10985291
2022-07-15,0.7214443,0.5279004,0.48792621,1.8213981,0.46701086,-0.52460015,0.20509724,0.4803931,0.032511156,0.041842353,0.07119247,0.05611666,0.12112391,0.28212208,0.33251053,0.3447142,0.36267716,0.36234653,0.22805202,0.12132375
2022-07-18,0.7179978,0.47600785,0.44222093,1.8703202,0.47152707,-0.53451943,0.20243053,0.48733243,0.029436516,0.037575886,0.0612578,0.050409812,0.10655623,0.24701756,0.293815,0.30199072,0.3222635,0.32077855,0.20241942,0.10532676
