date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-03-30,0.8381912,0.7320235,0.6897794,3.3713121,0.592269,-0.55663615,0.35255915,0.5694667,0.024974236,0.030826267,0.06423257,0.03758368,0.113257125,0.39593834,0.45874357,0.46579266,0.47063357,0.47527224,0.21897116,0.12446462
2017-04-09,0.8564959,0.8267895,0.7855862,3.9396477,0.6260451,-0.4907844,0.4567762,0.667231,0.02177346,0.029443748,0.06951484,0.037535205,0.113701224,0.4328459,0.51936585,0.5553448,0.5324955,0.5297302,0.20178078,0.10604958
2017-04-19,0.8410758,0.8394438,0.79800445,3.8315117,0.6138526,-0.44486502,0.49204618,0.6856661,0.026483778,0.03216494,0.0760016,0.044969648,0.12428024,0.45175388,0.5433042,0.5858213,0.55936277,0.55058765,0.19313464,0.103516966
2017-05-09,0.8512546,0.8009201,0.76429135,3.854856,0.6288545,-0.46022975,0.49100834,0.6939331,0.018647103,0.028169334,0.06548984,0.03776973,0.111509055,0.42487866,0.51622796,0.5407339,0.5308663,0.53197235,0.17936918,0.092728645
2017-05-26,0.5713637,0.44734535,0.43898964,1.077661,0.30518553,-0.47312152,0.13756484,0.3290622,0.033947732,0.05553074,0.10280816,0.105468795,0.19468252,0.3219024,0.3692069,0.39205965,0.40931353,0.42343313,0.30508453,0.20054431
2017-05-29,0.53768224,0.4069233,0.4024413,1.17479,0.32596183,-0.45453086,0.15628204,0.35559577,0.021157423,0.055044197,0.10056171,0.112463474,0.1872088,0.32056636,0.36912823,0.37347996,0.4028279,0.40904003,0.2798313,0.18011245
2017-06-15,0.84349823,0.7602464,0.7664563,3.1427286,0.56677556,-0.5238118,0.39283568,0.6284858,0.006656594,0.01776036,0.07110088,0.039706495,0.14413057,0.47157702,0.55433965,0.5453987,0.57714033,0.5724501,0.23355317,0.11923297
2017-06-18,0.8253952,0.73721635,0.7230134,3.3162127,0.57173043,-0.5094683,0.39963782,0.63451254,0.010463649,0.02535678,0.06838028,0.042617228,0.12928212,0.4220891,0.50839555,0.51355016,0.53400266,0.53172064,0.21687374,0.1106288
2017-07-05,0.506819,0.4069823,0.36482245,0.63194406,0.23379156,-0.5337008,-0.021975428,0.19166085,0.052445214,0.07062915,0.10769353,0.10737845,0.19462141,0.2820264,0.32069182,0.34321466,0.37568146,0.37245995,0.3487031,0.22425908
2017-07-18,0.6095995,0.4684261,0.44496128,1.5691135,0.39287484,-0.5689586,0.06713508,0.2925706,0.03453085,0.048961505,0.08495551,0.08216295,0.14662825,0.31399292,0.35335618,0.3561321,0.3809125,0.37219894,0.30015045,0.18592888
2017-07-25,0.6114664,0.46957362,0.43939137,1.9644419,0.41518655,-0.46257558,0.21210355,0.4646451,0.04695033,0.05811162,0.091339834,0.09100805,0.14939624,0.31842297,0.36021742,0.35826907,0.38093707,0.36703295,0.23134638,0.1293074
2017-08-27,0.3690573,0.34476718,0.2769189,0.5413069,0.20803791,-0.43744344,-0.064046614,0.106040806,0.11050466,0.122587286,0.15792422,0.16349006,0.22992931,0.32241163,0.3533418,0.35687402,0.38778082,0.38898793,0.40304142,0.28791207
2017-10-06,0.22305739,0.15883625,0.15418035,0.22883977,0.10065339,-0.43078,-0.09437938,-0.007897582,0.07031274,0.09303437,0.14174804,0.1871475,0.22563466,0.25969836,0.2764042,0.29418415,0.2950037,0.30273935,0.35461706,0.2983365
2017-10-13,0.11320316,0.048400175,0.045146063,0.14667039,0.06822333,-0.3650902,-0.16226298,-0.097455874,0.0580602,0.05778829,0.077995375,0.0967121,0.11225501,0.12094496,0.12853196,0.12113476,0.13675115,0.13184346,0.16869892,0.14881392
2017-10-16,0.26306784,0.16603646,0.16564102,0.32844007,0.13603392,-0.4503345,-0.09920418,-0.0057950234,0.049643993,0.067897,0.11704972,0.147418,0.19157729,0.23724131,0.25333562,0.25325382,0.2697388,0.27303618,0.30730987,0.25526404
2017-11-02,0.19845027,0.17510289,0.14143082,0.23967895,0.09993781,-0.3346716,-0.06789492,0.010190805,0.13696411,0.12902391,0.16767083,0.196472,0.23861332,0.28011978,0.29381043,0.2954868,0.3082689,0.29917642,0.33680588,0.2894521
2017-11-05,0.33835673,0.21832834,0.19476086,0.42077395,0.16152598,-0.39088082,0.026660077,0.17736563,0.048902422,0.06321199,0.08727371,0.099934906,0.13908803,0.19128785,0.20159173,0.21683186,0.2135941,0.21226706,0.19482553,0.14243223
2017-11-22,0.40360427,0.19185926,0.20059755,0.48629504,0.1880286,-0.50458086,-0.012368456,0.1537298,0.02278622,0.024411816,0.061493497,0.07467975,0.115488485,0.1632662,0.1753174,0.18695408,0.18868908,0.20200935,0.18419111,0.1306086
2017-12-12,0.33379036,0.1657246,0.1690293,0.3975441,0.1617415,-0.43772525,0.034319244,0.2291689,0.018883096,0.03980583,0.06814177,0.09266484,0.12518294,0.16227102,0.17479405,0.18830538,0.1891997,0.16208716,0.17390946,0.116475716
2017-12-17,0.30246878,0.17804898,0.17001298,0.3528214,0.14607167,-0.29652143,0.12179215,0.28855336,0.03861414,0.063377365,0.09148653,0.11515698,0.14932284,0.18713957,0.201268,0.21664561,0.21358159,0.22221959,0.16839054,0.11855146
2017-12-27,0.18346968,0.12415881,0.0882038,0.25033647,0.11074505,-0.07890035,0.17147514,0.27060002,0.11256403,0.10446766,0.098951116,0.11263114,0.12778173,0.14780295,0.15940742,0.16322581,0.16494218,0.10664387,0.11506731,0.093553774
2018-02-18,0.47710556,0.28825164,0.27636164,0.7057649,0.256756,-0.41470265,0.09562427,0.29913157,0.026933393,0.049699824,0.08443677,0.0872564,0.1456963,0.22955377,0.2478936,0.24825105,0.25815272,0.2553054,0.20455214,0.13400173
