date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-04-30,0.69610673,0.40942225,0.3892315,1.6699764,0.41095316,-0.5533146,0.18055962,0.40758333,0.026162116,0.03081551,0.05213655,0.046693765,0.096874386,0.2073581,0.24446942,0.2665349,0.26965964,0.27165887,0.17659241,0.10750584
2017-05-27,0.864658,0.6224099,0.613752,3.7340267,0.6204335,-0.5642368,0.40024194,0.6572227,0.008610952,0.018442724,0.049782906,0.031629294,0.09067427,0.30217466,0.37810865,0.39114156,0.3995538,0.40455145,0.16716486,0.08363137
2017-06-19,0.8890274,0.6293115,0.6036075,4.858343,0.6751644,-0.6123325,0.41235963,0.6860719,0.017163482,0.019266035,0.039655183,0.023767157,0.07337449,0.27648428,0.363359,0.37091202,0.38981423,0.39125454,0.153277,0.06940847
2017-07-19,0.74121916,0.49866545,0.47123137,3.510079,0.55465716,-0.58965766,0.26693144,0.5438116,0.02515435,0.03164133,0.049031653,0.045867335,0.08643003,0.23858094,0.30666143,0.31199038,0.33664638,0.3359736,0.17817876,0.091172166
2017-07-29,0.63876003,0.42616057,0.3863198,2.678936,0.48059013,-0.5023266,0.22512224,0.47003826,0.0415667,0.047272477,0.06384386,0.06301901,0.0984736,0.22412238,0.28219625,0.2831968,0.3072322,0.30278358,0.17780423,0.102827
2017-08-25,0.6800612,0.48159257,0.44666478,2.6640348,0.49972475,-0.5064497,0.2611521,0.5183182,0.03823329,0.0478389,0.06839246,0.064447924,0.107495576,0.25622517,0.31587085,0.3277531,0.34504527,0.34139988,0.19420289,0.10777881
2017-09-04,0.6801249,0.48140097,0.4479055,2.6257122,0.49407703,-0.5218528,0.2528179,0.50524634,0.045565225,0.052295603,0.073659375,0.07280116,0.117932566,0.26285025,0.32126737,0.3382101,0.3519047,0.35919094,0.21368782,0.12616166
2017-09-14,0.8608381,0.5011764,0.4927719,3.9809709,0.62993413,-0.671319,0.36885422,0.64622945,0.006211088,0.012847556,0.028246872,0.021191452,0.05971321,0.20880903,0.2648265,0.2885757,0.29651442,0.29523063,0.13199079,0.061091937
2017-10-14,0.74296564,0.37454492,0.36746243,2.0570972,0.4603479,-0.62058055,0.17277995,0.4559878,0.007734118,0.021287609,0.042538825,0.03639993,0.083750844,0.18857586,0.22125836,0.2301931,0.25368375,0.25063935,0.16140114,0.0894802
2017-10-17,0.4503627,0.33038607,0.2560681,0.8239641,0.2810568,-0.2586452,0.16235852,0.42512476,0.0791398,0.086831294,0.10176509,0.09129746,0.1299833,0.20551956,0.2317361,0.24112147,0.26161078,0.2518295,0.1755817,0.10240544
2017-11-03,0.7163341,0.3506697,0.3383395,1.3773403,0.38282943,-0.5769362,0.160849,0.436566,0.016323555,0.0222346,0.042286348,0.035127748,0.08413676,0.16785038,0.19253626,0.21417572,0.22322406,0.220502,0.1484901,0.08052454
2017-11-06,0.64629036,0.35029247,0.3186085,1.1182995,0.32892528,-0.52124184,0.1510879,0.39418703,0.046181023,0.042172898,0.05796361,0.052811418,0.104639605,0.18263389,0.20674692,0.22752064,0.2391981,0.23752362,0.16321377,0.09870054
2017-12-18,0.5771828,0.33489186,0.28719318,1.0392033,0.3111203,-0.43501145,0.19244522,0.39287105,0.023698246,0.048126813,0.052678186,0.051455706,0.09130884,0.16462635,0.18582825,0.20957787,0.21011806,0.21708095,0.13169509,0.08284797
2018-01-10,0.57533586,0.27358165,0.2748874,1.103568,0.33001062,-0.63318145,0.09389913,0.30139488,0.0009955657,0.022011958,0.038422436,0.051414907,0.08881464,0.15944572,0.1850406,0.20147283,0.21242112,0.16337115,0.15609285,0.100046255
2018-01-27,0.48988983,0.2857888,0.24845864,0.79522973,0.26366955,-0.42210865,0.11338751,0.3172414,0.0403759,0.059651673,0.06973641,0.072506785,0.1090342,0.17088012,0.1909223,0.21175697,0.21319999,0.18479183,0.16413009,0.10853269
2018-02-09,0.2721227,0.19496278,0.13197064,0.34146127,0.13627678,0.08481194,0.3580533,0.483249,0.13442521,0.14178497,0.13844177,0.13809216,0.1658034,0.19372733,0.20601064,0.21477577,0.22440027,0.23481156,0.0907397,0.066971995
2018-02-14,0.4548451,0.24461657,0.21560961,0.6228612,0.21902537,-0.33800918,0.20563202,0.39900908,0.047817875,0.05658263,0.06453987,0.07312863,0.10665594,0.15126458,0.16819215,0.19355589,0.19274807,0.18965901,0.122239545,0.07841773
2018-02-16,0.3808321,0.2374572,0.19495395,0.48848826,0.18320325,-0.15240929,0.2860009,0.4604842,0.06347079,0.07868414,0.08346317,0.090500794,0.12224684,0.16285032,0.1801747,0.20293228,0.20318326,0.19422233,0.10834691,0.07086582
2018-03-01,0.41820744,0.20764425,0.19182926,0.61566883,0.21943411,-0.5143393,-0.018048355,0.11404162,0.032806333,0.051316254,0.063884415,0.07853199,0.10884238,0.15045199,0.16920502,0.18560578,0.19591095,0.19691955,0.19379748,0.15240918
2018-03-03,0.40974477,0.1993217,0.19048208,0.54602396,0.20360634,-0.5555951,-0.0829184,0.08603166,0.034630775,0.047470856,0.06666446,0.082525946,0.114628606,0.15308394,0.17222567,0.18967685,0.1999411,0.20208888,0.22219507,0.16252387
2018-04-02,0.3677271,0.22688046,0.1866211,0.4338807,0.17281501,-0.42368147,-0.019244995,0.18589862,0.08174549,0.07728367,0.084406994,0.09258614,0.12698913,0.16269688,0.18026252,0.19949052,0.20656729,0.2114488,0.20561215,0.13586387
2018-04-07,0.4647111,0.23955104,0.2254908,0.66427755,0.2368069,-0.56958205,-0.050587174,0.12849802,0.028567296,0.04446091,0.059714757,0.071609996,0.103258744,0.14919032,0.1692792,0.19631222,0.1957632,0.19243962,0.21322446,0.14890482
2018-04-10,0.46269274,0.2571255,0.2293709,0.72842044,0.25274917,-0.5384994,-0.04433579,0.13278538,0.044774756,0.053958874,0.06514919,0.072622195,0.10770456,0.16116007,0.18427871,0.20018604,0.20934309,0.20916554,0.21426493,0.1507265
2018-04-17,0.5665583,0.3326066,0.3085226,1.138692,0.33162946,-0.5281727,0.06373206,0.27205366,0.025015986,0.044975977,0.0664068,0.06698593,0.10851683,0.19077313,0.22041805,0.24126767,0.24482042,0.24695264,0.20848274,0.13635935
2018-04-20,0.66742486,0.4053093,0.36882004,1.5623682,0.40632856,-0.509547,0.14756313,0.37124452,0.03066102,0.040105265,0.06049428,0.050041754,0.09801878,0.203253,0.23910539,0.25445968,0.26159403,0.2620234,0.18535297,0.11588132
2018-04-22,0.6706024,0.446742,0.4172539,1.534007,0.40838575,-0.44606218,0.21254355,0.46306837,0.027276566,0.040514402,0.073600516,0.058570296,0.11944635,0.2513845,0.28992978,0.30003005,0.31243858,0.31357342,0.19331934,0.11106118
2018-05-07,0.821317,0.6128441,0.573857,2.856334,0.55803657,-0.4877398,0.3726473,0.6136044,0.01786813,0.031381432,0.061093662,0.038903594,0.099389486,0.28463516,0.34792578,0.37567428,0.37012008,0.37446022,0.17090026,0.09243469
2018-05-10,0.799285,0.5681025,0.5402001,3.142729,0.58426964,-0.4969805,0.372617,0.61303157,0.012005022,0.02940365,0.056186575,0.041097865,0.09163682,0.27342367,0.34656703,0.35512084,0.367663,0.3689552,0.1617218,0.08760266
2018-05-20,0.8492364,0.6321571,0.5903528,4.2323265,0.6450624,-0.5582956,0.41303104,0.649631,0.021173118,0.027843462,0.045239996,0.03112539,0.07553562,0.26477352,0.3479899,0.3730842,0.37272626,0.37225398,0.15424435,0.08144973
2018-05-22,0.83667696,0.63832384,0.6017121,3.931874,0.62969655,-0.5550171,0.38803548,0.6455545,0.025835775,0.028715625,0.05085535,0.03569351,0.085002586,0.28841472,0.37115812,0.3905212,0.395671,0.39939234,0.17130442,0.08597904
2018-05-25,0.8277405,0.5823293,0.57292503,4.160742,0.6375706,-0.5764566,0.39447564,0.64692086,0.014318975,0.022284074,0.04687354,0.03718869,0.08131354,0.2720055,0.35783434,0.3729269,0.38291553,0.38936672,0.16207166,0.08255308
2018-05-30,0.7820392,0.66703373,0.58013886,3.5321355,0.62061983,-0.46261016,0.39337793,0.64869297,0.03525519,0.049936276,0.0646998,0.048819598,0.093184724,0.29673404,0.400223,0.40333584,0.42969748,0.43015575,0.17582661,0.0858266
