date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2021-01-10,0.3950804,0.22682732,0.20116463,0.5209726,0.20576409,-0.14899574,0.27403152,0.43772304,0.047211476,0.063025214,0.08473867,0.08729325,0.12677762,0.17912368,0.19233975,0.20077801,0.19782567,0.19264436,0.114524096,0.078648925
2021-01-11,0.38996634,0.22222903,0.20049158,0.50862783,0.20161599,-0.17254612,0.25897297,0.41961795,0.04974509,0.06173491,0.085871115,0.09157172,0.13196138,0.18400079,0.19730051,0.20570223,0.20407286,0.20765603,0.123958305,0.08759753
2021-01-12,0.38531846,0.21798463,0.19997817,0.49729744,0.19779499,-0.19587572,0.24467377,0.40236965,0.052172326,0.060508877,0.086925894,0.09560623,0.13687167,0.18866628,0.20204833,0.21048613,0.21008405,0.22248544,0.13294032,0.096175954
2021-01-13,0.3811026,0.21407893,0.19961113,0.48691776,0.19428276,-0.21878542,0.2310977,0.38596848,0.054477,0.059344303,0.08790948,0.09940173,0.14151293,0.19312003,0.20658334,0.21511278,0.21584809,0.23698674,0.14148197,0.10437141
2021-01-14,0.37728453,0.21049677,0.1993771,0.47742507,0.19106098,-0.24107608,0.2182086,0.37040466,0.056642927,0.058238395,0.08882834,0.10296311,0.14588961,0.19736187,0.2109057,0.21956521,0.22135387,0.25101405,0.14959505,0.112171136
2021-01-15,0.37383002,0.20722292,0.19926281,0.46875557,0.18811134,-0.2625486,0.20597024,0.35566857,0.058653936,0.057188347,0.08968896,0.10629532,0.15000616,0.20139164,0.21501552,0.22382647,0.22659029,0.26442146,0.15729137,0.11956232
2021-01-16,0.37070492,0.20424224,0.19925493,0.4608456,0.1854155,-0.28300378,0.19434646,0.34175047,0.060493838,0.056191362,0.09049781,0.10940327,0.153867,0.2052092,0.21891294,0.22787961,0.23154622,0.27706313,0.16458276,0.12653218
2021-01-17,0.367875,0.20153953,0.19934012,0.45363137,0.1829552,-0.30224255,0.18330106,0.32864067,0.06214645,0.055244632,0.09126135,0.11229187,0.1574766,0.20881437,0.2225981,0.23170769,0.23621055,0.28879315,0.17148101,0.13306795
2021-01-18,0.36530605,0.1990996,0.19950509,0.44704917,0.18071207,-0.32006574,0.17279787,0.31632948,0.0635956,0.05434536,0.091986075,0.11496606,0.1608394,0.21220702,0.22607113,0.23529373,0.24057217,0.29946563,0.17799795,0.13915683
2021-01-19,0.36296389,0.19690725,0.1997365,0.4410353,0.17866783,-0.33627424,0.16280067,0.3048072,0.064825095,0.05349074,0.09267844,0.11743075,0.16395982,0.215387,0.2293322,0.2386208,0.24461995,0.30893472,0.18414539,0.14478603
2021-01-20,0.3608143,0.19494733,0.20002107,0.43552595,0.17680413,-0.3506689,0.1532733,0.29406407,0.06581876,0.052677974,0.093344934,0.11969086,0.1668423,0.21835414,0.23238139,0.24167195,0.24834278,0.3170545,0.18993512,0.14994277
2021-01-21,0.3588231,0.19320463,0.20034547,0.43045744,0.17510267,-0.36305058,0.14417955,0.2840905,0.06656041,0.05190426,0.093992025,0.12175131,0.1694913,0.22110827,0.23521885,0.2444302,0.25172958,0.32367915,0.19537897,0.15461428
2021-01-22,0.35695606,0.19166397,0.20069638,0.42576602,0.17354514,-0.37322018,0.13548324,0.2748767,0.067033865,0.0511668,0.09462618,0.12361703,0.17191127,0.22364926,0.23784475,0.24687862,0.25476915,0.32866275,0.20048875,0.15878776
2021-01-23,0.35517898,0.19031017,0.20106047,0.42138797,0.17211321,-0.38097852,0.12714817,0.26641303,0.067222945,0.050462782,0.095253885,0.12529294,0.17410663,0.22597696,0.24025919,0.24900027,0.25745046,0.3318594,0.20527625,0.16245042
2021-01-24,0.3534577,0.18912804,0.20142445,0.41725954,0.17078857,-0.38612652,0.11913815,0.25868976,0.06711146,0.049789414,0.0958816,0.12678395,0.17608184,0.2280912,0.24246232,0.25077817,0.25976235,0.33312327,0.20975332,0.16558947
2021-01-25,0.35175797,0.1881024,0.20177498,0.413317,0.1695529,-0.388465,0.11141701,0.25169718,0.06668325,0.04914389,0.09651581,0.128095,0.17784132,0.22999182,0.24445426,0.25219536,0.26169372,0.33230844,0.21393174,0.16819215
2021-01-26,0.350168,0.18724807,0.20199648,0.4095617,0.16840127,-0.38931748,0.10403399,0.24534035,0.06605295,0.048548084,0.097126946,0.12923932,0.17941046,0.23171344,0.24626324,0.253376,0.26335162,0.33039367,0.21780892,0.17039488
2021-01-27,0.3488008,0.18658921,0.20200439,0.40605867,0.16734657,-0.39014152,0.097061545,0.2395229,0.06534821,0.04802297,0.09768216,0.13022912,0.18081366,0.2332934,0.24792069,0.25445825,0.2648538,0.3284554,0.22137989,0.17234793
2021-01-28,0.34765944,0.18612461,0.20183209,0.40283984,0.16639721,-0.39093912,0.09049823,0.23423305,0.064572275,0.04756443,0.09818298,0.13106774,0.1820539,0.23473571,0.24943163,0.2554462,0.266205,0.3264942,0.2246529,0.17405915
2021-01-29,0.34674695,0.18585303,0.20151289,0.39993703,0.16556162,-0.39171216,0.084342636,0.229459,0.063728414,0.047168322,0.09863096,0.13175851,0.1831342,0.23604436,0.25080103,0.2563439,0.26741013,0.32451063,0.22763617,0.17553645
2021-01-30,0.3460664,0.1857733,0.20108014,0.39738214,0.1648482,-0.39246267,0.078593336,0.22518896,0.06281989,0.046830527,0.099027626,0.13230479,0.18405755,0.23722333,0.25203392,0.25715548,0.2684739,0.32250533,0.23033798,0.17678772
2021-01-31,0.34562078,0.18588416,0.2005672,0.395207,0.16426538,-0.3931926,0.07324891,0.22141111,0.06184996,0.046546914,0.099374525,0.13270992,0.18482696,0.23827662,0.25313526,0.25788495,0.26940116,0.3204789,0.23276657,0.17782085
2021-02-01,0.34541318,0.18618442,0.20000738,0.39344347,0.1638216,-0.39390385,0.06830793,0.2181137,0.060821883,0.04631335,0.09967319,0.13297725,0.1854454,0.23920822,0.2541101,0.25853643,0.27019674,0.3184319,0.23493016,0.17864372
2021-02-02,0.34544665,0.18667287,0.19943403,0.39212343,0.16352524,-0.3945984,0.06376898,0.21528491,0.059738927,0.046125706,0.09992517,0.1331101,0.1859159,0.24002212,0.2549634,0.259114,0.2708654,0.31636494,0.23683701,0.17926423
2021-02-03,0.34572423,0.18734826,0.1988805,0.39127874,0.16338477,-0.39527825,0.059630636,0.21291295,0.058604345,0.045979857,0.100131996,0.13311185,0.18624146,0.24072231,0.25570014,0.25962174,0.27141201,0.31427863,0.23849538,0.17969026
2021-02-04,0.34624892,0.18820943,0.19838011,0.3909413,0.16340856,-0.3959453,0.055891477,0.21098603,0.057421405,0.04587167,0.100295216,0.1329858,0.18642506,0.24131279,0.25632536,0.2600637,0.27184135,0.31217352,0.23991351,0.1799297
2021-02-05,0.34702384,0.18925513,0.19796622,0.39114293,0.16360505,-0.39660156,0.052550074,0.20949237,0.056193367,0.04579702,0.10041636,0.13273534,0.1864697,0.24179755,0.25684407,0.26044402,0.27215824,0.31005025,0.24109963,0.17999046
