date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-03-30,0.9564034,0.86908257,0.8238324,4.2342396,0.6770866,-0.60567266,0.43121454,0.6745952,0.015891701,0.016266704,0.050978705,0.0114340745,0.09894422,0.44609642,0.515644,0.5221961,0.5226332,0.5130096,0.20715731,0.101198554
2017-04-09,0.97765934,1.0036061,0.95149946,5.3311567,0.72516775,-0.582495,0.53095055,0.76579547,0.013933053,0.014780497,0.051410813,0.006962495,0.09451884,0.4943313,0.5955492,0.6363854,0.6049222,0.5836241,0.19462979,0.08416426
2017-04-19,0.9789506,1.0455348,0.9830953,5.4587393,0.7290698,-0.5685787,0.5694922,0.7826942,0.019219296,0.016689487,0.05059429,0.006891119,0.0970204,0.51181513,0.6215272,0.67048544,0.6343212,0.6054574,0.1835827,0.08147929
2017-05-09,0.9497231,0.9757946,0.92569816,5.214075,0.7205851,-0.552636,0.54660344,0.7676112,0.01445424,0.019158075,0.053640343,0.01608086,0.09825085,0.49473363,0.60818005,0.63688743,0.61903584,0.5979924,0.18638293,0.0834426
2017-05-26,0.47734666,0.3591919,0.35468298,0.50601506,0.19889301,-0.52761704,0.0012416684,0.19956824,0.037022106,0.06534316,0.1135401,0.13046542,0.22752672,0.30549783,0.3406741,0.36896744,0.3911339,0.41275638,0.36929822,0.24677286
2017-05-29,0.4405552,0.31688628,0.32384264,0.6168102,0.23364714,-0.49509808,0.038628925,0.25108922,0.022957858,0.061776876,0.111904345,0.1392709,0.21771403,0.31651342,0.350442,0.35834366,0.3889894,0.4009766,0.3325174,0.21483469
2017-06-15,0.9629843,0.95547926,0.956041,4.5304184,0.68901384,-0.6296476,0.45345813,0.7157339,0.0010424367,0.0055146124,0.055896834,0.011778578,0.12239408,0.56566405,0.67072845,0.65676177,0.6853628,0.65431595,0.24642864,0.108246356
2017-06-18,0.94865614,0.93914413,0.9208839,4.9496555,0.7082412,-0.61557686,0.469966,0.7305515,0.0039422754,0.012117883,0.054037347,0.016252406,0.10683179,0.5148852,0.63013923,0.63270247,0.6478455,0.6135592,0.22770071,0.09808254
2017-07-05,0.62139904,0.54770786,0.48184246,0.78038186,0.28029945,-0.53304327,0.045272022,0.29170495,0.051800177,0.07222432,0.11483118,0.09612653,0.21645406,0.33727318,0.38554412,0.41326925,0.44993156,0.4308399,0.3769701,0.2260848
2017-07-18,0.8210194,0.66761446,0.63281673,2.4190147,0.5438427,-0.60097575,0.20470391,0.46405554,0.02392333,0.03037247,0.07021402,0.0413853,0.12634642,0.38219157,0.4306507,0.42837724,0.4497221,0.4182999,0.28163862,0.15587458
2017-07-25,0.86961704,0.67288536,0.64039636,3.2979207,0.61301225,-0.54874986,0.364144,0.63923967,0.028418422,0.023742428,0.056523837,0.029565874,0.10183924,0.3647218,0.41961774,0.40871558,0.43229592,0.40516308,0.19137456,0.09061089
2017-08-27,0.34329793,0.290405,0.24053416,0.46672595,0.18858197,-0.48007548,-0.124346554,0.03198034,0.10301542,0.1131649,0.14338769,0.1554322,0.2150281,0.28634527,0.31532076,0.31817642,0.35230154,0.36776614,0.4085726,0.2985431
2017-10-06,0.19162112,0.12869972,0.13038105,0.18354642,0.08375558,-0.43283767,-0.11015771,-0.040771134,0.06541392,0.089129806,0.14017668,0.19246846,0.22647357,0.2525408,0.26768854,0.28348976,0.28368247,0.2907368,0.35343468,0.30766505
2017-10-16,0.23351075,0.13998319,0.14390478,0.27101964,0.11883643,-0.44681984,-0.11089532,-0.032045938,0.047320697,0.06699219,0.11736365,0.15249106,0.19390081,0.23110168,0.24611053,0.2452139,0.2598741,0.26134515,0.30614322,0.2614432
2017-11-02,0.1395475,0.10992645,0.09484598,0.14089054,0.06535424,-0.3237912,-0.09737162,-0.041332524,0.1412526,0.13033101,0.17051429,0.20735858,0.24016973,0.26191196,0.27379102,0.27461463,0.2869093,0.29111314,0.3336553,0.29826528
2017-11-05,0.26537335,0.13994545,0.12823555,0.2348778,0.10412679,-0.40242743,-0.02541621,0.105985954,0.04294293,0.057512656,0.07671251,0.09783284,0.12379369,0.14723364,0.15347221,0.17089741,0.16238262,0.1681074,0.17693509,0.13584587
2017-11-22,0.35485506,0.13291194,0.14455494,0.37218857,0.15618353,-0.5206979,-0.048703402,0.10288094,0.017171707,0.017549176,0.050215743,0.06873277,0.09932099,0.12732902,0.13636422,0.1445033,0.1461758,0.1623048,0.1592603,0.11752464
2017-12-12,0.30546743,0.14851433,0.15256204,0.3531475,0.1496748,-0.4208792,0.03306242,0.2172569,0.019943502,0.042119898,0.07090418,0.098820925,0.12876509,0.16275956,0.1741857,0.18572336,0.18584695,0.16050948,0.17359897,0.11934526
2017-12-17,0.27551174,0.16121721,0.1549263,0.30697984,0.13281071,-0.2656767,0.13202885,0.28716725,0.040998854,0.066838495,0.096579045,0.12328095,0.15583587,0.1911397,0.20359989,0.21709967,0.21318442,0.22184423,0.16648678,0.120300695
2017-12-27,0.18384439,0.14080478,0.09296488,0.21716201,0.09770652,-0.04008801,0.19166982,0.28191137,0.11182042,0.12189735,0.11005907,0.12103203,0.13445845,0.15413591,0.16342042,0.17552954,0.16402677,0.10935071,0.11893803,0.09822324
2018-02-18,0.51413774,0.31379116,0.30129415,0.7919212,0.2832677,-0.40393972,0.13748527,0.35257953,0.025094591,0.04745376,0.083202526,0.0828789,0.14528723,0.24119115,0.26035234,0.2586215,0.26787582,0.2634843,0.19585547,0.12360521
2018-02-20,0.34556192,0.2518921,0.20545399,0.46635276,0.18877271,-0.18976782,0.16391696,0.35645923,0.10242994,0.09498367,0.11996544,0.11917785,0.17289244,0.23809513,0.2533931,0.24492377,0.2602991,0.27915522,0.17589475,0.11618334
2018-02-25,0.48011345,0.3341167,0.31665236,0.7392319,0.26925558,-0.4660375,0.063853055,0.20155546,0.044294536,0.062525004,0.0983326,0.1078659,0.1713036,0.27227795,0.2971472,0.30609435,0.3079695,0.30126315,0.26966348,0.20435475
2018-02-28,0.42354935,0.3180734,0.30773962,0.6200733,0.23637004,-0.47174406,0.018904582,0.12051214,0.040784582,0.0750745,0.12074699,0.14142317,0.20506728,0.3087008,0.3321284,0.34943718,0.34791684,0.3397469,0.3360896,0.27396846
2018-03-20,0.52896714,0.36923358,0.32886156,0.98649675,0.3298078,-0.38927287,0.15554824,0.36899567,0.0428011,0.06365447,0.09114486,0.087374896,0.1414898,0.25439546,0.280936,0.28390703,0.28940678,0.2889685,0.20729432,0.13071969
2018-03-25,0.38131422,0.31957254,0.2560844,0.59856665,0.23001246,-0.3244921,0.059926532,0.1783351,0.09789385,0.107972145,0.13715196,0.1357182,0.19106546,0.2830239,0.30494738,0.30234712,0.31739834,0.31137773,0.2681931,0.2109204
2018-04-11,0.65545106,0.41445237,0.4030637,1.4270251,0.4150253,-0.47331828,0.22164279,0.43703803,0.030863963,0.034618333,0.06695619,0.061214224,0.11742219,0.2470187,0.2837302,0.29338926,0.29641467,0.3020132,0.18722767,0.115323596
2018-04-19,0.71443313,0.44874868,0.4340294,2.0704288,0.50566685,-0.4937721,0.2831941,0.48227954,0.012539074,0.029698066,0.055796586,0.049068384,0.093489304,0.23245716,0.2847421,0.29427952,0.2952068,0.29994082,0.16448784,0.103023276
2018-04-21,0.6847831,0.45279825,0.45294097,1.8973937,0.4839512,-0.4878694,0.2734325,0.4657606,0.019071762,0.029487332,0.06477851,0.061649702,0.1117733,0.2638445,0.3216993,0.32930535,0.3374255,0.34698552,0.18789637,0.120114625
2018-04-26,0.7004826,0.57133555,0.5138893,2.1375895,0.51300526,-0.44071758,0.33149755,0.5007429,0.041325092,0.05315499,0.07589699,0.06837188,0.11694771,0.28578517,0.36317268,0.38709933,0.38251805,0.38892907,0.19434512,0.12881172
2018-05-04,0.78354913,0.52032596,0.4960161,2.8497608,0.5840721,-0.47996578,0.39711598,0.5995648,0.024629313,0.027274817,0.048368372,0.038582355,0.079762876,0.2397601,0.3042131,0.3186237,0.3202095,0.33190963,0.13744205,0.07974951
