date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2021-01-31,0.3436632,0.2716811,0.18955277,0.34774452,0.14703594,0.5534116,0.76876676,0.7928203,0.104207896,0.11468759,0.10749282,0.11341865,0.14417072,0.1766728,0.19215356,0.22688475,0.21652426,0.24049787,0.02939928,0.0259878
2021-02-01,0.3400837,0.26216573,0.18523447,0.3498565,0.147937,0.483704,0.71839803,0.744275,0.09562525,0.10995085,0.10359764,0.11126324,0.14172803,0.17378917,0.1893075,0.22162133,0.21328075,0.246993,0.03688131,0.033066247
2021-02-02,0.33695042,0.2527349,0.18112655,0.35217735,0.14889902,0.41493645,0.6690612,0.69628227,0.08722147,0.10532326,0.099742435,0.10912914,0.13929857,0.17094322,0.18649735,0.2164257,0.21007109,0.2527733,0.044287015,0.040020164
2021-02-03,0.3342742,0.24343878,0.17724173,0.35470524,0.14992146,0.3472274,0.6207712,0.6489872,0.07902616,0.10080248,0.095938005,0.10701539,0.13688536,0.16813567,0.18372533,0.21131597,0.20690522,0.2578393,0.05162107,0.04683652
2021-02-04,0.332066,0.2343275,0.1735927,0.3574384,0.15100375,0.28069514,0.57354325,0.6025347,0.07106891,0.09638615,0.09219515,0.104921006,0.13449137,0.1653673,0.18099363,0.20631023,0.20379312,0.26219139,0.05888814,0.0535023
2021-02-05,0.33033666,0.22545122,0.17019218,0.36037502,0.15214536,0.21545808,0.5273923,0.55706984,0.06337933,0.09207191,0.08852467,0.10284501,0.13211961,0.16263887,0.17830443,0.20142655,0.20074476,0.2658301,0.06609289,0.060004465
2021-02-06,0.32909712,0.21686012,0.1670529,0.3635133,0.15334572,0.15163459,0.48233363,0.51273763,0.055987008,0.087857425,0.084937364,0.10078644,0.12977307,0.1599511,0.17565995,0.19668306,0.19777012,0.2687559,0.07323999,0.06632999
2021-02-07,0.3283583,0.20860434,0.16418755,0.3668515,0.15460429,0.08934305,0.43838215,0.4696831,0.04892155,0.083740324,0.081444025,0.098744296,0.12745476,0.15730478,0.17306237,0.19209786,0.19487914,0.27096927,0.080334105,0.07246587
2021-02-08,0.32813102,0.20073405,0.16160886,0.3703878,0.15592049,0.028701806,0.395553,0.42805123,0.042212557,0.07971826,0.07805545,0.09671761,0.12516768,0.15470064,0.1705139,0.187689,0.1920818,0.2724707,0.08737991,0.07839905
2021-02-09,0.3284262,0.1932994,0.15932953,0.37412038,0.1572938,-0.03017076,0.35386124,0.38798705,0.035889626,0.075788885,0.074782446,0.0947054,0.122914836,0.15213944,0.16801672,0.18347465,0.18938807,0.27326068,0.09438206,0.08411651
2021-02-10,0.3292548,0.18635055,0.15736227,0.3780475,0.15872365,-0.08715627,0.313322,0.34963557,0.029982353,0.07194984,0.071635805,0.0927067,0.120699205,0.14962193,0.16557303,0.17947283,0.1868079,0.27333963,0.10134523,0.089605235
2021-02-11,0.33062768,0.17993769,0.1557198,0.3821673,0.16020949,-0.14213638,0.27395034,0.31314182,0.024520345,0.06819878,0.06862632,0.09072052,0.11852381,0.14714889,0.16318503,0.1757017,0.18435127,0.2727081,0.10827409,0.09485219
2021-02-12,0.33255574,0.17411093,0.15441482,0.38647807,0.16175076,-0.19499269,0.23576133,0.2786508,0.019533196,0.06453334,0.06576481,0.08874589,0.11639163,0.14472105,0.1608549,0.17217931,0.18202814,0.2713665,0.115173295,0.099844344
2021-02-13,0.33504987,0.16892046,0.15346006,0.39097798,0.16334693,-0.24560684,0.19877006,0.24630749,0.01505051,0.060951166,0.06306205,0.08678183,0.114305675,0.14233917,0.15858486,0.16892378,0.17984848,0.26931536,0.12204752,0.10456868
2021-02-14,0.338121,0.16441642,0.15286823,0.39566523,0.16499741,-0.29386047,0.16299161,0.21625698,0.011101885,0.057449915,0.060528852,0.08482736,0.11226894,0.140004,0.15637709,0.1659532,0.17782226,0.26655513,0.12890144,0.10901218
2021-02-15,0.34177998,0.16064899,0.15265201,0.40053803,0.16670167,-0.3396352,0.1284411,0.18864423,0.0077169193,0.054027233,0.05817601,0.0828815,0.11028443,0.1377163,0.1542338,0.16328569,0.17595945,0.26308632,0.13573971,0.113161795
2021-02-16,0.34603772,0.1576683,0.15282415,0.4055946,0.16845916,-0.38281268,0.09513355,0.16361427,0.0049252138,0.05068076,0.05601432,0.08094329,0.10835514,0.13547683,0.15215717,0.1609393,0.17427,0.25890937,0.142567,0.117004514
2021-02-17,0.35090515,0.15552455,0.15339735,0.41083312,0.17026933,-0.4232745,0.06308409,0.14131212,0.002756368,0.04740815,0.054054588,0.07901173,0.10648408,0.13328633,0.15014939,0.15893216,0.17276388,0.2540248,0.14938799,0.12052731
2021-02-18,0.35639316,0.15426788,0.15438432,0.41625184,0.1721316,-0.4609023,0.032307778,0.1218828,0.0012399815,0.044207044,0.052307606,0.07708585,0.10467423,0.13114555,0.14821269,0.15728237,0.17145108,0.24843304,0.15620732,0.12371715
2021-02-19,0.36251262,0.15394843,0.15579776,0.42184895,0.17404544,-0.49557775,0.0028197134,0.1054713,0.0004056539,0.04107509,0.050784174,0.07516468,0.102928594,0.12905528,0.14634922,0.156008,0.17034154,0.2421346,0.16302969,0.12656102
2021-02-20,0.36927447,0.15461637,0.15765041,0.42762268,0.1760103,-0.52718246,-0.025365029,0.092222646,0.0002829849,0.038009938,0.04949509,0.07324724,0.10125019,0.12701623,0.14456122,0.15512718,0.16944523,0.23512997,0.16985974,0.12904586
2021-02-21,0.37668958,0.15632187,0.15995497,0.4335712,0.1780256,-0.555598,-0.052231364,0.082281865,0.00090157415,0.03500923,0.04845115,0.071332544,0.09964199,0.12502918,0.14285085,0.15465797,0.16877213,0.22741958,0.17670214,0.13115868
2021-02-22,0.38476884,0.15911508,0.16272414,0.4396927,0.18009083,-0.5807061,-0.07776421,0.07579395,0.0022910212,0.032070618,0.04766316,0.06941962,0.09810702,0.12309488,0.14122032,0.1546185,0.16833219,0.21900396,0.18356158,0.13288645
2021-02-23,0.3935232,0.16304615,0.16597064,0.44598547,0.1822054,-0.6023883,-0.101948485,0.07290394,0.004480926,0.029191745,0.047141913,0.06750749,0.09664825,0.12121408,0.13967183,0.15502685,0.16813539,0.20988357,0.19044271,0.13421613
2021-02-24,0.40744433,0.16791956,0.17165092,0.45398393,0.1848217,-0.6179094,-0.120700315,0.07431359,0.008819392,0.026690518,0.047073632,0.06573617,0.095305495,0.11955589,0.13832667,0.15622275,0.16832557,0.19016045,0.19742286,0.13471182
2021-02-25,0.42172593,0.17287023,0.17749578,0.46358567,0.18789849,-0.62334853,-0.1255732,0.08019265,0.013114027,0.026056908,0.047044482,0.06419629,0.09404429,0.11835539,0.13743414,0.15744644,0.16854063,0.17448643,0.20236707,0.13390413
