date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2021-03-31,0.15259269,0.088996686,0.06278564,0.23233569,0.099807255,0.72331095,0.7862837,0.8630179,0.12410818,0.115429625,0.116191566,0.110323794,0.12803246,0.15571547,0.1547971,0.14455092,0.15027016,0.17214839,0.01703281,0.010494845
2021-04-01,0.15357861,0.10645315,0.071398996,0.2285638,0.097493745,0.73481363,0.7967575,0.8719417,0.14065234,0.13549621,0.1375384,0.13249786,0.15418853,0.18569833,0.1846083,0.17479728,0.17871584,0.1988878,0.019303747,0.011803616
2021-04-02,0.15525286,0.12322372,0.079866566,0.22599429,0.095457904,0.7428322,0.8051728,0.87973624,0.1556011,0.15378813,0.15704897,0.15278415,0.17814384,0.21332145,0.21209842,0.20280942,0.20497526,0.22365975,0.021823097,0.0132497
2021-04-03,0.15786618,0.13918833,0.088199124,0.2250286,0.09392233,0.7465481,0.81100017,0.8858698,0.16872367,0.17003934,0.17446046,0.17092231,0.19961528,0.23826613,0.23696409,0.2283007,0.2287865,0.24613339,0.024571054,0.014828058
2021-04-04,0.16166927,0.15422693,0.09640745,0.22606815,0.09310962,0.74514323,0.81371033,0.88981056,0.17978926,0.18398373,0.18951008,0.18665202,0.21831973,0.26021367,0.2589019,0.2509845,0.24988757,0.2659778,0.02752781,0.016533649
2021-04-05,0.16691287,0.16821943,0.104502335,0.22951439,0.09324237,0.7377991,0.81277394,0.8910267,0.1885671,0.19535525,0.201935,0.19971293,0.23397404,0.2788454,0.27760848,0.27057415,0.26801652,0.2828621,0.030673554,0.018361432
2021-04-06,0.17384769,0.18104579,0.11249456,0.23576874,0.094543174,0.72369736,0.80766165,0.8889864,0.1948264,0.2038878,0.21147242,0.20984472,0.2462951,0.2938426,0.29278043,0.28678307,0.28291133,0.2964554,0.03398848,0.02030637
2021-04-07,0.18272446,0.19258593,0.1203949,0.24523263,0.09723462,0.70201975,0.7978441,0.88315785,0.19833636,0.20931533,0.21785955,0.21678706,0.25499976,0.30488658,0.30411434,0.2993246,0.29431012,0.30642685,0.03745278,0.022363417
2021-04-08,0.19379391,0.20271981,0.12821414,0.2583075,0.101539314,0.67194784,0.7827921,0.8730092,0.19886623,0.21137173,0.22083355,0.2202796,0.2598049,0.31165862,0.31130683,0.30791208,0.30195087,0.31244552,0.04104664,0.024527537
2021-04-09,0.20730674,0.21132736,0.13596307,0.2753948,0.10767984,0.63266325,0.76197624,0.85800874,0.1961852,0.20979096,0.22013165,0.22006202,0.26042745,0.31384006,0.31405452,0.31225893,0.30557165,0.31418052,0.044750262,0.026793689
2021-04-10,0.22351368,0.2182885,0.14365245,0.29689592,0.1158788,0.5833477,0.73486716,0.8376246,0.19006251,0.20430692,0.21549103,0.21587399,0.2565842,0.3111122,0.312054,0.3120785,0.30491045,0.31130096,0.04854383,0.029156832
2021-04-11,0.24266544,0.22348319,0.1512931,0.32321233,0.12635879,0.5231828,0.7009356,0.81132495,0.18026733,0.19465353,0.20664887,0.20745516,0.24799204,0.3031563,0.3050019,0.30708414,0.29970536,0.303476,0.052407533,0.031611927
2021-04-12,0.26501277,0.22679135,0.15889576,0.35474545,0.1393424,0.4513502,0.65965223,0.778578,0.16656893,0.18056473,0.19334239,0.19454521,0.23436788,0.2896537,0.29259482,0.29698923,0.28969437,0.2903747,0.05632157,0.03415393
2021-04-13,0.29008308,0.22640285,0.16577037,0.39116347,0.15387456,0.36883372,0.6116918,0.7409646,0.1437101,0.15641706,0.1697489,0.17112002,0.2084231,0.2629582,0.26720488,0.2746244,0.2675284,0.26639566,0.060552295,0.036947794
2021-04-14,0.31690383,0.22375102,0.17201868,0.43078527,0.16862702,0.27565387,0.55761427,0.70096177,0.11539278,0.12623508,0.13986158,0.14118502,0.17480783,0.22809853,0.23374425,0.2444692,0.23766537,0.23587042,0.06585591,0.040311076
2021-04-15,0.34497592,0.22358099,0.17883927,0.47198838,0.18326265,0.16954765,0.49671835,0.6593816,0.09482488,0.10422476,0.11814129,0.119524136,0.15114707,0.20376837,0.21071956,0.22371036,0.21755372,0.21336745,0.07294738,0.044467643
2021-04-16,0.37419492,0.22746088,0.18835905,0.51523614,0.19756274,0.055481676,0.43136755,0.6164001,0.08257977,0.09161388,0.10663629,0.10867646,0.14032501,0.19299437,0.20120294,0.21661445,0.21081074,0.2001581,0.08359919,0.04966054
2021-04-17,0.40447664,0.23074791,0.19819751,0.5616803,0.21186206,-0.059567522,0.36487573,0.57186633,0.0703305,0.078942806,0.09497094,0.09760621,0.12922804,0.18189365,0.19133896,0.2089625,0.20360444,0.18917081,0.09511582,0.05543504
2021-04-18,0.44538447,0.2314426,0.20566598,0.64252156,0.23573017,-0.1831245,0.28624263,0.50337267,0.057569135,0.06280229,0.07855403,0.08071371,0.11176898,0.16383453,0.17467763,0.19242121,0.18909559,0.17925191,0.105136186,0.062118977
2021-04-19,0.49317253,0.23145573,0.21186091,0.74890494,0.26661447,-0.3092164,0.20426604,0.4205526,0.04477395,0.046186954,0.061061326,0.062393405,0.09288754,0.14428987,0.15656175,0.17339867,0.17285988,0.17042059,0.11429777,0.069301136
2021-04-20,0.52740806,0.2320814,0.21689746,0.8201573,0.28682473,-0.41684547,0.14936739,0.3717898,0.033281706,0.036877353,0.05071836,0.052058138,0.08275236,0.13474599,0.14779586,0.16346525,0.16479437,0.16649011,0.12111142,0.07505009
2021-04-21,0.5461931,0.23378327,0.22121917,0.8512609,0.29511178,-0.49655178,0.121760756,0.35732263,0.024367353,0.034217574,0.047146346,0.049184088,0.08062144,0.1340936,0.14740032,0.16232497,0.16427995,0.1663346,0.12593228,0.079076774
2021-04-22,0.5614769,0.23607947,0.22519448,0.87787044,0.30209216,-0.5547215,0.10079619,0.34498563,0.018163994,0.032299243,0.044417433,0.04692676,0.078940585,0.13355705,0.1471738,0.16188517,0.16406484,0.16627462,0.13014089,0.08242568
2021-04-23,0.57359767,0.2388457,0.2288259,0.90032095,0.3078742,-0.5941258,0.08559915,0.3345568,0.014295622,0.031024244,0.042433534,0.045217976,0.07766009,0.13312311,0.14708827,0.16202132,0.16409701,0.16629307,0.13378626,0.0851658
2021-04-24,0.58289343,0.24195771,0.23211591,0.91894746,0.31256628,-0.61753595,0.075295076,0.3258141,0.01238623,0.030294456,0.04109656,0.04398956,0.07673026,0.13277853,0.14711565,0.1626088,0.1643245,0.16637282,0.1369174,0.08736613
2021-04-25,0.5897024,0.24529119,0.23506698,0.9340852,0.31627676,-0.6277231,0.069009416,0.31853557,0.01205981,0.03001176,0.040308442,0.04317334,0.07610141,0.13251002,0.14722785,0.16352303,0.16469535,0.16649677,0.13958329,0.089095645
2021-04-26,0.59436274,0.2487219,0.23768163,0.94606906,0.319114,-0.6274586,0.06586762,0.3124992,0.012940355,0.030078035,0.039971083,0.04270113,0.07572384,0.13230436,0.14739685,0.16463943,0.16515756,0.16664779,0.14183295,0.09042334
2021-04-27,0.5972125,0.25212553,0.23996232,0.9552343,0.32118633,-0.6195135,0.064995125,0.307483,0.014651856,0.030395163,0.03998641,0.04250475,0.07554786,0.1321483,0.14759454,0.16583341,0.16565913,0.1668088,0.14371534,0.0914182
2021-04-28,0.59858984,0.25537786,0.24191158,0.9619159,0.32260215,-0.6066591,0.06551739,0.30326492,0.01681831,0.030865027,0.040256336,0.04251603,0.07552377,0.13202856,0.14779289,0.16698042,0.16614811,0.16696264,0.14527948,0.09214921
2021-04-29,0.5988329,0.25835454,0.24353187,0.966449,0.3234698,-0.5916667,0.06655986,0.29962304,0.019063702,0.0313895,0.04068278,0.04266679,0.07560188,0.13193192,0.1479638,0.16795583,0.1665725,0.16709223,0.14657436,0.092685364
2021-04-30,0.5982798,0.2609314,0.24482569,0.96916866,0.3238976,-0.5773074,0.06724797,0.2963353,0.02101203,0.031870473,0.041167658,0.042888846,0.07573251,0.1318451,0.14807923,0.16863507,0.16688031,0.16718043,0.147649,0.093095645
2021-05-01,0.5972687,0.26298407,0.24579552,0.9704099,0.32399395,-0.5663525,0.06670719,0.29317975,0.022287285,0.032209817,0.04161289,0.04311403,0.07586594,0.13175489,0.14811112,0.16889358,0.16701956,0.16721016,0.14855237,0.09344904
2021-05-02,0.5961377,0.26438832,0.24644387,0.970508,0.3238672,-0.56157315,0.06406294,0.28993434,0.02251346,0.03230942,0.041920386,0.043274157,0.075952485,0.13164799,0.14803138,0.16860676,0.16693829,0.1671643,0.14933348,0.09381454
2021-05-03,0.5944405,0.2648234,0.24645796,0.9678079,0.32316583,-0.5607344,0.059907094,0.2864329,0.02208395,0.03226013,0.042139184,0.043396845,0.076003455,0.13152866,0.14788331,0.16797847,0.16672055,0.16707028,0.1500335,0.0941895
2021-05-04,0.5917168,0.26419136,0.24564272,0.9613142,0.32165945,-0.559778,0.055506695,0.28273976,0.021646472,0.032217033,0.042379446,0.04354881,0.07606178,0.13141015,0.14772984,0.16730368,0.16648765,0.16696826,0.15066367,0.09452438
2021-05-05,0.5882836,0.26270214,0.24417706,0.952351,0.31963792,-0.5587404,0.05099997,0.27897885,0.021206498,0.03217836,0.0426348,0.043720532,0.07612521,0.1312927,0.14757238,0.16659454,0.16624343,0.1668601,0.15122807,0.09481779
2021-05-06,0.58445776,0.26056564,0.24223997,0.94224244,0.3173913,-0.5576579,0.04652514,0.27527404,0.020769503,0.032142345,0.04289887,0.043902475,0.07619154,0.13117655,0.14741234,0.16586316,0.16599177,0.16674769,0.15173075,0.09506832
2021-05-07,0.58055633,0.2579918,0.24001038,0.9323126,0.31520945,-0.556567,0.042220432,0.2717492,0.020340962,0.032107215,0.043165278,0.04408512,0.076258495,0.13106193,0.14725113,0.16512166,0.16573648,0.1666329,0.15217578,0.09527459
2021-05-08,0.5768963,0.2551905,0.23766725,0.92388564,0.3133824,-0.55550414,0.038224068,0.26852825,0.019926349,0.032071207,0.04342765,0.044258934,0.07632387,0.13094911,0.14709014,0.16438217,0.16548146,0.16651763,0.15256724,0.09543521
2021-05-09,0.5737947,0.2523717,0.23538955,0.91828567,0.31220004,-0.55450565,0.03467428,0.26573503,0.019531135,0.032032542,0.043679614,0.044414394,0.0763854,0.13083833,0.1469308,0.16365682,0.16523053,0.16640374,0.15290919,0.09554878
2021-05-10,0.57156855,0.24974531,0.23335621,0.91683674,0.31195235,-0.5536079,0.031709287,0.26349342,0.019160798,0.031989463,0.043914787,0.044541974,0.07644087,0.13072984,0.14677452,0.1629577,0.16498755,0.16629313,0.1532057,0.09561391
2021-05-11,0.57053477,0.24752125,0.23174621,0.92086303,0.3129293,-0.5528473,0.02946732,0.26192734,0.01882081,0.031940192,0.044126797,0.044632148,0.07648803,0.13062388,0.1466227,0.16229695,0.16475639,0.16618766,0.15346085,0.095629215
