date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2021-02-04,0.11132353,0.057386067,0.056667853,0.0668932,0.03229836,-0.30783898,-0.044095226,0.06543063,0.051867113,0.06746408,0.098270305,0.1356976,0.15149193,0.15510863,0.161583,0.16964571,0.17138226,0.1565912,0.18511815,0.14872715
2021-02-24,0.118778475,0.061434973,0.059030063,0.071339756,0.034389067,-0.29556853,-0.0701551,0.010363967,0.05592192,0.069551885,0.10274517,0.12925018,0.14763047,0.15189385,0.15811436,0.16408964,0.16445956,0.17414454,0.18865867,0.16053842
2021-03-03,0.1659958,0.09783204,0.090677455,0.0832119,0.039900407,-0.2818745,-0.052899808,0.03618184,0.062713794,0.08173663,0.12154788,0.13968176,0.17339039,0.18255682,0.18777256,0.19517317,0.19564669,0.20950419,0.21698214,0.18172438
2021-03-06,0.18795232,0.090706974,0.08817813,0.100410365,0.047729634,-0.32293153,-0.03170607,0.08687539,0.04662432,0.056906205,0.086349025,0.108060375,0.13238025,0.13926257,0.1456251,0.1581694,0.15303941,0.15888225,0.1681906,0.13263544
2021-03-08,0.17769255,0.10185772,0.09127232,0.09676661,0.0460143,-0.31035176,-0.055452637,0.03875568,0.06413747,0.08022838,0.105295435,0.12492402,0.15449022,0.16116972,0.16945103,0.17897625,0.17422368,0.19178498,0.19980869,0.16543724
2021-03-13,0.22755377,0.14306238,0.11633113,0.19307104,0.08498382,-0.2190697,0.08105898,0.1873582,0.09259324,0.08534622,0.09944121,0.114241615,0.13205843,0.14861144,0.15747975,0.18261047,0.16602787,0.20772459,0.15388735,0.12562625
2021-03-23,0.18762746,0.13670324,0.09403268,0.16268514,0.07458335,-0.1287783,0.061577935,0.19068208,0.1174926,0.11454288,0.11965908,0.12065172,0.13812864,0.15524043,0.16189565,0.17586902,0.16168502,0.19018798,0.15706916,0.12247266
2021-03-31,0.14107451,0.10120044,0.09281611,0.08754058,0.041902427,-0.3331219,-0.10399208,-0.073527,0.0863639,0.11423415,0.16227299,0.19906978,0.23211683,0.2427925,0.2523144,0.2635735,0.2604885,0.26534235,0.32568303,0.30798504
2021-04-12,0.09154878,0.044962212,0.043796737,0.050854716,0.02459781,-0.36261648,-0.10173846,0.016953465,0.06064592,0.0633712,0.08431849,0.12228663,0.1356781,0.13446039,0.1424032,0.14779992,0.15259495,0.15539715,0.18044491,0.14206704
2021-04-17,0.12715353,0.068171956,0.06357522,0.07005781,0.033574224,-0.36982605,-0.116186306,-0.04907981,0.060352635,0.074438944,0.096364126,0.1283575,0.14545438,0.14803453,0.15599285,0.1660796,0.16175215,0.16456036,0.20950893,0.18338796
2021-04-22,0.16672789,0.1129863,0.10998745,0.116810076,0.05511295,-0.3841426,-0.107219145,-0.07973457,0.07542035,0.09735817,0.14722444,0.19078453,0.2216784,0.23771924,0.24737161,0.26659188,0.25857508,0.26232684,0.33051208,0.31312758
2021-04-25,0.15972017,0.110566735,0.10575787,0.13206908,0.061904654,-0.3624736,-0.100719854,-0.08123371,0.08421343,0.10194467,0.1520107,0.19213988,0.22171967,0.240496,0.25094655,0.26519907,0.261823,0.26349315,0.32442865,0.31193155
2021-04-27,0.1623422,0.1188572,0.11188201,0.12592712,0.059194047,-0.37404957,-0.1016994,-0.09697383,0.081588164,0.112307265,0.15933011,0.205321,0.23613593,0.25386637,0.26581216,0.28489867,0.27485645,0.27934986,0.34926477,0.3459554
2021-05-05,0.17650361,0.09468443,0.073479824,0.26628307,0.11645072,-0.07176506,0.12595338,0.27760607,0.06327719,0.072804935,0.086456,0.089548856,0.10170275,0.12220206,0.12898114,0.12923384,0.12653536,0.08668286,0.09889811,0.07184527
2021-05-30,0.8739261,0.9193052,0.834376,3.4846702,0.6239979,-0.29233855,0.58177745,0.77897936,0.03224338,0.038828418,0.08452959,0.037555628,0.1327796,0.48402908,0.5881809,0.60544074,0.59325063,0.5860761,0.15597887,0.07180993
2021-06-01,0.8810438,0.963748,0.89316803,3.5364256,0.6274256,-0.32301003,0.5796726,0.7721411,0.035186227,0.037304964,0.09104849,0.04155026,0.14660236,0.5345614,0.64589363,0.6734641,0.65075856,0.65292585,0.17862634,0.08679637
2021-06-11,0.24825025,0.15809667,0.14822072,0.22706465,0.10093189,-0.50192755,-0.17956536,-0.046064824,0.066814296,0.082368374,0.11613371,0.14737548,0.18259482,0.20525493,0.22243749,0.24276055,0.25282362,0.26464978,0.34607312,0.2666734
2021-06-14,0.14881106,0.10093807,0.097623155,0.12855126,0.060301602,-0.4217445,-0.15672944,-0.11585291,0.083362,0.099615574,0.14496967,0.19224116,0.22282897,0.237217,0.25141257,0.25948793,0.27038342,0.27746928,0.3554005,0.32711434
2021-06-16,0.10093103,0.077618636,0.072412334,0.0692034,0.033321552,-0.37128952,-0.15035982,-0.15078598,0.09834888,0.13147224,0.18276669,0.24005806,0.27065665,0.27376372,0.28963256,0.29450515,0.30004376,0.30701098,0.39797568,0.3982152
2021-07-19,0.32657546,0.22483578,0.20681274,0.4800127,0.14215046,-0.37386268,-0.035097778,0.08267619,0.067357525,0.09497677,0.14906976,0.15785325,0.2252625,0.26783863,0.29131567,0.29001942,0.30173695,0.30740336,0.31702796,0.26258263
2021-07-21,0.32545707,0.24852124,0.22217941,0.40792543,0.14273375,-0.37931997,-0.03760274,0.06604272,0.094256535,0.114671245,0.17100981,0.18471912,0.25504255,0.30900925,0.3297769,0.3364173,0.34812918,0.35547462,0.36995292,0.31433472
2021-08-03,0.17043684,0.12032641,0.104886726,0.23460014,0.06417289,-0.2857034,-0.041874364,0.115857996,0.092715286,0.09818776,0.13071102,0.15170301,0.18968914,0.20244849,0.21837105,0.21814646,0.22861663,0.2432948,0.2341186,0.17036138
2021-08-25,0.46284667,0.3152741,0.28811705,0.7367208,0.24623549,-0.35176834,0.09356844,0.2593681,0.04673991,0.06532834,0.10925922,0.10017227,0.1643082,0.24749674,0.27240035,0.2746105,0.27643067,0.28569207,0.22692245,0.16111839
2021-09-02,0.5680982,0.4155144,0.38739216,1.0120212,0.31976992,-0.37473223,0.1625876,0.33924922,0.049144644,0.058384046,0.11005752,0.0925429,0.17167641,0.3052293,0.33110178,0.33305278,0.3377911,0.34559456,0.24117364,0.16641356
2021-09-04,0.58320546,0.49195296,0.42787006,1.1456977,0.35152403,-0.37577483,0.17361794,0.33628663,0.0593993,0.075579666,0.120586514,0.09938895,0.17948027,0.33178392,0.37189847,0.3750119,0.37792635,0.38244513,0.2654426,0.18842946
2021-09-12,0.77212834,0.8269243,0.6726708,2.03248,0.50057316,-0.36447722,0.34737372,0.6084766,0.07818282,0.07356226,0.116864465,0.06639974,0.17400344,0.46391678,0.5223148,0.517764,0.53389096,0.5363516,0.2507293,0.12596333
