date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-05-27,0.29128146,0.19070823,0.18999247,0.34718427,0.14458965,-0.56680745,-0.17358759,0.033760946,0.058696646,0.07501329,0.11013778,0.1541763,0.19470713,0.23827228,0.25977927,0.27824855,0.2932674,0.2971002,0.39690602,0.26159376
2017-05-28,0.29892993,0.20413287,0.20225759,0.350295,0.14824748,-0.56108063,-0.16372855,0.045948442,0.061852388,0.075892545,0.11223666,0.15451637,0.19783463,0.24693194,0.26932508,0.28824934,0.3036467,0.3086419,0.3992274,0.26138014
2017-05-29,0.30705965,0.21703362,0.2140558,0.35659596,0.15251805,-0.5558163,-0.15394022,0.058108665,0.064628996,0.07655614,0.113982044,0.15448861,0.20036939,0.25478154,0.2780231,0.29732227,0.31307113,0.31912518,0.40072492,0.26068857
2017-05-30,0.31565446,0.22941998,0.22539556,0.36602816,0.15738334,-0.55101657,-0.14421864,0.07024368,0.06702927,0.07700913,0.11538152,0.15410325,0.20232596,0.26183897,0.28589234,0.3054888,0.32156253,0.32857296,0.40142438,0.25953504
2017-05-31,0.32469827,0.24130142,0.23628524,0.37853253,0.16282538,-0.5466836,-0.13455987,0.08235553,0.06905598,0.07725657,0.11644267,0.15337047,0.20371887,0.26812208,0.29295185,0.31277052,0.3291428,0.33700818,0.40135148,0.25793552
2017-06-01,0.33417496,0.25268742,0.24673323,0.39405006,0.16882613,-0.5428195,-0.12495992,0.094446294,0.07071195,0.07730351,0.11717308,0.15230052,0.20456268,0.27364874,0.29922065,0.31918886,0.33583388,0.34445378,0.40053204,0.25590596
2017-06-02,0.34406838,0.2635875,0.25674796,0.41252178,0.17536765,-0.5394263,-0.11541486,0.10651802,0.07199995,0.077155,0.11758035,0.15090358,0.2048719,0.2784368,0.3047178,0.3247654,0.34165764,0.35093275,0.39899182,0.2534624
2017-06-03,0.35436246,0.2740111,0.26633784,0.43388858,0.1824319,-0.53650624,-0.105920695,0.11857278,0.072922796,0.076816104,0.11767203,0.14918989,0.20466106,0.28250417,0.3094623,0.32952163,0.34663597,0.35646796,0.39675656,0.25062075
2017-06-04,0.36504105,0.28396776,0.27551126,0.45809153,0.1900009,-0.53406125,-0.096473485,0.13061261,0.07348326,0.076291874,0.11745574,0.14716963,0.20394473,0.28586864,0.31347325,0.33347908,0.35079083,0.3610824,0.39385206,0.24739704
2017-06-05,0.37608802,0.2934669,0.2842766,0.48507154,0.19805665,-0.5320936,-0.08706926,0.14263959,0.07368415,0.07558736,0.11693905,0.14485304,0.20273744,0.2885481,0.31676963,0.33665925,0.3541441,0.36479902,0.39030403,0.24380721
2017-06-06,0.38748726,0.30251804,0.29264233,0.5147696,0.20658118,-0.53060526,-0.077704065,0.15465578,0.07352825,0.07470762,0.116129555,0.14225031,0.2010537,0.29056045,0.31937048,0.33908364,0.35671765,0.36764073,0.3861383,0.23986726
2017-06-07,0.39922267,0.31113067,0.30061677,0.5471267,0.21555644,-0.52959836,-0.068373926,0.16666323,0.07301837,0.07365771,0.11503482,0.13937168,0.19890808,0.2919235,0.32129484,0.34077382,0.3585334,0.36963052,0.38138056,0.23559316
2017-06-08,0.41127813,0.31931427,0.30820838,0.5820838,0.22496447,-0.5290751,-0.059074897,0.178664,0.072157286,0.07244267,0.11366245,0.13622734,0.1963151,0.29265514,0.32256177,0.34175125,0.35961327,0.3707913,0.37605664,0.23100089
2017-06-09,0.42363748,0.32707828,0.31542554,0.619582,0.23478727,-0.52903754,-0.04980301,0.19066015,0.0709478,0.07106757,0.11202002,0.1328275,0.19328931,0.29277325,0.3231903,0.34203747,0.35997915,0.371146,0.3701923,0.22610642
2017-06-10,0.43628463,0.33443227,0.32227665,0.6595621,0.24500683,-0.5294877,-0.040554304,0.20265374,0.06939271,0.06953746,0.11011512,0.1291824,0.18984523,0.29229566,0.32319942,0.341654,0.35965294,0.37071759,0.36381325,0.22092575
2017-06-11,0.44920346,0.34138566,0.32877016,0.70196515,0.2556052,-0.5304279,-0.031324815,0.21464683,0.0674948,0.067857385,0.10795533,0.12530223,0.18599741,0.29124025,0.32260823,0.34062237,0.35865656,0.369529,0.35694534,0.21547481
2017-06-12,0.46237785,0.34794796,0.33491442,0.7467321,0.26656428,-0.53186,-0.022110583,0.22664148,0.06525687,0.06603241,0.10554824,0.121197194,0.18176039,0.28962487,0.32143572,0.33896405,0.35701188,0.36760318,0.34961423,0.20976964
2017-06-13,0.47579166,0.35412863,0.34071785,0.79380405,0.27786618,-0.53378624,-0.012907648,0.23863974,0.06268171,0.06406759,0.10290143,0.11687752,0.1771487,0.2874674,0.31970093,0.33670056,0.35474086,0.3649631,0.34184578,0.20382616
2017-06-14,0.4894288,0.35993716,0.34618884,0.8431218,0.28949288,-0.5362087,-0.0037120478,0.2506437,0.059772123,0.06196796,0.10002249,0.112353414,0.1721769,0.2847857,0.31742293,0.33385345,0.35186532,0.36163166,0.3336657,0.19766039
2017-06-15,0.5032731,0.3653831,0.35133582,0.8946265,0.30142632,-0.5391295,0.0054801796,0.26265538,0.056530893,0.0597386,0.096919,0.10763509,0.1668595,0.28159764,0.3146207,0.33044422,0.34840724,0.35763183,0.32509977,0.19128828
2017-06-16,0.51730853,0.37047583,0.3561672,0.948259,0.31364858,-0.5425507,0.014672996,0.27467686,0.052960817,0.057384543,0.09359855,0.10273276,0.16121103,0.27792105,0.31131333,0.3264944,0.34438848,0.35298654,0.31617376,0.18472582
2017-06-17,0.5369724,0.37117028,0.3570127,1.0368707,0.33292457,-0.5503066,0.0236546,0.2866213,0.045773756,0.0529557,0.08682295,0.09405365,0.14967549,0.2666101,0.3000725,0.3138442,0.33142284,0.3383832,0.29904962,0.17321704
2017-06-18,0.559952,0.368309,0.3546896,1.1471441,0.3564054,-0.561132,0.032138344,0.29837018,0.036040504,0.04705543,0.07764016,0.08285428,0.13409148,0.24977976,0.28305268,0.29486468,0.31194505,0.3165706,0.27626136,0.15841544
2017-06-19,0.5746058,0.36923283,0.35593772,1.209767,0.36965227,-0.56737953,0.04001591,0.3098781,0.03030224,0.04351899,0.07248698,0.07641884,0.12556553,0.2413392,0.2746473,0.28537357,0.30220845,0.3056639,0.2633929,0.14995117
2017-06-20,0.58095765,0.37736216,0.3634703,1.2240968,0.37258652,-0.5679978,0.0471868,0.32045546,0.029516557,0.043124806,0.07248181,0.0757179,0.12595887,0.24460272,0.2785001,0.28938454,0.30634755,0.30999112,0.26360843,0.14935656
2017-06-21,0.5868463,0.38994575,0.37454057,1.2362375,0.37490228,-0.5673634,0.053640213,0.32954186,0.02995988,0.043814946,0.07403933,0.07649177,0.12902257,0.2523935,0.2873196,0.298887,0.31613556,0.32021654,0.26848033,0.15114205
2017-06-22,0.5923526,0.40506735,0.38769853,1.2469965,0.3768199,-0.5659707,0.05940238,0.33728573,0.03115164,0.045170143,0.07654082,0.078179285,0.13369788,0.26288408,0.29909587,0.31166226,0.3292837,0.3339597,0.27620488,0.15440509
2017-06-23,0.5975577,0.42081058,0.40149403,1.2571812,0.37855968,-0.5643144,0.06449953,0.3438354,0.032611273,0.046771124,0.07936752,0.080219254,0.13892607,0.27424693,0.3118192,0.3254916,0.34350336,0.34884012,0.28497827,0.15824312
2017-06-24,0.6025426,0.4352592,0.41447696,1.267599,0.38034192,-0.56288886,0.06895788,0.34933934,0.033858214,0.04819862,0.08190069,0.0820505,0.14364839,0.2846546,0.3234797,0.33815628,0.35650578,0.3624773,0.2929968,0.16175361
2017-06-25,0.6073881,0.44649684,0.4251973,1.2790573,0.38238698,-0.5621886,0.07280366,0.35394588,0.034411896,0.049033362,0.083521605,0.083111845,0.1468061,0.29227954,0.33206764,0.3474376,0.3660023,0.37249076,0.2984566,0.16403398
2017-06-26,0.6121753,0.4526072,0.4322049,1.2923634,0.3849151,-0.5627082,0.07606311,0.35780346,0.033791758,0.04885608,0.0836115,0.08284211,0.14734046,0.29529426,0.33557314,0.3511168,0.36970413,0.37650004,0.29955402,0.1641817
2017-06-27,0.61697227,0.45525813,0.43656936,1.3073657,0.3878817,-0.564344,0.07900357,0.36128938,0.032119576,0.047859196,0.082652174,0.081624314,0.14620778,0.29535487,0.33581722,0.3512002,0.36969858,0.37665933,0.2978613,0.16296305
2017-06-28,0.6217792,0.45742005,0.440348,1.3231686,0.3910444,-0.56655145,0.08187419,0.36467645,0.029945007,0.04657618,0.08156425,0.080250636,0.145071,0.29532528,0.33594942,0.35116264,0.3695869,0.3766932,0.29614213,0.16174106
2017-06-29,0.6265751,0.45913061,0.4435723,1.3394644,0.39432725,-0.56916344,0.08467391,0.36795613,0.027429298,0.045099318,0.08038726,0.07877364,0.14393131,0.2951897,0.33595276,0.35098845,0.36935142,0.3765768,0.29437965,0.16050822
2017-06-30,0.6313392,0.46042752,0.4462737,1.3559452,0.39765418,-0.5720128,0.08740166,0.37112004,0.0247337,0.04352089,0.07916074,0.07724589,0.14278997,0.29493237,0.33581024,0.3506618,0.36897448,0.3762853,0.2925571,0.15925698
2017-07-01,0.6360504,0.4613484,0.44848374,1.3723032,0.4009491,-0.5749323,0.09005637,0.37415963,0.022019459,0.041933194,0.07792423,0.07571996,0.14164814,0.29453743,0.3355049,0.35016707,0.3684384,0.37579384,0.29065764,0.15797985
2017-07-02,0.64068794,0.46193096,0.45023382,1.3882304,0.40413594,-0.5777549,0.09263697,0.37706652,0.019447826,0.040428508,0.076717265,0.07424841,0.14050707,0.29398912,0.33501974,0.34948844,0.36772546,0.37507755,0.28866455,0.15666927
2017-07-03,0.6452308,0.4622128,0.45155546,1.4034191,0.4071387,-0.58031344,0.09514241,0.37983224,0.017180046,0.03909912,0.075579375,0.07288381,0.13936794,0.29327166,0.33433777,0.3486102,0.36681807,0.37411153,0.28656095,0.15531775
2017-07-04,0.64965814,0.4622316,0.4524801,1.4175613,0.40988132,-0.5824408,0.097571604,0.38244826,0.015377371,0.03803732,0.0745501,0.07167871,0.13823198,0.29236925,0.333442,0.3475166,0.36569852,0.37287098,0.28433007,0.15391777
2017-07-05,0.65394896,0.46202505,0.45303926,1.4303492,0.4122877,-0.5839698,0.0999235,0.38490617,0.014201048,0.037335392,0.07366898,0.0706857,0.13710038,0.2912661,0.3323155,0.3461919,0.3643491,0.371331,0.28195512,0.1524618
2017-07-06,0.6580824,0.46163076,0.4532644,1.4414749,0.41428185,-0.58473325,0.102197014,0.38719752,0.013812325,0.037085623,0.07297553,0.06995733,0.13597438,0.28994644,0.33094123,0.34462044,0.3627522,0.36946675,0.2794193,0.15094231
2017-07-07,0.6613577,0.46075943,0.45268533,1.4504926,0.41584286,-0.5845102,0.10439869,0.3893713,0.013936164,0.0370935,0.072362185,0.06937972,0.13484916,0.28826222,0.3291521,0.3426247,0.36074433,0.36706024,0.2764796,0.14927076
2017-07-08,0.66324186,0.45919344,0.45096338,1.4573795,0.41703826,-0.58331573,0.1065422,0.3914891,0.014185406,0.037103187,0.071707994,0.068805665,0.13372019,0.28614002,0.32686576,0.34011272,0.35824737,0.3640067,0.27299783,0.14739753
2017-07-09,0.6639657,0.45707807,0.44832706,1.4624616,0.41792452,-0.58133674,0.10863719,0.39356115,0.014553121,0.037114967,0.07103247,0.06823775,0.13258898,0.28367603,0.32419237,0.3371971,0.3553717,0.360451,0.26911432,0.14537355
2017-07-10,0.66375995,0.45455858,0.44500503,1.4660655,0.41855806,-0.5787602,0.11069331,0.39559785,0.015032378,0.037129134,0.07035513,0.06767857,0.13145708,0.2809664,0.32124218,0.3339903,0.35222772,0.35653812,0.2649694,0.14324972
2017-07-11,0.6628554,0.45178023,0.4412258,1.4685174,0.4189954,-0.5757732,0.11272021,0.39760947,0.015616246,0.037145976,0.06969549,0.06713071,0.130326,0.27810723,0.31812534,0.3306049,0.34892574,0.35241297,0.26070347,0.14107694
