date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2021-05-26,0.2942021,0.20544344,0.18476854,0.3623587,0.15149218,-0.5178403,-0.15631697,0.046552148,0.07767992,0.090723716,0.11484069,0.14408875,0.18353815,0.22840704,0.24849194,0.26213706,0.27610844,0.27664444,0.36004186,0.23945177
2021-06-13,0.48485357,0.32365406,0.29566693,0.8776562,0.2998341,-0.5264118,-0.014853715,0.23008206,0.04591923,0.062445544,0.08678217,0.094352536,0.13895997,0.22821462,0.25834513,0.27089772,0.28371614,0.2820567,0.27967954,0.16985251
2021-06-15,0.5102528,0.40282235,0.36198792,0.948021,0.31645203,-0.5123608,0.02270612,0.28691903,0.0673164,0.07412161,0.106077276,0.11131158,0.17164755,0.295441,0.33216998,0.34449038,0.3638872,0.36578256,0.32797816,0.18972038
2021-06-18,0.5405541,0.4130583,0.36821544,1.1170695,0.35322627,-0.48781395,0.066014916,0.33556163,0.0599689,0.06880046,0.09800481,0.09668649,0.15247694,0.28254518,0.32066014,0.32596254,0.35102454,0.3484913,0.2852623,0.16156937
2021-06-23,0.5024826,0.46065164,0.35098794,1.0418259,0.3403463,-0.30662274,0.18625809,0.41359138,0.09252602,0.103742525,0.121369384,0.110400945,0.16032822,0.28694075,0.32708603,0.33526817,0.34980902,0.34968895,0.22947583,0.1384852
2021-06-25,0.63777953,0.49411884,0.44531512,1.4168208,0.41014096,-0.50964075,0.1326272,0.4098357,0.051993784,0.056526035,0.085956536,0.07584443,0.14021736,0.2968173,0.3385304,0.34919944,0.36613452,0.36743686,0.2654268,0.14443111
2021-07-05,0.68960816,0.5808463,0.5142102,1.6121187,0.4434191,-0.4969601,0.18306752,0.4756979,0.055384327,0.058057006,0.090494625,0.07113862,0.14842376,0.3386273,0.38786557,0.39383605,0.41935903,0.4181296,0.26983634,0.13823006
2021-07-10,0.7154203,0.60781294,0.53989434,1.671865,0.45371467,-0.4926653,0.21056683,0.497228,0.0436119,0.055197023,0.08923388,0.06655187,0.14588188,0.33285686,0.3896304,0.40500566,0.4237657,0.42242783,0.26305363,0.13510422
2021-07-18,0.72981703,0.5281251,0.49897647,1.6956209,0.45727497,-0.5235054,0.22069436,0.5199857,0.030380689,0.036918305,0.06959472,0.054285068,0.12626453,0.29577923,0.34005263,0.35026708,0.37102604,0.36812386,0.22277452,0.109928496
2021-07-20,0.6626189,0.64757407,0.51816714,1.4762069,0.421231,-0.45238128,0.2021798,0.4853471,0.063937716,0.08354901,0.109689556,0.08823211,0.1686473,0.3532941,0.412258,0.4264364,0.4498123,0.462329,0.2822586,0.1479207
