date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-03-29,0.6699079,0.3551799,0.32815745,1.3448153,0.39489204,-0.20805079,0.5077221,0.70788187,0.024091816,0.036358975,0.05000444,0.045703247,0.08598468,0.17755832,0.19547309,0.21963048,0.21279493,0.20341286,0.071044326,0.037149437
2017-04-08,0.86554235,0.33043608,0.33674237,2.1076334,0.50564903,-0.7115922,0.40655255,0.6417059,0.0001684419,0.0035170896,0.01397928,0.0138261,0.05187201,0.13645919,0.15619425,0.17669797,0.17350908,0.16936609,0.07395129,0.03819014
2017-04-18,0.5719416,0.32589647,0.29665056,1.0209622,0.33627048,-0.38702917,0.23710522,0.4448292,0.047968134,0.045921773,0.06174237,0.061767135,0.10154234,0.18157125,0.20341994,0.22444996,0.22485727,0.2245081,0.13874304,0.086711735
2017-05-01,0.7101259,0.31200427,0.30004576,1.4311873,0.41025412,-0.33786097,0.4529127,0.6717592,0.01860733,0.023423053,0.037717704,0.033898216,0.071660355,0.15194331,0.16846392,0.18498895,0.18636471,0.18528485,0.06929153,0.0360992
2017-05-21,0.7644812,0.31576037,0.30167452,1.6618935,0.45081997,-0.5548273,0.2321457,0.49089336,0.017590294,0.01853063,0.030928146,0.023255412,0.06033798,0.1394077,0.15885797,0.1712763,0.1777009,0.1796353,0.10646835,0.058467854
2017-05-28,0.71318877,0.32126212,0.31220132,1.4117863,0.4121298,-0.47250637,0.2772401,0.5380775,0.014676221,0.020217046,0.038736682,0.032048404,0.07478224,0.158981,0.17941767,0.1903201,0.19717792,0.19830449,0.107506655,0.057072807
2017-06-07,0.65335673,0.35679486,0.3371356,1.3042591,0.38464898,-0.46351433,0.21461372,0.46015042,0.047207348,0.03890063,0.062091995,0.055832423,0.10816245,0.20796183,0.23376086,0.23873013,0.25613186,0.2690003,0.15608114,0.090523705
2017-06-27,0.56390643,0.4331451,0.33554542,1.1143098,0.35703468,-0.13691288,0.3840134,0.5769638,0.08844255,0.07951812,0.09114012,0.0751816,0.12367659,0.23538555,0.26115274,0.26991463,0.279287,0.27582717,0.1199134,0.07224119
2017-06-30,0.83802193,0.38990903,0.37464595,2.2968712,0.5310221,-0.5264028,0.3439973,0.60585475,0.012908326,0.0153345,0.031382382,0.018166933,0.059089437,0.16727306,0.19293748,0.2054474,0.21186885,0.21195158,0.09979768,0.050184757
2017-07-07,0.54151833,0.61603653,0.3751062,1.106509,0.34600618,-0.15883899,0.3200316,0.5358652,0.087078586,0.12962279,0.13436288,0.10766233,0.15558088,0.28107554,0.31288725,0.34593078,0.3295371,0.3291372,0.17983171,0.106849425
2017-07-30,0.83757436,0.39546227,0.38405323,2.586832,0.5608167,-0.49513522,0.4042179,0.6573163,0.0066790665,0.013733676,0.030382192,0.018525459,0.05896364,0.17925233,0.2100734,0.21247083,0.22853026,0.22873339,0.089415,0.043477174
2017-08-09,0.8170953,0.33116168,0.3291313,2.653542,0.56650174,-0.501886,0.39047223,0.6252528,0.0028459239,0.00910197,0.02630321,0.017669722,0.051032715,0.15630352,0.18504769,0.18151078,0.20135188,0.19910845,0.07775724,0.040142678
2017-09-05,0.88622767,0.37874237,0.38050452,2.9500546,0.593935,-0.5680978,0.42729127,0.6933659,0.0001,0.0049771657,0.02205275,0.01206032,0.04662512,0.15647401,0.18300664,0.19942953,0.20134741,0.20237233,0.07940474,0.035752058
2017-11-07,0.7801965,0.29402164,0.28155088,2.1524167,0.51530254,-0.45787725,0.46755433,0.6839397,0.0001,0.015726667,0.020701397,0.018882943,0.045085296,0.12521954,0.14091094,0.15443805,0.15884653,0.14761105,0.055449694,0.028635409
2018-02-05,0.4931069,0.3566528,0.29015416,0.8218238,0.28632453,0.56418645,0.8479964,0.84336334,0.073554754,0.083098225,0.08515633,0.09552007,0.13643508,0.22778742,0.24196018,0.27044916,0.26255897,0.2631295,0.021808363,0.022379635
2018-02-20,0.60857904,0.3164702,0.3071488,1.291193,0.38960558,0.20277876,0.75347054,0.79449356,0.0027525625,0.03169497,0.04899283,0.055029366,0.09218949,0.19102398,0.20888604,0.22213173,0.22751102,0.24772535,0.031062791,0.025226656
2018-02-22,0.68436503,0.32497156,0.34360155,1.4601626,0.41931534,-0.13609985,0.72230875,0.78360134,0.0001086963,0.0109278485,0.030910075,0.043522377,0.085507,0.18813293,0.20777437,0.2271032,0.23157948,0.23286545,0.036319252,0.027239384
2018-02-27,0.9275247,0.38420334,0.39089996,7.4479117,0.6515871,-0.8980851,0.6122677,0.68822145,0.0001,0.0012869315,0.0037428704,0.009044579,0.03859477,0.14775974,0.17356725,0.20048597,0.1986313,0.20596476,0.04777602,0.036692508
2018-03-04,0.8120699,0.3153163,0.33024377,2.0817676,0.4908809,-0.75005925,0.62962514,0.7014231,0.0001,0.001825667,0.009093586,0.021852326,0.059845764,0.15033208,0.16993678,0.18474719,0.19229472,0.18850073,0.04170333,0.032196656
2018-03-27,0.6044469,0.32899487,0.3166917,1.1695545,0.3617688,-0.10125715,0.5802567,0.7210069,0.020749614,0.036736317,0.055842116,0.0611451,0.09977625,0.19140397,0.20889941,0.2359015,0.22867112,0.23857369,0.06202974,0.037847757
2018-04-01,0.64008987,0.3250553,0.32515576,1.3765497,0.39229476,-0.19609992,0.56810635,0.7357154,0.0001047531,0.026601963,0.048635267,0.054346576,0.0921908,0.18439357,0.20613134,0.23069856,0.22193184,0.24248207,0.06285998,0.034706086
2018-04-03,0.70076406,0.3408119,0.37204432,1.3288312,0.3939304,-0.35658383,0.6234061,0.74270487,0.0025489805,0.0050740214,0.032275908,0.046327226,0.097724624,0.1976135,0.2217117,0.24837808,0.24724263,0.28253496,0.057073712,0.036347277
2018-04-08,0.5133809,0.31734276,0.29782468,0.8589751,0.29819524,-0.092863,0.48235327,0.65620816,0.033638738,0.05216179,0.07590343,0.0835716,0.12966867,0.21980193,0.23862964,0.25692928,0.25314808,0.2832484,0.089686066,0.053335894
2018-04-11,0.5183145,0.29819325,0.2651217,0.9295947,0.31177878,0.0620129,0.5638328,0.74073267,0.028392011,0.056155942,0.07332604,0.07263522,0.10703039,0.18820378,0.20123714,0.21975344,0.21049413,0.23237541,0.06074275,0.03239216
2018-04-13,0.5270482,0.2990064,0.27395868,0.89160025,0.30194926,0.03925168,0.5555026,0.74446154,0.039659336,0.0512952,0.07428236,0.07278344,0.11291131,0.19462305,0.20745191,0.2254673,0.21743971,0.23127304,0.06387394,0.032715335
2018-04-18,0.48957756,0.30566797,0.24527243,0.8387949,0.29248327,0.07022378,0.510344,0.7043818,0.03962653,0.07185039,0.08067082,0.07391572,0.10979983,0.183564,0.1987989,0.20939396,0.20714556,0.20753622,0.06735856,0.036003347
2018-04-23,0.6195917,0.28814286,0.26942712,1.0838025,0.345919,-0.25079516,0.39352572,0.6161177,0.025345165,0.03324282,0.05021301,0.045279898,0.08350321,0.15577284,0.16980031,0.1839954,0.18486494,0.1840454,0.07951975,0.04335472
2018-04-28,0.64720917,0.33551353,0.29933015,1.2414687,0.38084856,-0.3588059,0.29935092,0.5232605,0.029937629,0.039726555,0.051232852,0.0434203,0.08270385,0.16262627,0.18375462,0.19932249,0.20225397,0.20754287,0.10774049,0.063306876
2018-05-06,0.71665215,0.27363443,0.26648858,1.4189823,0.413404,-0.51106966,0.22108056,0.48238492,0.014466703,0.01671565,0.03229133,0.025890604,0.061985422,0.13244097,0.14920735,0.15574932,0.1655302,0.16628702,0.09905112,0.05425846
2018-05-08,0.6935147,0.32836604,0.30321562,1.4096069,0.4121996,-0.47367966,0.23413767,0.477774,0.016535085,0.02939018,0.04177821,0.03423749,0.06998585,0.14718215,0.16799712,0.1883531,0.18653978,0.18567997,0.116802394,0.066589646
2018-05-11,0.6812782,0.28628755,0.2674076,1.4031184,0.41062453,-0.47958082,0.20679328,0.45573717,0.018457074,0.025841255,0.037929155,0.031142246,0.06274359,0.13116613,0.14993268,0.1636262,0.1661612,0.1662071,0.10737765,0.061157152
2018-05-13,0.7199603,0.30760893,0.29274505,1.5166061,0.4293081,-0.5084061,0.21151838,0.4944449,0.017876837,0.021783471,0.037061073,0.028623372,0.0635919,0.1397329,0.1589959,0.17417799,0.17632131,0.17678794,0.113179184,0.05893335
2018-05-18,0.76246107,0.34048843,0.32983106,1.8702927,0.48021454,-0.53081393,0.27190888,0.5337032,0.0002928995,0.01770658,0.03375715,0.025905125,0.060367286,0.14862566,0.17173913,0.19136412,0.18830955,0.1883834,0.10931587,0.05817862
2018-05-21,0.73974144,0.32818544,0.31153816,1.8243397,0.47445843,-0.49473965,0.25209373,0.51515734,0.007312687,0.02169784,0.03712523,0.027496796,0.061128594,0.14804876,0.17155853,0.1831916,0.1874235,0.18566577,0.10908379,0.058476448
2018-05-23,0.7296114,0.37900645,0.36426342,1.7220285,0.4608721,-0.50037175,0.24376693,0.5130111,0.012426773,0.023818783,0.04597731,0.035562627,0.079193324,0.18731505,0.21454959,0.2268037,0.2356003,0.23659503,0.13761768,0.0729371
2018-05-31,0.78837776,0.35476792,0.33742765,2.1433358,0.51435006,-0.52572215,0.28637362,0.5530605,0.011684424,0.019096473,0.033069156,0.022725977,0.05710327,0.1516285,0.17796817,0.1908479,0.19421433,0.19570121,0.10557912,0.05483447
2018-06-02,0.6604657,0.40198016,0.35649472,1.5805855,0.4321508,-0.41456285,0.25407553,0.49037412,0.048423514,0.045109645,0.06501864,0.054738685,0.09973587,0.21290287,0.24462669,0.25034013,0.2665646,0.27365673,0.149245,0.08785036
2018-06-10,0.78284276,0.35517496,0.33727327,2.1128645,0.510552,-0.5180881,0.28671157,0.55332774,0.012357016,0.019718982,0.03388784,0.023548294,0.05915997,0.15492854,0.18262827,0.19202259,0.20036672,0.20116395,0.10608849,0.055084467
