features,site,L,epoch,unit1,unit2,dropout,mse,rmse,mae,test_r2
col2,Torgnon,3,50,32,32,0.1,1.069318253582172,1.0340784562025127,0.6182189858944,0.8779850312447216
col2,Torgnon,3,100,32,32,0.1,1.1601474908448617,1.0771014301563533,0.6231396320250991,0.8676209263493391
col2,Torgnon,3,150,32,32,0.1,1.0617149281638445,1.0303955202561026,0.6087531013934988,0.8788526116028101
col2,Torgnon,3,50,32,32,0.2,1.1615190920221272,1.0777379514622871,0.6405777383469311,0.8674644192718362
col2,Torgnon,3,100,32,32,0.2,1.5346553408423838,1.2388120684116635,0.6980761277603303,0.8248875647304048
col2,Torgnon,3,150,32,32,0.2,1.087588793202154,1.0428752529435887,0.6176703829954048,0.8759002643257934
col2,Torgnon,3,50,32,32,0.3,1.3779763941019065,1.1738723925972134,0.6632137529031756,0.8427654759388852
col2,Torgnon,3,100,32,32,0.3,1.1437693845753103,1.069471544537446,0.6092297114196311,0.8694897564362243
col2,Torgnon,3,150,32,32,0.3,1.2902672797816852,1.1358993264289248,0.6232420921618326,0.8527735580112563
col2,Torgnon,5,50,32,32,0.1,1.0132882137639145,1.0066221802463498,0.5625756747130913,0.8846210970839247
col2,Torgnon,5,100,32,32,0.1,1.188902731499099,1.0903681632820628,0.6336541726516242,0.8646246043613298
col2,Torgnon,5,150,32,32,0.1,1.3908979709427027,1.1793633752761288,0.651306070503095,0.8416242488803344
col2,Torgnon,5,50,32,32,0.2,1.0170373562176898,1.0084827000091225,0.6081486094872576,0.8841941978687587
col2,Torgnon,5,100,32,32,0.2,1.180590609493176,1.0865498651664247,0.6048815617650043,0.8655710710278921
col2,Torgnon,5,150,32,32,0.2,1.6061280561314986,1.2673310759748213,0.6855059041980506,0.8171168967111295
col2,Torgnon,5,50,32,32,0.3,1.3132715233225514,1.1459805946535706,0.6931015171745891,0.8504632487246294
col2,Torgnon,5,100,32,32,0.3,1.3377074406387621,1.1565930315537796,0.6665122625977491,0.8476808327314348
col2,Torgnon,5,150,32,32,0.3,1.473350011913877,1.2138163007283584,0.6425040127475614,0.8322357788466132
col2,Torgnon,7,50,32,32,0.1,1.1222213947069595,1.0593495148943806,0.6053131543904359,0.8722173300829446
col2,Torgnon,7,100,32,32,0.1,1.3766067291299742,1.1732888515322961,0.6782124074655216,0.8432515329829846
col2,Torgnon,7,150,32,32,0.1,1.4382323556123358,1.1992632553415183,0.6629424803020341,0.8362344799091714
col2,Torgnon,7,50,32,32,0.2,1.2096940639600213,1.0998609293724464,0.6269592934103646,0.8622571820456257
col2,Torgnon,7,100,32,32,0.2,1.2174682772701582,1.1033894495010175,0.6349021652346456,0.861371964798869
col2,Torgnon,7,150,32,32,0.2,1.638757488038166,1.2801396361484032,0.7197797656757473,0.8134015193831118
col2,Torgnon,7,50,32,32,0.3,0.9886077055163723,0.9942875366393629,0.5817587645569645,0.8874313636263874
col2,Torgnon,7,100,32,32,0.3,1.4389639441079445,1.199568232368607,0.6775358372930785,0.8361511769783145
col2,Torgnon,7,150,32,32,0.3,1.19516986680639,1.0932382479617102,0.6369166562569888,0.8639109918013891
col2,Torgnon,14,50,32,32,0.1,1.8150468342030512,1.3472367402216476,0.7669720738363514,0.7937434058637305
col2,Torgnon,14,100,32,32,0.1,1.4017656837624908,1.1839618590826695,0.6878886730672634,0.8407074626055595
col2,Torgnon,14,150,32,32,0.1,1.8131344893509937,1.346526824593923,0.7867583261087048,0.7939607191189957
col2,Torgnon,14,50,32,32,0.2,1.4021496372801638,1.1841239957370022,0.6953761821287249,0.8406638312549135
